5126_34483_000000_000000	Now in the solitude of the country, she began to be more and more frequently aware of those joys.	Now in the solitude of the country, she began to be more and more frequently aware of those joys.	false	0	6.36	23.968445
5126_34483_000000_000001	Often, looking at them, she would make every possible effort to persuade herself that she was mistaken, that she as a mother was partial to her children.	Often, looking at them, she would make every possible effort to persuade herself that she was mistaken, that she as a mother was partial to her children.	false	6.36	14.85	22.884634
5126_34483_000000_000002	All the same, she could not help saying to herself that she had charming children, all six of them in different ways, but a set of children such as is not often to be met with, and she was happy in them, and proud of them.	All the same, she could not help saying to herself that she had charming children, all six of them in different ways, but a set of children such as is not often to be met with, and she was happy in them, and proud of them.	false	14.85	29.82	24.753277
5126_34483_000001_000000	Chapter 8	Chapter eight	true	29.82	31.21	30.531147
5126_34483_000002_000000	Towards the end of May, when everything had been more or less satisfactorily arranged, she received her husband's answer to her complaints of the disorganized state of things in the country.	Towards the end of May, when everything had been more or less satisfactorily arranged, she received her husband's answer to her complaints of the disorganized state of things in the country.	true	32.54	44.68	21.632822
5126_34483_000002_000001	He wrote begging her forgiveness for not having thought of everything before, and promised to come down at the first chance.	He wrote begging her forgiveness for not having thought of everything before, and promised to come down at the first chance.	true	45.17	53.41	24.441137
5126_34483_000002_000002	This chance did not present itself, and till the beginning of June Darya Alexandrovna stayed alone in the country.	This chance did not present itself, and till the beginning of June Darya Alexandrovna stayed alone in the country.	true	53.6	62.41	22.502453
5126_34483_000003_000000	On the Sunday in St. Peter's week Darya Alexandrovna drove to mass for all her children to take the sacrament.	On the Sunday in saint Peter's week Darya Alexandrovna drove to mass for all her children to take the sacrament.	false	63.68	72.13	23.615225
5126_34483_000003_000001	Darya Alexandrovna in her intimate, philosophical talks with her sister, her mother, and her friends very often astonished them by the freedom of her views in regard to religion.	Darya Alexandrovna in her intimate, philosophical talks with her sister, her mother, and her friends very often astonished them by the freedom of her views in regard to religion.	true	73.13	86.32	22.894228
5126_34483_000003_000002	She had a strange religion of transmigration of souls all her own, in which she had firm faith, troubling herself little about the dogmas of the Church.	She had a strange religion of transmigration of souls all her own, in which she had firm faith, troubling herself little about the dogmas of the Church.	true	87.41	98.41	21.19171
5126_34483_000003_000003	But in her family she was strict in carrying out all that was required by the Church--and not merely in order to set an example, but with all her heart in it.	But in her family she was strict in carrying out all that was required by the Church-and not merely in order to set an example, but with all her heart in it.	true	99.14	110.62	25.396492
