3119_163527_000000_000000	THE WIDOW'S SON	THE WIDOW'S SON	false	20.625	27.55	21.28857
3119_163527_000001_000000	Once on a time there was a poor, poor widow, who had an only son.	Once on a time there was a poor, poor widow, who had an only son.	true	29.45	34.12	17
3119_163527_000001_000001	She dragged on with the boy till he had been confirmed, and then she said she couldn't feed him any longer, he must just go out and earn his own bread.	She dragged on with the boy till he had been confirmed, and then she said she couldn't feed him any longer, he must just go out and earn his own bread.	false	34.79	43.39	21.657421
3119_163527_000001_000002	So the lad wandered out into the world, and when he had walked a day or so, a strange man met him.	So the lad wandered out into the world, and when he had walked a day or so, a strange man met him.	true	44.3	51.1	18
3119_163527_000002_000000	'Whither away?' asked the man.	'Whither away?' asked the man.	true	51.41	53.2	17
3119_163527_000003_000000	'Oh, I'm going out into the world to try and get a place', said the lad.	'Oh, I'm going out into the world to try and get a place', said the lad.	true	53.51	57.85	18
3119_163527_000004_000000	'Will you come and serve me?' said the man.	'Will you come and serve me?' said the man.	true	58.22	60.85	21
3119_163527_000005_000000	'Oh yes; just as soon you as any one else', said the lad.	'Oh yes; just as soon you as any one else', said the lad.	true	61.1	64.78	15
3119_163527_000006_000000	'Well, you'll have a good place with me', said the man; 'for you'll only have to keep me company, and do nothing at all else beside.'	'Well, you'll have a good place with me', said the man; 'for you'll only have to keep me company, and do nothing at all else beside.'	true	65.39	73.51	19
3119_163527_000007_000000	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.	So the lad stopped with him, and lived on the fat of the land, both in meat and drink, and had little or nothing to do; but he never saw a living soul in that man's house.	true	74.42	86.77	18
3119_163527_000008_000000	So one day the man said:	So one day the man said:	true	87.41	89.41	15
3119_163527_000009_000000	'Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.	'Now, I'm going off for eight days, and that time you'll have to spend here all alone; but you must not go into any one of these four rooms here.	false	89.48	98.445	18
3119_163527_000009_000001	If you do, I'll take your life when I come back.'	If you do, I'll take your life when I come back.'	true	98.445	101.565	26.710016
3119_163527_000010_000000	'No', said the lad, he'd be sure not to do that.	'No', said the lad, he'd be sure not to do that.	true	101.565	104.98	19.452484
3119_163527_000010_000001	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble-bush rod lay.	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble bush rod lay.	true	105.74	122.86	21
3119_163527_000011_000000	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.	Well, indeed! thought the lad; a pretty thing to forbid my seeing this.	true	123.38	128.44	15
3119_163527_000012_000000	So when the eight days were out, the man came home, and the first thing he said was:	So when the eight days were out, the man came home, and the first thing he said was:	true	129.29	134.53	23.208855
3119_163527_000013_000000	'You haven't been into any of these rooms, of course.'	'You haven't been into any of these rooms, of course.'	false	134.72	137.65	17
3119_163527_000014_000000	'No, no; that I haven't', said the lad.	'No, no; that I haven't', said the lad.	true	137.78	140.47	20
3119_163527_000015_000000	'I'll soon see that', said the man, and went at once into the room where the lad had been.	'I'll soon see that', said the man, and went at once into the room where the lad had been.	true	140.69	147.52	19
3119_163527_000016_000000	'Nay, but you have been in here', said he; 'and now you shall lose your life.'	'Nay, but you have been in here', said he; 'and now you shall lose your life.'	true	148.1	153.01	18.281466
3119_163527_000017_000000	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.	true	153.35	160.21	21.36114
3119_163527_000017_000001	And when it was over, they were as good friends as ever.	And when it was over, they were as good friends as ever.	false	160.67	164.65	26.720617
3119_163527_000018_000000	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	true	166.31	183.25	20
3119_163527_000018_000001	Well, it was the same story aver again, except that the lad stood out eight days before he went in.	Well, it was the same story aver again, except that the lad stood out eight days before he went in.	false	184.28	191.41	23
3119_163527_000018_000002	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	true	191.87	200.35	22.210447
3119_163527_000018_000003	Well, after all, there's not much to be afraid of my seeing here, thought the lad.	Well, after all, there's not much to be afraid of my seeing here, thought the lad.	false	200.81	206.88	21.004198
3119_163527_000019_000000	But when the man came back, he asked if he had been into any of the rooms.	But when the man came back, he asked if he had been into any of the rooms.	true	206.88	211.57	20
3119_163527_000019_000001	No, the lad hadn't done anything of the kind.	No, the lad hadn't done anything of the kind.	true	211.61	215.02	20.717348
3119_163527_000020_000000	'Well, well; I'll soon see that,' said the man; and when he saw that the lad had been in them after all, he said, 'Ah! now I'll spare you no longer; now you must lose your life.'	'Well, well; I'll soon see that,' said the man; and when he saw that the lad had been in them after all, he said, 'Ah! now I'll spare you no longer; now you must lose your life.'	true	215.24	228.04	19.542412
3119_163527_000021_000000	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin could carry.	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin could carry.	true	228.53	238.09	19
3119_163527_000021_000001	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.	false	238.88	247.06	20
3119_163527_000022_000000	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.	true	248.24	266.5	19
3119_163527_000022_000001	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled and boiled away down there; but he saw no fire under it.	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled and boiled away down there; but he saw no fire under it.	true	267.89	290.71	22.160332
3119_163527_000023_000000	'Well, I should just like to know if it's hot,' thought the lad, and stuck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	'Well, I should just like to know if it's hot,' thought the lad, and stuck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	true	291.38	304.6	23
3119_163527_000023_000001	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	true	304.97	321.49	22
3119_163527_000023_000002	But the man tore off the rag, and then he soon saw what was the matter with the finger.	But the man tore off the rag, and then he soon saw what was the matter with the finger.	true	321.98	328.18	21
3119_163527_000023_000003	First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.	First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.	false	328.49	340.21	23.702036
3119_163527_000023_000004	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was sound and fresh as ever.	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was sound and fresh as ever.	true	341	351.04	19
3119_163527_000024_000000	So after a while the man started off again, and this time he was to be away a month.	So after a while the man started off again, and this time he was to be away a month.	true	352.85	361	21.718075
3119_163527_000024_000001	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.	true	361.25	370.21	20.89685
3119_163527_000025_000000	Well, the lad stood out for two or three weeks, but then he couldn't holdout any longer; he must and would go into that room, and so in he stole.	Well, the lad stood out for two or three weeks, but then he couldn't holdout any longer; he must and would go into that room, and so in he stole.	true	371.42	382.06	19
3119_163527_000025_000001	There stood a great black horse tied up in a stall by himself, with a manger of red-hot coals at his head, and a truss of hay at his tail.	There stood a great black horse tied up in a stall by himself, with a manger of red hot coals at his head, and a truss of hay at his tail.	false	382.73	397.27	23.239403
3119_163527_000025_000002	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	true	397.52	403.84	21
3119_163527_000025_000003	Then said the Horse:	Then said the Horse:	true	404.15	405.85	15
3119_163527_000026_000000	'Since you are so good at heart as to let me have some food, I'll set you free, that I will.	'Since you are so good at heart as to let me have some food, I'll set you free, that I will.	true	406.01	413.62	20.838743
3119_163527_000026_000001	For if the Troll comes back and finds you here, he'll kill you outright.	For if the Troll comes back and finds you here, he'll kill you outright.	true	414.02	419.02	24.464523
3119_163527_000026_000002	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way.'	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way.'	true	419.42	442.24	23.442015
3119_163527_000027_000000	So the lad did all that; but it was a heavy load for him to carry them all down at once.	So the lad did all that; but it was a heavy load for him to carry them all down at once.	true	442.82	448.63	18
3119_163527_000028_000000	When he came back, the Horse told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.	When he came back, the Horse told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.	true	449.36	459.97	23
3119_163527_000028_000001	'If I do', thought the lad, 'I shall look an awful fright'; but for all that, he did as he was told.	'If I do', thought the lad, 'I shall look an awful fright'; but for all that, he did as he was told.	true	460.52	467.44	24.190294
3119_163527_000028_000002	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	true	467.96	480.49	20.968393
3119_163527_000029_000000	'Do you feel any change?' asked the Horse.	'Do you feel any change?' asked the Horse.	true	481.04	483.855	23
3119_163527_000030_000000	'Yes', said the lad.	'Yes', said the lad.	true	483.855	485.17	19.587528
3119_163527_000031_000000	'Try to lift me, then', said the Horse.	'Try to lift me, then', said the Horse.	true	485.33	487.87	21
3119_163527_000032_000000	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	true	488.48	495.1	22.643473
3119_163527_000033_000000	'Now saddle me', said the Horse, 'and put on the coat of mail, and then take the bramble-bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can.'	'Now saddle me', said the Horse, 'and put on the coat of mail, and then take the bramble bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can.'	true	495.59	508.48	22
3119_163527_000034_000000	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.	true	509.81	516.82	22
3119_163527_000034_000001	But when he had ridden awhile, the Horse said,	But when he had ridden awhile, the Horse said,	true	517.01	519.73	18.723703
3119_163527_000035_000000	'I think I hear a noise; look round! can you see anything?'	'I think I hear a noise; look round! can you see anything?'	true	520.28	523.81	20.333685
3119_163527_000036_000000	'Yes; there are ever so many coming after us, at least a score', said the lad.	'Yes; there are ever so many coming after us, at least a score', said the lad.	true	524.69	530.2	23
3119_163527_000037_000000	'Aye, aye, that's the Troll coming', said the Horse; 'now he's after us with his pack.'	'Aye, aye, that's the Troll coming', said the Horse; 'now he's after us with his pack.'	true	530.48	535.69	22.738533
3119_163527_000038_000000	So they rode on a while, until those who followed were close behind them.	So they rode on a while, until those who followed were close behind them.	true	536.06	541.06	19
3119_163527_000039_000000	'Now throw your bramble-bush rod behind you, over your shoulder', said the Horse; 'but mind you throw it a good way off my back.'	'Now throw your bramble bush rod behind you, over your shoulder', said the Horse; 'but mind you throw it a good way off my back.'	true	541.19	549.97	20.827328
3119_163527_000040_000000	So the lad did that, and all at once a close, thick bramble-wood grew up behind them.	So the lad did that, and all at once a close, thick bramble wood grew up behind them.	true	550.58	558.43	22.99451
3119_163527_000040_000001	So the lad rode on a long, long time, while the Troll and his crew had to go home to fetch something to hew their way through the wood.	So the lad rode on a long, long time, while the Troll and his crew had to go home to fetch something to hew their way through the wood.	true	558.74	568	17
3119_163527_000040_000002	But at last, the Horse said again.	But at last, the Horse said again.	true	568.4	570.67	21.945257
3119_163527_000041_000000	'Look behind you! can you see anything now?'	'Look behind you! can you see anything now?'	true	570.8	573.55	24.015987
