3119_163527_000004_000000	'Will you come and serve me?' said the man.	'Will you come and serve me?' said the man.
3119_163527_000009_000001	If you do, I'll take your life when I come back.'	If you do, I'll take your life when I come back.'
3119_163527_000010_000001	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble-bush rod lay.	But when the man had been gone three or four days, the lad couldn't bear it any longer, but went into the first room, and when he got inside he looked round, but he saw nothing but a shelf over the door where a bramble bush rod lay.
3119_163527_000012_000000	So when the eight days were out, the man came home, and the first thing he said was:	So when the eight days were out, the man came home, and the first thing he said was:
3119_163527_000014_000000	'No, no; that I haven't', said the lad.	'No, no; that I haven't', said the lad.
3119_163527_000017_000000	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.	Then the lad begged and prayed so hard that he got off with his life, but the man gave him a good thrashing.
3119_163527_000018_000000	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.	Some time after the man set off again, and said he should be away fourteen days; but before he went he forbade the lad to go into any of the rooms he had not been in before; as for that he had been in, he might go into that, and welcome.
3119_163527_000018_000002	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.
3119_163527_000019_000000	But when the man came back, he asked if he had been into any of the rooms.	But when the man came back, he asked if he had been into any of the rooms.
3119_163527_000019_000001	No, the lad hadn't done anything of the kind.	No, the lad hadn't done anything of the kind.
3119_163527_000022_000001	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled and boiled away down there; but he saw no fire under it.	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled and boiled away down there; but he saw no fire under it.
3119_163527_000023_000000	'Well, I should just like to know if it's hot,' thought the lad, and stuck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	'Well, I should just like to know if it's hot,' thought the lad, and stuck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.
3119_163527_000023_000001	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.
3119_163527_000023_000002	But the man tore off the rag, and then he soon saw what was the matter with the finger.	But the man tore off the rag, and then he soon saw what was the matter with the finger.
3119_163527_000024_000000	So after a while the man started off again, and this time he was to be away a month.	So after a while the man started off again, and this time he was to be away a month.
3119_163527_000024_000001	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.
3119_163527_000025_000002	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.
3119_163527_000026_000000	'Since you are so good at heart as to let me have some food, I'll set you free, that I will.	'Since you are so good at heart as to let me have some food, I'll set you free, that I will.
3119_163527_000026_000001	For if the Troll comes back and finds you here, he'll kill you outright.	For if the Troll comes back and finds you here, he'll kill you outright.
3119_163527_000026_000002	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way.'	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way.'
3119_163527_000028_000000	When he came back, the Horse told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.	When he came back, the Horse told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.
3119_163527_000028_000001	'If I do', thought the lad, 'I shall look an awful fright'; but for all that, he did as he was told.	'If I do', thought the lad, 'I shall look an awful fright'; but for all that, he did as he was told.
3119_163527_000028_000002	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.
3119_163527_000029_000000	'Do you feel any change?' asked the Horse.	'Do you feel any change?' asked the Horse.
3119_163527_000031_000000	'Try to lift me, then', said the Horse.	'Try to lift me, then', said the Horse.
