8225_274374_000000_000000	* Whitlocke, p. 66.	asterisk Whitlocke, p. sixty six.	false	0	1.71	17.937616
8225_274374_000000_000001	Rush. vol. vi.	Rush. vol vi.	false	1.71	2.52	5
8225_274374_000000_000002	p. 152.	p. one hundred fifty two.	false	2.52	3.03	9
8225_274374_000000_000003	Clarendon, vol. iii.	Clarendon, vol iii.	false	3.03	3.3	25
8225_274374_000000_000004	p. 151.	p. one hundred fifty one.	false	3.3	3.78	100
8225_274374_000001_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	3.78	4.17	14
8225_274374_000001_000001	D. 92, 100.	D. ninety two, one hundred.	false	4.17	4.62	12
8225_274374_000002_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	4.62	5.01	9
8225_274374_000002_000001	p. 262.	p. two hundred sixty two.	false	5.01	5.49	6
8225_274374_000003_000000	[Illustration: 1-671-gloucester.jpg GLOUCESTER]	[Illustration: one dash six seven one dash gloucester dot j p g GLOUCESTER]	false	5.49	6.69	3
8225_274374_000004_000000	But the most memorable actions of valor during this winter season were performed in the west.	But the most memorable actions of valor during this winter season were performed in the west.	false	6.69	8.61	16
8225_274374_000004_000001	When Sir Ralph Hopton with his small troop, retired into Cornwall before the earl of Bedford, that nobleman, despising so inconsiderable a force, abandoned the pursuit, and committed the care of suppressing the royal party to the sheriffs of the county.	When Sir Ralph Hopton with his small troop, retired into Cornwall before the earl of Bedford, that nobleman, despising so inconsiderable a force, abandoned the pursuit, and committed the care of suppressing the royal party to the sheriffs of the county.	false	8.61	13.35	22.48394
8225_274374_000004_000002	But the affections of Cornwall were much inclined to the king's service.	But the affections of Cornwall were much inclined to the king's service.	false	13.35	14.37	6
8225_274374_000004_000003	While Sir Richard Duller and Sir Alexander Carew lay at Launceston, and employed themselves in executing the parliament's ordinance for the militia, a meeting of the county was assembled at Truro; and after Hopton produced his commission from the earl of Hertford, the king's general, it was agreed to execute the laws, and to expel these invaders of the county.	While Sir Richard Duller and Sir Alexander Carew lay at Launceston, and employed themselves in executing the parliament's ordinance for the militia, a meeting of the county was assembled at Truro; and after Hopton produced his commission from the earl of Hertford, the king's general, it was agreed to execute the laws, and to expel these invaders of the county.	false	14.37	28.17	20.360424
8225_274374_000004_000004	The train bands were accordingly levied, Launceston taken, and all Cornwall reduced to peace and to obedience under the king.	The train bands were accordingly levied, Launceston taken, and all Cornwall reduced to peace and to obedience under the king.	false	28.17	34.845	22.300976
8225_274374_000005_000000	It had been usual for the royal party, on the commencement of these disorders, to claim on all occasions the strict execution of the laws, which, they knew, were favorable to them; and the parliament, rather than have recourse to the plea of necessity, and avow the transgression of any statute, had also been accustomed to warp the laws, and by forced constructions to interpret them in their own favor.[*]	It had been usual for the royal party, on the commencement of these disorders, to claim on all occasions the strict execution of the laws, which, they knew, were favorable to them; and the parliament, rather than have recourse to the plea of necessity, and avow the transgression of any statute, had also been accustomed to warp the laws, and by forced constructions to interpret them in their own favor.[asterisk]	false	34.845	58.68	23.536646
8225_274374_000006_000000	* Clarerdon, vol. iii.	asterisk Clarerdon, vol iii.	false	58.68	58.89	-20
8225_274374_000006_000001	p. 130.	p. one hundred thirty.	false	58.89	59.085	-20
8225_274374_000007_000000	But though the king was naturally the gainer by such a method of conducting war, and it was by favor of law that the train, bands were raised in Cornwall, it appeared that those maxims were now prejudicial to the royal party.	But though the king was naturally the gainer by such a method of conducting war, and it was by favor of law that the train, bands were raised in Cornwall, it appeared that those maxims were now prejudicial to the royal party.	true	59.085	70.81	22.0165
8225_274374_000007_000001	These troops could not legally, without their own consent, be carried out of the county; and consequently it was impossible to push into Devonshire the advantage which they had obtained.	These troops could not legally, without their own consent, be carried out of the county; and consequently it was impossible to push into Devonshire the advantage which they had obtained.	true	71.09	81.73	21.661669
8225_274374_000007_000002	The Cornish royalists, therefore, bethought themselves of levying a force which might be more serviceable.	The Cornish royalists, therefore, bethought themselves of levying a force which might be more serviceable.	true	82.22	88.06	22.39832
8225_274374_000007_000003	Sir Bevil Granville, the most beloved man of that country, Sir Ralph Hopton, Sir Nicholas Slanning, Arundel, and Trevannion undertook as their own charges to raise an army for the king; and their great interest in Cornwall soon enabled them to effect their purpose.	Sir Bevil Granville, the most beloved man of that country, Sir Ralph Hopton, Sir Nicholas Slanning, Arundel, and Trevannion undertook as their own charges to raise an army for the king; and their great interest in Cornwall soon enabled them to effect their purpose.	true	88.34	104.65	21.847015
8225_274374_000007_000004	The parliament, alarmed at this appearance of the royalists, gave a commission to Ruthven, a Scotchman, governor of Plymouth, to march with all the forces to Dorset.	The parliament, alarmed at this appearance of the royalists, gave a commission to Ruthven, a Scotchman, governor of Plymouth, to march with all the forces to Dorset.	true	105.44	114.855	23.71143
8225_274374_000007_000005	Somerset, and Devon, and make an entire conquest of Cornwall.	Somerset, and Devon, and make an entire conquest of Cornwall.	true	114.855	118.6	23.218882
8225_274374_000007_000006	The earl of Stamford followed him at some distance With a considerable supply.	The earl of Stamford followed him at some distance With a considerable supply.	true	119.06	123.1	22.705042
8225_274374_000007_000007	Ruthven, having entered Cornwall by bridges thrown over the Tamar, hastened to an action, lest Stamwood should join him, and obtain the honor of that victory which he looked for with assurance.	Ruthven, having entered Cornwall by bridges thrown over the Tamar, hastened to an action, lest Stamwood should join him, and obtain the honor of that victory which he looked for with assurance.	false	123.62	134.77	20.777716
8225_274374_000007_000008	The royalists in like manner were impatient to bring the affair to a decision before Ruthven's army should receive so considerable a reenforcement.	The royalists in like manner were impatient to bring the affair to a decision before Ruthven's army should receive so considerable a reenforcement.	false	135.44	143.35	18
8225_274374_000007_000009	The battle was fought on Bradoc Down; and the king's forces, though inferior in number, gave a total defeat to their enemies.	The battle was fought on Bradoc Down; and the king's forces, though inferior in number, gave a total defeat to their enemies.	true	144.2	151.69	23.324812
8225_274374_000007_000010	Ruthven, with a few broken troops, fled to Saltash; and when that town was taken, he escaped with some difficulty, and almost alone, into Plymouth.	Ruthven, with a few broken troops, fled to Saltash; and when that town was taken, he escaped with some difficulty, and almost alone, into Plymouth.	true	152.18	161.65	24.510294
8225_274374_000007_000011	Stamford retired, and distributed his forces into Plymouth and Exeter.	Stamford retired, and distributed his forces into Plymouth and Exeter.	true	161.99	166.24	23.390318
8225_274374_000008_000000	Notwithstanding these advantages, the extreme want both of money and ammunition under which the Cornish royalists labored, obliged them to enter into a convention of neutrality with the parliamentary party in Devonshire; and this neutrality held all the winter season.	Notwithstanding these advantages, the extreme want both of money and ammunition under which the Cornish royalists labored, obliged them to enter into a convention of neutrality with the parliamentary party in Devonshire; and this neutrality held all the winter season.	true	166.88	182.05	20.230236
8225_274374_000008_000001	In the spring, it was broken by the authority of the two houses; but war recommenced with great appearance of disadvantage to the king's party. Stamford, having assembled a strong body of near seven thousand men, well supplied with money, provisions, and ammunition, advanced upon the royalists, who were not half his number, and were oppressed by every kind of necessity.	In the spring, it was broken by the authority of the two houses; but war recommenced with great appearance of disadvantage to the king's party. Stamford, having assembled a strong body of near seven thousand men, well supplied with money, provisions, and ammunition, advanced upon the royalists, who were not half his number, and were oppressed by every kind of necessity.	true	182.63	205.24	21.660835
8225_274374_000008_000002	Despair, joined to the natural gallantry of these troops, commanded by the prime gentry of the county, made them resolve by one vigorous effort, to overcome all these disadvantages.	Despair, joined to the natural gallantry of these troops, commanded by the prime gentry of the county, made them resolve by one vigorous effort, to overcome all these disadvantages.	true	205.76	216.85	20.72261
8225_274374_000008_000003	Stamford being encamped on the top of a high hill near Stratum, they attacked him in four divisions, at five in the morning, having lain all night under arms.	Stamford being encamped on the top of a high hill near Stratum, they attacked him in four divisions, at five in the morning, having lain all night under arms.	true	217.46	226.84	21.067083
