3025_12971_000000_000000	Part I	Part one
3025_12971_000003_000002	He lived in Panama, Pennsylvania.	He lived in Panama, Pennsylvania.
3025_12971_000003_000003	He had never been "captain" of anything except the Crescent Volunteer Fire Company, but he owned the title because he collected rents, wrote insurance, and meddled with lawsuits.	He had never been "captain" of anything except the Crescent Volunteer Fire Company, but he owned the title because he collected rents, wrote insurance, and meddled with lawsuits.
3025_12971_000004_000004	He was aimlessly industrious, crotchety but kind, and almost quixotically honest.	He was aimlessly industrious, crotchety but kind, and almost quixotically honest.
3025_12971_000016_000002	Her mouth was as kind as her spirited eyes, but it drooped.	Her mouth was as kind as her spirited eyes, but it drooped.
3025_12971_000025_000000	Not that she wanted to be a teacher!	Not that she wanted to be a teacher!
3025_12971_000025_000004	Of course she would teach!	Of course she would teach!
3025_12971_000028_000008	Una was facing the feminist problem, without knowing what the word "feminist" meant.	Una was facing the feminist problem, without knowing what the word "feminist" meant.
3025_12971_000031_000001	This she knew scientifically.	This she knew scientifically.
3025_12971_000031_000008	Una crossed blessed matrimony off the list as a commercial prospect.	Una crossed blessed matrimony off the list as a commercial prospect.
3025_12971_000042_000002	While she trudged home--a pleasant, inconspicuous, fluffy-haired young woman, undramatic as a field daisy--a cataract of protest poured through her.	While she trudged home-a pleasant, inconspicuous, fluffy haired young woman, undramatic as a field daisy-a cataract of protest poured through her.
3025_12971_000045_000005	There was no place to which she could flee.	There was no place to which she could flee.
3025_12971_000046_000000	"Poor, poor little mother, working away happy up there, and I've got to go and scold you," Una agonized.	"Poor, poor little mother, working away happy up there, and I've got to go and scold you," Una agonized.
3025_12971_000047_000001	She pounced on it.	She pounced on it.
3025_12971_000048_000000	Mr. and Mrs. Albert Sessions, of Panama, had gone to New York.	mr and mrs Albert Sessions, of Panama, had gone to New York.
3025_12971_000048_000002	They liked New York.	They liked New York.
3025_12971_000054_000000	"Mumsie!" she cried, "we're going to New York!	"Mumsie!" she cried, "we're going to New York!
3025_12971_000056_000002	Is it the letter from Emma Sessions?	Is it the letter from Emma Sessions?
3025_12971_000057_000000	"She suggested it, but we are going up independent."	"She suggested it, but we are going up independent."
3025_12971_000058_000000	"But can we afford to?...	"But can we afford to?...
