3025_12971_000000_000000	Part I	Part one	true	23.175	24.25	21.069983
3025_12971_000001_000000	THE CITY	THE CITY	true	24.32	25.24	19.241724
3025_12971_000002_000000	CHAPTER I	CHAPTER one	true	25.76	27.16	19.718672
3025_12971_000003_000000	Captain Lew Golden would have saved any foreign observer a great deal of trouble in studying America.	Captain Lew Golden would have saved any foreign observer a great deal of trouble in studying America.	true	29.66	37.42	14
3025_12971_000003_000001	He was an almost perfect type of the petty small-town middle-class lawyer.	He was an almost perfect type of the petty small town middle class lawyer.	true	37.97	43.63	18
3025_12971_000003_000002	He lived in Panama, Pennsylvania.	He lived in Panama, Pennsylvania.	true	44	46.75	20.683056
3025_12971_000003_000003	He had never been "captain" of anything except the Crescent Volunteer Fire Company, but he owned the title because he collected rents, wrote insurance, and meddled with lawsuits.	He had never been "captain" of anything except the Crescent Volunteer Fire Company, but he owned the title because he collected rents, wrote insurance, and meddled with lawsuits.	true	47.09	59.53	20.31521
3025_12971_000004_000000	He carried a quite visible mustache-comb and wore a collar, but no tie. On warm days he appeared on the street in his shirt-sleeves, and discussed the comparative temperatures of the past thirty years with Doctor Smith and the Mansion House 'bus-driver.	He carried a quite visible mustache comb and wore a collar, but no tie. On warm days he appeared on the street in his shirt sleeves, and discussed the comparative temperatures of the past thirty years with Doctor Smith and the Mansion House 'bus driver.	true	60.89	80.17	19
3025_12971_000004_000001	He never used the word "beauty" except in reference to a setter dog--beauty of words or music, of faith or rebellion, did not exist for him.	He never used the word "beauty" except in reference to a setter dog-beauty of words or music, of faith or rebellion, did not exist for him.	true	80.69	91.99	19.752495
3025_12971_000004_000002	He rather fancied large, ambitious, banal, red-and-gold sunsets, but he merely glanced at them as he straggled home, and remarked that they were "nice." He believed that all Parisians, artists, millionaires, and socialists were immoral.	He rather fancied large, ambitious, banal, red and gold sunsets, but he merely glanced at them as he straggled home, and remarked that they were "nice." He believed that all Parisians, artists, millionaires, and socialists were immoral.	false	92.51	112.42	20.643116
3025_12971_000004_000003	His entire system of theology was comprised in the Bible, which he never read, and the Methodist Church, which he rarely attended; and he desired no system of economics beyond the current platform of the Republican party.	His entire system of theology was comprised in the Bible, which he never read, and the Methodist Church, which he rarely attended; and he desired no system of economics beyond the current platform of the Republican party.	true	112.88	130.03	19.843735
3025_12971_000004_000004	He was aimlessly industrious, crotchety but kind, and almost quixotically honest.	He was aimlessly industrious, crotchety but kind, and almost quixotically honest.	true	130.04	137.26	20.370869
3025_12971_000005_000000	He believed that "Panama, Pennsylvania, was good enough for anybody."	He believed that "Panama, Pennsylvania, was good enough for anybody."	true	138.65	143.59	18
