1195_37134_000002_000000	INTRODUCTION	INTRODUCTION
1195_37134_000003_000001	In former times every woman who gave birth to a child or passed through a miscarriage was exposed to grave danger of infection or child-bed fever; but at present--thanks to the recognition of the bacterial origin of the disease and of its identity with wound infection--this danger can be practically eliminated by the rigid observance of surgical cleanliness and aseptic technique.	In former times every woman who gave birth to a child or passed through a miscarriage was exposed to grave danger of infection or child bed fever; but at present-thanks to the recognition of the bacterial origin of the disease and of its identity with wound infection-this danger can be practically eliminated by the rigid observance of surgical cleanliness and aseptic technique.
1195_37134_000003_000003	Furthermore, a careful examination some weeks before the expected date of confinement enables us to recognize the existence of abnormal presentations and of disproportion between the size of the mother's pelvis and that of the child's head.	Furthermore, a careful examination some weeks before the expected date of confinement enables us to recognize the existence of abnormal presentations and of disproportion between the size of the mother's pelvis and that of the child's head.
1195_37134_000003_000004	Timely recognition of such conditions makes appropriate treatment possible and practically insures a successful outcome; while tardy recognition is frequently followed by disastrous results.	Timely recognition of such conditions makes appropriate treatment possible and practically insures a successful outcome; while tardy recognition is frequently followed by disastrous results.
1195_37134_000004_000000	These few examples give some idea of the benefits of prophylaxis in the practice of obstetrics.	These few examples give some idea of the benefits of prophylaxis in the practice of obstetrics.
1195_37134_000004_000001	Prospective mothers should understand not only that there is an advantage in taking such precautions, but that they may be risking their lives, or at least their future well-being, unless they insist upon competent medical attention.	Prospective mothers should understand not only that there is an advantage in taking such precautions, but that they may be risking their lives, or at least their future well-being, unless they insist upon competent medical attention.
1195_37134_000004_000002	It is true, of course, that pregnancy and childbirth are generally normal processes, but they are not always so.	It is true, of course, that pregnancy and childbirth are generally normal processes, but they are not always so.
1195_37134_000004_000003	Fortunately, most of the abnormalities give timely warning of their occurrence, and in most instances may be relieved by comparatively simple measures; or, if not, they afford indications for treatment which should lead to a happy termination. The recognition of the existence of such conditions, however, is not always easy, and their ideal treatment requires careful training and sometimes the utmost nicety of judgment.	Fortunately, most of the abnormalities give timely warning of their occurrence, and in most instances may be relieved by comparatively simple measures; or, if not, they afford indications for treatment which should lead to a happy termination. The recognition of the existence of such conditions, however, is not always easy, and their ideal treatment requires careful training and sometimes the utmost nicety of judgment.
1195_37134_000004_000004	Consequently, if prospective mothers wish to be assured of the best care, they should be cautious in the choice of their medical attendant.	Consequently, if prospective mothers wish to be assured of the best care, they should be cautious in the choice of their medical attendant.
1195_37134_000004_000005	As the ordinary layman has no means of determining the real qualifications of a physician, the choice should not be made upon the advice of casual acquaintances; but, instead, the family physician should be consulted, who, should he feel unwilling to assume the responsibility of the case, will be able to recommend a thoroughly competent substitute.	As the ordinary layman has no means of determining the real qualifications of a physician, the choice should not be made upon the advice of casual acquaintances; but, instead, the family physician should be consulted, who, should he feel unwilling to assume the responsibility of the case, will be able to recommend a thoroughly competent substitute.
1195_37134_000005_000000	From my own experience as a teacher and consultant, I state without hesitation that in no other branch of medicine or surgery are graver emergencies encountered than in certain obstetrical complications whose treatment involves the greatest responsibility and requires the highest order of ability to insure a successful outcome for the mother and her child.	From my own experience as a teacher and consultant, I state without hesitation that in no other branch of medicine or surgery are graver emergencies encountered than in certain obstetrical complications whose treatment involves the greatest responsibility and requires the highest order of ability to insure a successful outcome for the mother and her child.
1195_37134_000005_000001	For these reasons a physician should be chosen only after mature deliberation, and his services should be esteemed much more highly than is usually the case.	For these reasons a physician should be chosen only after mature deliberation, and his services should be esteemed much more highly than is usually the case.
1195_37134_000006_000000	In order that the principles of prevention may receive their fullest application during pregnancy, labor, and the lying-in period, it is also advisable that intelligent women should possess some knowledge of the Reproductive Process in human beings.	In order that the principles of prevention may receive their fullest application during pregnancy, labor, and the lying in period, it is also advisable that intelligent women should possess some knowledge of the Reproductive Process in human beings.
1195_37134_000006_000001	This information is imparted by Doctor Slemons' book, which I can thoroughly recommend to prospective mothers.	This information is imparted by Doctor Slemons' book, which I can thoroughly recommend to prospective mothers.
1195_37134_000006_000002	The subject matter has been carefully chosen, and the author has wisely refrained from giving advice with regard to treatment which can be satisfactorily directed only after careful study by a physician.	The subject matter has been carefully chosen, and the author has wisely refrained from giving advice with regard to treatment which can be satisfactorily directed only after careful study by a physician.
1195_37134_000006_000003	At the same time he has given a clear account of the physiology of pregnancy and labor, and has laid down sound rules for the guidance of the patient.	At the same time he has given a clear account of the physiology of pregnancy and labor, and has laid down sound rules for the guidance of the patient.
1195_37134_000007_000000	One of the most important facts emphasized by Doctor Slemons is the value of medical supervision for several weeks after the child is born; this precaution contributes greatly toward a rapid and complete convalescence.	One of the most important facts emphasized by Doctor Slemons is the value of medical supervision for several weeks after the child is born; this precaution contributes greatly toward a rapid and complete convalescence.
1195_37134_000007_000001	During the lying-in period the physician should supervise the care of the mother and the child, should insist upon the necessity for maternal nursing, and should keep the mother under observation until perfectly normal conditions are regained.	During the lying in period the physician should supervise the care of the mother and the child, should insist upon the necessity for maternal nursing, and should keep the mother under observation until perfectly normal conditions are regained.
