803_139752_000000_000000	HOW NUTH WOULD HAVE PRACTISED HIS ART UPON THE GNOLES	HOW NUTH WOULD HAVE PRACTISED HIS ART UPON THE g n o l e s	false	9.3	21.45	19.66433
803_139752_000001_000000	Despite the advertisements of rival firms, it is probable that every tradesman knows that nobody in business at the present time has a position equal to that of Mr. Nuth.	Despite the advertisements of rival firms, it is probable that every tradesman knows that nobody in business at the present time has a position equal to that of mr Nuth.	true	21.45	32.83	18
803_139752_000001_000001	To those outside the magic circle of business, his name is scarcely known; he does not need to advertise, he is consummate.	To those outside the magic circle of business, his name is scarcely known; he does not need to advertise, he is consummate.	true	33.17	41.95	19.88655
803_139752_000001_000002	He is superior even to modern competition, and, whatever claims they boast, his rivals know it.	He is superior even to modern competition, and, whatever claims they boast, his rivals know it.	false	42.2	49.36	19.312899
803_139752_000001_000003	His terms are moderate, so much cash down when the goods are delivered, so much in blackmail afterwards.	His terms are moderate, so much cash down when the goods are delivered, so much in blackmail afterwards.	true	49.7	56.74	20.93364
803_139752_000001_000004	He consults your convenience.	He consults your convenience.	true	57.14	59.17	19
803_139752_000001_000005	His skill may be counted upon; I have seen a shadow on a windy night move more noisily than Nuth, for Nuth is a burglar by trade.	His skill may be counted upon; I have seen a shadow on a windy night move more noisily than Nuth, for Nuth is a burglar by trade.	false	59.42	68.26	18.494894
803_139752_000001_000006	Men have been known to stay in country houses and to send a dealer afterwards to bargain for a piece of tapestry that they saw there--some article of furniture, some picture.	Men have been known to stay in country houses and to send a dealer afterwards to bargain for a piece of tapestry that they saw there-some article of furniture, some picture.	true	68.39	78.97	18
803_139752_000001_000007	This is bad taste: but those whose culture is more elegant invariably send Nuth a night or two after their visit.	This is bad taste: but those whose culture is more elegant invariably send Nuth a night or two after their visit.	true	79.22	87.73	18.26391
803_139752_000001_000008	He has a way with tapestry; you would scarcely notice that the edges had been cut.	He has a way with tapestry; you would scarcely notice that the edges had been cut.	true	88.04	93.07	20.505846
803_139752_000001_000009	And often when I see some huge, new house full of old furniture and portraits from other ages, I say to myself, "These mouldering chairs, these full-length ancestors and carved mahogany are the produce of the incomparable Nuth."	And often when I see some huge, new house full of old furniture and portraits from other ages, I say to myself, "These mouldering chairs, these full length ancestors and carved mahogany are the produce of the incomparable Nuth."	false	93.47	109.18	19.160774
803_139752_000002_000000	It may be urged against my use of the word incomparable that in the burglary business the name of Slith stands paramount and alone; and of this I am not ignorant; but Slith is a classic, and lived long ago, and knew nothing at all of modern competition; besides which the surprising nature of his doom has possibly cast a glamour upon Slith that exaggerates in our eyes his undoubted merits.	It may be urged against my use of the word incomparable that in the burglary business the name of Slith stands paramount and alone; and of this I am not ignorant; but Slith is a classic, and lived long ago, and knew nothing at all of modern competition; besides which the surprising nature of his doom has possibly cast a glamour upon Slith that exaggerates in our eyes his undoubted merits.	false	109.49	137.23	18.65995
803_139752_000003_000000	It must not be thought that I am a friend of Nuth's; on the contrary such politics as I have are on the side of Property; and he needs no words from me, for his position is almost unique in trade, being among the very few that do not need to advertise.	It must not be thought that I am a friend of Nuth's; on the contrary such politics as I have are on the side of Property; and he needs no words from me, for his position is almost unique in trade, being among the very few that do not need to advertise.	false	137.63	154.69	19.824465
