6904_262291_000000_000000	"Yes, I shall be out in time for the examination at the Guildhall.	"Yes, I shall be out in time for the examination at the Guildhall.	false	0	3.69	25.123613
6904_262291_000000_000001	The hour fixed is half-past eleven."	The hour fixed is half past eleven."	false	3.69	6.18	24.672768
6904_262291_000001_000000	"Old villains the magistrates must have been, to remand it at all!" was the concluding comment of Mr. Roland Yorke.	"Old villains the magistrates must have been, to remand it at all!" was the concluding comment of mr Roland Yorke.	false	6.18	17.67	24.299112
6904_262291_000002_000000	CHAPTER XXVI.	CHAPTER twenty six.	true	17.67	19.09	30.80413
6904_262291_000003_000000	CHECKMATED.	CHECKMATED.	true	19.82	20.89	27.887735
6904_262291_000004_000000	Constance Channing proceeded to her duties as usual at Lady Augusta Yorke's.	Constance Channing proceeded to her duties as usual at Lady Augusta Yorke's.	true	21.29	26.32	22.403334
6904_262291_000004_000001	She drew her veil over her face, only to traverse the very short way that conveyed her thither, for the sense of shame was strong upon her; not shame for Arthur, but for Hamish.	She drew her veil over her face, only to traverse the very short way that conveyed her thither, for the sense of shame was strong upon her; not shame for Arthur, but for Hamish.	true	26.57	36.94	22.911926
6904_262291_000004_000002	It had half broken Constance's heart.	It had half broken Constance's heart.	true	37.43	39.88	26.670343
6904_262291_000005_000000	There are times in our every-day lives when all things seem to wear a depressing aspect, turn which way we will.	There are times in our every day lives when all things seem to wear a depressing aspect, turn which way we will.	true	40.1	46.21	22.539688
6904_262291_000005_000001	They were wearing it that day to Constance.	They were wearing it that day to Constance.	true	46.85	49.09	24.723404
6904_262291_000005_000002	Apart from home troubles, she felt particularly discouraged in the educational task she had undertaken.	Apart from home troubles, she felt particularly discouraged in the educational task she had undertaken.	true	49.28	55	25.73219
6904_262291_000005_000003	You heard the promise made to her by Caroline Yorke, to be up and ready for her every morning at seven.	You heard the promise made to her by Caroline Yorke, to be up and ready for her every morning at seven.	true	55.61	60.37	23.320793
6904_262291_000005_000004	Caroline kept it for two mornings and then failed. This morning and the previous morning Constance had been there at seven, and returned home without seeing either of the children.	Caroline kept it for two mornings and then failed. This morning and the previous morning Constance had been there at seven, and returned home without seeing either of the children.	true	61.25	70.81	25.025948
6904_262291_000005_000005	Both were ready for her when she entered now.	Both were ready for her when she entered now.	true	71.36	73.81	25.092316
6904_262291_000006_000000	"How am I to deal with you?" she said to Caroline, in a sad but affectionate tone.	"How am I to deal with you?" she said to Caroline, in a sad but affectionate tone.	true	75.08	79.72	24.35412
6904_262291_000006_000001	"I do not wish to force you to obey me; I would prefer that you should do it cheerfully."	"I do not wish to force you to obey me; I would prefer that you should do it cheerfully."	true	80.12	85	26.366404
6904_262291_000007_000000	"It is tiresome to get up early," responded Caroline.	"It is tiresome to get up early," responded Caroline.	true	85.73	88.99	24.180004
