8474_281187_000004_000001	Their father divided a small inheritance equally between them.	Their father divided a small inheritance equally between them.
8474_281187_000004_000003	Ali Baba married a woman as poor as himself, and lived by cutting wood, and bringing it upon three asses into the town to sell.	Ali Baba married a woman as poor as himself, and lived by cutting wood, and bringing it upon three asses into the town to sell.
8474_281187_000005_000001	He observed it with attention, and distinguished soon after a body of horsemen, whom he suspected might be robbers.	He observed it with attention, and distinguished soon after a body of horsemen, whom he suspected might be robbers.
8474_281187_000005_000002	He determined to leave his asses to save himself.	He determined to leave his asses to save himself.
8474_281187_000005_000003	He climbed up a large tree, planted on a high rock, whose branches were thick enough to conceal him, and yet enabled him to see all that passed without being discovered.	He climbed up a large tree, planted on a high rock, whose branches were thick enough to conceal him, and yet enabled him to see all that passed without being discovered.
8474_281187_000006_000000	The troop, who were to the number of forty, all well mounted and armed, came to the foot of the rock on which the tree stood, and there dismounted.	The troop, who were to the number of forty, all well mounted and armed, came to the foot of the rock on which the tree stood, and there dismounted.
8474_281187_000006_000001	Every man unbridled his horse, tied him to some shrub, and hung about his neck a bag of corn which they brought behind them.	Every man unbridled his horse, tied him to some shrub, and hung about his neck a bag of corn which they brought behind them.
8474_281187_000007_000000	The robbers stayed some time within the rock, during which Ali Baba, fearful of being caught, remained in the tree.	The robbers stayed some time within the rock, during which Ali Baba, fearful of being caught, remained in the tree.
8474_281187_000008_000000	At last the door opened again, and as the captain went in last, so he came out first, and stood to see them all pass by him; when Ali Baba heard him make the door close by pronouncing these words, "Shut, Sesame!" Every man at once went and bridled his horse, fastened his wallet, and mounted again.	At last the door opened again, and as the captain went in last, so he came out first, and stood to see them all pass by him; when Ali Baba heard him make the door close by pronouncing these words, "Shut, Sesame!" Every man at once went and bridled his horse, fastened his wallet, and mounted again.
8474_281187_000008_000001	When the captain saw them all ready, he put himself at their head, and they returned the way they had come.	When the captain saw them all ready, he put himself at their head, and they returned the way they had come.
8474_281187_000009_000000	Ali Baba followed them with his eyes as far as he could see them, and afterward stayed a considerable time before he descended. Remembering the words the captain of the robbers used to cause the door to open and shut, he had the curiosity to try if his pronouncing them would have the same effect.	Ali Baba followed them with his eyes as far as he could see them, and afterward stayed a considerable time before he descended. Remembering the words the captain of the robbers used to cause the door to open and shut, he had the curiosity to try if his pronouncing them would have the same effect.
8474_281187_000009_000001	Accordingly, he went among the shrubs, and perceiving the door concealed behind them, stood before it and said, "Open, Sesame!"	Accordingly, he went among the shrubs, and perceiving the door concealed behind them, stood before it and said, "Open, Sesame!"
8474_281187_000009_000002	The door instantly flew wide open.	The door instantly flew wide open.
8474_281187_000010_000000	Ali Baba, who expected a dark, dismal cavern, was surprised to see a well-lighted and spacious chamber, which received the light from an opening at the top of the rock, and in which were all sorts of provisions, rich bales of silk, stuff, brocade, and valuable carpeting, piled upon one another, gold and silver ingots in great heaps, and money in bags.	Ali Baba, who expected a dark, dismal cavern, was surprised to see a well lighted and spacious chamber, which received the light from an opening at the top of the rock, and in which were all sorts of provisions, rich bales of silk, stuff, brocade, and valuable carpeting, piled upon one another, gold and silver ingots in great heaps, and money in bags.
8474_281187_000010_000001	The sight of all these riches made him suppose that this cave must have been occupied for ages by robbers, who had succeeded one another.	The sight of all these riches made him suppose that this cave must have been occupied for ages by robbers, who had succeeded one another.
8474_281187_000011_000000	Ali Baba went boldly into the cave, and collected as much of the gold coin, which was in bags, as he thought his three asses could carry.	Ali Baba went boldly into the cave, and collected as much of the gold coin, which was in bags, as he thought his three asses could carry.
8474_281187_000011_000001	When he had loaded them with the bags, he laid wood over them in such a manner that they could not be seen.	When he had loaded them with the bags, he laid wood over them in such a manner that they could not be seen.
8474_281187_000011_000003	He then made the best of his way to town.	He then made the best of his way to town.
8474_281187_000012_000000	When Ali Baba got home, he drove his asses into a little yard, shut the gates very carefully, threw off the wood that covered the panniers, carried the bags into the house, and ranged them in order before his wife.	When Ali Baba got home, he drove his asses into a little yard, shut the gates very carefully, threw off the wood that covered the panniers, carried the bags into the house, and ranged them in order before his wife.
8474_281187_000012_000001	He then emptied the bags, which raised such a great heap of gold as dazzled his wife's eyes, and then he told her the whole adventure from beginning to end, and, above all, recommended her to keep it secret.	He then emptied the bags, which raised such a great heap of gold as dazzled his wife's eyes, and then he told her the whole adventure from beginning to end, and, above all, recommended her to keep it secret.
8474_281187_000013_000000	The wife rejoiced greatly at their good-fortune, and would count all the gold piece by piece.	The wife rejoiced greatly at their good fortune, and would count all the gold piece by piece.
8474_281187_000013_000001	"Wife," replied Ali Baba, "you do not know what you undertake, when you pretend to count the money; you will never have done.	"Wife," replied Ali Baba, "you do not know what you undertake, when you pretend to count the money; you will never have done.
8474_281187_000013_000002	I will dig a hole and bury it.	I will dig a hole and bury it.
8474_281187_000013_000003	There is no time to be lost." "You are in the right, husband," replied she; "but let us know, as nigh as possible, how much we have.	There is no time to be lost." "You are in the right, husband," replied she; "but let us know, as nigh as possible, how much we have.
8474_281187_000013_000004	I will borrow a small measure, and measure it while you dig the hole."	I will borrow a small measure, and measure it while you dig the hole."
8474_281187_000014_000002	The other asked for a small one.	The other asked for a small one.
8474_281187_000014_000003	She bade her stay a little, and she would readily fetch one.	She bade her stay a little, and she would readily fetch one.
8474_281187_000015_000000	The sister-in-law did so, but as she knew Ali Baba's poverty, she was curious to know what sort of grain his wife wanted to measure, and, artfully putting some suet at the bottom of the measure, brought it to her, with the excuse that she was sorry that she had made her stay so long, but that she could not find it sooner.	The sister in law did so, but as she knew Ali Baba's poverty, she was curious to know what sort of grain his wife wanted to measure, and, artfully putting some suet at the bottom of the measure, brought it to her, with the excuse that she was sorry that she had made her stay so long, but that she could not find it sooner.
8474_281187_000016_000000	Ali Baba's wife went home, set the measure upon the heap of gold, filled it, and emptied it often upon the sofa, till she had done, when she was very well satisfied to find the number of measures amounted to so many as they did, and went to tell her husband, who had almost finished digging the hole.	Ali Baba's wife went home, set the measure upon the heap of gold, filled it, and emptied it often upon the sofa, till she had done, when she was very well satisfied to find the number of measures amounted to so many as they did, and went to tell her husband, who had almost finished digging the hole.
8474_281187_000016_000001	While Ali Baba was burying the gold, his wife, to show her exactness and diligence to her sister-in-law, carried the measure back again, but without taking notice that a piece of gold had stuck to the bottom.	While Ali Baba was burying the gold, his wife, to show her exactness and diligence to her sister in law, carried the measure back again, but without taking notice that a piece of gold had stuck to the bottom.
8474_281187_000016_000002	"Sister," said she, giving it to her again, "you see that I have not kept your measure long.	"Sister," said she, giving it to her again, "you see that I have not kept your measure long.
8474_281187_000016_000003	I am obliged to you for it, and return it with thanks."	I am obliged to you for it, and return it with thanks."
8474_281187_000017_000002	"What!" said she, "has Ali Baba gold so plentiful as to measure it?	"What!" said she, "has Ali Baba gold so plentiful as to measure it?
8474_281187_000017_000003	Whence has he all this wealth?"	Whence has he all this wealth?"
