1018_133447_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	4.59	6.52	20.459574
1018_133447_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.65	9.82	20.933468
1018_133447_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	10.01	15.54	23.269417
1018_133447_000001_000000	THE PARADISE MYSTERY ***	THE PARADISE MYSTERY asterisk asterisk asterisk	false	15.54	19.635	18.694267
1018_133447_000002_000000	THE PARADISE MYSTERY	THE PARADISE MYSTERY	true	19.635	21.045	24
1018_133447_000003_000000	By J. S. Fletcher	By j s Fletcher	true	21.045	22.48	24.97677
1018_133447_000004_000000	CHAPTER I. ONLY THE GUARDIAN	CHAPTER one ONLY THE GUARDIAN	true	23.9	26.68	22.031961
1018_133447_000005_000000	American tourists, sure appreciators of all that is ancient and picturesque in England, invariably come to a halt, holding their breath in a sudden catch of wonder, as they pass through the half-ruinous gateway which admits to the Close of Wrychester.	American tourists, sure appreciators of all that is ancient and picturesque in England, invariably come to a halt, holding their breath in a sudden catch of wonder, as they pass through the half ruinous gateway which admits to the Close of Wrychester.	true	27.98	43.42	20
1018_133447_000005_000001	Nowhere else in England is there a fairer prospect of old-world peace.	Nowhere else in England is there a fairer prospect of old world peace.	true	43.88	48.34	21.463211
1018_133447_000005_000002	There before their eyes, set in the centre of a great green sward, fringed by tall elms and giant beeches, rises the vast fabric of the thirteenth-century Cathedral, its high spire piercing the skies in which rooks are for ever circling and calling.	There before their eyes, set in the centre of a great green sward, fringed by tall elms and giant beeches, rises the vast fabric of the thirteenth century Cathedral, its high spire piercing the skies in which rooks are for ever circling and calling.	true	48.41	64.99	20
1018_133447_000005_000003	The time-worn stone, at a little distance delicate as lacework, is transformed at different hours of the day into shifting shades of colour, varying from grey to purple: the massiveness of the great nave and transepts contrasts impressively with the gradual tapering of the spire, rising so high above turret and clerestory that it at last becomes a mere line against the ether.	The time worn stone, at a little distance delicate as lacework, is transformed at different hours of the day into shifting shades of colour, varying from grey to purple: the massiveness of the great nave and transepts contrasts impressively with the gradual tapering of the spire, rising so high above turret and clerestory that it at last becomes a mere line against the ether.	true	65.36	90.58	20.588995
1018_133447_000005_000004	In morning, as in afternoon, or in evening, here is a perpetual atmosphere of rest; and not around the great church alone, but in the quaint and ancient houses which fence in the Close.	In morning, as in afternoon, or in evening, here is a perpetual atmosphere of rest; and not around the great church alone, but in the quaint and ancient houses which fence in the Close.	true	90.83	103	23.642843
1018_133447_000005_000005	Little less old than the mighty mass of stone on which their ivy-framed windows look, these houses make the casual observer feel that here, if anywhere in the world, life must needs run smoothly.	Little less old than the mighty mass of stone on which their ivy framed windows look, these houses make the casual observer feel that here, if anywhere in the world, life must needs run smoothly.	true	103.52	115.93	19.848093
1018_133447_000005_000006	Under those high gables, behind those mullioned windows, in the beautiful old gardens lying between the stone porches and the elm-shadowed lawn, nothing, one would think, could possibly exist but leisured and pleasant existence: even the busy streets of the old city, outside the crumbling gateway, seem, for the moment, far off.	Under those high gables, behind those mullioned windows, in the beautiful old gardens lying between the stone porches and the elm shadowed lawn, nothing, one would think, could possibly exist but leisured and pleasant existence: even the busy streets of the old city, outside the crumbling gateway, seem, for the moment, far off.	false	116.45	136.93	20.244644
1018_133447_000006_000000	In one of the oldest of these houses, half hidden behind trees and shrubs in a corner of the Close, three people sat at breakfast one fine May morning.	In one of the oldest of these houses, half hidden behind trees and shrubs in a corner of the Close, three people sat at breakfast one fine May morning.	false	137.33	146.35	19
1018_133447_000006_000001	The room in which they sat was in keeping with the old house and its surroundings--a long, low-ceilinged room, with oak panelling around its walls, and oak beams across its roof--a room of old furniture, and, old pictures, and old books, its antique atmosphere relieved by great masses of flowers, set here and there in old china bowls: through its wide windows, the casements of which were thrown wide open, there was an inviting prospect of a high-edged flower garden, and, seen in vistas through the trees and shrubberies, of patches of the west front of the Cathedral, now sombre and grey in shadow.	The room in which they sat was in keeping with the old house and its surroundings-a long, low ceilinged room, with oak panelling around its walls, and oak beams across its roof-a room of old furniture, and, old pictures, and old books, its antique atmosphere relieved by great masses of flowers, set here and there in old china bowls: through its wide windows, the casements of which were thrown wide open, there was an inviting prospect of a high edged flower garden, and, seen in vistas through the trees and shrubberies, of patches of the west front of the Cathedral, now sombre and grey in shadow.	false	146.63	186.34	21.009928
1018_133447_000006_000002	But on the garden and into this flower-scented room the sun was shining gaily through the trees, and making gleams of light on the silver and china on the table and on the faces of the three people who sat around it.	But on the garden and into this flower scented room the sun was shining gaily through the trees, and making gleams of light on the silver and china on the table and on the faces of the three people who sat around it.	true	186.74	198.76	17
1018_133447_000007_000000	Of these three, two were young, and the third was one of those men whose age it is never easy to guess--a tall, clean-shaven, bright-eyed, alert-looking man, good-looking in a clever, professional sort of way, a man whom no one could have taken for anything but a member of one of the learned callings.	Of these three, two were young, and the third was one of those men whose age it is never easy to guess-a tall, clean shaven, bright eyed, alert looking man, good looking in a clever, professional sort of way, a man whom no one could have taken for anything but a member of one of the learned callings.	false	200.21	219.34	19.804964
1018_133447_000007_000001	In some lights he looked no more than forty: a strong light betrayed the fact that his dark hair had a streak of grey in it, and was showing a tendency to whiten about the temples.	In some lights he looked no more than forty: a strong light betrayed the fact that his dark hair had a streak of grey in it, and was showing a tendency to whiten about the temples.	true	219.89	230.32	22.025192
1018_133447_000007_000002	A strong, intellectually superior man, this, scrupulously groomed and well-dressed, as befitted what he really was--a medical practitioner with an excellent connection amongst the exclusive society of a cathedral town.	A strong, intellectually superior man, this, scrupulously groomed and well dressed, as befitted what he really was-a medical practitioner with an excellent connection amongst the exclusive society of a cathedral town.	true	230.78	244.54	20
