2388_153728_000000_000000	The Passing of the Constellations	The Passing of the Constellations	false	18.75	24.88	22.111563
2388_153728_000001_000000	From a historical and picturesque point of view, one of the most striking results of the motions of the stars described in the last chapter is their effect upon the forms of the constellations, which have been watched and admired by mankind from a period so early that the date of their invention is now unknown.	From a historical and picturesque point of view, one of the most striking results of the motions of the stars described in the last chapter is their effect upon the forms of the constellations, which have been watched and admired by mankind from a period so early that the date of their invention is now unknown.	false	25.79	42.64	22.984913
2388_153728_000001_000001	The constellations are formed by chance combinations of conspicuous stars, like figures in a kaleidoscope, and if our lives were commensurate with the aeons of cosmic existence we should perceive that the kaleidoscope of the heavens was ceaselessly turning and throwing the stars into new symmetries.	The constellations are formed by chance combinations of conspicuous stars, like figures in a kaleidoscope, and if our lives were commensurate with the aeons of cosmic existence we should perceive that the kaleidoscope of the heavens was ceaselessly turning and throwing the stars into new symmetries.	false	43.4	61.69	23.499582
2388_153728_000001_000002	Even if the stars stood fast, the motion of the solar system would gradually alter the configurations, as the elements of a landscape dissolve and recombine in fresh groupings with the traveler's progress amid them.	Even if the stars stood fast, the motion of the solar system would gradually alter the configurations, as the elements of a landscape dissolve and recombine in fresh groupings with the traveler's progress amid them.	true	62.39	74.95	22.387156
2388_153728_000001_000003	But with the stars themselves all in motion at various speeds and in many directions, the changes occur more rapidly.	But with the stars themselves all in motion at various speeds and in many directions, the changes occur more rapidly.	false	75.71	82.9	22.36661
2388_153728_000001_000004	Of course, ``rapid'' is here understood in a relative sense; the wheel of human history to an eye accustomed to the majestic progression of the universe would appear to revolve with the velocity of a whirling dynamo.	Of course, backquote backquote rapid'' is here understood in a relative sense; the wheel of human history to an eye accustomed to the majestic progression of the universe would appear to revolve with the velocity of a whirling dynamo.	false	83.48	96.43	23.397518
2388_153728_000001_000005	Only the deliberation of geological movements can be contrasted with the evolution and devolution of the constellations.	Only the deliberation of geological movements can be contrasted with the evolution and devolution of the constellations.	false	96.74	105.31	20.102633
2388_153728_000002_000000	And yet this secular fluctuation of the constellation figures is not without keen interest for the meditative observer.	And yet this secular fluctuation of the constellation figures is not without keen interest for the meditative observer.	true	105.56	112.57	21.940817
2388_153728_000002_000001	It is another reminder of the swift mutability of terrestial affairs.	It is another reminder of the swift mutability of terrestial affairs.	true	113	117.19	19.873314
2388_153728_000002_000002	To the passing glance, which is all that we can bestow upon these figures, they appear so immutable that they have been called into service to form the most lasting records of ancient thought and imagination that we possess.	To the passing glance, which is all that we can bestow upon these figures, they appear so immutable that they have been called into service to form the most lasting records of ancient thought and imagination that we possess.	true	118.04	129.76	22.371313
2388_153728_000002_000003	In the forms of the constellations, the most beautiful, and, in imaginative quality, the finest, mythology that the world has ever known has been perpetuated.	In the forms of the constellations, the most beautiful, and, in imaginative quality, the finest, mythology that the world has ever known has been perpetuated.	false	130.49	140.53	22.592627
