7881_105574_000000_000000	CHAPTER II	CHAPTER two	true	0.63	1.56	28.316565
7881_105574_000001_000000	We leave Missouri and go South--The prisoners of Donelson--The taking of New Madrid--"Kindly bury this unfortunate officer"--Quaker guns at Shiloh--The killing of the colonel.	We leave Missouri and go South-The prisoners of Donelson-The taking of New Madrid-"Kindly bury this unfortunate officer"--Quaker guns at Shiloh-The killing of the colonel.	false	1.56	26.28	20.889877
7881_105574_000002_000000	It was a trifling incident, this capture, compared with the dreadful things I have referred to as going on in Missouri that memorable first year of the Civil War.	It was a trifling incident, this capture, compared with the dreadful things I have referred to as going on in Missouri that memorable first year of the Civil War.	true	26.28	35.56	19.281273
7881_105574_000002_000001	A great volume would not contain the record of them all.	A great volume would not contain the record of them all.	true	36.08	38.95	25
7881_105574_000002_000002	The first dead men I saw while in the army were eight Missouri farmers murdered by guerrillas and left lying in the hot sun and dust at the roadside.	The first dead men I saw while in the army were eight Missouri farmers murdered by guerrillas and left lying in the hot sun and dust at the roadside.	true	39.89	49.81	18.456114
7881_105574_000002_000003	The sight moved me as no great battle ever did afterward.	The sight moved me as no great battle ever did afterward.	true	50.42	53.98	20.246826
7881_105574_000003_000000	One half of the male population of Missouri was trying to kill the other half.	One half of the male population of Missouri was trying to kill the other half.	true	55.76	60.49	21.189796
7881_105574_000003_000001	They were not opponents from different far-off sections fighting, but near neighbors, and nothing seemed too awful or too cruel for them to do.	They were not opponents from different far off sections fighting, but near neighbors, and nothing seemed too awful or too cruel for them to do.	true	61.16	70.09	21.143633
7881_105574_000003_000002	How I pitied the women and children who lived in the State in those awful days!	How I pitied the women and children who lived in the State in those awful days!	true	70.82	75.4	15
7881_105574_000004_000000	General Sherman's designation of war as "hell" found more confirmation in the dreadful raids, outrages, and murders by Quantrell's guerrillas in Missouri than in the bloodiest battles of the four years' conflict.	General Sherman's designation of war as "hell" found more confirmation in the dreadful raids, outrages, and murders by Quantrell's guerrillas in Missouri than in the bloodiest battles of the four years' conflict.	true	76.34	89.29	18.792221
7881_105574_000005_000000	Now for months my regiment, with others, had chased up and down, and all over that unhappy old State of Missouri, trying to capture and punish these bands of murderers.	Now for months my regiment, with others, had chased up and down, and all over that unhappy old State of Missouri, trying to capture and punish these bands of murderers.	true	90.32	101.14	20.694021
7881_105574_000005_000001	On the old steamboat _War Eagle_, too, we paddled for weeks along the "Muddy Missouri" River, landing every here and there to have a little brush with guerrillas who had fired on our boat from the banks or from secret recesses in the woods.	On the old steamboat underscore War Eagle underscore, too, we paddled for weeks along the "Muddy Missouri" River, landing every here and there to have a little brush with guerrillas who had fired on our boat from the banks or from secret recesses in the woods.	false	101.54	115.15	21.116938
7881_105574_000005_000002	It was rare that we could catch them or have a real fight.	It was rare that we could catch them or have a real fight.	true	115.58	118.78	20.958126
7881_105574_000005_000003	Their kind of war meant ambuscades and murder.	Their kind of war meant ambuscades and murder.	true	119.18	122.71	22.337797
7881_105574_000006_000000	At last an end came to this dreadful guerrilla-chasing business in Missouri so far as we were concerned, anyway.	At last an end came to this dreadful guerrilla chasing business in Missouri so far as we were concerned, anyway.	true	123.44	130.18	25.05454
7881_105574_000006_000001	We were to stop running after Price's ubiquitous army too.	We were to stop running after Price's ubiquitous army too.	true	131.03	134.35	25
7881_105574_000006_000002	We were no longer to be the victims of ambuscades and night riding murderers.	We were no longer to be the victims of ambuscades and night riding murderers.	true	135.11	139.18	18
7881_105574_000007_000000	The glad news came to my regiment that we were to be transferred to the South, where the real war was.	The glad news came to my regiment that we were to be transferred to the South, where the real war was.	true	140.12	145.6	21
7881_105574_000008_000000	One morning we left the cold and snow, where we had lived and shivered in thin tents all the winter, left the thankless duty of patrolling railroads in the storm at midnight, and marched in the direction of St. Louis.	One morning we left the cold and snow, where we had lived and shivered in thin tents all the winter, left the thankless duty of patrolling railroads in the storm at midnight, and marched in the direction of saint Louis.	true	146	158.86	22.206617
7881_105574_000008_000001	A long, cold, miserable march it was too, hurrying in the daytime and freezing in our bivouacs in the snow and woods at night.	A long, cold, miserable march it was too, hurrying in the daytime and freezing in our bivouacs in the snow and woods at night.	true	159.47	168.1	22.103905
7881_105574_000008_000002	Many a man we left to sicken and die at some farmhouse by the roadside.	Many a man we left to sicken and die at some farmhouse by the roadside.	true	168.59	173.2	21.29807
7881_105574_000008_000003	Our destination was New Madrid, where we were to be a part of Pope's army in the siege and capture of that town.	Our destination was New Madrid, where we were to be a part of Pope's army in the siege and capture of that town.	true	174.41	181.33	21.837639
7881_105574_000009_000000	As we were about to embark on boats at St. Louis we beheld in the snow and storm many steamers anchored out in the pitiless waters of the Mississippi River.	As we were about to embark on boats at saint Louis we beheld in the snow and storm many steamers anchored out in the pitiless waters of the Mississippi River.	true	181.97	191.32	22
7881_105574_000009_000001	These vessels were loaded with shivering thousands in gray and brown uniforms, the prisoners whom General Grant had captured at the battle of Fort Donelson.	These vessels were loaded with shivering thousands in gray and brown uniforms, the prisoners whom General Grant had captured at the battle of Fort Donelson.	true	191.99	201.34	19.956366
7881_105574_000009_000002	There were twelve or fifteen thousand of them.	There were twelve or fifteen thousand of them.	true	201.83	204.58	19.654194
7881_105574_000009_000003	Seeing this host of prisoners made us feel that at last the Union army had a general, although we had scarcely heard of U. S. Grant before.	Seeing this host of prisoners made us feel that at last the Union army had a general, although we had scarcely heard of u s Grant before.	true	205.25	212.86	19.399254
7881_105574_000009_000004	This army of prisoners taken in battle was his introduction to the world.	This army of prisoners taken in battle was his introduction to the world.	true	213.5	218.65	23.030523
7881_105574_000010_000000	Shortly we were before New Madrid, and the siege conducted by General Pope commenced.	Shortly we were before New Madrid, and the siege conducted by General Pope commenced.	true	219.53	225.28	22.347427
7881_105574_000010_000001	The town was defended by strong forts and many cannon, but its speedy capture by us helped to open up the Mississippi River.	The town was defended by strong forts and many cannon, but its speedy capture by us helped to open up the Mississippi River.	true	226.19	233.95	24.436554
7881_105574_000010_000002	It was a new experience to us, to have cannonballs come rolling right into our camp occasionally.	It was a new experience to us, to have cannonballs come rolling right into our camp occasionally.	true	235.01	240.22	20
7881_105574_000010_000003	Yet few men were injured by them.	Yet few men were injured by them.	true	240.26	242.23	20.34038
7881_105574_000010_000004	We were in more danger when a fool officer one day took our brigade of infantry down through a cornfield to assault a gunboat that lay in a creek close by.	We were in more danger when a fool officer one day took our brigade of infantry down through a cornfield to assault a gunboat that lay in a creek close by.	true	242.81	252.07	21.631878
7881_105574_000011_000000	The Rebel commander had expected us, and had his grape shot and his hot water hose, and such things all ready for us.	The Rebel commander had expected us, and had his grape shot and his hot water hose, and such things all ready for us.	true	253.73	260.59	22.366688
7881_105574_000011_000001	We went out of that cornfield faster than we went in.	We went out of that cornfield faster than we went in.	true	261.29	264.52	20.277853
7881_105574_000011_000002	This was real war, the thing my regiment had been so longing for, in place of chasing murderers and guerrillas in Missouri.	This was real war, the thing my regiment had been so longing for, in place of chasing murderers and guerrillas in Missouri.	true	265.4	273.1	18.099266
7881_105574_000012_000000	We entered New Madrid one morning before daylight.	We entered New Madrid one morning before daylight.	true	273.95	276.91	17.58465
7881_105574_000012_000001	The enemy had left in awful haste.	The enemy had left in awful haste.	true	277.34	279.85	19.407944
7881_105574_000012_000002	I recall finding a dead Rebel officer, lying on a table in his tent, in full uniform.	I recall finding a dead Rebel officer, lying on a table in his tent, in full uniform.	true	280.73	286.39	24.079193
7881_105574_000012_000003	He had been killed by one of our shells.	He had been killed by one of our shells.	true	286.7	288.88	17.883045
