7881_105574_000000_000000	CHAPTER II	CHAPTER two
7881_105574_000002_000001	A great volume would not contain the record of them all.	A great volume would not contain the record of them all.
7881_105574_000002_000003	The sight moved me as no great battle ever did afterward.	The sight moved me as no great battle ever did afterward.
7881_105574_000003_000000	One half of the male population of Missouri was trying to kill the other half.	One half of the male population of Missouri was trying to kill the other half.
7881_105574_000003_000001	They were not opponents from different far-off sections fighting, but near neighbors, and nothing seemed too awful or too cruel for them to do.	They were not opponents from different far off sections fighting, but near neighbors, and nothing seemed too awful or too cruel for them to do.
7881_105574_000005_000000	Now for months my regiment, with others, had chased up and down, and all over that unhappy old State of Missouri, trying to capture and punish these bands of murderers.	Now for months my regiment, with others, had chased up and down, and all over that unhappy old State of Missouri, trying to capture and punish these bands of murderers.
7881_105574_000005_000002	It was rare that we could catch them or have a real fight.	It was rare that we could catch them or have a real fight.
7881_105574_000005_000003	Their kind of war meant ambuscades and murder.	Their kind of war meant ambuscades and murder.
7881_105574_000006_000000	At last an end came to this dreadful guerrilla-chasing business in Missouri so far as we were concerned, anyway.	At last an end came to this dreadful guerrilla chasing business in Missouri so far as we were concerned, anyway.
7881_105574_000006_000001	We were to stop running after Price's ubiquitous army too.	We were to stop running after Price's ubiquitous army too.
7881_105574_000007_000000	The glad news came to my regiment that we were to be transferred to the South, where the real war was.	The glad news came to my regiment that we were to be transferred to the South, where the real war was.
7881_105574_000008_000000	One morning we left the cold and snow, where we had lived and shivered in thin tents all the winter, left the thankless duty of patrolling railroads in the storm at midnight, and marched in the direction of St. Louis.	One morning we left the cold and snow, where we had lived and shivered in thin tents all the winter, left the thankless duty of patrolling railroads in the storm at midnight, and marched in the direction of saint Louis.
7881_105574_000008_000001	A long, cold, miserable march it was too, hurrying in the daytime and freezing in our bivouacs in the snow and woods at night.	A long, cold, miserable march it was too, hurrying in the daytime and freezing in our bivouacs in the snow and woods at night.
7881_105574_000008_000002	Many a man we left to sicken and die at some farmhouse by the roadside.	Many a man we left to sicken and die at some farmhouse by the roadside.
7881_105574_000008_000003	Our destination was New Madrid, where we were to be a part of Pope's army in the siege and capture of that town.	Our destination was New Madrid, where we were to be a part of Pope's army in the siege and capture of that town.
7881_105574_000009_000000	As we were about to embark on boats at St. Louis we beheld in the snow and storm many steamers anchored out in the pitiless waters of the Mississippi River.	As we were about to embark on boats at saint Louis we beheld in the snow and storm many steamers anchored out in the pitiless waters of the Mississippi River.
7881_105574_000009_000004	This army of prisoners taken in battle was his introduction to the world.	This army of prisoners taken in battle was his introduction to the world.
7881_105574_000010_000000	Shortly we were before New Madrid, and the siege conducted by General Pope commenced.	Shortly we were before New Madrid, and the siege conducted by General Pope commenced.
7881_105574_000010_000001	The town was defended by strong forts and many cannon, but its speedy capture by us helped to open up the Mississippi River.	The town was defended by strong forts and many cannon, but its speedy capture by us helped to open up the Mississippi River.
7881_105574_000010_000002	It was a new experience to us, to have cannonballs come rolling right into our camp occasionally.	It was a new experience to us, to have cannonballs come rolling right into our camp occasionally.
7881_105574_000010_000003	Yet few men were injured by them.	Yet few men were injured by them.
7881_105574_000010_000004	We were in more danger when a fool officer one day took our brigade of infantry down through a cornfield to assault a gunboat that lay in a creek close by.	We were in more danger when a fool officer one day took our brigade of infantry down through a cornfield to assault a gunboat that lay in a creek close by.
7881_105574_000011_000000	The Rebel commander had expected us, and had his grape shot and his hot water hose, and such things all ready for us.	The Rebel commander had expected us, and had his grape shot and his hot water hose, and such things all ready for us.
7881_105574_000011_000001	We went out of that cornfield faster than we went in.	We went out of that cornfield faster than we went in.
7881_105574_000012_000002	I recall finding a dead Rebel officer, lying on a table in his tent, in full uniform.	I recall finding a dead Rebel officer, lying on a table in his tent, in full uniform.
7881_105574_000012_000004	A candle burned beside him, and his cold hands closed on a pencil note that said, "Kindly bury this unfortunate officer." His breakfast waited on a table in the tent, showing how unexpected was his taking off.	A candle burned beside him, and his cold hands closed on a pencil note that said, "Kindly bury this unfortunate officer." His breakfast waited on a table in the tent, showing how unexpected was his taking off.
