3972_170212_000004_000000	CHAPTER XI	CHAPTER eleven
3972_170212_000006_000000	At the side farthest from the town, close under a bluff, there was an extensive marah, or sheepcot, ages old.	At the side farthest from the town, close under a bluff, there was an extensive marah, or sheepcot, ages old.
3972_170212_000006_000001	In some long-forgotten foray, the building had been unroofed and almost demolished. The enclosure attached to it remained intact, however, and that was of more importance to the shepherds who drove their charges thither than the house itself.	In some long forgotten foray, the building had been unroofed and almost demolished. The enclosure attached to it remained intact, however, and that was of more importance to the shepherds who drove their charges thither than the house itself.
3972_170212_000006_000003	On the inner side of the wall, and as an additional security against the constant danger, a hedge of the rhamnus had been planted, an invention so successful that now a sparrow could hardly penetrate the overtopping branches, armed as they were with great clusters of thorns hard as spikes.	On the inner side of the wall, and as an additional security against the constant danger, a hedge of the rhamnus had been planted, an invention so successful that now a sparrow could hardly penetrate the overtopping branches, armed as they were with great clusters of thorns hard as spikes.
3972_170212_000007_000000	The day of the occurrences which occupy the preceding chapters, a number of shepherds, seeking fresh walks for their flocks, led them up to this plain; and from early morning the groves had been made ring with calls, and the blows of axes, the bleating of sheep and goats, the tinkling of bells, the lowing of cattle, and the barking of dogs.	The day of the occurrences which occupy the preceding chapters, a number of shepherds, seeking fresh walks for their flocks, led them up to this plain; and from early morning the groves had been made ring with calls, and the blows of axes, the bleating of sheep and goats, the tinkling of bells, the lowing of cattle, and the barking of dogs.
3972_170212_000009_000000	Such were the shepherds of Judea!	Such were the shepherds of Judea!
3972_170212_000009_000001	In appearance, rough and savage as the gaunt dogs sitting with them around the blaze; in fact, simple-minded, tender-hearted; effects due, in part, to the primitive life they led, but chiefly to their constant care of things lovable and helpless.	In appearance, rough and savage as the gaunt dogs sitting with them around the blaze; in fact, simple minded, tender hearted; effects due, in part, to the primitive life they led, but chiefly to their constant care of things lovable and helpless.
3972_170212_000010_000000	They rested and talked, and their talk was all about their flocks, a dull theme to the world, yet a theme which was all the world to them.	They rested and talked, and their talk was all about their flocks, a dull theme to the world, yet a theme which was all the world to them.
3972_170212_000012_000001	On Sabbaths they were accustomed to purify themselves, and go up into the synagogues, and sit on the benches farthest from the ark.	On Sabbaths they were accustomed to purify themselves, and go up into the synagogues, and sit on the benches farthest from the ark.
3972_170212_000013_000000	While they talked, and before the first watch was over, one by one the shepherds went to sleep, each lying where he had sat.	While they talked, and before the first watch was over, one by one the shepherds went to sleep, each lying where he had sat
3972_170212_000015_000000	By the gate, hugging his mantle close, the watchman walked; at times he stopped, attracted by a stir among the sleeping herds, or by a jackal's cry off on the mountain-side.	By the gate, hugging his mantle close, the watchman walked; at times he stopped, attracted by a stir among the sleeping herds, or by a jackal's cry off on the mountain side.
3972_170212_000015_000001	The midnight was slow coming to him; but at last it came.	The midnight was slow coming to him; but at last it came.
3972_170212_000015_000002	His task was done; now for the dreamless sleep with which labor blesses its wearied children!	His task was done; now for the dreamless sleep with which labor blesses its wearied children!
3972_170212_000015_000003	He moved towards the fire, but paused; a light was breaking around him, soft and white, like the moon's.	He moved towards the fire, but paused; a light was breaking around him, soft and white, like the moon's.
3972_170212_000015_000004	He waited breathlessly. The light deepened; things before invisible came to view; he saw the whole field, and all it sheltered.	He waited breathlessly. The light deepened; things before invisible came to view; he saw the whole field, and all it sheltered.
3972_170212_000015_000005	A chill sharper than that of the frosty air--a chill of fear--smote him.	A chill sharper than that of the frosty air-a chill of fear-smote him.
3972_170212_000015_000006	He looked up; the stars were gone; the light was dropping as from a window in the sky; as he looked, it became a splendor; then, in terror, he cried,	He looked up; the stars were gone; the light was dropping as from a window in the sky; as he looked, it became a splendor; then, in terror, he cried,
3972_170212_000016_000000	"Awake, awake!"	"Awake, awake!"
3972_170212_000019_000000	The men clambered to their feet, weapons in hand.	The men clambered to their feet, weapons in hand.
3972_170212_000020_000000	"What is it?" they asked, in one voice.	"What is it?" they asked, in one voice.
3972_170212_000021_000000	"See!" cried the watchman, "the sky is on fire!"	"See!" cried the watchman, "the sky is on fire!"
3972_170212_000023_000000	"Fear not!"	"Fear not!"
3972_170212_000025_000000	"Fear not: for behold, I bring you good tidings of great joy, which shall be to all people."	"Fear not: for behold, I bring you good tidings of great joy, which shall be to all people."
3972_170212_000028_000000	Directly the angel continued:	Directly the angel continued:
3972_170212_000029_000000	"For unto you is born this day, in the city of David, a Savior, which is Christ the Lord!"	"For unto you is born this day, in the city of David, a Savior, which is Christ the Lord!"
