3972_170212_000000_000000	A bystander dispelled the comfort.	A bystander dispelled the comfort.	false	0	0.42	-20
3972_170212_000001_000000	"No, no! Though all the wood in all the valleys of Judah was brought together in one pile and fired, the blaze would not throw a light so strong and high."	"No, no! Though all the wood in all the valleys of Judah was brought together in one pile and fired, the blaze would not throw a light so strong and high."	false	0.42	6.84	22.604076
3972_170212_000002_000000	After that there was silence on the house-top, broken but once again while the mystery continued.	After that there was silence on the house top, broken but once again while the mystery continued.	false	6.84	11.88	22
3972_170212_000003_000000	"Brethren!" exclaimed a Jew of venerable mien, "what we see is the ladder our father Jacob saw in his dream.	"Brethren!" exclaimed a Jew of venerable mien, "what we see is the ladder our father Jacob saw in his dream.	false	11.88	18.18	21.395578
3972_170212_000003_000001	Blessed be the Lord God of our fathers!"	Blessed be the Lord God of our fathers!"	false	18.18	21.765	20.693527
3972_170212_000004_000000	CHAPTER XI	CHAPTER eleven	true	21.765	23.05	22.856882
3972_170212_000005_000000	A mile and a half, it may be two miles, southeast of Bethlehem, there is a plain separated from the town by an intervening swell of the mountain.	A mile and a half, it may be two miles, southeast of Bethlehem, there is a plain separated from the town by an intervening swell of the mountain.	false	23.57	32.65	18
3972_170212_000005_000001	Besides being well sheltered from the north winds, the vale was covered with a growth of sycamore, dwarf-oak, and pine trees, while in the glens and ravines adjoining there were thickets of olive and mulberry; all at this season of the year invaluable for the support of sheep, goats, and cattle, of which the wandering flocks consisted.	Besides being well sheltered from the north winds, the vale was covered with a growth of sycamore, dwarf oak, and pine trees, while in the glens and ravines adjoining there were thickets of olive and mulberry; all at this season of the year invaluable for the support of sheep, goats, and cattle, of which the wandering flocks consisted.	false	32.87	52.69	20
3972_170212_000006_000000	At the side farthest from the town, close under a bluff, there was an extensive marah, or sheepcot, ages old.	At the side farthest from the town, close under a bluff, there was an extensive marah, or sheepcot, ages old.	true	52.82	59.82	23.417402
3972_170212_000006_000001	In some long-forgotten foray, the building had been unroofed and almost demolished. The enclosure attached to it remained intact, however, and that was of more importance to the shepherds who drove their charges thither than the house itself.	In some long forgotten foray, the building had been unroofed and almost demolished. The enclosure attached to it remained intact, however, and that was of more importance to the shepherds who drove their charges thither than the house itself.	true	59.82	74.32	20
3972_170212_000006_000002	The stone wall around the lot was high as a man's head, yet not so high but that sometimes a panther or a lion, hungering from the wilderness, leaped boldly in.	The stone wall around the lot was high as a man's head, yet not so high but that sometimes a panther or a lion, hungering from the wilderness, leaped boldly in.	true	74.51	84.19	18.423477
