8575_290349_000002_000000	1.	one.
8575_290349_000005_000001	Duration, time, and eternity, are, not without reason, thought to have something very abstruse in their nature.	Duration, time, and eternity, are, not without reason, thought to have something very abstruse in their nature.
8575_290349_000006_000000	3.	three.
8575_290349_000006_000001	Nature and origin of the idea of Duration.	Nature and origin of the idea of Duration.
8575_290349_000007_000000	To understand TIME and ETERNITY aright, we ought with attention to consider what idea it is we have of DURATION, and how we came by it.	To understand TIME and ETERNITY aright, we ought with attention to consider what idea it is we have of DURATION, and how we came by it.
8575_290349_000010_000000	5.	five.
8575_290349_000010_000001	The Idea of Duration applicable to Things whilst we sleep.	The Idea of Duration applicable to Things whilst we sleep.
8575_290349_000011_000002	But if Adam and Eve, (when they were alone in the world,) instead of their ordinary night's sleep, had passed the whole twenty-four hours in one continued sleep, the duration of that twenty-four hours had been irrecoverably lost to them, and been for ever left out of their account of time.	But if Adam and Eve, (when they were alone in the world,) instead of their ordinary night's sleep, had passed the whole twenty four hours in one continued sleep, the duration of that twenty four hours had been irrecoverably lost to them, and been for ever left out of their account of time.
8575_290349_000012_000000	6.	six.
8575_290349_000014_000000	7.	seven.
8575_290349_000014_000001	Very slow motions unperceived.	Very slow motions unperceived.
8575_290349_000016_000000	8.	eight.
8575_290349_000016_000001	Very swift motions unperceived.	Very swift motions unperceived.
8575_290349_000018_000000	9.	nine.
8575_290349_000019_000000	Hence I leave it to others to judge, whether it be not probable that our ideas do, whilst we are awake, succeed one another in our minds at certain distances; not much unlike the images in the inside of a lantern, turned round by the heat of a candle.	Hence I leave it to others to judge, whether it be not probable that our ideas do, whilst we are awake, succeed one another in our minds at certain distances; not much unlike the images in the inside of a lantern, turned round by the heat of a candle.
8575_290349_000020_000000	10.	ten.
8575_290349_000020_000001	Real succession in swift motions without sense of succession.	Real succession in swift motions without sense of succession.
8575_290349_000022_000000	11.	eleven.
8575_290349_000022_000001	In slow motions.	In slow motions.
8575_290349_000024_000000	12.	twelve.
8575_290349_000026_000000	13.	thirteen.
8575_290349_000028_000000	14.	fourteen.
8575_290349_000028_000001	Proof.	Proof.
8575_290349_000030_000000	15.	fifteen.
8575_290349_000034_000000	17.	seventeen.
8575_290349_000035_000001	This consideration of duration, as set out by certain periods and marked by certain measures or epochs, is that, I think, which most properly we call TIME.	This consideration of duration, as set out by certain periods and marked by certain measures or epochs, is that, I think, which most properly we call TIME.
8575_290349_000036_000000	18.	eighteen.
8575_290349_000037_000004	'Before all time,' and 'When time shall be no more.'	'Before all time,' and 'When time shall be no more.'
8575_290349_000038_000000	19.	nineteen.
8575_290349_000038_000001	The Revolutions of the Sun and Moon, the properest Measures of Time for mankind.	The Revolutions of the Sun and Moon, the properest Measures of Time for mankind.
