8575_290349_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	false	22.29	25.98	26.016523
8575_290349_000001_000000	IDEA OF DURATION AND ITS SIMPLE MODES.	IDEA OF DURATION AND ITS SIMPLE MODES.	true	25.98	28.48	17
8575_290349_000002_000000	1.	one.	true	28.94	29.67	22.737284
8575_290349_000002_000001	Duration is fleeting Extension.	Duration is fleeting Extension.	true	29.67	31.9	18.792824
8575_290349_000003_000000	There is another sort of distance, or length, the idea whereof we get not from the permanent parts of space, but from the fleeting and perpetually perishing parts of succession.	There is another sort of distance, or length, the idea whereof we get not from the permanent parts of space, but from the fleeting and perpetually perishing parts of succession.	true	32.06	41.775	19
8575_290349_000003_000001	This we call DURATION; the simple modes whereof are any different lengths of it whereof we have distinct ideas, as HOURS, DAYS, YEARS, &c., TIME and ETERNITY.	This we call DURATION; the simple modes whereof are any different lengths of it whereof we have distinct ideas, as HOURS, DAYS, YEARS, and c., TIME and ETERNITY.	false	41.775	52.14	20
8575_290349_000004_000000	2.	two.	false	52.14	53.76	19.08835
8575_290349_000004_000001	Its Idea from Reflection on the Train of our Ideas.	Its Idea from Reflection on the Train of our Ideas.	true	53.76	57.01	17
8575_290349_000005_000000	The answer of a great man, to one who asked what time was: Si non rogas intelligo, (which amounts to this; The more I set myself to think of it, the less I understand it,) might perhaps persuade one that time, which reveals all other things, is itself not to be discovered.	The answer of a great man, to one who asked what time was: Si non rogas intelligo, (which amounts to this; The more I set myself to think of it, the less I understand it,) might perhaps persuade one that time, which reveals all other things, is itself not to be discovered.	false	57.2	74.76	21.972982
8575_290349_000005_000001	Duration, time, and eternity, are, not without reason, thought to have something very abstruse in their nature.	Duration, time, and eternity, are, not without reason, thought to have something very abstruse in their nature.	true	74.76	81.31	21.600414
8575_290349_000005_000002	But however remote these may seem from our comprehension, yet if we trace them right to their originals, I doubt not but one of those sources of all our knowledge, viz.	But however remote these may seem from our comprehension, yet if we trace them right to their originals, I doubt not but one of those sources of all our knowledge, viz.	false	81.35	91.02	19.304579
8575_290349_000005_000003	sensation and reflection, will be able to furnish us with these ideas, as clear and distinct as many others which are thought much less obscure; and we shall find that the idea of eternity itself is derived from the same common original with the rest of our ideas.	sensation and reflection, will be able to furnish us with these ideas, as clear and distinct as many others which are thought much less obscure; and we shall find that the idea of eternity itself is derived from the same common original with the rest of our ideas.	true	91.02	106.03	16
8575_290349_000006_000000	3.	three.	true	106.43	107.26	20.39526
8575_290349_000006_000001	Nature and origin of the idea of Duration.	Nature and origin of the idea of Duration.	true	107.42	110.59	21.133667
8575_290349_000007_000000	To understand TIME and ETERNITY aright, we ought with attention to consider what idea it is we have of DURATION, and how we came by it.	To understand TIME and ETERNITY aright, we ought with attention to consider what idea it is we have of DURATION, and how we came by it.	true	111.05	119.73	21.384247
8575_290349_000007_000001	It is evident to any one who will but observe what passes in his own mind, that there is a train of ideas which constantly succeed one another in his understanding, as long as he is awake.	It is evident to any one who will but observe what passes in his own mind, that there is a train of ideas which constantly succeed one another in his understanding, as long as he is awake.	false	119.73	130.06	18
8575_290349_000007_000002	Reflection on these appearances of several ideas one after another in our minds, is that which furnishes us with the idea of SUCCESSION: and the distance between any parts of that succession, or between the appearance of any two ideas in our minds, is that we call DURATION.	Reflection on these appearances of several ideas one after another in our minds, is that which furnishes us with the idea of SUCCESSION: and the distance between any parts of that succession, or between the appearance of any two ideas in our minds, is that we call DURATION.	true	130.55	145.66	17
8575_290349_000007_000003	For whilst we are thinking, or whilst we receive successively several ideas in our minds, we know that we do exist; and so we call the existence, or the continuation of the existence of ourselves, or anything else, commensurate to the succession of any ideas in our minds, the duration of ourselves, or any such other thing co-existent with our thinking.	For whilst we are thinking, or whilst we receive successively several ideas in our minds, we know that we do exist; and so we call the existence, or the continuation of the existence of ourselves, or anything else, commensurate to the succession of any ideas in our minds, the duration of ourselves, or any such other thing co existent with our thinking.	true	145.82	165.51	16
8575_290349_000008_000000	4.	four.	false	165.51	167.22	22.328922
8575_290349_000008_000001	Proof that its idea is got from reflection on the train of our ideas.	Proof that its idea is got from reflection on the train of our ideas.	true	167.22	171.19	17
8575_290349_000009_000000	That we have our notion of succession and duration from this original, viz. from reflection on the train of ideas, which we find to appear one after another in our own minds, seems plain to me, in that we have no perception of duration but by considering the train of ideas that take their turns in our understandings.	That we have our notion of succession and duration from this original, viz. from reflection on the train of ideas, which we find to appear one after another in our own minds, seems plain to me, in that we have no perception of duration but by considering the train of ideas that take their turns in our understandings.	true	172.01	189.43	18
8575_290349_000009_000001	When that succession of ideas ceases, our perception of duration ceases with it; which every one clearly experiments in himself, whilst he sleeps soundly, whether an hour or a day, a month or a year; of which duration of things, while he sleeps or thinks not, he has no perception at all, but it is quite lost to him; and the moment wherein he leaves off to think, till the moment he begins to think again, seems to him to have no distance.	When that succession of ideas ceases, our perception of duration ceases with it; which every one clearly experiments in himself, whilst he sleeps soundly, whether an hour or a day, a month or a year; of which duration of things, while he sleeps or thinks not, he has no perception at all, but it is quite lost to him; and the moment wherein he leaves off to think, till the moment he begins to think again, seems to him to have no distance.	false	189.86	215.71	21
8575_290349_000009_000002	And so I doubt not it would be to a waking man, if it were possible for him to keep ONLY ONE idea in his mind, without variation and the succession of others.	And so I doubt not it would be to a waking man, if it were possible for him to keep ONLY ONE idea in his mind, without variation and the succession of others.	true	215.81	225.22	19
8575_290349_000009_000003	And we see, that one who fixes his thoughts very intently on one thing, so as to take but little notice of the succession of ideas that pass in his mind whilst he is taken up with that earnest contemplation, lets slip out of his account a good part of that duration, and thinks that time shorter than it is.	And we see, that one who fixes his thoughts very intently on one thing, so as to take but little notice of the succession of ideas that pass in his mind whilst he is taken up with that earnest contemplation, lets slip out of his account a good part of that duration, and thinks that time shorter than it is.	false	225.35	242.5	21
8575_290349_000009_000004	But if sleep commonly unites the distant parts of duration, it is because during that time we have no succession of ideas in our minds.	But if sleep commonly unites the distant parts of duration, it is because during that time we have no succession of ideas in our minds.	true	242.72	250.3	16
8575_290349_000009_000005	For if a man, during his sleep, dreams, and variety of ideas make themselves perceptible in his mind one after another, he hath then, during such dreaming, a sense of duration, and of the length of it.	For if a man, during his sleep, dreams, and variety of ideas make themselves perceptible in his mind one after another, he hath then, during such dreaming, a sense of duration, and of the length of it.	false	250.4	261.82	19.865475
8575_290349_000009_000006	By which it is to me very clear, that men derive their ideas of duration from their reflections on the train of the ideas they observe to succeed one another in their own understandings; without which observation they can have no notion of duration, whatever may happen in the world.	By which it is to me very clear, that men derive their ideas of duration from their reflections on the train of the ideas they observe to succeed one another in their own understandings; without which observation they can have no notion of duration, whatever may happen in the world.	false	261.98	277.69	19.898651
8575_290349_000010_000000	5.	five.	true	278.51	279.285	23.188208
8575_290349_000010_000001	The Idea of Duration applicable to Things whilst we sleep.	The Idea of Duration applicable to Things whilst we sleep.	true	279.285	282.85	20.968624
8575_290349_000011_000000	Indeed a man having, from reflecting on the succession and number of his own thoughts, got the notion or idea of duration, he can apply that notion to things which exist while he does not think; as he that has got the idea of extension from bodies by his sight or touch, can apply it to distances, where no body is seen or felt.	Indeed a man having, from reflecting on the succession and number of his own thoughts, got the notion or idea of duration, he can apply that notion to things which exist while he does not think; as he that has got the idea of extension from bodies by his sight or touch, can apply it to distances, where no body is seen or felt.	true	283.22	301.84	19
8575_290349_000011_000001	And therefore, though a man has no perception of the length of duration which passed whilst he slept or thought not; yet, having observed the revolution of days and nights, and found the length of their duration to be in appearance regular and constant, he can, upon the supposition that that revolution has proceeded after the same manner whilst he was asleep or thought not, as it used to do at other times, he can, I say, imagine and make allowance for the length of duration whilst he slept.	And therefore, though a man has no perception of the length of duration which passed whilst he slept or thought not; yet, having observed the revolution of days and nights, and found the length of their duration to be in appearance regular and constant, he can, upon the supposition that that revolution has proceeded after the same manner whilst he was asleep or thought not, as it used to do at other times, he can, I say, imagine and make allowance for the length of duration whilst he slept.	true	301.88	326.92	18
8575_290349_000011_000002	But if Adam and Eve, (when they were alone in the world,) instead of their ordinary night's sleep, had passed the whole twenty-four hours in one continued sleep, the duration of that twenty-four hours had been irrecoverably lost to them, and been for ever left out of their account of time.	But if Adam and Eve, (when they were alone in the world,) instead of their ordinary night's sleep, had passed the whole twenty four hours in one continued sleep, the duration of that twenty four hours had been irrecoverably lost to them, and been for ever left out of their account of time.	true	327.17	341.05	21
8575_290349_000012_000000	6.	six.	true	341.9	342.69	27.134897
8575_290349_000012_000001	The Idea of Succession not from Motion.	The Idea of Succession not from Motion.	true	342.69	345.43	19
8575_290349_000013_000000	Thus by reflecting on the appearing of various ideas one after another in our understandings, we get the notion of succession; which, if any one should think we did rather get from our observation of motion by our senses, he will perhaps be of my mind when he considers, that even motion produces in his mind an idea of succession no otherwise than as it produces there a continued train of distinguishable ideas.	Thus by reflecting on the appearing of various ideas one after another in our understandings, we get the notion of succession; which, if any one should think we did rather get from our observation of motion by our senses, he will perhaps be of my mind when he considers, that even motion produces in his mind an idea of succession no otherwise than as it produces there a continued train of distinguishable ideas.	true	345.56	368.98	16
8575_290349_000013_000001	For a man looking upon a body really moving, perceives yet no motion at all unless that motion produces a constant train of successive ideas: v.g. a man becalmed at sea, out of sight of land, in a fair day, may look on the sun, or sea, or ship, a whole hour together, and perceive no motion at all in either; though it be certain that two, and perhaps all of them, have moved during that time a great way.	For a man looking upon a body really moving, perceives yet no motion at all unless that motion produces a constant train of successive ideas: v.g. a man becalmed at sea, out of sight of land, in a fair day, may look on the sun, or sea, or ship, a whole hour together, and perceive no motion at all in either; though it be certain that two, and perhaps all of them, have moved during that time a great way.	false	369.05	392.29	20
8575_290349_000013_000002	But as soon as he perceives either of them to have changed distance with some other body, as soon as this motion produces any new idea in him, then he perceives that there has been motion.	But as soon as he perceives either of them to have changed distance with some other body, as soon as this motion produces any new idea in him, then he perceives that there has been motion.	true	392.36	401.41	19
8575_290349_000013_000003	But wherever a man is, with all things at rest about him, without perceiving any motion at all,--if during this hour of quiet he has been thinking, he will perceive the various ideas of his own thoughts in his own mind, appearing one after another, and thereby observe and find succession where he could observe no motion.	But wherever a man is, with all things at rest about him, without perceiving any motion at all,--if during this hour of quiet he has been thinking, he will perceive the various ideas of his own thoughts in his own mind, appearing one after another, and thereby observe and find succession where he could observe no motion.	true	401.75	417.55	17
8575_290349_000014_000000	7.	seven.	true	417.68	418.48	23.782572
8575_290349_000014_000001	Very slow motions unperceived.	Very slow motions unperceived.	true	418.52	421.09	21.29089
8575_290349_000015_000000	And this, I think, is the reason why motions very slow, though they are constant, are not perceived by us; because in their remove from one sensible part towards another, their change of distance is so slow, that it causes no new ideas in us, but a good while one after another.	And this, I think, is the reason why motions very slow, though they are constant, are not perceived by us; because in their remove from one sensible part towards another, their change of distance is so slow, that it causes no new ideas in us, but a good while one after another.	true	421.1	435.52	18
