1365_134830_000000_000000	Fantine's hand was hanging over the side of the bed.	Fantine's hand was hanging over the side of the bed.	false	2.76	6.21	19.058376
1365_134830_000000_000001	Jean Valjean knelt down before that hand, lifted it gently, and kissed it.	Jean Valjean knelt down before that hand, lifted it gently, and kissed it.	false	6.21	10.86	20.164913
1365_134830_000001_000000	Then he rose, and turned to Javert.	Then he rose, and turned to Javert.	false	10.86	20.1	20.965351
1365_134830_000002_000000	"Now," said he, "I am at your disposal."	"Now," said he, "I am at your disposal."	false	20.1	26.01	20.03676
1365_134830_000003_000000	CHAPTER V--A SUITABLE TOMB	CHAPTER five-A SUITABLE TOMB	true	26.01	28.69	19
1365_134830_000004_000000	Javert deposited Jean Valjean in the city prison.	Javert deposited Jean Valjean in the city prison.	true	29.9	33.49	17
1365_134830_000005_000000	The arrest of M. Madeleine occasioned a sensation, or rather, an extraordinary commotion in M. sur M. We are sorry that we cannot conceal the fact, that at the single word, "He was a convict," nearly every one deserted him.	The arrest of m Madeleine occasioned a sensation, or rather, an extraordinary commotion in m sur m We are sorry that we cannot conceal the fact, that at the single word, "He was a convict," nearly every one deserted him.	false	34.52	50.29	19
1365_134830_000005_000001	In less than two hours all the good that he had done had been forgotten, and he was nothing but a "convict from the galleys." It is just to add that the details of what had taken place at Arras were not yet known.	In less than two hours all the good that he had done had been forgotten, and he was nothing but a "convict from the galleys." It is just to add that the details of what had taken place at Arras were not yet known.	true	50.6	63.67	19.034561
1365_134830_000005_000002	All day long conversations like the following were to be heard in all quarters of the town:--	All day long conversations like the following were to be heard in all quarters of the town:--	false	63.92	69.1	13
1365_134830_000006_000000	"You don't know?	"You don't know?	true	69.62	70.78	15
1365_134830_000006_000001	He was a liberated convict!"	He was a liberated convict!"	true	70.79	72.615	14
1365_134830_000006_000002	"Who?" "The mayor." "Bah! M. Madeleine?" "Yes." "Really?"	"Who?" "The mayor." "Bah! m Madeleine?" "Yes." "Really?"	false	72.615	77.8	20.911625
