1365_134830_000006_000004	Good God!" "He has been arrested." "Arrested!"	Good God!" "He has been arrested." "Arrested!"
1365_134830_000006_000005	"In prison, in the city prison, while waiting to be transferred." "Until he is transferred!" "He is to be transferred!" "Where is he to be taken?" "He will be tried at the Assizes for a highway robbery which he committed long ago." "Well!	"In prison, in the city prison, while waiting to be transferred." "Until he is transferred!" "He is to be transferred!" "Where is he to be taken?" "He will be tried at the Assizes for a highway robbery which he committed long ago." "Well!
1365_134830_000006_000006	I suspected as much.	I suspected as much.
1365_134830_000006_000007	That man was too good, too perfect, too affected. He refused the cross; he bestowed sous on all the little scamps he came across.	That man was too good, too perfect, too affected. He refused the cross; he bestowed sous on all the little scamps he came across.
1365_134830_000006_000008	I always thought there was some evil history back of all that."	I always thought there was some evil history back of all that."
1365_134830_000008_000000	One old lady, a subscriber to the Drapeau Blanc, made the following remark, the depth of which it is impossible to fathom:--	One old lady, a subscriber to the Drapeau Blanc, made the following remark, the depth of which it is impossible to fathom:--
1365_134830_000009_000001	It will be a lesson to the Bonapartists!"	It will be a lesson to the Bonapartists!"
1365_134830_000013_000000	It was only at the expiration of two hours that she roused herself from her revery, and exclaimed, "Hold!	It was only at the expiration of two hours that she roused herself from her revery, and exclaimed, "Hold!
1365_134830_000014_000000	At that moment the small window in the lodge opened, a hand passed through, seized the key and the candlestick, and lighted the taper at the candle which was burning there.	At that moment the small window in the lodge opened, a hand passed through, seized the key and the candlestick, and lighted the taper at the candle which was burning there.
1365_134830_000015_000000	The portress raised her eyes, and stood there with gaping mouth, and a shriek which she confined to her throat.	The portress raised her eyes, and stood there with gaping mouth, and a shriek which she confined to her throat.
1365_134830_000020_000000	She stopped; the conclusion of her sentence would have been lacking in respect towards the beginning.	She stopped; the conclusion of her sentence would have been lacking in respect towards the beginning.
1365_134830_000021_000000	He finished her thought.	He finished her thought.
1365_134830_000022_000001	"I was there; I broke a bar of one of the windows; I let myself drop from the top of a roof, and here I am.	"I was there; I broke a bar of one of the windows; I let myself drop from the top of a roof, and here I am.
1365_134830_000029_000001	From a cupboard he pulled out one of his old shirts, which he tore in pieces.	From a cupboard he pulled out one of his old shirts, which he tore in pieces.
1365_134830_000029_000002	In the strips of linen thus prepared he wrapped the two silver candlesticks.	In the strips of linen thus prepared he wrapped the two silver candlesticks.
1365_134830_000029_000003	He betrayed neither haste nor agitation; and while he was wrapping up the Bishop's candlesticks, he nibbled at a piece of black bread.	He betrayed neither haste nor agitation; and while he was wrapping up the Bishop's candlesticks, he nibbled at a piece of black bread.
1365_134830_000031_000000	There came two taps at the door.	There came two taps at the door.
1365_134830_000034_000000	She was pale; her eyes were red; the candle which she carried trembled in her hand.	She was pale; her eyes were red; the candle which she carried trembled in her hand.
1365_134830_000034_000001	The peculiar feature of the violences of destiny is, that however polished or cool we may be, they wring human nature from our very bowels, and force it to reappear on the surface.	The peculiar feature of the violences of destiny is, that however polished or cool we may be, they wring human nature from our very bowels, and force it to reappear on the surface.
1365_134830_000036_000000	The paper was not folded.	The paper was not folded.
1365_134830_000038_000000	She read:--	She read:--
1365_134830_000040_000000	The sister tried to speak, but she only managed to stammer a few inarticulate sounds.	The sister tried to speak, but she only managed to stammer a few inarticulate sounds.
1365_134830_000045_000000	A man responded:--	A man responded:--
1365_134830_000049_000000	The door opened.	The door opened.
1365_134830_000050_000000	Javert entered.	Javert entered.
1365_134830_000055_000000	It will be remembered that the fundamental point in Javert, his element, the very air he breathed, was veneration for all authority.	It will be remembered that the fundamental point in Javert, his element, the very air he breathed, was veneration for all authority.
