6294_85684_000000_000000	These things, if they were merely the grievances of the study, might very well rest there.	These things, if they were merely the grievances of the study, might very well rest there.	true	24.03	29.08	20.516998
6294_85684_000000_000001	But they must be recognized here because the intellectual decline of the published literature of the English language--using the word to cover all sorts of books--involves finally the decline of the language and of all the spacious political possibilities that go with the wide extension of a language. Conceivably, if in the coming years a deliberate attempt were made to provide sound instruction in English to all who sought it, and to all within the control of English-speaking Governments, if honour and emolument were given to literary men instead of being left to them to most indelicately take, and if the present sordid trade of publishing were so lifted as to bring the whole literature, the whole science, and all the contemporary thought of the world--not some selection of the world's literature, not some obsolete Encyclopaedia sold meanly and basely to choke hungry minds, but a real publication of all that has been and is being done--within the reach of each man's need and desire who had the franchise of the tongue, then by the year 2000 I would prophesy that the whole functional body of human society would read, and perhaps even write and speak, our language.	But they must be recognized here because the intellectual decline of the published literature of the English language-using the word to cover all sorts of books-involves finally the decline of the language and of all the spacious political possibilities that go with the wide extension of a language. Conceivably, if in the coming years a deliberate attempt were made to provide sound instruction in English to all who sought it, and to all within the control of English speaking Governments, if honour and emolument were given to literary men instead of being left to them to most indelicately take, and if the present sordid trade of publishing were so lifted as to bring the whole literature, the whole science, and all the contemporary thought of the world-not some selection of the world's literature, not some obsolete Encyclopaedia sold meanly and basely to choke hungry minds, but a real publication of all that has been and is being done-within the reach of each man's need and desire who had the franchise of the tongue, then by the year twenty o o i would prophesy that the whole functional body of human society would read, and perhaps even write and speak, our language.	false	29.27	94.125	22.049423
6294_85684_000000_000002	And not only that, but it might be the prevalent and everyday language of Scandinavia and Denmark and Holland, of all Africa, all North America, of the Pacific coasts of Asia and of India, the universal international language, and in a fair way to be the universal language of mankind.	And not only that, but it might be the prevalent and everyday language of Scandinavia and Denmark and Holland, of all Africa, all North America, of the Pacific coasts of Asia and of India, the universal international language, and in a fair way to be the universal language of mankind.	true	94.125	111.94	20.854378
6294_85684_000000_000003	But such an enterprise demands a resolve and intelligence beyond all the immediate signs of the times; it implies a veritable renascence of intellectual life among the English-speaking peoples.	But such an enterprise demands a resolve and intelligence beyond all the immediate signs of the times; it implies a veritable renascence of intellectual life among the English speaking peoples.	true	111.98	122.5	17
6294_85684_000000_000004	The probabilities of such a renascence will be more conveniently discussed at a later stage, when we attempt to draw the broad outline of the struggle for world-wide ascendency that the coming years will see.	The probabilities of such a renascence will be more conveniently discussed at a later stage, when we attempt to draw the broad outline of the struggle for world-wide ascendency that the coming years will see.	false	122.54	133.03	16
6294_85684_000000_000005	But here it is clear that upon the probability of such a renascence depends the extension of the language, and not only that, but the preservation of that military and naval efficiency upon which, in this world of resolute aggression, the existence of the English-speaking communities finally depends.	But here it is clear that upon the probability of such a renascence depends the extension of the language, and not only that, but the preservation of that military and naval efficiency upon which, in this world of resolute aggression, the existence of the English speaking communities finally depends.	true	133.1	149.92	21.683107
6294_85684_000001_000000	French and German will certainly be aggregating languages during the greater portion of the coming years.	French and German will certainly be aggregating languages during the greater portion of the coming years.	false	150.56	155.59	16
6294_85684_000001_000001	Of the two I am inclined to think French will spread further than German.	Of the two I am inclined to think French will spread further than German.	false	156.02	159.67	23.172369
6294_85684_000001_000002	There is a disposition in the world, which the French share, to grossly undervalue the prospects of all things French, derived, so far as I can gather, from the facts that the French were beaten by the Germans in 1870, and that they do not breed with the _abandon_ of rabbits or negroes.	There is a disposition in the world, which the French share, to grossly undervalue the prospects of all things French, derived, so far as I can gather, from the facts that the French were beaten by the Germans in eighteen seventy, and that they do not breed with the underscore abandon underscore of rabbits or negroes.	false	160.1	175.35	21.462019
6294_85684_000001_000003	These are considerations that affect the dissemination of French very little.	These are considerations that affect the dissemination of French very little.	true	175.35	179.2	19
6294_85684_000001_000004	The French reading public is something different and very much larger than the existing French political system.	The French reading public is something different and very much larger than the existing French political system.	true	179.48	185.41	20.986938
6294_85684_000001_000005	The number of books published in French is greater than that published in English; there is a critical reception for a work published in French that is one of the few things worth a writer's having, and the French translators are the most alert and efficient in the world.	The number of books published in French is greater than that published in English; there is a critical reception for a work published in French that is one of the few things worth a writer's having, and the French translators are the most alert and efficient in the world.	true	185.69	199.69	22.88192
6294_85684_000001_000006	One has only to see a Parisian bookshop, and to recall an English one, to realize the as yet unattainable standing of French.	One has only to see a Parisian bookshop, and to recall an English one, to realize the as yet unattainable standing of French.	false	199.76	207.34	20
6294_85684_000001_000007	The serried ranks of lemon-coloured volumes in the former have the whole range of human thought and interest; there are no taboos and no limits, you have everything up and down the scale, from frank indecency to stark wisdom.	The serried ranks of lemon coloured volumes in the former have the whole range of human thought and interest; there are no taboos and no limits, you have everything up and down the scale, from frank indecency to stark wisdom.	true	207.83	221.23	22.938469
6294_85684_000001_000008	It is a shop for men.	It is a shop for men.	true	221.24	223.03	24.90399
6294_85684_000001_000009	I remember my amazement to discover three copies of a translation of that most wonderful book, the _Text-book of Psychology_ of Professor William James,[ERRATUM: for 'The Text Book of Psychology,' _read_ 'The Principles of Psychology'.] in a shop in L'Avenue de l'Opera--three copies of a book that I have never seen anywhere in England outside my own house,--and I am an attentive student of bookshop windows!	I remember my amazement to discover three copies of a translation of that most wonderful book, the underscore Text book of Psychology underscore of Professor William james,[ERRATUM: for 'The Text Book of Psychology,' underscore read underscore 'The Principles of Psychology'.] in a shop in L'Avenue de l'Opera-three copies of a book that I have never seen anywhere in England outside my own house,--and I am an attentive student of bookshop windows!	false	223.1	241.54	20.120655
6294_85684_000001_000010	And the French books are all so pleasant in the page, and so cheap--they are for a people that buys to read.	And the French books are all so pleasant in the page, and so cheap-they are for a people that buys to read.	false	241.58	248.44	25.382769
6294_85684_000001_000011	One thinks of the English bookshop, with its gaudy reach-me-downs of gilded and embossed cover, its horribly printed novels still more horribly "illustrated," the exasperating pointless variety in the size and thickness of its books.	One thinks of the English bookshop, with its gaudy reach me downs of gilded and embossed cover, its horribly printed novels still more horribly "illustrated," the exasperating pointless variety in the size and thickness of its books.	false	248.78	262.57	21.357523
6294_85684_000001_000012	The general effect of the English book is that it is something sold by a dealer in _bric-a-brac_, honestly sorry the thing is a book, but who has done _his_ best to remedy it, anyhow! And all the English shopful is either brand new fiction or illustrated travel (of '_Buns with the Grand Lama_' type), or gilded versions of the classics of past times done up to give away.	The general effect of the English book is that it is something sold by a dealer in underscore bric a brac underscore, honestly sorry the thing is a book, but who has done underscore his underscore best to remedy it, anyhow! And all the English shopful is either brand new fiction or illustrated travel (of 'underscore Buns with the Grand Lama underscore' type), or gilded versions of the classics of past times done up to give away.	false	262.73	284.11	23.102818
6294_85684_000001_000013	While the French bookshop reeks of contemporary intellectual life!	While the French bookshop reeks of contemporary intellectual life!	true	284.15	288.16	24.274494
6294_85684_000002_000000	These things count for French as against English now, and they will count for infinitely more in the coming years.	These things count for French as against English now, and they will count for infinitely more in the coming years.	true	288.56	295.06	23.48423
6294_85684_000002_000001	And over German also French has many advantages.	And over German also French has many advantages.	true	295.31	298.33	22.03614
6294_85684_000002_000002	In spite of the numerical preponderance of books published in Germany, it is doubtful if the German reader has quite such a catholic feast before him as the reader of French.	In spite of the numerical preponderance of books published in Germany, it is doubtful if the German reader has quite such a catholic feast before him as the reader of French.	false	298.79	307.78	22
