7995_280250_000001_000000	III	three
7995_280250_000002_000003	Most men were toiling at tasks which they did not like, by rules which they did not understand.	Most men were toiling at tasks which they did not like, by rules which they did not understand.
7995_280250_000002_000004	They never looked beyond the edge of their work.	They never looked beyond the edge of their work.
7995_280250_000002_000005	The philosophical life was a spider's web--filmy threads of theory spun out of the inner consciousness--it touched the world only at certain chosen points of attachment.	The philosophical life was a spider's web-filmy threads of theory spun out of the inner consciousness-it touched the world only at certain chosen points of attachment.
7995_280250_000002_000006	There was nothing firm, nothing substantial in it.	There was nothing firm, nothing substantial in it.
7995_280250_000002_000009	Knowing did not come by speculating, theorising. Knowing came by seeing.	Knowing did not come by speculating, theorising. Knowing came by seeing.
7995_280250_000002_000011	To see the world, the whole world, as it is, to look behind the scenes, to read human life like a book, that was the glorious thing--most satisfying, divine.	To see the world, the whole world, as it is, to look behind the scenes, to read human life like a book, that was the glorious thing-most satisfying, divine.
7995_280250_000003_000000	Thus he had talked as we climbed the hill.	Thus he had talked as we climbed the hill.
7995_280250_000003_000001	Now, as we came by the place where we had first met, a new eagerness sounded in his voice.	Now, as we came by the place where we had first met, a new eagerness sounded in his voice.
7995_280250_000004_000002	I am planning to write a book--a book of knowledge, in the true sense--a great book about human life.	I am planning to write a book-a book of knowledge, in the true sense-a great book about human life.
7995_280250_000004_000005	How much darker, how much smaller, and therefore how much more interesting and wonderful.	How much darker, how much smaller, and therefore how much more interesting and wonderful.
7995_280250_000004_000007	I might call it a 'Bionopsis.'"	I might call it a 'Bionopsis.'"
7995_280250_000005_000000	"But surely," said I, "you have chosen a strange place to write it--the Hilltop School--this quiet and secluded region!	"But surely," said I, "you have chosen a strange place to write it-the Hilltop School-this quiet and secluded region!
7995_280250_000005_000003	You must be in the full current and feel its force.	You must be in the full current and feel its force.
7995_280250_000005_000004	You must take part in the active life of mankind in order really to know it."	You must take part in the active life of mankind in order really to know it."
7995_280250_000006_000000	"A mistake!" he cried.	"A mistake!" he cried.
