606_121661_000000_000000	The Man in the Moon	The Man in the Moon	false	5.67	30.15	17.164488
606_121661_000001_000000	The Man in the Moon	The Man in the Moon	true	30.15	32.41	18.16602
606_121661_000002_000000	The Man in the Moon came tumbling down, And enquired the way to Norwich; He went by the south and burned his mouth With eating cold pease porridge!	The Man in the Moon came tumbling down, And enquired the way to Norwich; He went by the south and burned his mouth With eating cold pease porridge!	true	33.68	47.68	18.525545
606_121661_000003_000000	What!	What!	true	48.62	49.36	22.946486
606_121661_000003_000001	Have you never heard the story of the Man in the Moon?	Have you never heard the story of the Man in the Moon?	true	49.49	52.9	16
606_121661_000003_000002	Then I must surely tell it, for it is very amusing, and there is not a word of truth in it.	Then I must surely tell it, for it is very amusing, and there is not a word of truth in it.	true	53.09	59.98	18.557745
606_121661_000004_000000	The Man in the Moon was rather lonesome, and often he peeked over the edge of the moon and looked down upon the earth and envied all the people who lived together, for he thought it must be vastly more pleasant to have companions to talk to than to be shut up in a big planet all by himself, where he had to whistle to keep himself company.	The Man in the Moon was rather lonesome, and often he peeked over the edge of the moon and looked down upon the earth and envied all the people who lived together, for he thought it must be vastly more pleasant to have companions to talk to than to be shut up in a big planet all by himself, where he had to whistle to keep himself company.	true	60.83	87.58	19.883055
606_121661_000005_000000	One day he looked down and saw an alderman sailing up through the air towards him.	One day he looked down and saw an alderman sailing up through the air towards him.	true	88.55	94.9	19.4885
606_121661_000005_000001	This alderman was being translated (instead of being transported, owing to a misprint in the law) and as he came near the Man in the Moon called to him and said,	This alderman was being translated (instead of being transported, owing to a misprint in the law) and as he came near the Man in the Moon called to him and said,	true	95.12	107.68	19.343164
606_121661_000006_000000	"How is everything down on the earth?"	"How is everything down on the earth?"	true	108.05	111.01	20.405092
606_121661_000007_000000	"Everything is lovely," replied the alderman, "and I would n't leave it if I was not obliged to."	"Everything is lovely," replied the alderman, "and I would n't leave it if I was not obliged to."	true	111.74	118.92	19.27594
606_121661_000008_000000	"What 's a good place to visit down there?" enquired the Man in the Moon.	"What 's a good place to visit down there?" enquired the Man in the Moon.	false	118.92	124.87	18.097523
606_121661_000009_000000	"Oh, Norwich is a mighty fine place," returned the alderman, "and it 's famous for its pease porridge;" and then he sailed out of sight and left the Man in the Moon to reflect upon what he had said.	"Oh, Norwich is a mighty fine place," returned the alderman, "and it 's famous for its pease porridge;" and then he sailed out of sight and left the Man in the Moon to reflect upon what he had said.	false	125.36	140.68	18.412554
606_121661_000010_000000	The words of the alderman made him more anxious than ever to visit the earth, and so he walked thoughtfully home, and put a few lumps of ice in the stove to keep him warm, and sat down to think how he should manage the trip.	The words of the alderman made him more anxious than ever to visit the earth, and so he walked thoughtfully home, and put a few lumps of ice in the stove to keep him warm, and sat down to think how he should manage the trip.	true	141.53	157.99	19.674303
606_121661_000011_000000	You see, everything went by contraries in the Moon, and when the Man wished to keep warm he knocked off a few chunks of ice and put them in his stove; and he cooled his drinking water by throwing red-hot coals of fire into the pitcher.	You see, everything went by contraries in the Moon, and when the Man wished to keep warm he knocked off a few chunks of ice and put them in his stove; and he cooled his drinking water by throwing red hot coals of fire into the pitcher.	true	158.54	175.9	18.146217
606_121661_000011_000001	Likewise, when he became chilly he took off his hat and coat, and even his shoes, and so became warm; and in the hot days of summer he put on his overcoat to cool off.	Likewise, when he became chilly he took off his hat and coat, and even his shoes, and so became warm; and in the hot days of summer he put on his overcoat to cool off.	true	176.42	190.06	18.812517
606_121661_000012_000000	All of which seems very queer to you, no doubt; but it was n't at all queer to the Man in the Moon, for he was accustomed to it.	All of which seems very queer to you, no doubt; but it was n't at all queer to the Man in the Moon, for he was accustomed to it.	true	190.64	199.66	18.712236
606_121661_000013_000000	Well, he sat by his ice-cool fire and thought about his journey to the earth, and finally he decided the only way he could get there was to slide down a moonbeam.	Well, he sat by his ice cool fire and thought about his journey to the earth, and finally he decided the only way he could get there was to slide down a moonbeam.	true	200.63	213.16	20.256813
606_121661_000014_000000	So he left the house and locked the door and put the key in his pocket, for he was uncertain how long he should be gone; and then he went to the edge of the moon and began to search for a good strong moonbeam.	So he left the house and locked the door and put the key in his pocket, for he was uncertain how long he should be gone; and then he went to the edge of the moon and began to search for a good strong moonbeam.	true	213.5	229.06	18.96473
606_121661_000015_000000	At last he found one that seemed rather substantial and reached right down to a pleasant-looking spot on the earth; and so he swung himself over the edge of the moon, and put both arms tight around the moonbeam and started to slide down.	At last he found one that seemed rather substantial and reached right down to a pleasant looking spot on the earth; and so he swung himself over the edge of the moon, and put both arms tight around the moonbeam and started to slide down.	true	229.49	246.85	17.527868
606_121661_000015_000001	But he found it rather slippery, and in spite of all his efforts to hold on he found himself going faster and faster, so that just before he reached the earth he lost his hold and came tumbling down head over heels and fell plump into a river.	But he found it rather slippery, and in spite of all his efforts to hold on he found himself going faster and faster, so that just before he reached the earth he lost his hold and came tumbling down head over heels and fell plump into a river.	true	247.37	266.5	19.37795
606_121661_000016_000000	The cool water nearly scalded him before he could swim out, but fortunately he was near the bank and he quickly scrambled upon the land and sat down to catch his breath.	The cool water nearly scalded him before he could swim out, but fortunately he was near the bank and he quickly scrambled upon the land and sat down to catch his breath.	true	267.14	279.25	17.678934
606_121661_000017_000000	By that time it was morning, and as the sun rose its hot rays cooled him off somewhat, so that he began looking about curiously at all the strange sights and wondering where on earth he was.	By that time it was morning, and as the sun rose its hot rays cooled him off somewhat, so that he began looking about curiously at all the strange sights and wondering where on earth he was.	true	279.8	294.94	18.096725
606_121661_000018_000000	By and by a farmer came along the road by the river with a team of horses drawing a load of hay, and the horses looked so odd to the Man in the Moon that at first he was greatly frightened, never before having seen horses except from his home in the moon, from whence they looked a good deal smaller.	By and by a farmer came along the road by the river with a team of horses drawing a load of hay, and the horses looked so odd to the Man in the Moon that at first he was greatly frightened, never before having seen horses except from his home in the moon, from whence they looked a good deal smaller.	false	295.7	318.07	18.803335
606_121661_000018_000001	But he plucked up courage and said to the farmer,	But he plucked up courage and said to the farmer,	true	318.74	321.97	20.099646
606_121661_000019_000000	"Can you tell me the way to Norwich, sir?"	"Can you tell me the way to Norwich, sir?"	true	322.79	325.81	23
606_121661_000020_000000	"Norwich?" repeated the farmer musingly; "I do n't know exactly where it be, sir, but it 's somewhere away to the south."	"Norwich?" repeated the farmer musingly; "I do n't know exactly where it be, sir, but it 's somewhere away to the south."	false	326.78	337.09	19.76448
606_121661_000021_000000	"Thank you," said the Man in the Moon.--But stop!	"Thank you," said the Man in the Moon.--But stop!	true	337.73	341.2	17.558573
