6406_88089_000000_000000	XVIII.	eighteen.	false	1.89	3.795	22.573286
6406_88089_000000_000001	THE LITTLE PITCHER	THE LITTLE PITCHER	false	3.795	4.65	23.269735
6406_88089_000001_000000	XIX. SKIRRYWINKS.	nineteen. s k i r r y w i n k s.	false	4.65	9.48	22.959393
6406_88089_000002_000000	XX.	x x.	false	9.48	10.29	14.450695
6406_88089_000002_000001	MOTHER MANIKIN'S CHAIRS	MOTHER MANIKIN'S CHAIRS	false	10.29	11.49	21.124908
6406_88089_000003_000000	XXI.	twenty one.	false	11.49	12.285	29.429638
6406_88089_000003_000001	IN SIGHT OF HOME	IN SIGHT OF HOME	false	12.285	13.41	23.39521
6406_88089_000004_000000	XXII.	twenty two.	false	13.41	14.13	48
6406_88089_000004_000001	THE LOST LAMB FOUND	THE LOST LAMB FOUND	false	14.13	16.29	22.670105
6406_88089_000005_000000	XXIII.	twenty three.	false	16.29	17.73	21.183002
6406_88089_000005_000001	THE GREEN PASTURE.	THE GREEN PASTURE.	false	17.73	19.53	26.18637
6406_88089_000006_000000	[Illustration: ]	[Illustration: ]	false	19.53	20.235	25.1615
6406_88089_000007_000000	A PEEP BEHIND THE SCENES	A PEEP BEHIND THE SCENES	false	20.235	26.22	21.315847
6406_88089_000008_000000	CHAPTER I	CHAPTER one	true	26.22	27.4	24.61201
6406_88089_000009_000000	ROSALIE	ROSALIE	true	28.13	29.23	19.817867
6406_88089_000010_000000	Rain, rain, rain!	Rain, rain, rain!	true	30.44	33.37	22.27893
6406_88089_000010_000001	How mercilessly it fell on the Fair-field that Sunday afternoon!	How mercilessly it fell on the Fair field that Sunday afternoon!	true	33.83	38.44	21.803104
6406_88089_000010_000002	Every moment the pools increased and the mud became thicker.	Every moment the pools increased and the mud became thicker.	false	38.75	42.46	22.716787
6406_88089_000010_000003	How dismal the fair looked then!	How dismal the fair looked then!	true	42.77	45.04	23.536083
6406_88089_000010_000004	On Saturday evening it had been brilliantly lighted with rows of flaring naphtha-lights; and the grand shows, in the most aristocratic part of the field, had been illuminated with crosses, stars, anchors, and all manner of devices.	On Saturday evening it had been brilliantly lighted with rows of flaring naphtha lights; and the grand shows, in the most aristocratic part of the field, had been illuminated with crosses, stars, anchors, and all manner of devices.	false	45.62	61.15	21.920185
6406_88089_000011_000000	But there were no lights now; there was nothing to cast a halo round the dirty, weather-stained tents and the dingy caravans.	But there were no lights now; there was nothing to cast a halo round the dirty, weather stained tents and the dingy caravans.	true	61.97	70.15	24.198015
6406_88089_000012_000000	Yet, in spite of this, and in spite of the rain, a crowd of Sunday idlers lingered about the fair, looking with great interest at the half-covered whirligigs and bicycles, peeping curiously into the deserted shows, and making many schemes for further enjoyment on the morrow, when the fair was once more to be in its glory.	Yet, in spite of this, and in spite of the rain, a crowd of Sunday idlers lingered about the fair, looking with great interest at the half covered whirligigs and bicycles, peeping curiously into the deserted shows, and making many schemes for further enjoyment on the morrow, when the fair was once more to be in its glory.	false	70.94	92.23	23.330671
6406_88089_000013_000000	Inside the caravans the show-people were crouching over their fires and grumbling at the weather, murmuring at having to pay so much for the ground on which their shows were erected, at a time when they would be likely to make so little profit.	Inside the caravans the show people were crouching over their fires and grumbling at the weather, murmuring at having to pay so much for the ground on which their shows were erected, at a time when they would be likely to make so little profit.	false	93.35	108.49	22.551104
6406_88089_000014_000000	A little old man, with a rosy, good-tempered face, was making his way across the sea of mud which divided the shows from each other.	A little old man, with a rosy, good tempered face, was making his way across the sea of mud which divided the shows from each other.	true	109.76	119.32	22.632011
6406_88089_000014_000001	He was evidently no idler in the fair; he had come into it that Sunday afternoon for a definite purpose, and he did not intend to leave it until it was accomplished.	He was evidently no idler in the fair; he had come into it that Sunday afternoon for a definite purpose, and he did not intend to leave it until it was accomplished.	true	119.72	130.84	22.989393
6406_88089_000014_000002	After crossing an almost impassable place, he climbed the steps leading to one of the caravans and knocked at the door.	After crossing an almost impassable place, he climbed the steps leading to one of the caravans and knocked at the door.	true	131.96	139.9	25.053984
