6406_88089_000008_000000	CHAPTER I	CHAPTER one
6406_88089_000010_000000	Rain, rain, rain!	Rain, rain, rain!
6406_88089_000010_000001	How mercilessly it fell on the Fair-field that Sunday afternoon!	How mercilessly it fell on the Fair field that Sunday afternoon!
6406_88089_000010_000003	How dismal the fair looked then!	How dismal the fair looked then!
6406_88089_000011_000000	But there were no lights now; there was nothing to cast a halo round the dirty, weather-stained tents and the dingy caravans.	But there were no lights now; there was nothing to cast a halo round the dirty, weather stained tents and the dingy caravans.
6406_88089_000014_000000	A little old man, with a rosy, good-tempered face, was making his way across the sea of mud which divided the shows from each other.	A little old man, with a rosy, good tempered face, was making his way across the sea of mud which divided the shows from each other.
6406_88089_000014_000001	He was evidently no idler in the fair; he had come into it that Sunday afternoon for a definite purpose, and he did not intend to leave it until it was accomplished.	He was evidently no idler in the fair; he had come into it that Sunday afternoon for a definite purpose, and he did not intend to leave it until it was accomplished.
6406_88089_000014_000002	After crossing an almost impassable place, he climbed the steps leading to one of the caravans and knocked at the door.	After crossing an almost impassable place, he climbed the steps leading to one of the caravans and knocked at the door.
6406_88089_000015_000000	It was a curious door; the upper part of it, being used as a window, was filled with glass, behind which you could see two small muslin curtains, tied up with pink ribbon.	It was a curious door; the upper part of it, being used as a window, was filled with glass, behind which you could see two small muslin curtains, tied up with pink ribbon.
6406_88089_000016_000000	'Rap again, sir, rap again; there's a little lass in there; she went in a bit since.'	'Rap again, sir, rap again; there's a little lass in there; she went in a bit since.'
6406_88089_000017_000000	'Don't you wish you was her?' said one of the little boys to the other.	'Don't you wish you was her?' said one of the little boys to the other.
6406_88089_000019_000000	The old man laughed a hearty laugh at the children's talk, and rapped again at the caravan door.	The old man laughed a hearty laugh at the children's talk, and rapped again at the caravan door.
6406_88089_000020_000000	This time a face appeared between the muslin curtains and peered cautiously out.	This time a face appeared between the muslin curtains and peered cautiously out.
6406_88089_000020_000001	It was a very pretty little face, so pretty that the old man sighed to himself when he saw it.	It was a very pretty little face, so pretty that the old man sighed to himself when he saw it.
6406_88089_000021_000000	Then the small head turned round, and seemed to be telling what it had seen to some one within, and asking leave to admit the visitor; for a minute afterwards the door was opened, and the owner of the pretty face stood before the old man.	Then the small head turned round, and seemed to be telling what it had seen to some one within, and asking leave to admit the visitor; for a minute afterwards the door was opened, and the owner of the pretty face stood before the old man.
6406_88089_000022_000000	She was a little girl about twelve years of age, very slender and delicate in appearance.	She was a little girl about twelve years of age, very slender and delicate in appearance.
6406_88089_000022_000001	Her hair, which was of a rich auburn colour, was hanging down to her waist, and her eyes were the most beautiful the old man thought he had ever seen.	Her hair, which was of a rich auburn colour, was hanging down to her waist, and her eyes were the most beautiful the old man thought he had ever seen.
6406_88089_000023_000000	She was very poorly dressed, and she shivered as the damp, cold air rushed in through the open door.	She was very poorly dressed, and she shivered as the damp, cold air rushed in through the open door.
6406_88089_000024_000000	'Good afternoon, my little dear,' said the old man.	'Good afternoon, my little dear,' said the old man.
6406_88089_000027_000000	The old man did not wait for a second invitation; he stepped inside the caravan, and the child closed the door.	The old man did not wait for a second invitation; he stepped inside the caravan, and the child closed the door.
6406_88089_000028_000000	It was a very small place; there was hardly room for him to stand.	It was a very small place; there was hardly room for him to stand.
6406_88089_000028_000001	At the end of the caravan was a narrow bed something like a berth on board ship, and on it a woman was lying who was evidently very ill.	At the end of the caravan was a narrow bed something like a berth on board ship, and on it a woman was lying who was evidently very ill.
6406_88089_000028_000002	She was the child's mother, the old man felt sure.	She was the child's mother, the old man felt sure.
6406_88089_000028_000003	She had the same beautiful eyes and sunny hair, though her face was thin and wasted.	She had the same beautiful eyes and sunny hair, though her face was thin and wasted.
6406_88089_000029_000000	There was not room for much furniture in the small caravan; a tiny stove, the chimney of which went through the wooden roof, a few pans, a shelf containing cups and saucers, and two boxes which served as seats, completely filled it.	There was not room for much furniture in the small caravan; a tiny stove, the chimney of which went through the wooden roof, a few pans, a shelf containing cups and saucers, and two boxes which served as seats, completely filled it.
6406_88089_000029_000001	There was only just room for the old man to stand, and the fire was so near him that he was in danger of being scorched.	There was only just room for the old man to stand, and the fire was so near him that he was in danger of being scorched.
6406_88089_000030_000000	Rosalie had seated herself on one of the boxes close to her mother's bed.	Rosalie had seated herself on one of the boxes close to her mother's bed.
6406_88089_000031_000000	'You must excuse my intruding, ma'am,' said the old man, with a polite bow; 'but I'm so fond of little folks, and I've brought this little girl of yours a picture, if she will accept it from me.'	'You must excuse my intruding, ma'am,' said the old man, with a polite bow; 'but I'm so fond of little folks, and I've brought this little girl of yours a picture, if she will accept it from me.'
6406_88089_000032_000000	A flush of pleasure came into the child's face as he brought out of his pocket his promised gift.	A flush of pleasure came into the child's face as he brought out of his pocket his promised gift.
6406_88089_000033_000000	It was the picture of a shepherd, with a very kind and compassionate face, who was bearing home in his bosom a lost lamb.	It was the picture of a shepherd, with a very kind and compassionate face, who was bearing home in his bosom a lost lamb.
6406_88089_000033_000001	The lamb's fleece was torn in several places, and there were marks of blood on its back, as if it had been roughly used by some cruel beast in a recent struggle.	The lamb's fleece was torn in several places, and there were marks of blood on its back, as if it had been roughly used by some cruel beast in a recent struggle.
6406_88089_000034_000000	But the shepherd seemed to have suffered more than the lamb, for he was wounded in many places, and his blood was falling in large drops on the ground.	But the shepherd seemed to have suffered more than the lamb, for he was wounded in many places, and his blood was falling in large drops on the ground.
6406_88089_000034_000001	Yet he did not seem to mind it; his face was full of love and full of joy as he looked at the lamb.	Yet he did not seem to mind it; his face was full of love and full of joy as he looked at the lamb.
6406_88089_000034_000002	He had forgotten his sorrow in his joy that the lamb was saved.	He had forgotten his sorrow in his joy that the lamb was saved.
6406_88089_000035_000000	In the distance were some of the shepherd's friends, who were coming to meet him, and underneath the picture were these words, printed in large letters--	In the distance were some of the shepherd's friends, who were coming to meet him, and underneath the picture were these words, printed in large letters-
6406_88089_000036_000000	'Rejoice with Me, for I have found My sheep which was lost.	'Rejoice with Me, for I have found My sheep which was lost.
6406_88089_000036_000001	There is joy in the presence of the angels of God over one sinner that repenteth.'	There is joy in the presence of the angels of God over one sinner that repenteth.'
6406_88089_000037_000000	The little girl read the words aloud in a clear, distinct voice; and her mother gazed at the picture with tears in her eyes.	The little girl read the words aloud in a clear, distinct voice; and her mother gazed at the picture with tears in her eyes.
6406_88089_000038_000000	'Those are sweet words, ain't they?' said the old man.	'Those are sweet words, ain't they?' said the old man.
6406_88089_000041_000000	The woman did not speak; a fit of coughing came on, and the old man stood looking at her with a very pitying expression.	The woman did not speak; a fit of coughing came on, and the old man stood looking at her with a very pitying expression.
6406_88089_000043_000000	'Yes, very ill,' gasped the woman bitterly; 'every one can see that but Augustus!'	'Yes, very ill,' gasped the woman bitterly; 'every one can see that but Augustus!'
6406_88089_000044_000000	'That's my father,' said the little girl.	'That's my father,' said the little girl.
6406_88089_000045_000000	'No; he doesn't see it,' repeated the woman; 'he thinks I ought to get up and act in the play, just as usual.	'No; he doesn't see it,' repeated the woman; 'he thinks I ought to get up and act in the play, just as usual.
6406_88089_000046_000000	'You must be tired of moving about, ma'am,' said the old man compassionately.	'You must be tired of moving about, ma'am,' said the old man compassionately.
6406_88089_000047_000002	'It's a weary time I have of it--a weary time.'	'It's a weary time I have of it-a weary time.'
6406_88089_000048_000000	'Are you always on the move, ma'am?' asked the old man.	'Are you always on the move, ma'am?' asked the old man.
6406_88089_000049_000000	'All the summer-time,' said the woman.	'All the summer time,' said the woman.
6406_88089_000049_000001	'We get into lodgings for a little time in the winter; and then we let ourselves out to some of the small town theatres; but all the rest of the year we're going from feast to feast and from fair to fair--no rest nor comfort, not a bit!'	'We get into lodgings for a little time in the winter; and then we let ourselves out to some of the small town theatres; but all the rest of the year we're going from feast to feast and from fair to fair-no rest nor comfort, not a bit!'
6406_88089_000050_000001	poor thing!' said the old man; and then a choking sensation appeared to have seized him, for he cleared his throat vigorously many times, but seemed unable to say more.	poor thing!' said the old man; and then a choking sensation appeared to have seized him, for he cleared his throat vigorously many times, but seemed unable to say more.
6406_88089_000051_000000	The child had climbed on one of the boxes, and brought down a square red pincushion from the shelf which ran round the top of the caravan.	The child had climbed on one of the boxes, and brought down a square red pincushion from the shelf which ran round the top of the caravan.
6406_88089_000051_000001	From this she took two pins, and fastened the picture on the wooden wall, so that her mother could see it as she was lying in bed.	From this she took two pins, and fastened the picture on the wooden wall, so that her mother could see it as she was lying in bed.
6406_88089_000052_000000	'It does look pretty there,' said the little girl; 'mammie, you can look at it nicely now.'	'It does look pretty there,' said the little girl; 'mammie, you can look at it nicely now.'
6406_88089_000053_000001	He wants to find you, and take you up in His arms, and carry you home; and He won't mind the wounds it has cost Him, if you'll only let Him do it.	He wants to find you, and take you up in His arms, and carry you home; and He won't mind the wounds it has cost Him, if you'll only let Him do it.
6406_88089_000054_000000	'Good-day, ma'am,' said the old man; 'I shall, maybe, never see you again; but I would like the Good Shepherd to say those words of you.'	'Good day, ma'am,' said the old man; 'I shall, maybe, never see you again; but I would like the Good Shepherd to say those words of you.'
6406_88089_000055_000000	He went carefully down the steps of the caravan, and Rosalie stood at the window, watching him picking his way to the other shows, to which he was carrying the same message of peace.	He went carefully down the steps of the caravan, and Rosalie stood at the window, watching him picking his way to the other shows, to which he was carrying the same message of peace.
6406_88089_000055_000001	She looked out from between the muslin curtains until he had quite disappeared to a distant part of the field, and then she turned to her mother and said eagerly--	She looked out from between the muslin curtains until he had quite disappeared to a distant part of the field, and then she turned to her mother and said eagerly-
6406_88089_000056_000000	'It's a very pretty picture, isn't it, mammie dear?'	'It's a very pretty picture, isn't it, mammie dear?'
6406_88089_000057_000000	But no answer came from the bed.	But no answer came from the bed.
6406_88089_000057_000001	Rosalie thought her mother was asleep, and crept on tiptoe to her side, fearful of waking her.	Rosalie thought her mother was asleep, and crept on tiptoe to her side, fearful of waking her.
6406_88089_000057_000002	But she found her mother's face buried in the pillow, on which large tears were falling.	But she found her mother's face buried in the pillow, on which large tears were falling.
6406_88089_000058_000000	And when the little girl sat down by her side, and tried to comfort her by stroking her hand very gently, and saying, 'Mammie dear, mammie dear, don't cry!	And when the little girl sat down by her side, and tried to comfort her by stroking her hand very gently, and saying, 'Mammie dear, mammie dear, don't cry!
6406_88089_000058_000001	What's the matter, mammie dear?' her mother only wept the more.	What's the matter, mammie dear?' her mother only wept the more.
6406_88089_000059_000001	By degrees her mother grew calmer, the sobs became less frequent, and, to the little girl's joy, she fell asleep.	By degrees her mother grew calmer, the sobs became less frequent, and, to the little girl's joy, she fell asleep.
6406_88089_000059_000002	Rosalie sat beside her without moving, lest she should awake her, and kept gazing at her picture till she knew every line of it.	Rosalie sat beside her without moving, lest she should awake her, and kept gazing at her picture till she knew every line of it.
6406_88089_000059_000003	And the first thing her mother heard when she awoke from sleep was Rosalie's voice saying softly--	And the first thing her mother heard when she awoke from sleep was Rosalie's voice saying softly-
6406_88089_000060_000000	'"Rejoice with Me, for I have found My sheep which was lost.	'"Rejoice with Me, for I have found My sheep which was lost.
