1313_136054_000000_000000	"You make my head feel empty," said the Koala.	"You make my head feel empty," said the Koala.	false	0	2.67	20.823202
1313_136054_000000_000001	"But you'd think differently if a flock of Kookooburras settled on your tree, and guffawed idiotically when you wanted to sleep."	"But you'd think differently if a flock of Kookooburras settled on your tree, and guffawed idiotically when you wanted to sleep."	false	2.67	5.31	23.244541
1313_136054_000001_000000	"As you don't like being waked yourself, why do you wake others then?" asked Dot.	"As you don't like being waked yourself, why do you wake others then?" asked Dot.	false	5.31	6.39	23.121876
1313_136054_000002_000000	"Because this is a free country," said the Koala.	"Because this is a free country," said the Koala.	false	6.39	7.05	12
1313_136054_000002_000001	While Dot was trying to understand why the Koala's reason should suffice for one animal making another's life uncomfortable, she was rejoiced to see the Kangaroo bound into sight.	While Dot was trying to understand why the Koala's reason should suffice for one animal making another's life uncomfortable, she was rejoiced to see the Kangaroo bound into sight.	false	7.05	14.64	23.177586
1313_136054_000002_000002	She forgot all about the Koala, and rushed forward to meet it.	She forgot all about the Koala, and rushed forward to meet it.	false	14.64	18.345	23.426289
1313_136054_000003_000000	CHAPTER VII	CHAPTER seven	true	18.345	19.45	21.882833
1313_136054_000004_000000	"I'm so glad you've come back!" she exclaimed.	"I'm so glad you've come back!" she exclaimed.	true	20.51	23.43	23.62199
1313_136054_000005_000000	The Kangaroo was a little breathless and excited.	The Kangaroo was a little breathless and excited.	false	23.43	26.11	21.044064
1313_136054_000005_000001	"We are not in danger at present," she said, "but one never knows when one will be, so we must move; and that will be more dangerous than staying where we are."	"We are not in danger at present," she said, "but one never knows when one will be, so we must move; and that will be more dangerous than staying where we are."	true	26.27	34.18	20.58621
1313_136054_000006_000000	"Then let us stay," said Dot.	"Then let us stay," said Dot.	true	34.64	36.43	21.476727
1313_136054_000007_000000	"That won't do," replied the Kangaroo.	"That won't do," replied the Kangaroo.	true	36.68	38.71	27.598572
1313_136054_000007_000001	"This is the conclusion I have jumped to.	"This is the conclusion I have jumped to.	true	38.75	40.78	21.136427
1313_136054_000007_000002	If we stay here, the Blacks might come this way and their dingo dogs hunt us to death.	If we stay here, the Blacks might come this way and their dingo dogs hunt us to death.	true	40.88	45.94	23.661636
1313_136054_000007_000003	To get to a safe place we must pass their camp.	To get to a safe place we must pass their camp.	true	46.04	49.03	22.93692
1313_136054_000007_000004	That is a little risky, but we must go that way.	That is a little risky, but we must go that way.	true	49.13	51.97	20.684793
1313_136054_000007_000005	We can do this easily if the dogs don't get scent of us, as all the Blacks are prancing about and making a noise, having a kind of game in fact, and they are so amused that we ought to get past quite safely.	We can do this easily if the dogs don't get scent of us, as all the Blacks are prancing about and making a noise, having a kind of game in fact, and they are so amused that we ought to get past quite safely.	true	52.22	63.25	20.145977
1313_136054_000007_000006	I've done it many times before at night."	I've done it many times before at night."	true	63.35	65.59	23.240934
1313_136054_000008_000000	Dot looked round to say good-bye to the Koala, but the little animal had heard the Kangaroo speak of Blacks, and that word suggested to its empty little head that it must keep its skin whole, so, without waiting to be polite to Dot, it had sneaked up its gum tree and was well out of sight.	Dot looked round to say good bye to the Koala, but the little animal had heard the Kangaroo speak of Blacks, and that word suggested to its empty little head that it must keep its skin whole, so, without waiting to be polite to Dot, it had sneaked up its gum tree and was well out of sight.	true	66.26	81.52	21.458782
1313_136054_000009_000000	Without wasting time, Dot settled in the Kangaroo's pouch, and they started upon their perilous way.	Without wasting time, Dot settled in the Kangaroo's pouch, and they started upon their perilous way.	true	81.92	87.37	21.426561
1313_136054_000010_000000	For some distance the Kangaroo hopped along boldly, with an occasional warning to Dot to shut her eyes as they plunged through the bushes; but after crossing a watercourse, and climbing a stiff hill, she whispered that they must both keep quite silent, and told Dot to listen as she stopped for a moment.	For some distance the Kangaroo hopped along boldly, with an occasional warning to Dot to shut her eyes as they plunged through the bushes; but after crossing a watercourse, and climbing a stiff hill, she whispered that they must both keep quite silent, and told Dot to listen as she stopped for a moment.	true	87.98	103.93	22.710814
1313_136054_000011_000000	Dot could hear to their right a murmuring of voices, and a steady beating sound.	Dot could hear to their right a murmuring of voices, and a steady beating sound.	true	104.33	108.58	19
1313_136054_000011_000001	"Their camp is over there," said the Kangaroo, "that is the sound of their game."	"Their camp is over there," said the Kangaroo, "that is the sound of their game."	true	108.86	112.93	20.028187
1313_136054_000012_000000	"Can't we go some other way?" asked Dot.	"Can't we go some other way?" asked Dot.	true	113.33	115.66	20.425894
1313_136054_000012_000001	"No," answered the Kangaroo, "because past that place we can reach some very wild country where it would be hard for them to pursue us.	"No," answered the Kangaroo, "because past that place we can reach some very wild country where it would be hard for them to pursue us.	false	115.97	123.28	21.072363
1313_136054_000012_000002	We shall have to pass quite close to their playground." So in perfect silence they went on.	We shall have to pass quite close to their playground." So in perfect silence they went on.	true	123.41	128.46	22.051767
1313_136054_000013_000000	[Illustration: THE CORROBOREE]	[Illustration: THE CORROBOREE]	false	128.46	129.45	7
1313_136054_000014_000000	The Kangaroo seemed to Dot to approach the whereabouts of the Blackfellows as cautiously as when they had visited the water-hole the first night.	The Kangaroo seemed to Dot to approach the whereabouts of the Blackfellows as cautiously as when they had visited the water hole the first night.	false	129.45	136.54	20.994394
1313_136054_000014_000001	Dot's little heart beat fast as the sound of the Blacks' corroboree became clearer and clearer, and they neared the scene of the dance.	Dot's little heart beat fast as the sound of the Blacks' corroboree became clearer and clearer, and they neared the scene of the dance.	false	136.82	143.95	21.647211
1313_136054_000014_000002	Soon she could hear the stamping of feet, the beating of weapons together, and the wild chanting; and sometimes there were the whimpering of dogs, and the cry of children at the camp a little distance from the corroboree ground.	Soon she could hear the stamping of feet, the beating of weapons together, and the wild chanting; and sometimes there were the whimpering of dogs, and the cry of children at the camp a little distance from the corroboree ground.	true	144.2	154.9	19
1313_136054_000015_000000	The Kangaroo showed no signs of fear at the increasing noise of the Blacks, but every sound of a dog caused it to stop and twist about its big ears and sensitive nose, as it sniffed and listened.	The Kangaroo showed no signs of fear at the increasing noise of the Blacks, but every sound of a dog caused it to stop and twist about its big ears and sensitive nose, as it sniffed and listened.	true	155.33	165.85	18.26126
1313_136054_000016_000000	Soon Dot could see a great red glare of firelight through the trees ahead of their track, and she knew that in that place the tribe of Black men were having a festive dance.	Soon Dot could see a great red glare of firelight through the trees ahead of their track, and she knew that in that place the tribe of Black men were having a festive dance.	false	166.79	175.6	21
1313_136054_000017_000000	If they had gone on their way it is possible that they would have slipped past the Blacks without danger.	If they had gone on their way it is possible that they would have slipped past the Blacks without danger.	true	175.94	181.18	21.263731
1313_136054_000017_000001	But although the Kangaroo is as timid an animal as any in the bush, it is also very curious, and Dot's Kangaroo wished to peep at the corroboree.	But although the Kangaroo is as timid an animal as any in the bush, it is also very curious, and Dot's Kangaroo wished to peep at the corroboree.	true	181.46	189.67	20.746893
1313_136054_000017_000002	She whispered to Dot that it would be nice for a little Human to see some other Humans after being so long amongst bush creatures, and said, also, that there would be no great danger in hopping to a rock that would command a view of the open ground where the corroboree was being held.	She whispered to Dot that it would be nice for a little Human to see some other Humans after being so long amongst bush creatures, and said, also, that there would be no great danger in hopping to a rock that would command a view of the open ground where the corroboree was being held.	true	189.89	204.07	20
1313_136054_000017_000003	Of course Dot thought this would be great fun, so the Kangaroo took her to the rock, where they peeped through the trees and saw before them the weird scene and dance.	Of course Dot thought this would be great fun, so the Kangaroo took her to the rock, where they peeped through the trees and saw before them the weird scene and dance.	true	204.32	212.2	21.586432
1313_136054_000018_000000	Dot nearly screamed with fright at the sight.	Dot nearly screamed with fright at the sight.	true	212.63	215.1	25.180408
