1509_145742_000000_000000	BLOCKHEAD-HANS	BLOCKHEAD HANS
1509_145742_000004_000002	All the servants stood in the courtyard and saw them mount their steeds, and here by chance came the third brother; for the squire had three sons, but nobody counted him with his brothers, for he was not so learned as they were, and he was generally called 'Blockhead-Hans.'	All the servants stood in the courtyard and saw them mount their steeds, and here by chance came the third brother; for the squire had three sons, but nobody counted him with his brothers, for he was not so learned as they were, and he was generally called 'Blockhead Hans.'
1509_145742_000005_000001	You are in your Sunday-best clothes!'	You are in your Sunday best clothes!'
1509_145742_000006_000000	'We are going to Court, to woo the Princess!	'We are going to Court, to woo the Princess!
1509_145742_000007_000000	'Hurrah!	'Hurrah!
1509_145742_000007_000001	I'll go to!' cried Blockhead-Hans; and the brothers laughed at him and rode off.	I'll go to!' cried Blockhead Hans; and the brothers laughed at him and rode off.
1509_145742_000008_000000	'Dear father!' cried Blockhead-Hans, 'I must have a horse too.	'Dear father!' cried Blockhead Hans, 'I must have a horse too.
1509_145742_000008_000001	What a desire for marriage has seized me!	What a desire for marriage has seized me!
1509_145742_000009_000000	'Stop that nonsense!' said the old man.	'Stop that nonsense!' said the old man.
1509_145742_000009_000001	'I will not give you a horse. YOU can't speak; YOU don't know how to choose your words.	'I will not give you a horse. YOU can't speak; YOU don't know how to choose your words.
1509_145742_000009_000002	Your brothers! Ah! they are very different lads!'	Your brothers! Ah! they are very different lads!'
1509_145742_000010_000000	'Well,' said Blockhead-Hans, 'if I can't have a horse, I will take the goat which is mine; he can carry me!'	'Well,' said Blockhead Hans, 'if I can't have a horse, I will take the goat which is mine; he can carry me!'
1509_145742_000011_000000	And he did so.	And he did so.
1509_145742_000013_000000	'Hullo!' bawled Blockhead-Hans, 'here I am!	'Hullo!' bawled Blockhead Hans, 'here I am!
1509_145742_000013_000001	Just look what I found on the road!'--and he showed them a dead crow which he had picked up.	Just look what I found on the road!'--and he showed them a dead crow which he had picked up.
1509_145742_000014_000000	'Blockhead!' said his brothers, 'what are you going to do with it?'	'Blockhead!' said his brothers, 'what are you going to do with it?'
1509_145742_000015_000000	'With the crow?	'With the crow?
1509_145742_000015_000001	I shall give it to the Princess!'	I shall give it to the Princess!'
1509_145742_000016_000000	'Do so, certainly!' they said, laughing loudly and riding on.	'Do so, certainly!' they said, laughing loudly and riding on.
1509_145742_000017_000000	'Slap! bang! here I am again!	'Slap! bang! here I am again!
1509_145742_000017_000001	Look what I have just found!	Look what I have just found!
1509_145742_000018_000001	Are you going to send that, too, to the Princess?'	Are you going to send that, too, to the Princess?'
1509_145742_000020_000000	'Slap! bang! here I am!' cried Blockhead-Hans; 'better and better--it is really famous!'	'Slap! bang! here I am!' cried Blockhead Hans; 'better and better-it is really famous!'
1509_145742_000022_000000	'Oh,' said Blockhead-Hans, 'it is really too good!	'Oh,' said Blockhead Hans, 'it is really too good!
1509_145742_000022_000001	How pleased the Princess will be!'	How pleased the Princess will be!'
1509_145742_000023_000000	'Why!' said the brothers, 'this is pure mud, straight from the ditch.'	'Why!' said the brothers, 'this is pure mud, straight from the ditch.'
1509_145742_000024_000000	'Of course it is!' said Blockhead-Hans, 'and it is the best kind!	'Of course it is!' said Blockhead Hans, 'and it is the best kind!
1509_145742_000024_000001	Look how it runs through one's fingers!' and, so saying, he filled his pocket with the mud.	Look how it runs through one's fingers!' and, so saying, he filled his pocket with the mud.
1509_145742_000025_000001	This was a very good thing, for otherwise they would have torn each other in pieces, merely because the one was in front of the other.	This was a very good thing, for otherwise they would have torn each other in pieces, merely because the one was in front of the other.
1509_145742_000027_000000	'It doesn't matter!' said the Princess. 'Away! out with him!'	'It doesn't matter!' said the Princess. 'Away! out with him!'
1509_145742_000029_000000	'It is hot in here, isn't it!' said the suitor.	'It is hot in here, isn't it!' said the suitor.
1509_145742_000030_000001	My father is roasting young chickens to-day!' said the Princess.	My father is roasting young chickens to day!' said the Princess.
1509_145742_000031_000001	He was not prepared for such a speech; he did not know what to say, although he wanted to say something witty.	He was not prepared for such a speech; he did not know what to say, although he wanted to say something witty.
1509_145742_000035_000000	'Of course!	'Of course!
1509_145742_000036_000000	'How do you--um!' he said, and the reporters wrote down.	'How do you-um!' he said, and the reporters wrote down.
1509_145742_000036_000001	'How do you--um.'	'How do you-um.'
1509_145742_000037_000000	'It doesn't matter!' said the Princess. 'Take him out!'	'It doesn't matter!' said the Princess. 'Take him out!'
1509_145742_000040_000000	'Of course!	'Of course!
1509_145742_000041_000000	'That's good!' replied Blockhead-Hans; 'then can I roast a crow with them?'	'That's good!' replied Blockhead Hans; 'then can I roast a crow with them?'
1509_145742_000042_000000	'With the greatest of pleasure!' said the Princess; 'but have you anything you can roast them in? for I have neither pot nor saucepan.'	'With the greatest of pleasure!' said the Princess; 'but have you anything you can roast them in? for I have neither pot nor saucepan.'
1509_145742_000045_000001	'I have so much that I can quite well throw some away!' and he poured some mud out of his pocket.	'I have so much that I can quite well throw some away!' and he poured some mud out of his pocket.
1509_145742_000046_000000	'I like you!' said the Princess.	'I like you!' said the Princess.
1509_145742_000046_000002	And the reporters giggled, and each dropped a blot of ink on the floor.	And the reporters giggled, and each dropped a blot of ink on the floor.
1509_145742_000048_000000	'That was neatly done!' said the Princess. 'I couldn't have done it; but I will soon learn how to!'	'That was neatly done!' said the Princess. 'I couldn't have done it; but I will soon learn how to!'
1509_145742_000049_000000	Blockhead-Hans became King, got a wife and a crown, and sat on the throne; and this we have still damp from the newspaper of the editor and the reporters--and they are not to be believed for a moment.	Blockhead Hans became King, got a wife and a crown, and sat on the throne; and this we have still damp from the newspaper of the editor and the reporters-and they are not to be believed for a moment.
