1241_121106_000001_000000	Chapter 87.	Chapter eighty seven.
1241_121106_000001_000001	The Challenge.	The Challenge.
1241_121106_000002_000000	"Then," continued Beauchamp, "I took advantage of the silence and the darkness to leave the house without being seen.	"Then," continued Beauchamp, "I took advantage of the silence and the darkness to leave the house without being seen.
1241_121106_000002_000006	I rely on your friendship to assist me, Beauchamp, if contempt has not banished it from your heart."	I rely on your friendship to assist me, Beauchamp, if contempt has not banished it from your heart."
1241_121106_000003_000000	"Contempt, my friend?	"Contempt, my friend?
1241_121106_000003_000001	How does this misfortune affect you?	How does this misfortune affect you?
1241_121106_000003_000003	Review your life, Albert; although it is only just beginning, did a lovely summer's day ever dawn with greater purity than has marked the commencement of your career?	Review your life, Albert; although it is only just beginning, did a lovely summer's day ever dawn with greater purity than has marked the commencement of your career?
1241_121106_000005_000000	"Be it so," said Beauchamp; "if you must have me descend to earth, I submit; and if you will seek your enemy, I will assist you, and I will engage to find him, my honor being almost as deeply interested as yours."	"Be it so," said Beauchamp; "if you must have me descend to earth, I submit; and if you will seek your enemy, I will assist you, and I will engage to find him, my honor being almost as deeply interested as yours."
1241_121106_000007_000000	"Well, listen, Morcerf."	"Well, listen, Morcerf."
1241_121106_000010_000000	"Tell me; satisfy my impatience."	"Tell me; satisfy my impatience."
1241_121106_000012_000000	"Say on."	"Say on."
1241_121106_000015_000000	"'How, and why?'	"'How, and why?'
1241_121106_000016_000000	"'Because a fortnight since I was questioned on the same subject.'	"'Because a fortnight since I was questioned on the same subject.'
1241_121106_000018_000000	"'Whose name is'--	"'Whose name is'--
1241_121106_000019_000000	"'Danglars.'"	"'Danglars.'"
1241_121106_000021_000000	"Make inquiries, Albert, but do not be angry without reason; make inquiries, and if it be true"--	"Make inquiries, Albert, but do not be angry without reason; make inquiries, and if it be true"--
1241_121106_000022_000000	"Oh, yes, if it be true," cried the young man, "he shall pay me all I have suffered."	"Oh, yes, if it be true," cried the young man, "he shall pay me all I have suffered."
1241_121106_000025_000001	Act prudently."	Act prudently."
1241_121106_000026_000000	"Oh, do not fear; besides, you will accompany me.	"Oh, do not fear; besides, you will accompany me.
1241_121106_000027_000002	Let us go immediately." They sent for a cabriolet.	Let us go immediately." They sent for a cabriolet.
1241_121106_000027_000008	You appear to forget yourself sadly."	You appear to forget yourself sadly."
1241_121106_000028_000000	"No, sir," said Albert, coldly; "there are circumstances in which one cannot, except through cowardice,--I offer you that refuge,--refuse to admit certain persons at least."	"No, sir," said Albert, coldly; "there are circumstances in which one cannot, except through cowardice,--I offer you that refuge,--refuse to admit certain persons at least."
1241_121106_000033_000001	Is it my fault that your father has dishonored himself?"	Is it my fault that your father has dishonored himself?"
1241_121106_000034_000000	"Yes, miserable wretch!" cried Morcerf, "it is your fault." Danglars retreated a few steps.	"Yes, miserable wretch!" cried Morcerf, "it is your fault." Danglars retreated a few steps.
1241_121106_000034_000003	Have I travelled in that country?	Have I travelled in that country?
1241_121106_000035_000001	"No; it is not you who have directly made this exposure and brought this sorrow on us, but you hypocritically provoked it."	"No; it is not you who have directly made this exposure and brought this sorrow on us, but you hypocritically provoked it."
1241_121106_000036_000000	"I?"	"I?"
1241_121106_000037_000001	How came it known?"	How came it known?"
1241_121106_000038_000000	"I suppose you read it in the paper in the account from Yanina?"	"I suppose you read it in the paper in the account from Yanina?"
1241_121106_000039_000000	"Who wrote to Yanina?"	"Who wrote to Yanina?"
1241_121106_000040_000000	"To Yanina?"	"To Yanina?"
1241_121106_000041_000000	"Yes.	"Yes.
1241_121106_000044_000000	"One only?"	"One only?"
1241_121106_000046_000000	"I, doubtless, wrote.	"I, doubtless, wrote.
1241_121106_000048_000000	"I, indeed?	"I, indeed?
1241_121106_000049_000000	"Who, then, urged you to write?	"Who, then, urged you to write?
1241_121106_000049_000001	Tell me."	Tell me."
1241_121106_000053_000000	"The Count of Monte Cristo told you to write to Yanina?"	"The Count of Monte Cristo told you to write to Yanina?"
1241_121106_000055_000000	"I accuse no one, sir," said Danglars; "I relate, and I will repeat before the count what I have said to you."	"I accuse no one, sir," said Danglars; "I relate, and I will repeat before the count what I have said to you."
1241_121106_000056_000000	"Does the count know what answer you received?"	"Does the count know what answer you received?"
1241_121106_000057_000000	"Yes; I showed it to him."	"Yes; I showed it to him."
1241_121106_000059_000002	In short, why should I have any more to do with the affair?	In short, why should I have any more to do with the affair?
1241_121106_000060_000001	Danglars defended himself with the baseness, but at the same time with the assurance, of a man who speaks the truth, at least in part, if not wholly--not for conscience' sake, but through fear. Besides, what was Morcerf seeking?	Danglars defended himself with the baseness, but at the same time with the assurance, of a man who speaks the truth, at least in part, if not wholly-not for conscience' sake, but through fear. Besides, what was Morcerf seeking?
1241_121106_000060_000003	And, in addition to this, everything forgotten or unperceived before presented itself now to his recollection.	And, in addition to this, everything forgotten or unperceived before presented itself now to his recollection.
1241_121106_000060_000004	Monte Cristo knew everything, as he had bought the daughter of Ali Pasha; and, knowing everything, he had advised Danglars to write to Yanina.	Monte Cristo knew everything, as he had bought the daughter of Ali Pasha; and, knowing everything, he had advised Danglars to write to Yanina.
1241_121106_000060_000007	Lastly, he had taken Albert to Normandy when he knew the final blow was near.	Lastly, he had taken Albert to Normandy when he knew the final blow was near.
1241_121106_000060_000009	Albert took Beauchamp aside, and communicated these ideas to him.	Albert took Beauchamp aside, and communicated these ideas to him.
