1241_121106_000000_000000	"Haidee had remained until the close of the meeting.	"Haidee had remained until the close of the meeting.	false	0	3.57	19.331217
1241_121106_000000_000001	She heard the count's sentence pronounced without betraying an expression of joy or pity; then drawing her veil over her face she bowed majestically to the councillors, and left with that dignified step which Virgil attributes to his goddesses."	She heard the count's sentence pronounced without betraying an expression of joy or pity; then drawing her veil over her face she bowed majestically to the councillors, and left with that dignified step which Virgil attributes to his goddesses."	false	3.57	27.33	19.822887
1241_121106_000001_000000	Chapter 87.	Chapter eighty seven.	true	27.33	29.08	21.913242
1241_121106_000001_000001	The Challenge.	The Challenge.	true	30.17	31.33	21.51074
1241_121106_000002_000000	"Then," continued Beauchamp, "I took advantage of the silence and the darkness to leave the house without being seen.	"Then," continued Beauchamp, "I took advantage of the silence and the darkness to leave the house without being seen.	true	32.3	39.49	20.028547
1241_121106_000002_000001	The usher who had introduced me was waiting for me at the door, and he conducted me through the corridors to a private entrance opening into the Rue de Vaugirard.	The usher who had introduced me was waiting for me at the door, and he conducted me through the corridors to a private entrance opening into the Rue de Vaugirard.	true	39.8	49.45	18
1241_121106_000002_000002	I left with mingled feelings of sorrow and delight.	I left with mingled feelings of sorrow and delight.	true	49.88	53.23	18.610355
1241_121106_000002_000003	Excuse me, Albert,--sorrow on your account, and delight with that noble girl, thus pursuing paternal vengeance.	Excuse me, Albert,--sorrow on your account, and delight with that noble girl, thus pursuing paternal vengeance.	false	53.51	60.19	18
1241_121106_000002_000004	Yes, Albert, from whatever source the blow may have proceeded--it may be from an enemy, but that enemy is only the agent of providence." Albert held his head between his hands; he raised his face, red with shame and bathed in tears, and seizing Beauchamp's arm, "My friend," said he, "my life is ended.	Yes, Albert, from whatever source the blow may have proceeded-it may be from an enemy, but that enemy is only the agent of providence." Albert held his head between his hands; he raised his face, red with shame and bathed in tears, and seizing Beauchamp's arm, "My friend," said he, "my life is ended.	false	60.53	81	19.673227
1241_121106_000002_000005	I cannot calmly say with you, 'Providence has struck the blow;' but I must discover who pursues me with this hatred, and when I have found him I shall kill him, or he will kill me.	I cannot calmly say with you, 'Providence has struck the blow;' but I must discover who pursues me with this hatred, and when I have found him I shall kill him, or he will kill me.	true	81	92.08	19.848625
1241_121106_000002_000006	I rely on your friendship to assist me, Beauchamp, if contempt has not banished it from your heart."	I rely on your friendship to assist me, Beauchamp, if contempt has not banished it from your heart."	true	92.36	97.99	20.66645
1241_121106_000003_000000	"Contempt, my friend?	"Contempt, my friend?	true	98.66	100.065	20.895243
1241_121106_000003_000001	How does this misfortune affect you?	How does this misfortune affect you?	true	100.065	102.25	20.651955
1241_121106_000003_000002	No, happily that unjust prejudice is forgotten which made the son responsible for the father's actions.	No, happily that unjust prejudice is forgotten which made the son responsible for the father's actions.	true	102.47	108.64	16
1241_121106_000003_000003	Review your life, Albert; although it is only just beginning, did a lovely summer's day ever dawn with greater purity than has marked the commencement of your career?	Review your life, Albert; although it is only just beginning, did a lovely summer's day ever dawn with greater purity than has marked the commencement of your career?	true	108.77	117.82	20
1241_121106_000003_000004	No, Albert, take my advice. You are young and rich--leave Paris--all is soon forgotten in this great Babylon of excitement and changing tastes.	No, Albert, take my advice. You are young and rich-leave Paris-all is soon forgotten in this great Babylon of excitement and changing tastes.	true	118.13	127.3	19.691353
1241_121106_000003_000005	You will return after three or four years with a Russian princess for a bride, and no one will think more of what occurred yesterday than if it had happened sixteen years ago."	You will return after three or four years with a Russian princess for a bride, and no one will think more of what occurred yesterday than if it had happened sixteen years ago."	true	128.27	137.92	19
1241_121106_000004_000000	"Thank you, my dear Beauchamp, thank you for the excellent feeling which prompts your advice; but it cannot be.	"Thank you, my dear Beauchamp, thank you for the excellent feeling which prompts your advice; but it cannot be.	true	138.17	143.74	17
1241_121106_000004_000001	I have told you my wish, or rather my determination.	I have told you my wish, or rather my determination.	true	144.08	147.25	16
1241_121106_000004_000002	You understand that, interested as I am in this affair, I cannot see it in the same light as you do.	You understand that, interested as I am in this affair, I cannot see it in the same light as you do.	true	147.65	153.76	19
1241_121106_000004_000003	What appears to you to emanate from a celestial source, seems to me to proceed from one far less pure.	What appears to you to emanate from a celestial source, seems to me to proceed from one far less pure.	true	154.13	160.48	17
1241_121106_000004_000004	Providence appears to me to have no share in this affair; and happily so, for instead of the invisible, impalpable agent of celestial rewards and punishments, I shall find one both palpable and visible, on whom I shall revenge myself, I assure you, for all I have suffered during the last month.	Providence appears to me to have no share in this affair; and happily so, for instead of the invisible, impalpable agent of celestial rewards and punishments, I shall find one both palpable and visible, on whom I shall revenge myself, I assure you, for all I have suffered during the last month.	true	160.58	178.33	18.29927
1241_121106_000004_000005	Now, I repeat, Beauchamp, I wish to return to human and material existence, and if you are still the friend you profess to be, help me to discover the hand that struck the blow."	Now, I repeat, Beauchamp, I wish to return to human and material existence, and if you are still the friend you profess to be, help me to discover the hand that struck the blow."	false	178.76	189.37	20.472382
1241_121106_000005_000000	"Be it so," said Beauchamp; "if you must have me descend to earth, I submit; and if you will seek your enemy, I will assist you, and I will engage to find him, my honor being almost as deeply interested as yours."	"Be it so," said Beauchamp; "if you must have me descend to earth, I submit; and if you will seek your enemy, I will assist you, and I will engage to find him, my honor being almost as deeply interested as yours."	true	190.4	203.2	20.23625
1241_121106_000006_000000	"Well, then, you understand, Beauchamp, that we begin our search immediately.	"Well, then, you understand, Beauchamp, that we begin our search immediately.	true	204.02	207.78	17
1241_121106_000006_000001	Each moment's delay is an eternity for me.	Each moment's delay is an eternity for me.	false	207.78	210.58	20.082588
1241_121106_000006_000002	The calumniator is not yet punished, and he may hope that he will not be; but, on my honor, if he thinks so, he deceives himself."	The calumniator is not yet punished, and he may hope that he will not be; but, on my honor, if he thinks so, he deceives himself."	false	210.86	219.28	18.2043
1241_121106_000007_000000	"Well, listen, Morcerf."	"Well, listen, Morcerf."	true	219.71	221.46	20.079529
1241_121106_000008_000000	"Ah, Beauchamp, I see you know something already; you will restore me to life."	"Ah, Beauchamp, I see you know something already; you will restore me to life."	false	221.46	226.27	20.441328
1241_121106_000009_000000	"I do not say there is any truth in what I am going to tell you, but it is, at least, a ray of light in a dark night; by following it we may, perhaps, discover something more certain."	"I do not say there is any truth in what I am going to tell you, but it is, at least, a ray of light in a dark night; by following it we may, perhaps, discover something more certain."	false	227.09	237.58	20.063581
1241_121106_000010_000000	"Tell me; satisfy my impatience."	"Tell me; satisfy my impatience."	true	237.74	240.16	21.639236
1241_121106_000011_000000	"Well, I will tell you what I did not like to mention on my return from Yanina."	"Well, I will tell you what I did not like to mention on my return from Yanina."	true	240.8	245.35	15
1241_121106_000012_000000	"Say on."	"Say on."	true	245.87	246.85	21.644033
1241_121106_000013_000000	"I went, of course, to the chief banker of the town to make inquiries. At the first word, before I had even mentioned your father's name"--	"I went, of course, to the chief banker of the town to make inquiries. At the first word, before I had even mentioned your father's name"--	true	247.46	256.035	19.653269
1241_121106_000014_000000	"'Ah,' said he.	"'Ah,' said he.	false	256.035	257.01	19.202112
1241_121106_000014_000001	'I guess what brings you here.'	'I guess what brings you here.'	true	257.01	258.31	16
1241_121106_000015_000000	"'How, and why?'	"'How, and why?'	true	259.1	260.41	20.423647
1241_121106_000016_000000	"'Because a fortnight since I was questioned on the same subject.'	"'Because a fortnight since I was questioned on the same subject.'	true	260.69	264.19	20.34723
1241_121106_000017_000000	"'By whom?'--'By a Paris banker, my correspondent.'	"'By whom?'--'By a Paris banker, my correspondent.'	true	264.98	268.66	19.471666
1241_121106_000018_000000	"'Whose name is'--	"'Whose name is'--	true	269.15	270.28	20.59156
1241_121106_000019_000000	"'Danglars.'"	"'Danglars.'"	true	270.5	271.36	23.488434
