6965_277898_000007_000000	Laploshka was one of the meanest men I have ever met, and quite one of the most entertaining.	Laploshka was one of the meanest men I have ever met, and quite one of the most entertaining.
6965_277898_000007_000001	He said horrid things about other people in such a charming way that one forgave him for the equally horrid things he said about oneself behind one's back.	He said horrid things about other people in such a charming way that one forgave him for the equally horrid things he said about oneself behind one's back.
6965_277898_000007_000002	Hating anything in the way of ill-natured gossip ourselves, we are always grateful to those who do it for us and do it well.	Hating anything in the way of ill natured gossip ourselves, we are always grateful to those who do it for us and do it well.
6965_277898_000007_000003	And Laploshka did it really well.	And Laploshka did it really well.
6965_277898_000008_000000	Naturally Laploshka had a large circle of acquaintances, and as he exercised some care in their selection it followed that an appreciable proportion were men whose bank balances enabled them to acquiesce indulgently in his rather one-sided views on hospitality.	Naturally Laploshka had a large circle of acquaintances, and as he exercised some care in their selection it followed that an appreciable proportion were men whose bank balances enabled them to acquiesce indulgently in his rather one sided views on hospitality.
6965_277898_000008_000001	Thus, although possessed of only moderate means, he was able to live comfortably within his income, and still more comfortably within those of various tolerantly disposed associates.	Thus, although possessed of only moderate means, he was able to live comfortably within his income, and still more comfortably within those of various tolerantly disposed associates.
6965_277898_000009_000000	But towards the poor or to those of the same limited resources as himself his attitude was one of watchful anxiety; he seemed to be haunted by a besetting fear lest some fraction of a shilling or franc, or whatever the prevailing coinage might be, should be diverted from his pocket or service into that of a hard-up companion.	But towards the poor or to those of the same limited resources as himself his attitude was one of watchful anxiety; he seemed to be haunted by a besetting fear lest some fraction of a shilling or franc, or whatever the prevailing coinage might be, should be diverted from his pocket or service into that of a hard up companion.
6965_277898_000010_000000	The knowledge of this amiable weakness offered a perpetual temptation to play upon Laploshka's fears of involuntary generosity.	The knowledge of this amiable weakness offered a perpetual temptation to play upon Laploshka's fears of involuntary generosity.
6965_277898_000010_000001	To offer him a lift in a cab and pretend not to have enough money to pay the fair, to fluster him with a request for a sixpence when his hand was full of silver just received in change, these were a few of the petty torments that ingenuity prompted as occasion afforded.	To offer him a lift in a cab and pretend not to have enough money to pay the fair, to fluster him with a request for a sixpence when his hand was full of silver just received in change, these were a few of the petty torments that ingenuity prompted as occasion afforded.
6965_277898_000010_000003	He had the air of a man who had not slept.	He had the air of a man who had not slept.
6965_277898_000011_000000	"You owe me two francs from last night," was his breathless greeting.	"You owe me two francs from last night," was his breathless greeting.
6965_277898_000012_000000	I spoke evasively of the situation in Portugal, where more trouble seemed brewing.	I spoke evasively of the situation in Portugal, where more trouble seemed brewing.
6965_277898_000012_000001	But Laploshka listened with the abstraction of the deaf adder, and quickly returned to the subject of the two francs.	But Laploshka listened with the abstraction of the deaf adder, and quickly returned to the subject of the two francs.
6965_277898_000013_000000	"I'm afraid I must owe it to you," I said lightly and brutally.	"I'm afraid I must owe it to you," I said lightly and brutally.
6965_277898_000014_000000	Laploshka said nothing, but his eyes bulged a little and his cheeks took on the mottled hues of an ethnographical map of the Balkan Peninsula. That same day, at sundown, he died.	Laploshka said nothing, but his eyes bulged a little and his cheeks took on the mottled hues of an ethnographical map of the Balkan Peninsula. That same day, at sundown, he died.
6965_277898_000015_000000	There arose the problem of what to do with his two francs.	There arose the problem of what to do with his two francs.
6965_277898_000015_000001	To have killed Laploshka was one thing; to have kept his beloved money would have argued a callousness of feeling of which I am not capable.	To have killed Laploshka was one thing; to have kept his beloved money would have argued a callousness of feeling of which I am not capable.
6965_277898_000015_000002	The ordinary solution, of giving it to the poor, would by no means fit the present situation, for nothing would have distressed the dead man more than such a misuse of his property.	The ordinary solution, of giving it to the poor, would by no means fit the present situation, for nothing would have distressed the dead man more than such a misuse of his property.
6965_277898_000015_000003	On the other hand, the bestowal of two francs on the rich was an operation which called for some tact.	On the other hand, the bestowal of two francs on the rich was an operation which called for some tact.
6965_277898_000015_000004	An easy way out of the difficulty seemed, however, to present itself the following Sunday, as I was wedged into the cosmopolitan crowd which filled the side-aisle of one of the most popular Paris churches.	An easy way out of the difficulty seemed, however, to present itself the following Sunday, as I was wedged into the cosmopolitan crowd which filled the side aisle of one of the most popular Paris churches.
6965_277898_000015_000005	A collecting-bag, for "the poor of Monsieur le Cure," was buffeting its tortuous way across the seemingly impenetrable human sea, and a German in front of me, who evidently did not wish his appreciation of the magnificent music to be marred by a suggestion of payment, made audible criticisms to his companion on the claims of the said charity.	A collecting bag, for "the poor of Monsieur le Cure," was buffeting its tortuous way across the seemingly impenetrable human sea, and a German in front of me, who evidently did not wish his appreciation of the magnificent music to be marred by a suggestion of payment, made audible criticisms to his companion on the claims of the said charity.
6965_277898_000016_000000	"They do not want money," he said; "they have too much money.	"They do not want money," he said; "they have too much money.
6965_277898_000016_000001	They have no poor.	They have no poor.
6965_277898_000016_000002	They are all pampered."	They are all pampered."
6965_277898_000017_000000	If that were really the case my way seemed clear.	If that were really the case my way seemed clear.
6965_277898_000018_000000	Some three weeks later chance had taken me to Vienna, and I sat one evening regaling myself in a humble but excellent little Gasthaus up in the Wahringer quarter.	Some three weeks later chance had taken me to Vienna, and I sat one evening regaling myself in a humble but excellent little Gasthaus up in the Wahringer quarter.
