3032_19361_000000_000000	LAW I. _Planets move in ellipses, with the Sun in one focus._	LAW i underscore Planets move in ellipses, with the Sun in one focus.underscore	false	109.05	141.75	21.996206
3032_19361_000001_000000	LAW II. _The radius vector (or line joining sun and planet) sweeps out equal areas in equal times._	LAW two. underscore The radius vector (or line joining sun and planet) sweeps out equal areas in equal times.underscore	false	141.75	151.89	22.269617
3032_19361_000002_000000	Published his second book containing these laws in 1609.	Published his second book containing these laws in sixteen o nine.	true	151.89	156.37	21.835278
3032_19361_000002_000001	Death of Rudolph in 1612, and subsequent increased misery and misfortune of Kepler.	Death of Rudolph in sixteen twelve, and subsequent increased misery and misfortune of Kepler.	true	156.62	163.27	25.210768
3032_19361_000002_000002	Ultimately discovered the connection between the times and distances of the planets for which he had been groping all his mature life, and announced it in 1618:--	Ultimately discovered the connection between the times and distances of the planets for which he had been groping all his mature life, and announced it in sixteen eighteen:--	true	163.55	174.28	23.783007
3032_19361_000003_000000	LAW III. _The square of the time of revolution (or year) of each planet is proportional to the cube of its mean distance from the sun._	LAW three. underscore The square of the time of revolution (or year) of each planet is proportional to the cube of its mean distance from the sun underscore	false	175.1	186.63	22.305319
3032_19361_000004_000000	The book in which this law was published ("On Celestial Harmonies") was dedicated to James of England.	The book in which this law was published ("On Celestial Harmonies") was dedicated to james of England.	true	186.63	193.51	23.88134
3032_19361_000004_000001	In 1620 had to intervene to protect his mother from being tortured for witchcraft.	In sixteen twenty had to intervene to protect his mother from being tortured for witchcraft.	true	193.64	199.54	24.283459
3032_19361_000004_000002	Accepted a professorship at Linz.	Accepted a professorship at Linz.	true	199.61	202.24	26.158743
3032_19361_000004_000003	Published the Rudolphine tables in 1627, embodying Tycho's observations and his own theory.	Published the Rudolphine tables in sixteen twenty seven, embodying Tycho's observations and his own theory.	true	202.58	210.31	21.90188
3032_19361_000004_000004	Made a last effort to overcome his poverty by getting the arrears of his salary paid at Prague, but was unsuccessful, and, contracting brain fever on the journey, died in November, 1630, aged 59.	Made a last effort to overcome his poverty by getting the arrears of his salary paid at Prague, but was unsuccessful, and, contracting brain fever on the journey, died in November, sixteen thirty, aged fifty nine.	true	210.62	227.2	23.475622
3032_19361_000005_000000	A man of keen imagination, indomitable perseverance, and uncompromising love of truth, Kepler overcame ill-health, poverty, and misfortune, and placed himself in the very highest rank of scientific men.	A man of keen imagination, indomitable perseverance, and uncompromising love of truth, Kepler overcame ill health, poverty, and misfortune, and placed himself in the very highest rank of scientific men.	true	228.77	244.63	24.284359
3032_19361_000005_000001	His laws, so extraordinarily discovered, introduced order and simplicity into what else would have been a chaos of detailed observations; and they served as a secure basis for the splendid erection made on them by Newton.	His laws, so extraordinarily discovered, introduced order and simplicity into what else would have been a chaos of detailed observations; and they served as a secure basis for the splendid erection made on them by Newton.	true	245.09	261.48	22.757668
3032_19361_000006_000000	_Seven planets of the Ptolemaic system--_ Moon, Mercury, Venus, Sun, Mars, Jupiter, Saturn.	underscore Seven planets of the Ptolemaic system-underscore Moon, Mercury, Venus, Sun, Mars, Jupiter, Saturn.	false	261.48	271.26	22.32946
3032_19361_000007_000000	_Six planets of the Copernican system--_ Mercury, Venus, Earth, Mars, Jupiter, Saturn.	underscore Six planets of the Copernican system-underscore Mercury, Venus, Earth, Mars, Jupiter, Saturn.	false	271.26	279.54	22.810284
3032_19361_000008_000000	_The five regular solids, in appropriate order--_ Octahedron, Icosahedron, Dodecahedron, Tetrahedron, Cube.	underscore The five regular solids, in appropriate order-underscore Octahedron, Icosahedron, Dodecahedron, Tetrahedron, Cube.	false	279.54	290.79	24.172005
3032_19361_000009_000000	_Table illustrating Kepler's third law._	underscore Table illustrating Kepler's third law.underscore	false	290.79	294.99	23.813715
3032_19361_000010_000000	+---------+---------------+-----------+---------------+----------------+ | | Mean distance | Length | Cube of the | Square of the | | Planet. | from Sun. | of Year. | Distance. | Time.	plus---------plus---------------plus-----------plus---------------plus----------------plus | | Mean distance | Length | Cube of the | Square of the | | Planet. | from sun | of Year. | Distance. | Time.	false	294.99	298.92	22.738792
3032_19361_000010_000001	| | | D | T | D^3 | T^2 | +---------+---------------+-----------+---------------+----------------+ | Mercury | .3871 | .24084 | .05801 | .05801 | | Venus | .7233 | .61519 | .37845 | .37846 | | Earth | 1.0000 | 1.0000 | 1.0000 | 1.0000 | | Mars | 1.5237 | 1.8808 | 3.5375 | 3.5375 | | Jupiter | 5.2028 | 11.862 | 140.83 | 140.70 | | Saturn | 9.5388 | 29.457 | 867.92 | 867.70 | +---------+---------------+-----------+---------------+----------------+	| | | D | T | D cubed | T squared | plus---------plus---------------plus-----------plus---------------plus----------------plus | Mercury | point three eight seven one | point two four zero eight four | point zero five eight zero one | point zero five eight zero one | | Venus | point seven two three three | point six one five one nine | point three seven eight four five | point three seven eight four six | | Earth | one point zero zero zero zero | one point zero zero zero zero | one point zero zero zero zero | one point zero zero zero zero | | Mars | one point five two three seven | one point eight eight zero eight | three point five three seven five | three point five three seven five | | Jupiter | five point two zero two eight | eleven point eight six two | one hundred forty point eight three | one hundred forty point seven zero | | Saturn | nine point five three eight eight | twenty nine point four five seven | eight hundred sixty seven point nine two | eight hundred sixty seven point seven zero | plus---------plus---------------plus-----------plus---------------plus----------------plus	false	298.92	417.63	23.623787
3032_19361_000011_000000	The length of the earth's year is 365.256 days; its mean distance from the sun, taken above as unity, is 92,000,000 miles.	The length of the earth's year is three hundred sixty five point two five six days; its mean distance from the sun, taken above as unity, is ninety two million miles.	false	417.63	429.37	21.905767
3032_19361_000012_000000	LECTURE III	LECTURE three	true	431.3	432.58	22.471945
3032_19361_000013_000000	KEPLER AND THE LAWS OF PLANETARY MOTION	KEPLER AND THE LAWS OF PLANETARY MOTION	true	432.62	435.91	22.256563
3032_19361_000014_000000	It is difficult to imagine a stronger contrast between two men engaged in the same branch of science than exists between Tycho Brahe, the subject of last lecture, and Kepler, our subject on the present occasion.	It is difficult to imagine a stronger contrast between two men engaged in the same branch of science than exists between Tycho Brahe, the subject of last lecture, and Kepler, our subject on the present occasion.	false	437	451.84	23.693106
3032_19361_000015_000000	The one, rich, noble, vigorous, passionate, strong in mechanical ingenuity and experimental skill, but not above the average in theoretical and mathematical power.	The one, rich, noble, vigorous, passionate, strong in mechanical ingenuity and experimental skill, but not above the average in theoretical and mathematical power.	true	452.18	464.38	21.66033
3032_19361_000016_000000	The other, poor, sickly, devoid of experimental gifts, and unfitted by nature for accurate observation, but strong almost beyond competition in speculative subtlety and innate mathematical perception.	The other, poor, sickly, devoid of experimental gifts, and unfitted by nature for accurate observation, but strong almost beyond competition in speculative subtlety and innate mathematical perception.	true	464.75	480.4	24.095205
3032_19361_000017_000000	The one is the complement of the other; and from the fact of their following each other so closely arose the most surprising benefits to science.	The one is the complement of the other; and from the fact of their following each other so closely arose the most surprising benefits to science.	true	480.89	490.6	22.901749
3032_19361_000018_000000	The outward life of Kepler is to a large extent a mere record of poverty and misfortune.	The outward life of Kepler is to a large extent a mere record of poverty and misfortune.	true	491.06	497.2	25.14982
3032_19361_000018_000001	I shall only sketch in its broad features, so that we may have more time to attend to his work.	I shall only sketch in its broad features, so that we may have more time to attend to his work.	true	497.51	503.8	22.634802
3032_19361_000019_000000	He was born (so his biographer assures us) in longitude 29 deg.	He was born (so his biographer assures us) in longitude twenty nine d e g.	false	504.29	510.045	20.169483
3032_19361_000019_000001	7', latitude 48 deg.	seven feet, latitude forty eight d e g.	false	510.045	513.3	23.071777
3032_19361_000019_000002	54', on the 21st of December, 1571.	fifty four feet, on the twenty first of December, fifteen seventy one.	false	513.3	518.59	23.432064
3032_19361_000019_000003	His parents seem to have been of fair condition, but by reason, it is said, of his becoming surety for a friend, the father lost all his slender income, and was reduced to keeping a tavern.	His parents seem to have been of fair condition, but by reason, it is said, of his becoming surety for a friend, the father lost all his slender income, and was reduced to keeping a tavern.	true	518.99	532.48	22.665031
3032_19361_000019_000004	Young John Kepler was thereupon taken from school, and employed as pot-boy between the ages of nine and twelve.	Young john Kepler was thereupon taken from school, and employed as pot boy between the ages of nine and twelve.	true	532.85	541.39	23.697025
