3032_19361_000002_000000	Published his second book containing these laws in 1609.	Published his second book containing these laws in sixteen o nine.
3032_19361_000002_000001	Death of Rudolph in 1612, and subsequent increased misery and misfortune of Kepler.	Death of Rudolph in sixteen twelve, and subsequent increased misery and misfortune of Kepler.
3032_19361_000002_000002	Ultimately discovered the connection between the times and distances of the planets for which he had been groping all his mature life, and announced it in 1618:--	Ultimately discovered the connection between the times and distances of the planets for which he had been groping all his mature life, and announced it in sixteen eighteen:--
3032_19361_000004_000000	The book in which this law was published ("On Celestial Harmonies") was dedicated to James of England.	The book in which this law was published ("On Celestial Harmonies") was dedicated to james of England.
3032_19361_000004_000001	In 1620 had to intervene to protect his mother from being tortured for witchcraft.	In sixteen twenty had to intervene to protect his mother from being tortured for witchcraft.
3032_19361_000004_000002	Accepted a professorship at Linz.	Accepted a professorship at Linz.
3032_19361_000004_000003	Published the Rudolphine tables in 1627, embodying Tycho's observations and his own theory.	Published the Rudolphine tables in sixteen twenty seven, embodying Tycho's observations and his own theory.
3032_19361_000004_000004	Made a last effort to overcome his poverty by getting the arrears of his salary paid at Prague, but was unsuccessful, and, contracting brain fever on the journey, died in November, 1630, aged 59.	Made a last effort to overcome his poverty by getting the arrears of his salary paid at Prague, but was unsuccessful, and, contracting brain fever on the journey, died in November, sixteen thirty, aged fifty nine.
3032_19361_000005_000000	A man of keen imagination, indomitable perseverance, and uncompromising love of truth, Kepler overcame ill-health, poverty, and misfortune, and placed himself in the very highest rank of scientific men.	A man of keen imagination, indomitable perseverance, and uncompromising love of truth, Kepler overcame ill health, poverty, and misfortune, and placed himself in the very highest rank of scientific men.
3032_19361_000005_000001	His laws, so extraordinarily discovered, introduced order and simplicity into what else would have been a chaos of detailed observations; and they served as a secure basis for the splendid erection made on them by Newton.	His laws, so extraordinarily discovered, introduced order and simplicity into what else would have been a chaos of detailed observations; and they served as a secure basis for the splendid erection made on them by Newton.
3032_19361_000012_000000	LECTURE III	LECTURE three
3032_19361_000013_000000	KEPLER AND THE LAWS OF PLANETARY MOTION	KEPLER AND THE LAWS OF PLANETARY MOTION
3032_19361_000015_000000	The one, rich, noble, vigorous, passionate, strong in mechanical ingenuity and experimental skill, but not above the average in theoretical and mathematical power.	The one, rich, noble, vigorous, passionate, strong in mechanical ingenuity and experimental skill, but not above the average in theoretical and mathematical power.
3032_19361_000016_000000	The other, poor, sickly, devoid of experimental gifts, and unfitted by nature for accurate observation, but strong almost beyond competition in speculative subtlety and innate mathematical perception.	The other, poor, sickly, devoid of experimental gifts, and unfitted by nature for accurate observation, but strong almost beyond competition in speculative subtlety and innate mathematical perception.
3032_19361_000017_000000	The one is the complement of the other; and from the fact of their following each other so closely arose the most surprising benefits to science.	The one is the complement of the other; and from the fact of their following each other so closely arose the most surprising benefits to science.
3032_19361_000018_000000	The outward life of Kepler is to a large extent a mere record of poverty and misfortune.	The outward life of Kepler is to a large extent a mere record of poverty and misfortune.
3032_19361_000018_000001	I shall only sketch in its broad features, so that we may have more time to attend to his work.	I shall only sketch in its broad features, so that we may have more time to attend to his work.
3032_19361_000019_000003	His parents seem to have been of fair condition, but by reason, it is said, of his becoming surety for a friend, the father lost all his slender income, and was reduced to keeping a tavern.	His parents seem to have been of fair condition, but by reason, it is said, of his becoming surety for a friend, the father lost all his slender income, and was reduced to keeping a tavern.
3032_19361_000019_000004	Young John Kepler was thereupon taken from school, and employed as pot-boy between the ages of nine and twelve.	Young john Kepler was thereupon taken from school, and employed as pot boy between the ages of nine and twelve.
3032_19361_000019_000005	He was a sickly lad, subject to violent illnesses from the cradle, so that his life was frequently despaired of.	He was a sickly lad, subject to violent illnesses from the cradle, so that his life was frequently despaired of.
3032_19361_000019_000006	Ultimately he was sent to a monastic school and thence to the University of Tuebingen, where he graduated second on the list.	Ultimately he was sent to a monastic school and thence to the University of Tuebingen, where he graduated second on the list.
3032_19361_000019_000007	Meanwhile home affairs had gone to rack and ruin. His father abandoned the home, and later died abroad.	Meanwhile home affairs had gone to rack and ruin. His father abandoned the home, and later died abroad.
3032_19361_000021_000000	An astronomical lectureship at Graz happening to offer itself, he was urged to take it, and agreed to do so, though stipulating that it should not debar him from some more brilliant profession when there was a chance.	An astronomical lectureship at Graz happening to offer itself, he was urged to take it, and agreed to do so, though stipulating that it should not debar him from some more brilliant profession when there was a chance.
3032_19361_000022_000000	For astronomy in those days seems to have ranked as a minor science, like mineralogy or meteorology now.	For astronomy in those days seems to have ranked as a minor science, like mineralogy or meteorology now.
3032_19361_000022_000001	It had little of the special dignity with which the labours of Kepler himself were destined so greatly to aid in endowing it.	It had little of the special dignity with which the labours of Kepler himself were destined so greatly to aid in endowing it.
