7766_275147_000001_000000	Chapter XXXII.	Chapter thirty two.
7766_275147_000001_000001	Miss Westerfield.	Miss Westerfield.
7766_275147_000002_000000	She locked the door of her bedchamber, and threw off her walking-dress; light as it was, she felt as if it would stifle her.	She locked the door of her bedchamber, and threw off her walking dress; light as it was, she felt as if it would stifle her.
7766_275147_000002_000002	Her overburdened heart found no relief in tears.	Her overburdened heart found no relief in tears.
7766_275147_000002_000005	One of the windows was open already; she threw up the other to get more air.	One of the windows was open already; she threw up the other to get more air.
7766_275147_000002_000006	In the cooler atmosphere her memory recovered itself; she recollected the newspaper, that Herbert had taken from her.	In the cooler atmosphere her memory recovered itself; she recollected the newspaper, that Herbert had taken from her.
7766_275147_000002_000007	Instantly she rang for the maid.	Instantly she rang for the maid.
7766_275147_000003_000000	When her wish had been gratified, when she had read it from beginning to end, one vivid impression only was left on her mind.	When her wish had been gratified, when she had read it from beginning to end, one vivid impression only was left on her mind.
7766_275147_000003_000001	She could think of nothing but what the judge had said, in speaking of Mrs. Linley.	She could think of nothing but what the judge had said, in speaking of mrs Linley.
7766_275147_000004_000000	A cruel reproof, and worse than cruel, a public reproof, administered to the generous friend, the true wife, the devoted mother--and for what?	A cruel reproof, and worse than cruel, a public reproof, administered to the generous friend, the true wife, the devoted mother-and for what?
7766_275147_000004_000001	For having been too ready to forgive the wretch who had taken her husband from her, and had repaid a hundred acts of kindness by unpardonable ingratitude.	For having been too ready to forgive the wretch who had taken her husband from her, and had repaid a hundred acts of kindness by unpardonable ingratitude.
7766_275147_000005_000001	"Oh, God, how can I give that woman back the happiness of which I have robbed her!"	"Oh, God, how can I give that woman back the happiness of which I have robbed her!"
7766_275147_000006_000000	The composing influence of prayer on a troubled mind was something that she had heard of.	The composing influence of prayer on a troubled mind was something that she had heard of.
7766_275147_000006_000001	It was not something that she experienced now.	It was not something that she experienced now.
7766_275147_000006_000002	An overpowering impatience to make the speediest and completest atonement possessed her.	An overpowering impatience to make the speediest and completest atonement possessed her.
7766_275147_000006_000003	Must she wait till Herbert Linley no longer concealed that he was weary of her, and cast her off?	Must she wait till Herbert Linley no longer concealed that he was weary of her, and cast her off?
7766_275147_000006_000004	No!	No!
7766_275147_000006_000005	It should be her own act that parted them, and that did it at once.	It should be her own act that parted them, and that did it at once.
7766_275147_000007_000000	Slowly and sadly she submitted, and went back to her room.	Slowly and sadly she submitted, and went back to her room.
7766_275147_000008_000002	The Divorce, the merciless Divorce, answered:--No!	The Divorce, the merciless Divorce, answered:--No!
7766_275147_000009_000000	She paused, thinking of the marriage that was now a marriage no more. The toilet-table was close to her; she looked absently at her haggard face in the glass.	She paused, thinking of the marriage that was now a marriage no more. The toilet table was close to her; she looked absently at her haggard face in the glass.
7766_275147_000009_000001	What a lost wretch she saw!	What a lost wretch she saw!
7766_275147_000009_000002	The generous impulses which other women were free to feel were forbidden luxuries to her.	The generous impulses which other women were free to feel were forbidden luxuries to her.
7766_275147_000009_000003	She was ashamed of her wickedness; she was eager to sacrifice herself, for the good of the once-dear friend whom she had wronged.	She was ashamed of her wickedness; she was eager to sacrifice herself, for the good of the once dear friend whom she had wronged.
