3967_29012_000000_000000	CHAPTER IX.	CHAPTER nine.	false	0.66	12.25	20.702505
3967_29012_000001_000000	"I suppose I ought to enjoy the joke of what's going on here," I wrote, "but somehow it doesn't amuse me.	"I suppose I ought to enjoy the joke of what's going on here," I wrote, "but somehow it doesn't amuse me.	true	12.92	19.15	22.460798
3967_29012_000001_000001	Pessimism on the contrary possesses me and cynicism deeply engages.	Pessimism on the contrary possesses me and cynicism deeply engages.	true	19.19	24.82	16
3967_29012_000001_000002	I positively feel my own flesh sore from the brass nails in Neil Paraday's social harness.	I positively feel my own flesh sore from the brass nails in Neil Paraday's social harness.	true	25.07	31.81	16
3967_29012_000001_000003	The house is full of people who like him, as they mention, awfully, and with whom his talent for talking nonsense has prodigious success.	The house is full of people who like him, as they mention, awfully, and with whom his talent for talking nonsense has prodigious success.	true	32.09	41.92	19
3967_29012_000001_000004	I delight in his nonsense myself; why is it therefore that I grudge these happy folk their artless satisfaction?	I delight in his nonsense myself; why is it therefore that I grudge these happy folk their artless satisfaction?	true	42.17	49.99	21
3967_29012_000001_000005	Mystery of the human heart--abyss of the critical spirit! Mrs. Wimbush thinks she can answer that question, and as my want of gaiety has at last worn out her patience she has given me a glimpse of her shrewd guess.	Mystery of the human heart-abyss of the critical spirit! mrs Wimbush thinks she can answer that question, and as my want of gaiety has at last worn out her patience she has given me a glimpse of her shrewd guess.	true	50.18	65.26	21
3967_29012_000001_000006	I'm made restless by the selfishness of the insincere friend--I want to monopolise Paraday in order that he may push me on.	I'm made restless by the selfishness of the insincere friend-I want to monopolise Paraday in order that he may push me on.	true	65.39	73.99	18
3967_29012_000001_000007	To be intimate with him is a feather in my cap; it gives me an importance that I couldn't naturally pretend to, and I seek to deprive him of social refreshment because I fear that meeting more disinterested people may enlighten him as to my real motive.	To be intimate with him is a feather in my cap; it gives me an importance that I couldn't naturally pretend to, and I seek to deprive him of social refreshment because I fear that meeting more disinterested people may enlighten him as to my real motive.	true	74.12	90.76	21.451353
3967_29012_000001_000008	All the disinterested people here are his particular admirers and have been carefully selected as such. There's supposed to be a copy of his last book in the house, and in the hall I come upon ladies, in attitudes, bending gracefully over the first volume.	All the disinterested people here are his particular admirers and have been carefully selected as such. There's supposed to be a copy of his last book in the house, and in the hall I come upon ladies, in attitudes, bending gracefully over the first volume.	true	91.22	109.21	21.173182
3967_29012_000001_000009	I discreetly avert my eyes, and when I next look round the precarious joy has been superseded by the book of life.	I discreetly avert my eyes, and when I next look round the precarious joy has been superseded by the book of life.	true	109.31	117.25	19
3967_29012_000001_000010	There's a sociable circle or a confidential couple, and the relinquished volume lies open on its face and as dropped under extreme coercion.	There's a sociable circle or a confidential couple, and the relinquished volume lies open on its face and as dropped under extreme coercion.	true	117.41	127.9	22.18227
3967_29012_000001_000011	Somebody else presently finds it and transfers it, with its air of momentary desolation, to another piece of furniture.	Somebody else presently finds it and transfers it, with its air of momentary desolation, to another piece of furniture.	true	128.18	136.93	22
3967_29012_000001_000012	Every one's asking every one about it all day, and every one's telling every one where they put it last.	Every one's asking every one about it all day, and every one's telling every one where they put it last.	true	137.21	143.77	19
3967_29012_000001_000013	I'm sure it's rather smudgy about the twentieth page.	I'm sure it's rather smudgy about the twentieth page.	true	143.78	147.49	22.501492
3967_29012_000001_000014	I've a strong impression, too, that the second volume is lost--has been packed in the bag of some departing guest; and yet everybody has the impression that somebody else has read to the end.	I've a strong impression, too, that the second volume is lost-has been packed in the bag of some departing guest; and yet everybody has the impression that somebody else has read to the end.	true	147.59	160.36	21
3967_29012_000001_000015	You see therefore that the beautiful book plays a great part in our existence.	You see therefore that the beautiful book plays a great part in our existence.	true	160.76	165.94	23.718613
3967_29012_000001_000016	Why should I take the occasion of such distinguished honours to say that I begin to see deeper into Gustave Flaubert's doleful refrain about the hatred of literature?	Why should I take the occasion of such distinguished honours to say that I begin to see deeper into Gustave Flaubert's doleful refrain about the hatred of literature?	true	166.01	177.25	21
3967_29012_000001_000017	I refer you again to the perverse constitution of man.	I refer you again to the perverse constitution of man.	true	177.47	181.9	21.979914
3967_29012_000002_000000	"The Princess is a massive lady with the organisation of an athlete and the confusion of tongues of a valet de place.	"The Princess is a massive lady with the organisation of an athlete and the confusion of tongues of a valet de place.	true	182.54	190.6	19
3967_29012_000002_000001	She contrives to commit herself extraordinarily little in a great many languages, and is entertained and conversed with in detachments and relays, like an institution which goes on from generation to generation or a big building contracted for under a forfeit.	She contrives to commit herself extraordinarily little in a great many languages, and is entertained and conversed with in detachments and relays, like an institution which goes on from generation to generation or a big building contracted for under a forfeit.	true	190.73	209.05	18
3967_29012_000002_000002	She can't have a personal taste any more than, when her husband succeeds, she can have a personal crown, and her opinion on any matter is rusty and heavy and plain--made, in the night of ages, to last and be transmitted.	She can't have a personal taste any more than, when her husband succeeds, she can have a personal crown, and her opinion on any matter is rusty and heavy and plain-made, in the night of ages, to last and be transmitted.	true	209.45	226.36	20
3967_29012_000002_000003	I feel as if I ought to 'tip' some custode for my glimpse of it.	I feel as if I ought to 'tip' some custode for my glimpse of it.	true	226.67	231.25	22.834658
3967_29012_000002_000004	She has been told everything in the world and has never perceived anything, and the echoes of her education respond awfully to the rash footfall--I mean the casual remark--in the cold Valhalla of her memory.	She has been told everything in the world and has never perceived anything, and the echoes of her education respond awfully to the rash footfall-I mean the casual remark-in the cold Valhalla of her memory.	true	231.26	246.88	20
3967_29012_000002_000005	Mrs. Wimbush delights in her wit and says there's nothing so charming as to hear Mr. Paraday draw it out.	mrs Wimbush delights in her wit and says there's nothing so charming as to hear mr Paraday draw it out.	false	246.98	254.77	18
3967_29012_000002_000006	He's perpetually detailed for this job, and he tells me it has a peculiarly exhausting effect.	He's perpetually detailed for this job, and he tells me it has a peculiarly exhausting effect.	true	254.9	262.12	21.323048
3967_29012_000002_000007	Every one's beginning--at the end of two days--to sidle obsequiously away from her, and Mrs. Wimbush pushes him again and again into the breach.	Every one's beginning-at the end of two days-to sidle obsequiously away from her, and mrs Wimbush pushes him again and again into the breach.	true	262.37	272.59	20
3967_29012_000002_000008	None of the uses I have yet seen him put to infuriate me quite so much.	None of the uses I have yet seen him put to infuriate me quite so much.	true	272.69	278.47	21.880322
3967_29012_000002_000009	He looks very fagged and has at last confessed to me that his condition makes him uneasy--has even promised me he'll go straight home instead of returning to his final engagements in town.	He looks very fagged and has at last confessed to me that his condition makes him uneasy-has even promised me he'll go straight home instead of returning to his final engagements in town.	true	278.72	291.73	19
3967_29012_000002_000010	Last night I had some talk with him about going to-day, cutting his visit short; so sure am I that he'll be better as soon as he's shut up in his lighthouse.	Last night I had some talk with him about going to day, cutting his visit short; so sure am I that he'll be better as soon as he's shut up in his lighthouse.	true	292.22	301.93	21
3967_29012_000002_000011	He told me that this is what he would like to do; reminding me, however, that the first lesson of his greatness has been precisely that he can't do what he likes.	He told me that this is what he would like to do; reminding me, however, that the first lesson of his greatness has been precisely that he can't do what he likes.	true	302.24	312.49	23
3967_29012_000002_000012	Mrs. Wimbush would never forgive him if he should leave her before the Princess has received the last hand.	mrs Wimbush would never forgive him if he should leave her before the Princess has received the last hand.	true	312.65	319.54	19
3967_29012_000002_000013	When I hint that a violent rupture with our hostess would be the best thing in the world for him he gives me to understand that if his reason assents to the proposition his courage hangs woefully back.	When I hint that a violent rupture with our hostess would be the best thing in the world for him he gives me to understand that if his reason assents to the proposition his courage hangs woefully back.	true	319.82	333.76	22.683138
3967_29012_000002_000014	He makes no secret of being mortally afraid of her, and when I ask what harm she can do him that she hasn't already done he simply repeats: 'I'm afraid, I'm afraid!	He makes no secret of being mortally afraid of her, and when I ask what harm she can do him that she hasn't already done he simply repeats: 'I'm afraid, I'm afraid!	true	334.07	345.405	21
