5304_109507_000000_000000	CHAPTER VI	CHAPTER six
5304_109507_000001_000000	THE SCREAM IN THE NIGHT	THE SCREAM IN THE NIGHT
5304_109507_000002_000002	It was too late now to hesitate or turn back; we must press forward.	It was too late now to hesitate or turn back; we must press forward.
5304_109507_000004_000001	It was half-past eleven.	It was half past eleven.
5304_109507_000006_000000	I stood up with a gasp of thankfulness.	I stood up with a gasp of thankfulness.
5304_109507_000008_000001	"I've got something to tell you."	"I've got something to tell you."
5304_109507_000009_000001	"Well, what are they?"	"Well, what are they?"
5304_109507_000014_000000	"I don't know.	"I don't know.
5304_109507_000016_000000	"I have it!" he said.	"I have it!" he said.
5304_109507_000019_000000	"Up the ladder.	"Up the ladder.
5304_109507_000019_000003	If it doesn't ..."	If it doesn't ..."
5304_109507_000022_000001	Then Godfrey's voice spoke again.	Then Godfrey's voice spoke again.
5304_109507_000023_000000	"It's three minutes of twelve," he said.	"It's three minutes of twelve," he said.
5304_109507_000025_000000	"It must be long past midnight," I whispered.	"It must be long past midnight," I whispered.
5304_109507_000028_000000	"Well," I asked, at last, "what now?"	"Well," I asked, at last, "what now?"
5304_109507_000031_000000	"I don't know what I fear; but there's something wrong over there. This is the first night for a week that that light hasn't appeared."	"I don't know what I fear; but there's something wrong over there. This is the first night for a week that that light hasn't appeared."
5304_109507_000032_000000	"Still," I pointed out, "that may have nothing to do with Swain."	"Still," I pointed out, "that may have nothing to do with Swain."
5304_109507_000035_000000	"If he's back," I said, "he'll have taken the ladders down from the wall."	"If he's back," I said, "he'll have taken the ladders down from the wall."
5304_109507_000037_000000	"The other ladder is still there," he said, and took off his cap and rubbed his head perplexedly.	"The other ladder is still there," he said, and took off his cap and rubbed his head perplexedly.
5304_109507_000040_000000	"Then we'll start from there and take a quiet look for him.	"Then we'll start from there and take a quiet look for him.
5304_109507_000043_000001	"And here's an electric torch. Do you feel the button?"	"And here's an electric torch. Do you feel the button?"
5304_109507_000045_000000	"You'd better keep it in your hand," he added, "ready for action.	"You'd better keep it in your hand," he added, "ready for action.
5304_109507_000045_000002	And now come ahead."	And now come ahead."
5304_109507_000047_000000	"Look here, Godfrey," I said, "do you realise that what we're about to do is pretty serious?	"Look here, Godfrey," I said, "do you realise that what we're about to do is pretty serious?
5304_109507_000049_000000	"You remind me of Tartarin," he said; "the adventurer-Tartarin urging you on, the lawyer-Tartarin holding you back.	"You remind me of Tartarin," he said; "the adventurer Tartarin urging you on, the lawyer Tartarin holding you back.
5304_109507_000049_000003	But if he's too strong for you, why, stay here," and he started up the ladder.	But if he's too strong for you, why, stay here," and he started up the ladder.
5304_109507_000053_000000	I felt Godfrey press me back, and descended cautiously.	I felt Godfrey press me back, and descended cautiously.
5304_109507_000057_000000	"Stand back!" he cried, hoarsely.	"Stand back!" he cried, hoarsely.
5304_109507_000057_000001	"Who is it?	"Who is it?
5304_109507_000057_000002	What do you want?"	What do you want?"
5304_109507_000058_000000	"It's Lester," I said, and Godfrey flashed his torch into my face, then back to Swain's.	"It's Lester," I said, and Godfrey flashed his torch into my face, then back to Swain's.
5304_109507_000060_000000	"No; this is Mr. Godfrey."	"No; this is mr Godfrey."
5304_109507_000061_000001	Godfrey?"	Godfrey?"
5304_109507_000062_000000	"Whose house we're staying at," I explained.	"Whose house we're staying at," I explained.
5304_109507_000064_000001	Then we can talk.	Then we can talk.
5304_109507_000066_000000	"I want to wash," he said, thickly.	"I want to wash," he said, thickly.
5304_109507_000067_000001	"You're right--that cut must be attended to," and he started toward the house.	"You're right-that cut must be attended to," and he started toward the house.
5304_109507_000068_000000	"Wait!" Swain called after him, with unexpected vigour.	"Wait!" Swain called after him, with unexpected vigour.
5304_109507_000068_000001	"We must take down the ladders.	"We must take down the ladders.
5304_109507_000069_000000	"Why not?"	"Why not?"
5304_109507_000070_000000	"If they're found, they'll suspect--they'll know ..."	"If they're found, they'll suspect-they'll know ..."
5304_109507_000072_000000	"Very well," Godfrey agreed, at last.	"Very well," Godfrey agreed, at last.
5304_109507_000075_000001	The next instant, the figure poised itself on the coping of the wall and then plunged forward out of sight.	The next instant, the figure poised itself on the coping of the wall and then plunged forward out of sight.
5304_109507_000078_000000	"Come on!" he said.	"Come on!" he said.
5304_109507_000078_000001	"We must save him if we can!" and he, too, disappeared.	"We must save him if we can!" and he, too, disappeared.
