5304_109507_000000_000000	CHAPTER VI	CHAPTER six	true	10.77	12.16	22.058567
5304_109507_000001_000000	THE SCREAM IN THE NIGHT	THE SCREAM IN THE NIGHT	true	12.35	14.17	20.371717
5304_109507_000002_000000	For some moments, I stood staring up into the darkness, half-expecting that shadowy figure to reappear, descend the ladder, and rejoin me. Then I shook myself together.	For some moments, I stood staring up into the darkness, half expecting that shadowy figure to reappear, descend the ladder, and rejoin me. Then I shook myself together.	true	14.96	25.69	18
5304_109507_000002_000001	The fact that our plot was really moving, that Swain was in the enemy's country, so to speak, gave the affair a finality which it had lacked before.	The fact that our plot was really moving, that Swain was in the enemy's country, so to speak, gave the affair a finality which it had lacked before.	true	25.79	34.63	19
5304_109507_000002_000002	It was too late now to hesitate or turn back; we must press forward.	It was too late now to hesitate or turn back; we must press forward.	true	34.91	39.46	21.665632
5304_109507_000002_000003	I felt as though, after a long period of uncertainty, war had been declared and the advance definitely begun.	I felt as though, after a long period of uncertainty, war had been declared and the advance definitely begun.	true	39.47	46.18	13
5304_109507_000002_000004	So it was with a certain sense of relief that I turned away, walked slowly back to the house, and sat down again upon the porch to wait.	So it was with a certain sense of relief that I turned away, walked slowly back to the house, and sat down again upon the porch to wait.	false	46.52	54.61	18
5304_109507_000003_000000	Now waiting is seldom a pleasant or an easy thing, and I found it that night most unpleasant and uneasy.	Now waiting is seldom a pleasant or an easy thing, and I found it that night most unpleasant and uneasy.	true	55.16	61.66	15
5304_109507_000003_000001	For, before long, doubts began to crowd upon me--doubts of the wisdom of the course I had subscribed to. It would have been wiser, I told myself, if it had been I, and not Swain, who had gone to the rendezvous; wiser still, perhaps, to have sought an interview openly, and to have made sure of the facts before seeming to encourage what might easily prove to be a girl's more or less romantic illusions.	For, before long, doubts began to crowd upon me-doubts of the wisdom of the course I had subscribed to. It would have been wiser, I told myself, if it had been I, and not Swain, who had gone to the rendezvous; wiser still, perhaps, to have sought an interview openly, and to have made sure of the facts before seeming to encourage what might easily prove to be a girl's more or less romantic illusions.	true	62.12	86.8	16
5304_109507_000003_000002	A midnight interview savoured too much of melodrama to appeal to a middle-aged lawyer like myself, however great its appeal might be to youthful lovers.	A midnight interview savoured too much of melodrama to appeal to a middle aged lawyer like myself, however great its appeal might be to youthful lovers.	true	87.23	96.61	14
5304_109507_000003_000003	At any rate, I would be certain that the need was very great before I consented to meddle further!	At any rate, I would be certain that the need was very great before I consented to meddle further!	true	96.89	102.76	16
5304_109507_000004_000000	Somewhat comforted by this resolution and by the thought that no real harm had as yet been done, I struck a match and looked at my watch.	Somewhat comforted by this resolution and by the thought that no real harm had as yet been done, I struck a match and looked at my watch.	true	103.31	111.76	15
5304_109507_000004_000001	It was half-past eleven.	It was half past eleven.	true	111.86	113.71	20.16864
5304_109507_000004_000002	Well, whatever the story was, Swain was hearing it now, and I should hear it before long.	Well, whatever the story was, Swain was hearing it now, and I should hear it before long.	true	113.9	119.46	19.493868
5304_109507_000004_000003	And then I caught the hum of an approaching car, and was momentarily blinded by the glare of acetylene lamps.	And then I caught the hum of an approaching car, and was momentarily blinded by the glare of acetylene lamps.	true	119.46	125.8	11
5304_109507_000005_000000	"Hello, Lester," called Godfrey's voice, "I'll be back in a minute," and he ran the car on toward the rear of the house.	"Hello, Lester," called Godfrey's voice, "I'll be back in a minute," and he ran the car on toward the rear of the house.	true	126.65	133.51	19.536755
5304_109507_000006_000000	I stood up with a gasp of thankfulness.	I stood up with a gasp of thankfulness.	true	133.7	136.09	20.481798
5304_109507_000006_000001	Here was someone to confide in and advise with.	Here was someone to confide in and advise with.	true	136.1	139	16
5304_109507_000006_000002	The stretch of lonely waiting was at an end; it had been a trying evening!	The stretch of lonely waiting was at an end; it had been a trying evening!	true	139.01	143.53	15
5304_109507_000007_000000	I think the warmth of my greeting surprised Godfrey, for he looked at me curiously.	I think the warmth of my greeting surprised Godfrey, for he looked at me curiously.	true	143.99	148.45	17
5304_109507_000008_000000	"Sit down, Godfrey," I said.	"Sit down, Godfrey," I said.	true	148.82	150.825	19.862213
5304_109507_000008_000001	"I've got something to tell you."	"I've got something to tell you."	true	150.825	152.53	21.050406
5304_109507_000009_000000	"What, discoveries already?" he laughed, but he drew a chair close to mine and sat down.	"What, discoveries already?" he laughed, but he drew a chair close to mine and sat down.	false	152.96	158.23	20
5304_109507_000009_000001	"Well, what are they?"	"Well, what are they?"	true	158.33	159.79	22.661095
5304_109507_000010_000000	I began at the beginning and related the day's adventures.	I began at the beginning and related the day's adventures.	true	160.25	163.36	14
5304_109507_000010_000001	He listened without comment, but I could see how his interest grew.	He listened without comment, but I could see how his interest grew.	true	163.52	167.23	16
5304_109507_000011_000000	"So young Swain is over in those grounds now," he said thoughtfully, when I had finished.	"So young Swain is over in those grounds now," he said thoughtfully, when I had finished.	true	167.78	172.75	18.134136
5304_109507_000012_000000	"Yes; he's been there three-quarters of an hour."	"Yes; he's been there three quarters of an hour."	true	172.94	175.66	18.26445
5304_109507_000013_000000	"Why do you suppose Miss Vaughan named so late an hour?"	"Why do you suppose Miss Vaughan named so late an hour?"	true	176.12	179.35	14
5304_109507_000014_000000	"I don't know.	"I don't know.	true	179.84	180.825	22.240562
5304_109507_000014_000001	Perhaps because she was afraid of being discovered earlier than that--or perhaps merely because she's just a romantic girl."	Perhaps because she was afraid of being discovered earlier than that-or perhaps merely because she's just a romantic girl."	true	180.825	187.27	12
