339_132717_000000_000000	HERLAND ***	HERLAND asterisk asterisk asterisk	false	1.95	19.065	23.803286
339_132717_000001_000000	HERLAND	HERLAND	true	19.065	19.87	21.572653
339_132717_000002_000000	by Charlotte Perkins Stetson Gilman	by Charlotte Perkins Stetson Gilman	false	20.18	25.92	23.891832
339_132717_000003_000000	CHAPTER 1.	CHAPTER one.	true	25.92	26.86	19.827515
339_132717_000003_000001	A Not Unnatural Enterprise	A Not Unnatural Enterprise	true	27.08	29.38	24.742413
339_132717_000004_000000	This is written from memory, unfortunately.	This is written from memory, unfortunately.	true	30.53	33.34	20.183086
339_132717_000004_000001	If I could have brought with me the material I so carefully prepared, this would be a very different story.	If I could have brought with me the material I so carefully prepared, this would be a very different story.	true	33.59	38.65	17
339_132717_000004_000002	Whole books full of notes, carefully copied records, firsthand descriptions, and the pictures--that's the worst loss.	Whole books full of notes, carefully copied records, firsthand descriptions, and the pictures-that's the worst loss.	true	38.9	47.05	19.666986
339_132717_000004_000003	We had some bird's-eyes of the cities and parks; a lot of lovely views of streets, of buildings, outside and in, and some of those gorgeous gardens, and, most important of all, of the women themselves.	We had some bird's eyes of the cities and parks; a lot of lovely views of streets, of buildings, outside and in, and some of those gorgeous gardens, and, most important of all, of the women themselves.	true	47.54	61.03	21.577778
339_132717_000005_000000	Nobody will ever believe how they looked.	Nobody will ever believe how they looked.	true	61.97	64.365	19.890121
339_132717_000005_000001	Descriptions aren't any good when it comes to women, and I never was good at descriptions anyhow.	Descriptions aren't any good when it comes to women, and I never was good at descriptions anyhow.	false	64.365	68.77	12
339_132717_000005_000002	But it's got to be done somehow; the rest of the world needs to know about that country.	But it's got to be done somehow; the rest of the world needs to know about that country.	true	69.32	73.54	20.360666
339_132717_000006_000000	I haven't said where it was for fear some self-appointed missionaries, or traders, or land-greedy expansionists, will take it upon themselves to push in.	I haven't said where it was for fear some self appointed missionaries, or traders, or land greedy expansionists, will take it upon themselves to push in.	true	74.42	82.36	15
339_132717_000006_000001	They will not be wanted, I can tell them that, and will fare worse than we did if they do find it.	They will not be wanted, I can tell them that, and will fare worse than we did if they do find it.	true	83.09	89.35	22.941153
339_132717_000007_000000	It began this way.	It began this way.	true	90.71	91.99	26.674812
339_132717_000007_000001	There were three of us, classmates and friends--Terry O. Nicholson (we used to call him the Old Nick, with good reason), Jeff Margrave, and I, Vandyck Jennings.	There were three of us, classmates and friends-Terry o Nicholson (we used to call him the Old Nick, with good reason), Jeff Margrave, and I, Vandyck Jennings.	true	92.45	102.82	23.878689
339_132717_000008_000000	We had known each other years and years, and in spite of our differences we had a good deal in common.	We had known each other years and years, and in spite of our differences we had a good deal in common.	true	103.46	107.92	16
339_132717_000008_000001	All of us were interested in science.	All of us were interested in science.	true	108.17	109.99	20.565796
339_132717_000009_000000	Terry was rich enough to do as he pleased.	Terry was rich enough to do as he pleased.	true	110.75	113.505	19.686623
339_132717_000009_000001	His great aim was exploration.	His great aim was exploration.	true	113.505	115.51	19
339_132717_000009_000002	He used to make all kinds of a row because there was nothing left to explore now, only patchwork and filling in, he said.	He used to make all kinds of a row because there was nothing left to explore now, only patchwork and filling in, he said.	true	115.85	121.75	21.844103
