339_132717_000001_000000	HERLAND	HERLAND
339_132717_000003_000001	A Not Unnatural Enterprise	A Not Unnatural Enterprise
339_132717_000004_000000	This is written from memory, unfortunately.	This is written from memory, unfortunately.
339_132717_000004_000003	We had some bird's-eyes of the cities and parks; a lot of lovely views of streets, of buildings, outside and in, and some of those gorgeous gardens, and, most important of all, of the women themselves.	We had some bird's eyes of the cities and parks; a lot of lovely views of streets, of buildings, outside and in, and some of those gorgeous gardens, and, most important of all, of the women themselves.
339_132717_000005_000002	But it's got to be done somehow; the rest of the world needs to know about that country.	But it's got to be done somehow; the rest of the world needs to know about that country.
339_132717_000006_000001	They will not be wanted, I can tell them that, and will fare worse than we did if they do find it.	They will not be wanted, I can tell them that, and will fare worse than we did if they do find it.
339_132717_000007_000000	It began this way.	It began this way.
339_132717_000007_000001	There were three of us, classmates and friends--Terry O. Nicholson (we used to call him the Old Nick, with good reason), Jeff Margrave, and I, Vandyck Jennings.	There were three of us, classmates and friends-Terry o Nicholson (we used to call him the Old Nick, with good reason), Jeff Margrave, and I, Vandyck Jennings.
339_132717_000008_000001	All of us were interested in science.	All of us were interested in science.
339_132717_000009_000002	He used to make all kinds of a row because there was nothing left to explore now, only patchwork and filling in, he said.	He used to make all kinds of a row because there was nothing left to explore now, only patchwork and filling in, he said.
339_132717_000009_000003	He filled in well enough--he had a lot of talents--great on mechanics and electricity.	He filled in well enough-he had a lot of talents-great on mechanics and electricity.
339_132717_000011_000000	Jeff Margrave was born to be a poet, a botanist--or both--but his folks persuaded him to be a doctor instead.	Jeff Margrave was born to be a poet, a botanist-or both-but his folks persuaded him to be a doctor instead.
339_132717_000011_000001	He was a good one, for his age, but his real interest was in what he loved to call "the wonders of science."	He was a good one, for his age, but his real interest was in what he loved to call "the wonders of science."
339_132717_000013_000000	Terry was strong on facts--geography and meteorology and those; Jeff could beat him any time on biology, and I didn't care what it was they talked about, so long as it connected with human life, somehow.	Terry was strong on facts-geography and meteorology and those; Jeff could beat him any time on biology, and I didn't care what it was they talked about, so long as it connected with human life, somehow.
339_132717_000013_000001	There are few things that don't.	There are few things that don't.
339_132717_000014_000001	They needed a doctor, and that gave Jeff an excuse for dropping his just opening practice; they needed Terry's experience, his machine, and his money; and as for me, I got in through Terry's influence.	They needed a doctor, and that gave Jeff an excuse for dropping his just opening practice; they needed Terry's experience, his machine, and his money; and as for me, I got in through Terry's influence.
339_132717_000016_000000	But this story is not about that expedition.	But this story is not about that expedition.
339_132717_000016_000001	That was only the merest starter for ours.	That was only the merest starter for ours.
339_132717_000017_000000	My interest was first roused by talk among our guides.	My interest was first roused by talk among our guides.
339_132717_000017_000001	I'm quick at languages, know a good many, and pick them up readily.	I'm quick at languages, know a good many, and pick them up readily.
339_132717_000018_000000	And as we got farther and farther upstream, in a dark tangle of rivers, lakes, morasses, and dense forests, with here and there an unexpected long spur running out from the big mountains beyond, I noticed that more and more of these savages had a story about a strange and terrible Woman Land in the high distance.	And as we got farther and farther upstream, in a dark tangle of rivers, lakes, morasses, and dense forests, with here and there an unexpected long spur running out from the big mountains beyond, I noticed that more and more of these savages had a story about a strange and terrible Woman Land in the high distance.
339_132717_000019_000000	"Up yonder," "Over there,"	"Up yonder," "Over there,"
339_132717_000019_000001	"Way up"--was all the direction they could offer, but their legends all agreed on the main point--that there was this strange country where no men lived--only women and girl children.	"Way up"--was all the direction they could offer, but their legends all agreed on the main point-that there was this strange country where no men lived-only women and girl children.
339_132717_000020_000001	It was dangerous, deadly, they said, for any man to go there.	It was dangerous, deadly, they said, for any man to go there.
