1027_125147_000001_000000	BOOK THE THIRD -- A LONG LANE	BOOK THE THIRD -- A LONG LANE
1027_125147_000002_000000	Chapter 1	Chapter one
1027_125147_000003_000000	LODGERS IN QUEER STREET	LODGERS IN QUEER STREET
1027_125147_000004_000002	Even in the surrounding country it was a foggy day, but there the fog was grey, whereas in London it was, at about the boundary line, dark yellow, and a little within it brown, and then browner, and then browner, until at the heart of the City--which call Saint Mary Axe--it was rusty-black.	Even in the surrounding country it was a foggy day, but there the fog was grey, whereas in London it was, at about the boundary line, dark yellow, and a little within it brown, and then browner, and then browner, until at the heart of the City-which call Saint Mary Axe-it was rusty black.
1027_125147_000005_000001	But the light went out, and the main door opened, and Riah came forth with a bag under his arm.	But the light went out, and the main door opened, and Riah came forth with a bag under his arm.
1027_125147_000006_000001	But the eyes of this history can follow him westward, by Cornhill, Cheapside, Fleet Street, and the Strand, to Piccadilly and the Albany.	But the eyes of this history can follow him westward, by Cornhill, Cheapside, Fleet Street, and the Strand, to Piccadilly and the Albany.
1027_125147_000007_000000	Arrived at the house in which his master's chambers were on the second floor, Riah proceeded up the stairs, and paused at Fascination Fledgeby's door.	Arrived at the house in which his master's chambers were on the second floor, Riah proceeded up the stairs, and paused at Fascination Fledgeby's door.
1027_125147_000007_000001	Making free with neither bell nor knocker, he struck upon the door with the top of his staff, and, having listened, sat down on the threshold.	Making free with neither bell nor knocker, he struck upon the door with the top of his staff, and, having listened, sat down on the threshold.
1027_125147_000007_000002	It was characteristic of his habitual submission, that he sat down on the raw dark staircase, as many of his ancestors had probably sat down in dungeons, taking what befell him as it might befall.	It was characteristic of his habitual submission, that he sat down on the raw dark staircase, as many of his ancestors had probably sat down in dungeons, taking what befell him as it might befall.
1027_125147_000008_000000	After a time, when he had grown so cold as to be fain to blow upon his fingers, he arose and knocked with his staff again, and listened again, and again sat down to wait.	After a time, when he had grown so cold as to be fain to blow upon his fingers, he arose and knocked with his staff again, and listened again, and again sat down to wait.
1027_125147_000008_000001	Thrice he repeated these actions before his listening ears were greeted by the voice of Fledgeby, calling from his bed, 'Hold your row!--I'll come and open the door directly!' But, in lieu of coming directly, he fell into a sweet sleep for some quarter of an hour more, during which added interval Riah sat upon the stairs and waited with perfect patience.	Thrice he repeated these actions before his listening ears were greeted by the voice of Fledgeby, calling from his bed, 'Hold your row!--I'll come and open the door directly!' But, in lieu of coming directly, he fell into a sweet sleep for some quarter of an hour more, during which added interval Riah sat upon the stairs and waited with perfect patience.
1027_125147_000009_000000	At length the door stood open, and Mr Fledgeby's retreating drapery plunged into bed again.	At length the door stood open, and Mr Fledgeby's retreating drapery plunged into bed again.
1027_125147_000009_000001	Following it at a respectful distance, Riah passed into the bed-chamber, where a fire had been sometime lighted, and was burning briskly.	Following it at a respectful distance, Riah passed into the bed chamber, where a fire had been sometime lighted, and was burning briskly.
1027_125147_000010_000000	'Why, what time of night do you mean to call it?' inquired Fledgeby, turning away beneath the clothes, and presenting a comfortable rampart of shoulder to the chilled figure of the old man.	'Why, what time of night do you mean to call it?' inquired Fledgeby, turning away beneath the clothes, and presenting a comfortable rampart of shoulder to the chilled figure of the old man.
1027_125147_000012_000001	Then it must be precious foggy?'	Then it must be precious foggy?'
1027_125147_000013_000000	'Very foggy, sir.'	'Very foggy, sir.'
1027_125147_000016_000000	With a plunge of enjoyment, Fledgeby settled himself afresh.	With a plunge of enjoyment, Fledgeby settled himself afresh.
1027_125147_000017_000000	'Any snow, or sleet, or slush, or anything of that sort?' he asked.	'Any snow, or sleet, or slush, or anything of that sort?' he asked.
1027_125147_000018_000000	'No, sir, no. Not quite so bad as that.	'No, sir, no Not quite so bad as that.
1027_125147_000018_000001	The streets are pretty clean.'	The streets are pretty clean.'
1027_125147_000019_000001	'But you're always bragging about something.	'But you're always bragging about something.
1027_125147_000019_000002	Got the books there?'	Got the books there?'
1027_125147_000021_000000	'All right.	'All right.
1027_125147_000022_000000	With another comfortable plunge, Mr Fledgeby fell asleep again.	With another comfortable plunge, Mr Fledgeby fell asleep again.
1027_125147_000022_000002	He was roused by Mr Fledgeby's appearing erect at the foot of the bed, in Turkish slippers, rose-coloured Turkish trousers (got cheap from somebody who had cheated some other somebody out of them), and a gown and cap to correspond.	He was roused by Mr Fledgeby's appearing erect at the foot of the bed, in Turkish slippers, rose coloured Turkish trousers (got cheap from somebody who had cheated some other somebody out of them), and a gown and cap to correspond.
1027_125147_000022_000003	In that costume he would have left nothing to be desired, if he had been further fitted out with a bottomless chair, a lantern, and a bunch of matches.	In that costume he would have left nothing to be desired, if he had been further fitted out with a bottomless chair, a lantern, and a bunch of matches.
1027_125147_000023_000001	You ain't asleep. Catch a weasel at it, and catch a Jew!'	You ain't asleep. Catch a weasel at it, and catch a Jew!'
1027_125147_000025_000000	'Not you!' returned Fledgeby, with a cunning look.	'Not you!' returned Fledgeby, with a cunning look.
1027_125147_000026_000000	The old man shook his head, gently repudiating the imputation, and suppressed a sigh, and moved to the table at which Mr Fledgeby was now pouring out for himself a cup of steaming and fragrant coffee from a pot that had stood ready on the hob.	The old man shook his head, gently repudiating the imputation, and suppressed a sigh, and moved to the table at which Mr Fledgeby was now pouring out for himself a cup of steaming and fragrant coffee from a pot that had stood ready on the hob.
1027_125147_000026_000001	It was an edifying spectacle, the young man in his easy chair taking his coffee, and the old man with his grey head bent, standing awaiting his pleasure.	It was an edifying spectacle, the young man in his easy chair taking his coffee, and the old man with his grey head bent, standing awaiting his pleasure.
1027_125147_000027_000000	'Now!' said Fledgeby. 'Fork out your balance in hand, and prove by figures how you make it out that it ain't more.	'Now!' said Fledgeby. 'Fork out your balance in hand, and prove by figures how you make it out that it ain't more.
1027_125147_000027_000001	First of all, light that candle.'	First of all, light that candle.'
1027_125147_000028_000000	Riah obeyed, and then taking a bag from his breast, and referring to the sum in the accounts for which they made him responsible, told it out upon the table.	Riah obeyed, and then taking a bag from his breast, and referring to the sum in the accounts for which they made him responsible, told it out upon the table.
1027_125147_000028_000001	Fledgeby told it again with great care, and rang every sovereign.	Fledgeby told it again with great care, and rang every sovereign.
1027_125147_000030_000001	'May I take the liberty to say something?'	'May I take the liberty to say something?'
1027_125147_000031_000000	'You may,' Fledgeby graciously conceded.	'You may,' Fledgeby graciously conceded.
1027_125147_000032_000000	'Do you not, sir--without intending it--of a surety without intending it--sometimes mingle the character I fairly earn in your employment, with the character which it is your policy that I should bear?'	'Do you not, sir-without intending it-of a surety without intending it-sometimes mingle the character I fairly earn in your employment, with the character which it is your policy that I should bear?'
1027_125147_000033_000000	'I don't find it worth my while to cut things so fine as to go into the inquiry,' Fascination coolly answered.	'I don't find it worth my while to cut things so fine as to go into the inquiry,' Fascination coolly answered.
1027_125147_000034_000000	'Not in justice?'	'Not in justice?'
1027_125147_000035_000000	'Bother justice!' said Fledgeby.	'Bother justice!' said Fledgeby.
1027_125147_000036_000000	'Not in generosity?'	'Not in generosity?'
1027_125147_000037_000001	'That's a good connexion!	'That's a good connexion!
1027_125147_000037_000002	Bring out your vouchers, and don't talk Jerusalem palaver.'	Bring out your vouchers, and don't talk Jerusalem palaver.'
1027_125147_000038_000000	The vouchers were produced, and for the next half-hour Mr Fledgeby concentrated his sublime attention on them.	The vouchers were produced, and for the next half hour Mr Fledgeby concentrated his sublime attention on them.
1027_125147_000039_000000	'Next,' said Fledgeby, 'concerning that bill-broking branch of the business; the branch I like best.	'Next,' said Fledgeby, 'concerning that bill broking branch of the business; the branch I like best.
1027_125147_000039_000001	What queer bills are to be bought, and at what prices?	What queer bills are to be bought, and at what prices?
1027_125147_000039_000002	You have got your list of what's in the market?'	You have got your list of what's in the market?'
1027_125147_000040_000000	'Sir, a long list,' replied Riah, taking out a pocket-book, and selecting from its contents a folded paper, which, being unfolded, became a sheet of foolscap covered with close writing.	'Sir, a long list,' replied Riah, taking out a pocket book, and selecting from its contents a folded paper, which, being unfolded, became a sheet of foolscap covered with close writing.
1027_125147_000041_000001	'Queer Street is full of lodgers just at present!	'Queer Street is full of lodgers just at present!
1027_125147_000041_000002	These are to be disposed of in parcels; are they?'	These are to be disposed of in parcels; are they?'
1027_125147_000042_000000	'In parcels as set forth,' returned the old man, looking over his master's shoulder; 'or the lump.'	'In parcels as set forth,' returned the old man, looking over his master's shoulder; 'or the lump.'
1027_125147_000043_000000	'Half the lump will be waste-paper, one knows beforehand,' said Fledgeby. 'Can you get it at waste-paper price?	'Half the lump will be waste paper, one knows beforehand,' said Fledgeby. 'Can you get it at waste paper price?
1027_125147_000043_000001	That's the question.'	That's the question.'
1027_125147_000044_000000	Riah shook his head, and Fledgeby cast his small eyes down the list. They presently began to twinkle, and he no sooner became conscious of their twinkling, than he looked up over his shoulder at the grave face above him, and moved to the chimney-piece.	Riah shook his head, and Fledgeby cast his small eyes down the list. They presently began to twinkle, and he no sooner became conscious of their twinkling, than he looked up over his shoulder at the grave face above him, and moved to the chimney piece.
1027_125147_000044_000001	Making a desk of it, he stood there with his back to the old man, warming his knees, perusing the list at his leisure, and often returning to some lines of it, as though they were particularly interesting.	Making a desk of it, he stood there with his back to the old man, warming his knees, perusing the list at his leisure, and often returning to some lines of it, as though they were particularly interesting.
1027_125147_000044_000003	He took none that could be detected, but, aware of his employer's suspicions, stood with his eyes on the ground.	He took none that could be detected, but, aware of his employer's suspicions, stood with his eyes on the ground.
1027_125147_000045_000000	Mr Fledgeby was thus amiably engaged when a step was heard at the outer door, and the door was heard to open hastily.	Mr Fledgeby was thus amiably engaged when a step was heard at the outer door, and the door was heard to open hastily.
1027_125147_000045_000001	'Hark!	'Hark!
1027_125147_000045_000002	That's your doing, you Pump of Israel,' said Fledgeby; 'you can't have shut it.' Then the step was heard within, and the voice of Mr Alfred Lammle called aloud, 'Are you anywhere here, Fledgeby?' To which Fledgeby, after cautioning Riah in a low voice to take his cue as it should be given him, replied, 'Here I am!' and opened his bedroom door.	That's your doing, you Pump of Israel,' said Fledgeby; 'you can't have shut it.' Then the step was heard within, and the voice of Mr Alfred Lammle called aloud, 'Are you anywhere here, Fledgeby?' To which Fledgeby, after cautioning Riah in a low voice to take his cue as it should be given him, replied, 'Here I am!' and opened his bedroom door.
