359_133630_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
359_133630_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
359_133630_000003_000000	ALLAN QUATERMAIN	ALLAN QUATERMAIN
359_133630_000004_000000	By H. Rider Haggard	By h Rider Haggard
359_133630_000009_000000	December 23	december twenty third
359_133630_000010_000000	'I have just buried my boy, my poor handsome boy of whom I was so proud, and my heart is broken.	'I have just buried my boy, my poor handsome boy of whom I was so proud, and my heart is broken.
359_133630_000010_000002	Who am I that I should complain?	Who am I that I should complain?
359_133630_000010_000003	The great wheel of Fate rolls on like a Juggernaut, and crushes us all in turn, some soon, some late--it does not matter when, in the end, it crushes us all.	The great wheel of Fate rolls on like a Juggernaut, and crushes us all in turn, some soon, some late-it does not matter when, in the end, it crushes us all.
359_133630_000010_000004	We do not prostrate ourselves before it like the poor Indians; we fly hither and thither--we cry for mercy; but it is of no use, the black Fate thunders on and in its season reduces us to powder.	We do not prostrate ourselves before it like the poor Indians; we fly hither and thither-we cry for mercy; but it is of no use, the black Fate thunders on and in its season reduces us to powder.
359_133630_000011_000001	He was doing so well at the hospital, he had passed his last examination with honours, and I was proud of them, much prouder than he was, I think.	He was doing so well at the hospital, he had passed his last examination with honours, and I was proud of them, much prouder than he was, I think.
359_133630_000011_000002	And then he must needs go to that smallpox hospital.	And then he must needs go to that smallpox hospital.
359_133630_000011_000003	He wrote to me that he was not afraid of smallpox and wanted to gain the experience; and now the disease has killed him, and I, old and grey and withered, am left to mourn over him, without a chick or child to comfort me.	He wrote to me that he was not afraid of smallpox and wanted to gain the experience; and now the disease has killed him, and I, old and grey and withered, am left to mourn over him, without a chick or child to comfort me.
359_133630_000011_000004	I might have saved him, too--I have money enough for both of us, and much more than enough--King Solomon's Mines provided me with that; but I said, "No, let the boy earn his living, let him labour that he may enjoy rest." But the rest has come to him before the labour.	I might have saved him, too-I have money enough for both of us, and much more than enough-King Solomon's Mines provided me with that; but I said, "No, let the boy earn his living, let him labour that he may enjoy rest." But the rest has come to him before the labour.
359_133630_000012_000000	'I am like the man in the Bible who laid up much goods and builded barns--goods for my boy and barns for him to store them in; and now his soul has been required of him, and I am left desolate.	'I am like the man in the Bible who laid up much goods and builded barns-goods for my boy and barns for him to store them in; and now his soul has been required of him, and I am left desolate.
359_133630_000013_000000	'We buried him this afternoon under the shadow of the grey and ancient tower of the church of this village where my house is.	'We buried him this afternoon under the shadow of the grey and ancient tower of the church of this village where my house is.
359_133630_000013_000002	The coffin was put down by the grave, and a few big flakes lit upon it.	The coffin was put down by the grave, and a few big flakes lit upon it.
359_133630_000013_000003	They looked very white upon the black cloth!	They looked very white upon the black cloth!
359_133630_000013_000004	There was a little hitch about getting the coffin down into the grave--the necessary ropes had been forgotten: so we drew back from it, and waited in silence watching the big flakes fall gently one by one like heavenly benedictions, and melt in tears on Harry's pall.	There was a little hitch about getting the coffin down into the grave-the necessary ropes had been forgotten: so we drew back from it, and waited in silence watching the big flakes fall gently one by one like heavenly benedictions, and melt in tears on Harry's pall.
