359_133630_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	0.63	2.77	20.190527
359_133630_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	3.38	6.67	25.366817
359_133630_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	false	7.37	14.88	25.401861
359_133630_000001_000000	ALLAN QUATERMAIN ***	ALLAN QUATERMAIN asterisk asterisk asterisk	false	14.88	16.23	22.777555
359_133630_000002_000000	Produced by Ng E-Ching, Singapore	Produced by Ng E Ching, Singapore	false	16.23	19.74	18.793907
359_133630_000003_000000	ALLAN QUATERMAIN	ALLAN QUATERMAIN	true	19.74	21.19	21.276794
359_133630_000004_000000	By H. Rider Haggard	By h Rider Haggard	true	21.86	24.07	21.70716
359_133630_000005_000000	I inscribe this book of adventure to my son ARTHUR JOHN RIDER HAGGARD in the hope that in days to come he, and many other boys whom I shall never know, may, in the acts and thoughts of Allan Quatermain and his companions, as herein recorded, find something to help him and them to reach to what, with Sir Henry Curtis, I hold to be the highest rank whereto we can attain--the state and dignity of English gentlemen.	I inscribe this book of adventure to my son ARTHUR john RIDER HAGGARD in the hope that in days to come he, and many other boys whom I shall never know, may, in the acts and thoughts of Allan Quatermain and his companions, as herein recorded, find something to help him and them to reach to what, with Sir Henry Curtis, I hold to be the highest rank whereto we can attain-the state and dignity of English gentlemen.	false	25.88	59.61	22.72204
359_133630_000006_000000	CONTENTS	CONTENTS	false	59.61	61.5	-20
359_133630_000007_000000	INTRODUCTION I THE CONSUL'S YARN II THE BLACK HAND III THE MISSION STATION IV ALPHONSE AND HIS ANNETTE V UMSLOPOGAAS MAKES A PROMISE VI THE NIGHT WEARS ON VII A SLAUGHTER GRIM AND GREAT VIII ALPHONSE EXPLAINS IX INTO THE UNKNOWN X THE ROSE OF FIRE XI THE FROWNING CITY XII THE SISTER QUEENS XIII ABOUT THE ZU-VENDI PEOPLE XIV THE FLOWER TEMPLE XV SORAIS' SONG XVI BEFORE THE STATUE XVII THE STORM BREAKS XVIII WAR!	INTRODUCTION I THE CONSUL'S YARN two THE BLACK HAND three THE MISSION STATION i v ALPHONSE AND HIS ANNETTE V u m s l o p o g a a s MAKES A PROMISE VI THE NIGHT WEARS ON seven A SLAUGHTER GRIM AND GREAT eight ALPHONSE EXPLAINS IX INTO THE UNKNOWN X THE ROSE OF FIRE XI THE FROWNING CITY twelve THE SISTER QUEENS thirteen ABOUT THE ZU VENDI PEOPLE fourteen THE FLOWER TEMPLE fifteen s o r a i s' SONG sixteen BEFORE THE STATUE seventeen THE STORM BREAKS eighteen WAR!	false	61.5	63.27	21.424154
359_133630_000007_000001	RED WAR! XIX A STRANGE WEDDING XX THE BATTLE OF THE PASS XXI AWAY!	RED WAR! nineteen A STRANGE WEDDING x x THE BATTLE OF THE PASS twenty one AWAY!	false	63.27	63.42	3
