6865_95969_000000_000000	BOOK XIII	BOOK thirteen	false	0.3	9.75	21.516216
6865_95969_000001_000000	Answers on the Art of Governing--Consistency	Answers on the Art of Governing-Consistency	true	9.75	12.78	20.540361
6865_95969_000002_000000	Tsz-lu was asking about government.	t s z lu was asking about government.	false	12.78	16.03	20.494097
6865_95969_000002_000001	"Lead the way in it," said the Master, "and work hard at it."	"Lead the way in it," said the Master, "and work hard at it."	true	16.28	19.81	21.593208
6865_95969_000003_000000	Requested to say more, he added, "And do not tire of it."	Requested to say more, he added, "And do not tire of it."	true	21.05	25.63	23.143871
6865_95969_000004_000000	Chung-kung, on being made first minister to the Chief of the Ki family, consulted the Master about government, and to him he said, "Let the heads of offices be heads.	Chung kung, on being made first minister to the Chief of the Ki family, consulted the Master about government, and to him he said, "Let the heads of offices be heads.	true	26.99	37.72	21
6865_95969_000004_000001	Excuse small faults.	Excuse small faults.	true	38.03	39.97	23.512457
6865_95969_000004_000002	Promote men of sagacity and talent."	Promote men of sagacity and talent."	true	40.04	42.67	19
6865_95969_000005_000000	"But," he asked, "how am I to know the sagacious and talented, before promoting them?"	"But," he asked, "how am I to know the sagacious and talented, before promoting them?"	true	43.04	48.61	23.903166
6865_95969_000006_000000	"Promote those whom you do know," said the Master.	"Promote those whom you do know," said the Master.	true	49.52	52.69	24.41289
6865_95969_000007_000000	"As to those of whom you are uncertain, will others omit to notice them?"	"As to those of whom you are uncertain, will others omit to notice them?"	true	52.76	57.06	24
6865_95969_000008_000000	Tsz-lu said to the Master, "As the prince of Wei, sir, has been waiting for you to act for him in his government, what is it your intention to take in hand first?"	t s z lu said to the Master, "As the prince of Wei, sir, has been waiting for you to act for him in his government, what is it your intention to take in hand first?"	false	57.06	68.11	23.038288
6865_95969_000009_000000	"One thing of necessity," he answered--"the rectification of terms."	"One thing of necessity," he answered-"the rectification of terms."	true	69.08	73.9	23
6865_95969_000010_000000	"That!" exclaimed Tsz-lu.	"That!" exclaimed t s z lu.	false	74.3	76.74	24.588537
6865_95969_000010_000001	"How far away you are, sir!	"How far away you are, sir!	true	76.74	78.69	15.598191
6865_95969_000010_000002	Why such rectification?"	Why such rectification?"	true	78.69	80.53	21.515596
6865_95969_000011_000000	"What a rustic you are, Tsz-lu!" rejoined the Master.	"What a rustic you are, t s z lu!" rejoined the Master.	false	81.44	84.88	24
6865_95969_000011_000001	"A gentleman would be a little reserved and reticent in matters which he does not understand.	"A gentleman would be a little reserved and reticent in matters which he does not understand.	true	85.04	90.37	15
6865_95969_000011_000002	If terms be incorrect, language will be incongruous; and if language be incongruous, deeds will be imperfect.	If terms be incorrect, language will be incongruous; and if language be incongruous, deeds will be imperfect.	true	90.59	98.41	22.133123
6865_95969_000011_000003	So, again, when deeds are imperfect, propriety and harmony cannot prevail, and when this is the case laws relating to crime will fail in their aim; and if these last so fail, the people will not know where to set hand or foot.	So, again, when deeds are imperfect, propriety and harmony cannot prevail, and when this is the case laws relating to crime will fail in their aim; and if these last so fail, the people will not know where to set hand or foot.	false	98.54	113.59	23
6865_95969_000011_000004	Hence, a man of superior mind, certain first of his terms, is fitted to speak; and being certain of what he says can proceed upon it.	Hence, a man of superior mind, certain first of his terms, is fitted to speak; and being certain of what he says can proceed upon it.	true	113.78	122.98	24
6865_95969_000011_000005	In the language of such a person there is nothing heedlessly irregular--and that is the sum of the matter."	In the language of such a person there is nothing heedlessly irregular-and that is the sum of the matter."	true	123.35	129.64	21.955702
6865_95969_000012_000000	Fan Ch'i requested that he might learn something of husbandry.	Fan Ch'i requested that he might learn something of husbandry.	true	130.73	134.35	23.718805
6865_95969_000012_000001	"For that." said the Master, "I am not equal to an old husbandman." Might he then learn something of gardening?	"For that." said the Master, "I am not equal to an old husbandman." Might he then learn something of gardening?	false	134.84	141.96	22.675493
6865_95969_000012_000002	he asked.	he asked.	true	141.96	142.87	26.829994
6865_95969_000012_000003	"I am not equal to an old gardener." was the reply.	"I am not equal to an old gardener." was the reply.	true	142.94	146.44	24.524105
6865_95969_000013_000000	"A man of little mind, that!" said the Master, when Fan Ch'i had gone out.	"A man of little mind, that!" said the Master, when Fan Ch'i had gone out.	true	147.8	153.01	23
6865_95969_000013_000001	"Let a man who is set over the people love propriety, and they will not presume to be disrespectful.	"Let a man who is set over the people love propriety, and they will not presume to be disrespectful.	false	153.38	159.43	22
6865_95969_000013_000002	Let him be a lover of righteousness, and they will not presume to be aught but submissive.	Let him be a lover of righteousness, and they will not presume to be aught but submissive.	false	159.77	165.55	20.728775
6865_95969_000013_000003	Let him love faithfulness and truth, and they will not presume not to lend him their hearty assistance.	Let him love faithfulness and truth, and they will not presume not to lend him their hearty assistance.	true	165.8	171.9	18
6865_95969_000013_000004	Ah, if all this only were so, the people from all sides would come to such a one, carrying their children on their backs. What need to turn his hand to husbandry?	Ah, if all this only were so, the people from all sides would come to such a one, carrying their children on their backs. What need to turn his hand to husbandry?	false	171.9	183.22	22.659517
