6865_95969_000001_000000	Answers on the Art of Governing--Consistency	Answers on the Art of Governing-Consistency
6865_95969_000002_000001	"Lead the way in it," said the Master, "and work hard at it."	"Lead the way in it," said the Master, "and work hard at it."
6865_95969_000003_000000	Requested to say more, he added, "And do not tire of it."	Requested to say more, he added, "And do not tire of it."
6865_95969_000004_000000	Chung-kung, on being made first minister to the Chief of the Ki family, consulted the Master about government, and to him he said, "Let the heads of offices be heads.	Chung kung, on being made first minister to the Chief of the Ki family, consulted the Master about government, and to him he said, "Let the heads of offices be heads.
6865_95969_000004_000001	Excuse small faults.	Excuse small faults.
6865_95969_000005_000000	"But," he asked, "how am I to know the sagacious and talented, before promoting them?"	"But," he asked, "how am I to know the sagacious and talented, before promoting them?"
6865_95969_000006_000000	"Promote those whom you do know," said the Master.	"Promote those whom you do know," said the Master.
6865_95969_000007_000000	"As to those of whom you are uncertain, will others omit to notice them?"	"As to those of whom you are uncertain, will others omit to notice them?"
6865_95969_000009_000000	"One thing of necessity," he answered--"the rectification of terms."	"One thing of necessity," he answered-"the rectification of terms."
6865_95969_000010_000002	Why such rectification?"	Why such rectification?"
6865_95969_000011_000002	If terms be incorrect, language will be incongruous; and if language be incongruous, deeds will be imperfect.	If terms be incorrect, language will be incongruous; and if language be incongruous, deeds will be imperfect.
6865_95969_000011_000004	Hence, a man of superior mind, certain first of his terms, is fitted to speak; and being certain of what he says can proceed upon it.	Hence, a man of superior mind, certain first of his terms, is fitted to speak; and being certain of what he says can proceed upon it.
6865_95969_000011_000005	In the language of such a person there is nothing heedlessly irregular--and that is the sum of the matter."	In the language of such a person there is nothing heedlessly irregular-and that is the sum of the matter."
6865_95969_000012_000000	Fan Ch'i requested that he might learn something of husbandry.	Fan Ch'i requested that he might learn something of husbandry.
6865_95969_000012_000002	he asked.	he asked.
6865_95969_000012_000003	"I am not equal to an old gardener." was the reply.	"I am not equal to an old gardener." was the reply.
6865_95969_000013_000000	"A man of little mind, that!" said the Master, when Fan Ch'i had gone out.	"A man of little mind, that!" said the Master, when Fan Ch'i had gone out.
6865_95969_000015_000000	"Let a leader," said he, "show rectitude in his own personal character, and even without directions from him things will go well.	"Let a leader," said he, "show rectitude in his own personal character, and even without directions from him things will go well.
6865_95969_000015_000001	If he be not personally upright, his directions will not be complied with."	If he be not personally upright, his directions will not be complied with."
6865_95969_000016_000000	Once he made the remark, "The governments of Lu and of Wei are in brotherhood."	Once he made the remark, "The governments of Lu and of Wei are in brotherhood."
6865_95969_000017_000000	Of King, a son of the Duke of Wei, he observed that "he managed his household matters well.	Of King, a son of the Duke of Wei, he observed that "he managed his household matters well.
6865_95969_000017_000001	On his coming into possession, he thought, 'What a strange conglomeration!'--Coming to possess a little more, it was, 'Strange, such a result!' And when he became wealthy, 'Strange, such elegance!'"	On his coming into possession, he thought, 'What a strange conglomeration!'--Coming to possess a little more, it was, 'Strange, such a result!' And when he became wealthy, 'Strange, such elegance!'"
6865_95969_000018_000000	The Master was on a journey to Wei, and Yen Yu was driving him.	The Master was on a journey to Wei, and Yen Yu was driving him.
6865_95969_000018_000001	"What multitudes of people!" he exclaimed.	"What multitudes of people!" he exclaimed.
6865_95969_000019_000000	"Enrich them," replied the Master.	"Enrich them," replied the Master.
