3615_14677_000001_000000	1.--Portugal Iced Pudding.	one.--Portugal Iced Pudding.
3615_14677_000002_000001	Then place in the freezer to harden and serve.	Then place in the freezer to harden and serve.
3615_14677_000003_000000	2.--English Chicken Salad.	two.--English Chicken Salad.
3615_14677_000004_000000	Mix 1 cup of cold chicken cut fine with 1 cup of chopped celery, 1 cup of cooked chestnuts chopped and 2 green peppers cut fine.	Mix one cup of cold chicken cut fine with one cup of chopped celery, one cup of cooked chestnuts chopped and two green peppers cut fine.
3615_14677_000004_000001	Season with salt and pepper.	Season with salt and pepper.
3615_14677_000004_000002	Put on crisp lettuce leaves in the salad bowl; cover with a mayonnaise dressing.	Put on crisp lettuce leaves in the salad bowl; cover with a mayonnaise dressing.
3615_14677_000004_000003	Serve cold.	Serve cold.
3615_14677_000005_000000	3.--Turkish Stewed Lamb.	three.--Turkish Stewed Lamb.
3615_14677_000006_000001	Lay in a large stew-pan and cover with hot water.	Lay in a large stew pan and cover with hot water.
3615_14677_000006_000002	Add 1 sliced onion, 2 sliced green peppers and 2 tomatoes, 1 red pepper and 2 sprigs of parsley.	Add one sliced onion, two sliced green peppers and two tomatoes, one red pepper and two sprigs of parsley.
3615_14677_000006_000003	Let stew slowly until tender.	Let stew slowly until tender.
3615_14677_000006_000004	Then fry thin slices of egg-plant and add to the stew.	Then fry thin slices of egg plant and add to the stew.
3615_14677_000006_000005	Serve hot.	Serve hot.
3615_14677_000007_000000	4.--Irish Apple Pudding.	four.--Irish Apple Pudding.
3615_14677_000008_000000	Pare and slice apples and lay them in a buttered pie-dish.	Pare and slice apples and lay them in a buttered pie dish.
3615_14677_000008_000002	Then cover with a rich pie-paste and let bake until done.	Then cover with a rich pie paste and let bake until done.
3615_14677_000009_000000	5.--Indian Rice.	five.--Indian Rice.
3615_14677_000010_000000	Boil 1 cup of rice in chicken broth; add a pinch of curry-powder and season to taste with salt and pepper.	Boil one cup of rice in chicken broth; add a pinch of curry powder and season to taste with salt and pepper.
3615_14677_000010_000002	Serve very hot.	Serve very hot.
3615_14677_000011_000000	6.--Hungarian Chicken Soup.	six.--Hungarian Chicken Soup.
3615_14677_000012_000000	Boil a large chicken in 3 quarts of water; season with salt, sage and pepper; add 1 onion chopped and cook until tender.	Boil a large chicken in three quarts of water; season with salt, sage and pepper; add one onion chopped and cook until tender.
3615_14677_000012_000001	Remove the chicken and chop it fine; then add to the soup with the yolks of 3 well-beaten eggs; let all get very hot.	Remove the chicken and chop it fine; then add to the soup with the yolks of three well beaten eggs; let all get very hot.
3615_14677_000012_000002	Sprinkle with chopped parsley and serve at once.	Sprinkle with chopped parsley and serve at once.
3615_14677_000013_000000	7.--Yorkshire Pudding.	seven.--Yorkshire Pudding.
3615_14677_000014_000000	Beat 3 eggs with a pinch of salt; add 1 pint of milk and 2/3 of a cup of flour.	Beat three eggs with a pinch of salt; add one pint of milk and two thirds of a cup of flour.
3615_14677_000014_000001	Stir until smooth.	Stir until smooth.
3615_14677_000014_000002	Then pour into a well-greased pan and bake until done.	Then pour into a well greased pan and bake until done.
3615_14677_000014_000003	Serve with English roast-beef, and pour over the gravy.	Serve with English roast beef, and pour over the gravy.
3615_14677_000015_000000	8.--Portugal Salad.	eight.--Portugal Salad.
3615_14677_000016_000000	Slice 2 cucumbers, 2 tomatoes, 1 onion and two green peppers.	Slice two cucumbers, two tomatoes, one onion and two green peppers.
3615_14677_000016_000001	Then sprinkle with 1 chopped clove of garlic, salt and pepper and cover with some thin slices of bread.	Then sprinkle with one chopped clove of garlic, salt and pepper and cover with some thin slices of bread.
3615_14677_000017_000000	9.--English Chocolate Pudding.	nine.--English Chocolate Pudding.
3615_14677_000018_000000	Soak 6 ounces of bread-crumbs in milk and press dry; add 2 ounces of butter mixed with 3 ounces of sugar and 3 ounces of chocolate; add the yolks of 6 eggs well beaten, and flavor with a teaspoonful of vanilla; add the whites beaten to a stiff froth.	Soak six ounces of bread crumbs in milk and press dry; add two ounces of butter mixed with three ounces of sugar and three ounces of chocolate; add the yolks of six eggs well beaten, and flavor with a teaspoonful of vanilla; add the whites beaten to a stiff froth.
3615_14677_000018_000001	Bake in a quick oven and serve at once.	Bake in a quick oven and serve at once.
3615_14677_000019_000000	10.--Spanish Canapes.	ten.--Spanish Canapes.
3615_14677_000020_000000	Prepare circular pieces of buttered toast.	Prepare circular pieces of buttered toast.
3615_14677_000020_000001	Then mix 1 cup of chopped fish with 3 sweet pickles minced fine, and 2 tablespoonfuls of Madras chutney; moisten with 2 tablespoonfuls of Hollandaise sauce.	Then mix one cup of chopped fish with three sweet pickles minced fine, and two tablespoonfuls of Madras chutney; moisten with two tablespoonfuls of Hollandaise sauce.
3615_14677_000020_000002	Spread this mixture over 8 pieces of toast; sprinkle with 3 tablespoonfuls of grated Parmesan cheese.	Spread this mixture over eight pieces of toast; sprinkle with three tablespoonfuls of grated Parmesan cheese.
3615_14677_000020_000003	Let bake for five minutes and serve.	Let bake for five minutes and serve.
3615_14677_000021_000000	11.--French Strawberry Pudding.	eleven.--French Strawberry Pudding.
3615_14677_000022_000000	Dip enough macaroons in wine to line the pudding-dish; cover with sweetened strawberries.	Dip enough macaroons in wine to line the pudding dish; cover with sweetened strawberries.
3615_14677_000022_000001	Beat the yolks of 4 eggs with sugar and flavor with vanilla; pour over the strawberries; put in the oven to bake. Beat the whites to a stiff froth with some pulverized sugar; put on top of the pudding and let brown.	Beat the yolks of four eggs with sugar and flavor with vanilla; pour over the strawberries; put in the oven to bake. Beat the whites to a stiff froth with some pulverized sugar; put on top of the pudding and let brown.
3615_14677_000022_000002	Serve cold.	Serve cold.
3615_14677_000024_000000	Chop cold veal.	Chop cold veal.
3615_14677_000024_000001	Mix with some sweetbread and mushrooms chopped.	Mix with some sweetbread and mushrooms chopped.
3615_14677_000024_000002	Season with salt, pepper and lemon-juice.	Season with salt, pepper and lemon juice.
3615_14677_000024_000003	Add a sprig of parsley and a little onion chopped fine.	Add a sprig of parsley and a little onion chopped fine.
3615_14677_000024_000004	Mix with a beaten egg and bread-crumbs; sprinkle with nutmeg.	Mix with a beaten egg and bread crumbs; sprinkle with nutmeg.
3615_14677_000024_000005	Form into croquettes.	Form into croquettes.
3615_14677_000024_000006	Dip in beaten egg and fine bread-crumbs and fry in deep hot lard.	Dip in beaten egg and fine bread crumbs and fry in deep hot lard.
3615_14677_000024_000007	Serve hot with a cream sauce.	Serve hot with a cream sauce.
3615_14677_000025_000000	13.--German Cheese Pie.	thirteen.--German Cheese Pie.
3615_14677_000026_000000	Line a pie-plate with a rich pie-dough.	Line a pie plate with a rich pie dough.
3615_14677_000026_000002	Mix well.	Mix well.
3615_14677_000026_000003	Fill the pie.	Fill the pie.
3615_14677_000026_000004	Sprinkle with sugar and cinnamon and bake until light brown.	Sprinkle with sugar and cinnamon and bake until light brown.
3615_14677_000026_000005	Serve hot or cold.	Serve hot or cold.
3615_14677_000027_000000	14.--Italian Veal Pates.	fourteen.--Italian Veal Pates.
3615_14677_000028_000000	Chop cooked veal with some onion, parsley, thyme and 1 clove of garlic; season with salt, pepper and nutmeg.	Chop cooked veal with some onion, parsley, thyme and one clove of garlic; season with salt, pepper and nutmeg.
3615_14677_000028_000001	Add some chopped ham, lemon-juice and 2 eggs.	Add some chopped ham, lemon juice and two eggs.
3615_14677_000028_000002	Mix with bread-crumbs and melted butter.	Mix with bread crumbs and melted butter.
3615_14677_000028_000003	Fill into small pate shells; rub with butter and beaten egg.	Fill into small pate shells; rub with butter and beaten egg.
3615_14677_000028_000004	Place a paper over the top and let bake in a moderate oven.	Place a paper over the top and let bake in a moderate oven.
3615_14677_000028_000005	Serve with tomato-sauce.	Serve with tomato sauce.
