2110_161100_000003_000000	50.	fifty.
2110_161100_000003_000002	She is eight years old and learns everything by heart. Something may come of her for she has talent, but not if she goes on as she is doing now; she will never acquire velocity because she purposely makes her hand heavy.	She is eight years old and learns everything by heart. Something may come of her for she has talent, but not if she goes on as she is doing now; she will never acquire velocity because she purposely makes her hand heavy.
2110_161100_000005_000005	It goes, but she gets bored too quickly.	It goes, but she gets bored too quickly.
2110_161100_000005_000009	In vain.	In vain.
2110_161100_000005_000014	Thereupon I wrote four measures of a minuet and said to her: 'Now look what an ass I am; I have begun a minuet and can't finish even the first part; be good enough to finish it for me.' She thought it impossible.	Thereupon I wrote four measures of a minuet and said to her: 'Now look what an ass I am; I have begun a minuet and can't finish even the first part; be good enough to finish it for me.' She thought it impossible.
2110_161100_000005_000015	At length she produced a little something to my joy. Then I made her finish the minuet, i.e. only the first voice.	At length she produced a little something to my joy. Then I made her finish the minuet, i e only the first voice.
2110_161100_000005_000017	We shall see what comes of it tomorrow."	We shall see what comes of it tomorrow."
2110_161100_000006_000000	(Paris, May 14, 1778, to his father.	(Paris, may fourteenth seventeen seventy eight, to his father.
2110_161100_000006_000001	The pupil was the daughter of the Duke de Guines, an excellent flautist.	The pupil was the daughter of the Duke de Guines, an excellent flautist.
2110_161100_000007_000002	She is very clever and learns quickly.	She is very clever and learns quickly.
2110_161100_000009_000000	53.	fifty three.
2110_161100_000010_000001	It is preserved in the Court Library in Vienna.)	It is preserved in the Court Library in Vienna.)
2110_161100_000011_000000	54.	fifty four.
2110_161100_000012_000005	H.E.K.])	h e k])
2110_161100_000013_000003	That is your case."	That is your case."
2110_161100_000015_000000	56.	fifty six.
2110_161100_000016_000003	His anger fled and he broke into a merry laugh.)	His anger fled and he broke into a merry laugh.)
2110_161100_000017_000000	57.	fifty seven.
2110_161100_000017_000002	That's the way to shriek."	That's the way to shriek."
