1769_143483_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	13.455	15.7	25.704906
1769_143483_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	15.98	19.27	22.279488
1769_143483_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	19.49	24.45	23.878088
1769_143483_000001_000000	INEQUALITY AMONG MANKIND ***	INEQUALITY AMONG MANKIND asterisk asterisk asterisk	false	24.45	27.765	21.90426
1769_143483_000002_000000	A Discourse Upon The Origin And The Foundation Of The Inequality Among Mankind	A Discourse Upon The Origin And The Foundation Of The Inequality Among Mankind	true	27.765	33	22.773813
1769_143483_000003_000000	By J. J. Rousseau	By j j Rousseau	false	33	34.81	24.205019
1769_143483_000004_000000	INTRODUCTORY NOTE	INTRODUCTORY NOTE	true	36.8	38.35	28.773829
1769_143483_000005_000000	Jean Jacques Rousseau was born at Geneva, June 28, 1712, the son of a watchmaker of French origin.	Jean Jacques Rousseau was born at Geneva, june twenty eighth seventeen twelve, the son of a watchmaker of French origin.	false	39.8	47.68	24.470228
1769_143483_000005_000001	His education was irregular, and though he tried many professions--including engraving, music, and teaching--he found it difficult to support himself in any of them.	His education was irregular, and though he tried many professions-including engraving, music, and teaching-he found it difficult to support himself in any of them.	true	48.08	58.3	23.600695
1769_143483_000005_000002	The discovery of his talent as a writer came with the winning of a prize offered by the Academy of Dijon for a discourse on the question, "Whether the progress of the sciences and of letters has tended to corrupt or to elevate morals." He argued so brilliantly that the tendency of civilization was degrading that he became at once famous. The discourse here printed on the causes of inequality among men was written in a similar competition.	The discovery of his talent as a writer came with the winning of a prize offered by the Academy of Dijon for a discourse on the question, "Whether the progress of the sciences and of letters has tended to corrupt or to elevate morals." He argued so brilliantly that the tendency of civilization was degrading that he became at once famous. The discourse here printed on the causes of inequality among men was written in a similar competition.	true	58.79	87.22	23.474962
1769_143483_000006_000000	He now concentrated his powers upon literature, producing two novels, "La Nouvelle Heloise," the forerunner and parent of endless sentimental and picturesque fictions; and "Emile, ou l'Education," a work which has had enormous influence on the theory and practise of pedagogy down to our own time and in which the Savoyard Vicar appears, who is used as the mouthpiece for Rousseau's own religious ideas.	He now concentrated his powers upon literature, producing two novels, "La Nouvelle Heloise," the forerunner and parent of endless sentimental and picturesque fictions; and "Emile, ou l'Education," a work which has had enormous influence on the theory and practise of pedagogy down to our own time and in which the Savoyard Vicar appears, who is used as the mouthpiece for Rousseau's own religious ideas.	false	88.37	115.23	23.725492
1769_143483_000006_000001	"Le Contrat Social" (1762) elaborated the doctrine of the discourse on inequality.	"Le Contrat Social" (seventeen sixty two) elaborated the doctrine of the discourse on inequality.	false	115.23	122.23	25.61059
1769_143483_000006_000002	Both historically and philosophically it is unsound; but it was the chief literary source of the enthusiasm for liberty, fraternity, and equality, which inspired the leaders of the French Revolution, and its effects passed far beyond France.	Both historically and philosophically it is unsound; but it was the chief literary source of the enthusiasm for liberty, fraternity, and equality, which inspired the leaders of the French Revolution, and its effects passed far beyond France.	false	122.66	137.11	23.798773
1769_143483_000007_000000	His most famous work, the "Confessions," was published after his death.	His most famous work, the "Confessions," was published after his death.	true	138.26	142.84	23.619522
1769_143483_000007_000001	This book is a mine of information as to his life, but it is far from trustworthy; and the picture it gives of the author's personality and conduct, though painted in such a way as to make it absorbingly interesting, is often unpleasing in the highest degree. But it is one of the great autobiographies of the world.	This book is a mine of information as to his life, but it is far from trustworthy; and the picture it gives of the author's personality and conduct, though painted in such a way as to make it absorbingly interesting, is often unpleasing in the highest degree. But it is one of the great autobiographies of the world.	false	143.24	162.37	22.885183
1769_143483_000008_000000	During Rousseau's later years he was the victim of the delusion of persecution; and although he was protected by a succession of good friends, he came to distrust and quarrel with each in turn.	During Rousseau's later years he was the victim of the delusion of persecution; and although he was protected by a succession of good friends, he came to distrust and quarrel with each in turn.	true	163.49	174.91	22.50095
1769_143483_000008_000001	He died at Ermenonville, near Paris, July 2, 1778, the most widely influential French writer of his age.	He died at Ermenonville, near Paris, july second seventeen seventy eight, the most widely influential French writer of his age.	true	175.37	184	21.258537
1769_143483_000009_000000	The Savoyard Vicar and his "Profession of Faith" are introduced into "Emile" not, according to the author, because he wishes to exhibit his principles as those which should be taught, but to give an example of the way in which religious matters should be discussed with the young. Nevertheless, it is universally recognized that these opinions are Rousseau's own, and represent in short form his characteristic attitude toward religious belief.	The Savoyard Vicar and his "Profession of Faith" are introduced into "Emile" not, according to the author, because he wishes to exhibit his principles as those which should be taught, but to give an example of the way in which religious matters should be discussed with the young. Nevertheless, it is universally recognized that these opinions are Rousseau's own, and represent in short form his characteristic attitude toward religious belief.	false	184.88	210.91	23.700714
1769_143483_000009_000001	The Vicar himself is believed to combine the traits of two Savoyard priests whom Rousseau knew in his youth.	The Vicar himself is believed to combine the traits of two Savoyard priests whom Rousseau knew in his youth.	false	211.1	217.51	22.961212
1769_143483_000009_000002	The more important was the Abbe Gaime, whom he had known at Turin; the other, the Abbe Gatier, who had taught him at Annecy.	The more important was the Abbe Gaime, whom he had known at Turin; the other, the Abbe Gatier, who had taught him at Annecy.	false	217.79	233.55	22.359638
1769_143483_000010_000000	QUESTION PROPOSED BY THE ACADEMY OF DIJON	QUESTION PROPOSED BY THE ACADEMY OF DIJON	true	233.55	236.53	22.972242
1769_143483_000011_000000	What is the Origin of the Inequality among Mankind; and whether such Inequality is authorized by the Law of Nature?	What is the Origin of the Inequality among Mankind; and whether such Inequality is authorized by the Law of Nature?	true	237.29	244.45	21.22546
1769_143483_000012_000000	A DISCOURSE UPON THE ORIGIN AND THE FOUNDATION OF THE INEQUALITY AMONG MANKIND	A DISCOURSE UPON THE ORIGIN AND THE FOUNDATION OF THE INEQUALITY AMONG MANKIND	true	246.83	252.22	22.18812
1769_143483_000013_000000	'Tis of man I am to speak; and the very question, in answer to which I am to speak of him, sufficiently informs me that I am going to speak to men; for to those alone, who are not afraid of honouring truth, it belongs to propose discussions of this kind.	'tis of man I am to speak; and the very question, in answer to which I am to speak of him, sufficiently informs me that I am going to speak to men; for to those alone, who are not afraid of honouring truth, it belongs to propose discussions of this kind.	false	253.76	269.23	21.804342
1769_143483_000013_000001	I shall therefore maintain with confidence the cause of mankind before the sages, who invite me to stand up in its defence; and I shall think myself happy, if I can but behave in a manner not unworthy of my subject and of my judges.	I shall therefore maintain with confidence the cause of mankind before the sages, who invite me to stand up in its defence; and I shall think myself happy, if I can but behave in a manner not unworthy of my subject and of my judges.	true	269.72	283.18	24.97764
