454_134728_000003_000000	BOOK XXXIV.	BOOK thirty four.
454_134728_000003_000001	SANDS AT SEVENTY	SANDS AT SEVENTY
454_134728_000004_000000	Mannahatta	Mannahatta
454_134728_000006_000000	Paumanok	Paumanok
454_134728_000011_000000	To those who've fail'd, in aspiration vast, To unnam'd soldiers fallen in front on the lead, To calm, devoted engineers--to over-ardent travelers--to pilots on their ships, To many a lofty song and picture without recognition--I'd rear laurel-cover'd monument, High, high above the rest--To all cut off before their time, Possess'd by some strange spirit of fire, Quench'd by an early death.	To those who've fail'd, in aspiration vast, To unnam'd soldiers fallen in front on the lead, To calm, devoted engineers-to over ardent travelers-to pilots on their ships, To many a lofty song and picture without recognition-I'd rear laurel cover'd monument, High, high above the rest-To all cut off before their time, Possess'd by some strange spirit of fire, Quench'd by an early death.
454_134728_000012_000000	A Carol Closing Sixty-Nine	A Carol Closing Sixty Nine
454_134728_000014_000000	The Bravest Soldiers	The Bravest Soldiers
454_134728_000016_000000	A Font of Type	A Font of Type
454_134728_000018_000000	As I Sit Writing Here	As I Sit Writing Here
454_134728_000020_000000	My Canary Bird	My Canary Bird
454_134728_000023_000000	Approaching, nearing, curious, Thou dim, uncertain spectre--bringest thou life or death? Strength, weakness, blindness, more paralysis and heavier? Or placid skies and sun?	Approaching, nearing, curious, Thou dim, uncertain spectre-bringest thou life or death? Strength, weakness, blindness, more paralysis and heavier? Or placid skies and sun?
454_134728_000026_000000	The First Dandelion	The First Dandelion
454_134728_000027_000000	Simple and fresh and fair from winter's close emerging, As if no artifice of fashion, business, politics, had ever been, Forth from its sunny nook of shelter'd grass--innocent, golden, calm as the dawn, The spring's first dandelion shows its trustful face.	Simple and fresh and fair from winter's close emerging, As if no artifice of fashion, business, politics, had ever been, Forth from its sunny nook of shelter'd grass-innocent, golden, calm as the dawn, The spring's first dandelion shows its trustful face.
454_134728_000028_000000	America	America
454_134728_000029_000000	Centre of equal daughters, equal sons, All, all alike endear'd, grown, ungrown, young or old, Strong, ample, fair, enduring, capable, rich, Perennial with the Earth, with Freedom, Law and Love, A grand, sane, towering, seated Mother, Chair'd in the adamant of Time.	Centre of equal daughters, equal sons, All, all alike endear'd, grown, ungrown, young or old, Strong, ample, fair, enduring, capable, rich, Perennial with the Earth, with Freedom, Law and Love, A grand, sane, towering, seated Mother, Chair'd in the adamant of Time.
454_134728_000030_000000	Memories	Memories
454_134728_000031_000000	How sweet the silent backward tracings! The wanderings as in dreams--the meditation of old times resumed --their loves, joys, persons, voyages.	How sweet the silent backward tracings! The wanderings as in dreams-the meditation of old times resumed --their loves, joys, persons, voyages.
454_134728_000035_000000	After the dazzle of day is gone, Only the dark, dark night shows to my eyes the stars; After the clangor of organ majestic, or chorus, or perfect band, Silent, athwart my soul, moves the symphony true.	After the dazzle of day is gone, Only the dark, dark night shows to my eyes the stars; After the clangor of organ majestic, or chorus, or perfect band, Silent, athwart my soul, moves the symphony true.
454_134728_000036_000000	Abraham Lincoln, Born Feb. 12, 1809	Abraham Lincoln, Born february twelfth eighteen o nine
454_134728_000037_000000	To-day, from each and all, a breath of prayer--a pulse of thought, To memory of Him--to birth of Him.	To day, from each and all, a breath of prayer-a pulse of thought, To memory of Him-to birth of Him.
454_134728_000038_000000	Out of May's Shows Selected	Out of May's Shows Selected
454_134728_000039_000000	Apple orchards, the trees all cover'd with blossoms; Wheat fields carpeted far and near in vital emerald green; The eternal, exhaustless freshness of each early morning; The yellow, golden, transparent haze of the warm afternoon sun; The aspiring lilac bushes with profuse purple or white flowers.	Apple orchards, the trees all cover'd with blossoms; Wheat fields carpeted far and near in vital emerald green; The eternal, exhaustless freshness of each early morning; The yellow, golden, transparent haze of the warm afternoon sun; The aspiring lilac bushes with profuse purple or white flowers.
454_134728_000040_000000	Halcyon Days	Halcyon Days
454_134728_000047_000000	[III] You Tides with Ceaseless Swell	[three] You Tides with Ceaseless Swell
454_134728_000048_000001	you power that does this work! You unseen force, centripetal, centrifugal, through space's spread, Rapport of sun, moon, earth, and all the constellations, What are the messages by you from distant stars to us?	you power that does this work! You unseen force, centripetal, centrifugal, through space's spread, Rapport of sun, moon, earth, and all the constellations, What are the messages by you from distant stars to us?
454_134728_000048_000002	what Sirius'? what Capella's? What central heart--and you the pulse--vivifies all?	what Sirius'? what Capella's? What central heart-and you the pulse-vivifies all?
454_134728_000048_000003	what boundless aggregate of all? What subtle indirection and significance in you?	what boundless aggregate of all? What subtle indirection and significance in you?
454_134728_000048_000004	what clue to all in you?	what clue to all in you?
454_134728_000051_000000	How they sweep down and out!	How they sweep down and out!
454_134728_000051_000001	how they mutter! Poets unnamed--artists greatest of any, with cherish'd lost designs, Love's unresponse--a chorus of age's complaints--hope's last words, Some suicide's despairing cry, Away to the boundless waste, and never again return.	how they mutter! Poets unnamed-artists greatest of any, with cherish'd lost designs, Love's unresponse-a chorus of age's complaints-hope's last words, Some suicide's despairing cry, Away to the boundless waste, and never again return.
454_134728_000052_000000	On to oblivion then! On, on, and do your part, ye burying, ebbing tide! On for your time, ye furious debouche!	On to oblivion then! On, on, and do your part, ye burying, ebbing tide! On for your time, ye furious debouche!
