7733_106800_000000_000000	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	true	40.65	45.64	19
7733_106800_000001_000000	The Dog Soldier Indians were a band of Cheyennes and unruly, turbulent members of other tribes, who would not enter into any treaty, or keep a treaty if they made one, and who had always refused to go upon a reservation.	The Dog Soldier Indians were a band of Cheyennes and unruly, turbulent members of other tribes, who would not enter into any treaty, or keep a treaty if they made one, and who had always refused to go upon a reservation.	false	46.01	57.94	15
7733_106800_000001_000001	They were a warlike body of well-built, daring, and restless braves, and were determined to hold possession of the country in the vicinity of the Republican and Solomon rivers.	They were a warlike body of well built, daring, and restless braves, and were determined to hold possession of the country in the vicinity of the Republican and Solomon rivers.	false	58.1	68.02	15
7733_106800_000001_000002	They were called "Dog Soldiers" because they were principally Cheyennes--a name derived from the French _chien_, a dog.	They were called "Dog Soldiers" because they were principally Cheyennes-a name derived from the French underscore chien underscore, a dog.	false	68.21	75.91	23.727308
7733_106800_000002_000000	On the 3d of October the Fifth Cavalry arrived at Fort Hays.	On the three d of October the Fifth Cavalry arrived at Fort Hays.	false	76.43	80.71	16
7733_106800_000002_000001	General Sheridan, being anxious to punish the Indians who had lately fought General Forsyth, did not give the regiment much of a rest, and accordingly on the 5th of October it began its march for the Beaver Creek country.	General Sheridan, being anxious to punish the Indians who had lately fought General Forsyth, did not give the regiment much of a rest, and accordingly on the fifth of October it began its march for the Beaver Creek country.	true	80.81	93.73	15
7733_106800_000002_000002	The first night we camped on the south fork of Big Creek, four miles west of Hays City.	The first night we camped on the south fork of Big Creek, four miles west of Hays City.	true	94.01	99.85	20
7733_106800_000002_000003	By this time I had become pretty well acquainted with Major Brown and Captain Sweetman, who invited me to mess with them on this expedition, and a jolly mess we had.	By this time I had become pretty well acquainted with Major Brown and Captain Sweetman, who invited me to mess with them on this expedition, and a jolly mess we had.	true	100.04	109.48	15
7733_106800_000002_000004	There were other scouts in the command besides myself, and I particularly remember Tom Renahan, Hank Fields, and a character called "Nosey," on account of his long nose.	There were other scouts in the command besides myself, and I particularly remember Tom Renahan, Hank Fields, and a character called "Nosey," on account of his long nose.	true	109.64	119.71	16
7733_106800_000003_000000	The next day we marched thirty miles, and late in the afternoon we came into camp on the south fork of the Solomon.	The next day we marched thirty miles, and late in the afternoon we came into camp on the south fork of the Solomon.	true	120.26	127.33	14
7733_106800_000003_000001	At this encampment Colonel Royal asked me to go out and kill some buffaloes for the boys.	At this encampment Colonel Royal asked me to go out and kill some buffaloes for the boys.	true	127.55	133.06	19
7733_106800_000004_000000	"All right, Colonel; send along a wagon or two to bring in the meat," I said.	"All right, Colonel; send along a wagon or two to bring in the meat," I said.	true	133.46	138.19	24.038666
7733_106800_000005_000000	"I am not in the habit of sending out my wagons until I know that there is something to be hauled in; kill your buffaloes first, and then I'll send out the wagons," was the Colonel's reply.	"I am not in the habit of sending out my wagons until I know that there is something to be hauled in; kill your buffaloes first, and then I'll send out the wagons," was the Colonel's reply.	true	138.53	148.24	20
7733_106800_000005_000001	I said no more, but went out on a hunt, and after a short absence returned and asked the Colonel to send out his wagons over the hill for the half-dozen buffaloes I had killed.	I said no more, but went out on a hunt, and after a short absence returned and asked the Colonel to send out his wagons over the hill for the half dozen buffaloes I had killed.	true	148.37	157.93	14
7733_106800_000006_000000	The following afternoon he again requested me to go out and get some fresh buffalo meat.	The following afternoon he again requested me to go out and get some fresh buffalo meat.	true	158.36	163.93	21
7733_106800_000006_000001	I didn't ask him for any wagons this time, but rode out some distance, and coming up with a small herd I managed to get seven of them headed straight for the encampment, and instead of shooting them just then, I ran them at full speed right into the camp, and then killed them all, one after another, in rapid succession.	I didn't ask him for any wagons this time, but rode out some distance, and coming up with a small herd I managed to get seven of them headed straight for the encampment, and instead of shooting them just then, I ran them at full speed right into the camp, and then killed them all, one after another, in rapid succession.	true	163.97	181.6	16
7733_106800_000006_000002	Colonel Royal witnessed the whole proceeding, which puzzled him somewhat, as he could see no reason why I had not killed them on the prairie.	Colonel Royal witnessed the whole proceeding, which puzzled him somewhat, as he could see no reason why I had not killed them on the prairie.	true	181.7	189.19	15
7733_106800_000006_000003	He came up rather angrily, and demanded an explanation.	He came up rather angrily, and demanded an explanation.	true	189.35	192.94	22.778463
7733_106800_000007_000000	"I can't allow any such business as this, Cody," said he.	"I can't allow any such business as this, Cody," said he.	true	193.52	196.75	21.959717
7733_106800_000007_000001	"What do you mean by it?"	"What do you mean by it?"	true	197.09	198.46	19.067226
7733_106800_000008_000000	"I didn't care about asking for any wagons this time, Colonel, so I thought I would make the buffaloes furnish their own transportation," was my reply.	"I didn't care about asking for any wagons this time, Colonel, so I thought I would make the buffaloes furnish their own transportation," was my reply.	true	199.34	206.59	18
7733_106800_000008_000001	The Colonel saw the point in a moment, and had no more to say on the subject.	The Colonel saw the point in a moment, and had no more to say on the subject.	true	206.81	211.12	19
7733_106800_000009_000000	No Indians had been seen in the vicinity during the day, and Colonel Royal, having carefully posted his pickets, supposed everything was serene for the night.	No Indians had been seen in the vicinity during the day, and Colonel Royal, having carefully posted his pickets, supposed everything was serene for the night.	true	211.49	220.24	17
7733_106800_000009_000001	But before morning we were aroused from our slumbers by hearing shots fired, and immediately afterward one of the mounted pickets came galloping into camp, saying that there were Indians close at hand. The companies all fell into line, and were soon prepared and anxious to give the redskins battle; but as the men were yet new in the Indian country a great many of them were considerably excited.	But before morning we were aroused from our slumbers by hearing shots fired, and immediately afterward one of the mounted pickets came galloping into camp, saying that there were Indians close at hand. The companies all fell into line, and were soon prepared and anxious to give the redskins battle; but as the men were yet new in the Indian country a great many of them were considerably excited.	true	220.4	242.05	16
7733_106800_000009_000002	No Indians, however, made their appearance, and upon going to the picket-post where the picket said he had seen them none could be found, nor could any traces of them be discovered.	No Indians, however, made their appearance, and upon going to the picket post where the picket said he had seen them none could be found, nor could any traces of them be discovered.	true	242.21	251.83	17
7733_106800_000009_000003	The sentinel, who was an Irishman, insisted that there had certainly been redskins there.	The sentinel, who was an Irishman, insisted that there had certainly been redskins there.	true	251.9	256.81	13
7733_106800_000010_000000	"But you must be mistaken," said Colonel Royal.	"But you must be mistaken," said Colonel Royal.	false	257.42	260.56	26.535364
7733_106800_000011_000000	"Upon me sowl, Colonel, I'm not.	"Upon me sowl, Colonel, I'm not.	true	260.96	262.83	19
7733_106800_000011_000001	As shure ez me name's Pat Maloney, one of them redskins hit me on the head with a club, so he did," said Pat.	As shure e z me name's Pat Maloney, one of them redskins hit me on the head with a club, so he did," said Pat.	false	262.83	268.63	19.698877
7733_106800_000012_000000	And so when morning came the mystery was further investigated, and was easily solved.	And so when morning came the mystery was further investigated, and was easily solved.	true	269.54	274.92	17
7733_106800_000012_000001	Elk tracks were found in the vicinity, and it was undoubtedly a herd of elks that had frightened Pat.	Elk tracks were found in the vicinity, and it was undoubtedly a herd of elks that had frightened Pat.	true	274.92	280.45	15
7733_106800_000012_000002	As he had turned to run he had gone under a limb of a tree against which he hit his head, and supposed he had been struck by a club in the hands of an Indian.	As he had turned to run he had gone under a limb of a tree against which he hit his head, and supposed he had been struck by a club in the hands of an Indian.	true	280.67	289.06	13
7733_106800_000012_000003	It was hard to convince Pat, however, of the truth.	It was hard to convince Pat, however, of the truth.	true	289.28	291.91	21.781935
7733_106800_000013_000000	A three days' uninteresting march brought us to Beaver Creek, where we were camped, and from which point scouting parties were sent out in different directions.	A three days' uninteresting march brought us to Beaver Creek, where we were camped, and from which point scouting parties were sent out in different directions.	true	292.31	300.28	18
7733_106800_000013_000001	None of these, however, discovering Indians, they all returned to camp about the same time, finding it in a state of great excitement, it having been attacked a few hours previously by a party of Indians, who had succeeded in killing two men and in making off with sixty horses belonging to Company H.	None of these, however, discovering Indians, they all returned to camp about the same time, finding it in a state of great excitement, it having been attacked a few hours previously by a party of Indians, who had succeeded in killing two men and in making off with sixty horses belonging to Company h	true	300.41	317.26	21.42386
7733_106800_000014_000000	That evening the command started on the trail of these Indian horse thieves, Major Brown with two companies and three days' rations pushing ahead in advance of the main command.	That evening the command started on the trail of these Indian horse thieves, Major Brown with two companies and three days' rations pushing ahead in advance of the main command.	true	317.36	327.04	13
7733_106800_000014_000001	Being unsuccessful, however, in overtaking the Indians, and getting nearly out of provisions--it being our eighteenth day out--the entire command marched toward the nearest railway point, and camped on the Saline River, distant three miles from Buffalo Tank.	Being unsuccessful, however, in overtaking the Indians, and getting nearly out of provisions-it being our eighteenth day out-the entire command marched toward the nearest railway point, and camped on the Saline River, distant three miles from Buffalo Tank.	true	327.38	342.85	17
7733_106800_000014_000002	While waiting for supplies we received a new commanding officer, Brevet Major General E. A. Carr, who was the senior major of the regiment, and who ranked Colonel Royal.	While waiting for supplies we received a new commanding officer, Brevet Major General e a Carr, who was the senior major of the regiment, and who ranked Colonel Royal.	false	343.07	353.32	14
7733_106800_000014_000003	He brought with him the celebrated Forsyth scouts, who were commanded by Lieutenant Pepoon, a regular army officer.	He brought with him the celebrated Forsyth scouts, who were commanded by Lieutenant Pepoon, a regular army officer.	true	353.54	360.52	17
7733_106800_000015_000000	The next morning, at an early hour, the command started out on a hunt for Indians.	The next morning, at an early hour, the command started out on a hunt for Indians.	true	361.04	366.04	18
7733_106800_000015_000001	General Carr, having a pretty good idea where he would be most likely to find them, directed me to guide them by the nearest route to Elephant Rock on Beaver Creek.	General Carr, having a pretty good idea where he would be most likely to find them, directed me to guide them by the nearest route to Elephant Rock on Beaver Creek.	true	366.17	375.22	17
7733_106800_000015_000002	Upon arriving at the south fork of the Beaver on the second day's march, we discovered a large fresh Indian trail, which we hurriedly followed for a distance of eight miles, when suddenly we saw on the bluffs ahead of us quite a large number of Indians.	Upon arriving at the south fork of the Beaver on the second day's march, we discovered a large fresh Indian trail, which we hurriedly followed for a distance of eight miles, when suddenly we saw on the bluffs ahead of us quite a large number of Indians.	true	375.41	390.67	17
7733_106800_000016_000000	General Carr ordered Lieutenant Pepoon's scouts and Company M to the front.	General Carr ordered Lieutenant Pepoon's scouts and Company M to the front.	true	390.98	395.23	16
7733_106800_000016_000001	This company was commanded by Lieutenant Schinosky, a Frenchman by birth and reckless by nature.	This company was commanded by Lieutenant Schinosky, a Frenchman by birth and reckless by nature.	true	395.33	400.69	16
7733_106800_000016_000002	Having advanced his company nearly a mile ahead of the main command, about four hundred Indians suddenly charged down upon him and gave him a lively little fight, until he was supported by our full force.	Having advanced his company nearly a mile ahead of the main command, about four hundred Indians suddenly charged down upon him and gave him a lively little fight, until he was supported by our full force.	true	400.94	412.96	16
7733_106800_000016_000003	The Indians kept increasing in numbers all the while, until it was estimated that we were fighting from eight hundred to one thousand of them.	The Indians kept increasing in numbers all the while, until it was estimated that we were fighting from eight hundred to one thousand of them.	true	413.15	420.55	14
7733_106800_000016_000004	The engagement became quite general, and several were killed and wounded on each side.	The engagement became quite general, and several were killed and wounded on each side.	true	420.71	425.56	15
7733_106800_000016_000005	The Indians were evidently fighting to give their families and village a chance to get away.	The Indians were evidently fighting to give their families and village a chance to get away.	true	425.72	430.12	15
7733_106800_000016_000006	We had undoubtedly surprised them with a larger force than they had expected to see in that part of the country.	We had undoubtedly surprised them with a larger force than they had expected to see in that part of the country.	true	430.28	435.52	14
7733_106800_000016_000007	We fought them until dark, all the time driving them before us.	We fought them until dark, all the time driving them before us.	true	435.71	439.48	20.128736
7733_106800_000016_000008	At night they annoyed us considerably by firing down into our camp from the higher hills, and several times the command was ordered to dislodge them from their position and drive them back.	At night they annoyed us considerably by firing down into our camp from the higher hills, and several times the command was ordered to dislodge them from their position and drive them back.	true	439.49	448.99	15
7733_106800_000017_000000	After having returned from one of these sallies, Major Brown, Captain Sweetman, Lieutenant Bache, and myself were taking supper together, when "whang!" came a bullet into Lieutenant Bache's plate, breaking a hole through it.	After having returned from one of these sallies, Major Brown, Captain Sweetman, Lieutenant Bache, and myself were taking supper together, when "whang!" came a bullet into Lieutenant Bache's plate, breaking a hole through it.	true	449.24	461.4	18
7733_106800_000017_000001	The bullet came from the gun of one of the Indians, who had returned to the high bluff overlooking our camp.	The bullet came from the gun of one of the Indians, who had returned to the high bluff overlooking our camp.	true	461.4	466.63	13
7733_106800_000017_000002	Major Brown declared it was a crack shot, because it broke the plate.	Major Brown declared it was a crack shot, because it broke the plate.	true	466.73	470.11	24
7733_106800_000017_000003	We finished our supper without having any more such close calls.	We finished our supper without having any more such close calls.	true	470.12	473.4	11
7733_106800_000018_000000	At daylight next morning we struck out on the trail, and soon came to the spot where the Indians had camped the day before.	At daylight next morning we struck out on the trail, and soon came to the spot where the Indians had camped the day before.	false	473.4	479.74	20
7733_106800_000018_000001	We could see that their village was a very large one, consisting of about five hundred lodges; and we pushed forward rapidly from this point on the trail which ran back toward Prairie Dog Creek.	We could see that their village was a very large one, consisting of about five hundred lodges; and we pushed forward rapidly from this point on the trail which ran back toward Prairie Dog Creek.	true	479.93	490.39	17
7733_106800_000018_000002	About two o'clock we came in sight of the retreating village, and soon the warriors turned back to give us battle. They set fire to the prairie grass in front of us and on all sides in order to delay us as much as possible.	About two o'clock we came in sight of the retreating village, and soon the warriors turned back to give us battle. They set fire to the prairie grass in front of us and on all sides in order to delay us as much as possible.	true	490.49	502.5	18
7733_106800_000018_000003	We kept up a running fight for the remainder of the afternoon, and the Indians repeatedly attempted to lead us off the track of their flying village; but their trail was easily followed, as they were continually dropping tepee-poles, camp-kettles, robes, furs, and all heavy articles belonging to them.	We kept up a running fight for the remainder of the afternoon, and the Indians repeatedly attempted to lead us off the track of their flying village; but their trail was easily followed, as they were continually dropping tepee poles, camp kettles, robes, furs, and all heavy articles belonging to them.	true	502.5	518.62	15
7733_106800_000018_000004	They were evidently scattering, and it finally became difficult for us to keep on the main trail.	They were evidently scattering, and it finally became difficult for us to keep on the main trail.	true	518.66	523.81	18
7733_106800_000018_000005	When darkness set in we went into camp, it being useless to try to follow the Indians after nightfall.	When darkness set in we went into camp, it being useless to try to follow the Indians after nightfall.	false	523.94	529.48	18
7733_106800_000019_000000	Next morning we were again on the trail.	Next morning we were again on the trail.	true	530.03	532.36	16
7733_106800_000019_000001	The Indians soon scattered in every direction, but we followed the main trail to the Republican River, where we made a cut-off, and then went north toward the Platte River.	The Indians soon scattered in every direction, but we followed the main trail to the Republican River, where we made a cut-off, and then went north toward the Platte River.	true	532.43	541.03	13
7733_106800_000019_000002	We found, however, that the Indians by traveling night and day had got a long start, and the General concluded that it was useless to follow them any farther.	We found, however, that the Indians by traveling night and day had got a long start, and the General concluded that it was useless to follow them any farther.	true	541.22	549.25	16
7733_106800_000020_000000	The General told me that the next day's march would be toward the headwaters of the Beaver, and asked me the distance.	The General told me that the next day's march would be toward the headwaters of the Beaver, and asked me the distance.	true	549.71	555.55	16
7733_106800_000020_000001	I replied that it was about twenty-five miles, and he said he would make it the next day. Getting an early start in the morning, we struck out across the prairie, my position as guide being ahead of the advance guard.	I replied that it was about twenty five miles, and he said he would make it the next day. Getting an early start in the morning, we struck out across the prairie, my position as guide being ahead of the advance guard.	true	555.71	566.95	19
7733_106800_000020_000002	About two o'clock General Carr overtook me, and asked me how far I supposed it was to water. I thought it was about eight miles, although we could see no sign or indication of any stream in front.	About two o'clock General Carr overtook me, and asked me how far I supposed it was to water. I thought it was about eight miles, although we could see no sign or indication of any stream in front.	true	567.14	577.54	17
7733_106800_000021_000000	"Pepoon's scouts say you are going in the wrong direction," said the General; "and in the way you are bearing it will be fifteen miles before you can strike any of the branches of the Beaver; and that when you do, you will find no water, for the Beavers are dry at this time of the year at that point."	"Pepoon's scouts say you are going in the wrong direction," said the General; "and in the way you are bearing it will be fifteen miles before you can strike any of the branches of the Beaver; and that when you do, you will find no water, for the Beavers are dry at this time of the year at that point."	true	578.24	592.6	19
7733_106800_000022_000000	"General, I think the scouts are mistaken," said I, "for the Beaver has more water near its head than it has below; and at the place where we will strike the stream we will find immense beaver dams, large enough and strong enough to cross the whole command, if you wish."	"General, I think the scouts are mistaken," said I, "for the Beaver has more water near its head than it has below; and at the place where we will strike the stream we will find immense beaver dams, large enough and strong enough to cross the whole command, if you wish."	true	593.15	606.22	19
7733_106800_000023_000000	"Well, Cody, go ahead," said he; "I'll leave it to you; but remember that I don't want a dry camp."	"Well, Cody, go ahead," said he; "I'll leave it to you; but remember that I don't want a dry camp."	true	606.8	612.49	23.539965
7733_106800_000024_000000	"No danger of that," said I; and then I rode on, leaving him to return to the command.	"No danger of that," said I; and then I rode on, leaving him to return to the command.	true	612.95	617.68	20
7733_106800_000024_000001	As I had predicted, we found water seven or eight miles farther on, where we came upon a beautiful little stream, a tributary of the Beaver, hidden in the hills.	As I had predicted, we found water seven or eight miles farther on, where we came upon a beautiful little stream, a tributary of the Beaver, hidden in the hills.	true	617.87	626.68	15
7733_106800_000024_000002	We had no difficulty in selecting a good halting-place, and obtaining fresh spring water and grass.	We had no difficulty in selecting a good halting place, and obtaining fresh spring water and grass.	true	627.2	632.8	17
7733_106800_000024_000003	The General, upon learning from me that the stream--which was only eight or nine miles long--had no name, took out his map and located it, and named it Cody's Creek, which name it still bears.	The General, upon learning from me that the stream-which was only eight or nine miles long-had no name, took out his map and located it, and named it Cody's Creek, which name it still bears.	true	633.14	644.41	17
7733_106800_000025_000000	We pulled out early next morning for the Beaver, and when we were approaching the stream I rode on ahead of the advance guard in order to find the crossing.	We pulled out early next morning for the Beaver, and when we were approaching the stream I rode on ahead of the advance guard in order to find the crossing.	true	644.99	653.8	17
7733_106800_000025_000001	Just as I turned a bend of the creek, "bang!" went a shot, and down went my horse--myself with him.	Just as I turned a bend of the creek, "bang!" went a shot, and down went my horse-myself with him.	true	653.99	661.24	17.39756
7733_106800_000025_000002	I disentangled myself, and jumped behind the dead body.	I disentangled myself, and jumped behind the dead body.	true	661.4	664.75	20.30866
7733_106800_000025_000003	Looking in the direction whence the shot had come I saw two Indians, and at once turned my gun loose on them, but in the excitement of the moment I missed my aim.	Looking in the direction whence the shot had come I saw two Indians, and at once turned my gun loose on them, but in the excitement of the moment I missed my aim.	true	664.97	673.93	20
7733_106800_000025_000004	They fired two or three more shots, and I returned the compliment, wounding one of their horses.	They fired two or three more shots, and I returned the compliment, wounding one of their horses.	true	674.03	679.24	18
7733_106800_000026_000000	On the opposite side of the creek, going over the hill, I observed a few lodges moving rapidly away, and also some mounted warriors, who could see me, and who kept blazing away with their guns.	On the opposite side of the creek, going over the hill, I observed a few lodges moving rapidly away, and also some mounted warriors, who could see me, and who kept blazing away with their guns.	true	679.88	690.94	20
7733_106800_000026_000001	The two Indians who had fired at me, and had killed my horse, were retreating across the creek on a beaver dam.	The two Indians who had fired at me, and had killed my horse, were retreating across the creek on a beaver dam.	true	691.13	697.15	21
7733_106800_000026_000002	I sent a few shots after them to accelerate their speed, and also fired at the ones on the other side of the stream.	I sent a few shots after them to accelerate their speed, and also fired at the ones on the other side of the stream.	true	697.4	703.48	18
7733_106800_000026_000003	I was undecided as to whether it was best to run back to the command on foot or hold my position.	I was undecided as to whether it was best to run back to the command on foot or hold my position.	true	704	709.27	18
7733_106800_000026_000004	I knew that within a few minutes the troops would come up, and I therefore decided to hold my position.	I knew that within a few minutes the troops would come up, and I therefore decided to hold my position.	true	709.55	714.76	18.80979
