1748_1560_000000_000000	CHAPTER I	CHAPTER one	true	24.15	25.12	18.957975
1748_1560_000001_000000	"A spirit . . . . . . . . . The undulating and silent well, And rippling rivulet, and evening gloom, Now deepening the dark shades, for speech assuming, Held commune with him; as if he and it Were all that was." SHELLEY'S Alastor.	"A spirit . . . . . . . . . The undulating and silent well, And rippling rivulet, and evening gloom, Now deepening the dark shades, for speech assuming, Held commune with him; as if he and it Were all that was." SHELLEY'S Alastor.	false	26.51	45.18	18.027548
1748_1560_000002_000000	I awoke one morning with the usual perplexity of mind which accompanies the return of consciousness.	I awoke one morning with the usual perplexity of mind which accompanies the return of consciousness.	false	45.18	53.68	18.942993
1748_1560_000002_000001	As I lay and looked through the eastern window of my room, a faint streak of peach-colour, dividing a cloud that just rose above the low swell of the horizon, announced the approach of the sun.	As I lay and looked through the eastern window of my room, a faint streak of peach colour, dividing a cloud that just rose above the low swell of the horizon, announced the approach of the sun	true	54.47	65.92	17
1748_1560_000002_000002	As my thoughts, which a deep and apparently dreamless sleep had dissolved, began again to assume crystalline forms, the strange events of the foregoing night presented themselves anew to my wondering consciousness.	As my thoughts, which a deep and apparently dreamless sleep had dissolved, began again to assume crystalline forms, the strange events of the foregoing night presented themselves anew to my wondering consciousness.	true	66.53	80.44	16
1748_1560_000002_000003	The day before had been my one-and-twentieth birthday. Among other ceremonies investing me with my legal rights, the keys of an old secretary, in which my father had kept his private papers, had been delivered up to me.	The day before had been my one and twentieth birthday. Among other ceremonies investing me with my legal rights, the keys of an old secretary, in which my father had kept his private papers, had been delivered up to me.	true	81.68	95.02	18
1748_1560_000002_000004	As soon as I was left alone, I ordered lights in the chamber where the secretary stood, the first lights that had been there for many a year; for, since my father's death, the room had been left undisturbed.	As soon as I was left alone, I ordered lights in the chamber where the secretary stood, the first lights that had been there for many a year; for, since my father's death, the room had been left undisturbed.	true	95.72	108.88	19.675673
1748_1560_000002_000005	But, as if the darkness had been too long an inmate to be easily expelled, and had dyed with blackness the walls to which, bat-like, it had clung, these tapers served but ill to light up the gloomy hangings, and seemed to throw yet darker shadows into the hollows of the deep-wrought cornice.	But, as if the darkness had been too long an inmate to be easily expelled, and had dyed with blackness the walls to which, bat like, it had clung, these tapers served but ill to light up the gloomy hangings, and seemed to throw yet darker shadows into the hollows of the deep wrought cornice.	true	109.55	127.96	19
1748_1560_000002_000006	All the further portions of the room lay shrouded in a mystery whose deepest folds were gathered around the dark oak cabinet which I now approached with a strange mingling of reverence and curiosity.	All the further portions of the room lay shrouded in a mystery whose deepest folds were gathered around the dark oak cabinet which I now approached with a strange mingling of reverence and curiosity.	true	128.84	141.1	15
1748_1560_000002_000007	Perhaps, like a geologist, I was about to turn up to the light some of the buried strata of the human world, with its fossil remains charred by passion and petrified by tears.	Perhaps, like a geologist, I was about to turn up to the light some of the buried strata of the human world, with its fossil remains charred by passion and petrified by tears.	true	141.89	154.21	19
1748_1560_000002_000008	Perhaps I was to learn how my father, whose personal history was unknown to me, had woven his web of story; how he had found the world, and how the world had left him.	Perhaps I was to learn how my father, whose personal history was unknown to me, had woven his web of story; how he had found the world, and how the world had left him.	true	155.09	165.82	17.643288
