8118_114469_000003_000000	CHAPTER IV.	CHAPTER four.
8118_114469_000004_000001	The cottages were prepared for the higher officers, but the men stacked arms in the open ground all about.	The cottages were prepared for the higher officers, but the men stacked arms in the open ground all about.
8118_114469_000005_000000	Colonel Winchester suppressed a groan.	Colonel Winchester suppressed a groan.
8118_114469_000005_000001	Dick noticed that his face was pallid in the uncertain shadows, and he understood the agony of spirit that the brave man must suffer when he saw that they had been outflanked by their enemy.	Dick noticed that his face was pallid in the uncertain shadows, and he understood the agony of spirit that the brave man must suffer when he saw that they had been outflanked by their enemy.
8118_114469_000006_000000	Sergeant Whitley, moving forward a little, touched the colonel on the arm.	Sergeant Whitley, moving forward a little, touched the colonel on the arm.
8118_114469_000007_000000	"All the clouds that we saw a little further back," he said, "have gathered together, an' the storm is about to bust.	"All the clouds that we saw a little further back," he said, "have gathered together, an' the storm is about to bust.
8118_114469_000008_000000	"It's so, sergeant," said Colonel Winchester.	"It's so, sergeant," said Colonel Winchester.
8118_114469_000008_000002	We've seen enough anyway and we'd better get back as fast as we can."	We've seen enough anyway and we'd better get back as fast as we can."
8118_114469_000010_000000	But the storm was upon them before they could reach their horses.	But the storm was upon them before they could reach their horses.
8118_114469_000010_000001	The last star was gone and the somber clouds covered the whole heavens.	The last star was gone and the somber clouds covered the whole heavens.
8118_114469_000010_000003	Deep and sullen thunder began to mutter on the southwestern horizon.	Deep and sullen thunder began to mutter on the southwestern horizon.
8118_114469_000010_000004	Then came a mighty crash and a great blaze of lightning seemed to cleave the sky straight down the center.	Then came a mighty crash and a great blaze of lightning seemed to cleave the sky straight down the center.
8118_114469_000011_000000	The lightning and thunder made Dick jump, and for a few moments he was blinded by the electric glare.	The lightning and thunder made Dick jump, and for a few moments he was blinded by the electric glare.
8118_114469_000012_000000	"Are any of you hurt?"	"Are any of you hurt?"
8118_114469_000013_000000	"No," said Warner, who alone heard him, "but we're scared half to death.	"No," said Warner, who alone heard him, "but we're scared half to death.
8118_114469_000013_000001	When a drought breaks up I wish it wouldn't break up with such a terrible fuss.	When a drought breaks up I wish it wouldn't break up with such a terrible fuss.
8118_114469_000013_000002	Listen to that thunder again, won't you!"	Listen to that thunder again, won't you!"
8118_114469_000014_000001	Despite himself Dick shrank again.	Despite himself Dick shrank again.
8118_114469_000014_000002	The first bolt had struck a tree which had fallen within thirty feet of them, but the second left this bit of the woods unscathed.	The first bolt had struck a tree which had fallen within thirty feet of them, but the second left this bit of the woods unscathed.
8118_114469_000015_000001	The close, dense heat was swept away, and the first blasts of the rain were as cold as ice.	The close, dense heat was swept away, and the first blasts of the rain were as cold as ice.
8118_114469_000016_000001	Dick heard Warner on his right, and he followed the sound of his voice.	Dick heard Warner on his right, and he followed the sound of his voice.
8118_114469_000017_000001	He clapped his hand to the left side of his head, and felt there a big bump and a sharp ache. His weapons were still in his belt and he knew that his injuries were not serious, but he heard nothing save the drive and roar of the wind and rain.	He clapped his hand to the left side of his head, and felt there a big bump and a sharp ache. His weapons were still in his belt and he knew that his injuries were not serious, but he heard nothing save the drive and roar of the wind and rain.
8118_114469_000017_000002	There was no calling of voices and no beat of footsteps.	There was no calling of voices and no beat of footsteps.
8118_114469_000018_000000	He divined at once that his comrades, wholly unaware of his fall, when no one could either see or hear it, had gone on without missing him. They might also mount their horses and gallop away wholly ignorant that he was not among them.	He divined at once that his comrades, wholly unaware of his fall, when no one could either see or hear it, had gone on without missing him. They might also mount their horses and gallop away wholly ignorant that he was not among them.
8118_114469_000019_000000	Although he was a little dazed, Dick had a good idea of direction and he plunged through the mud which was now growing deep toward the little ravine in which they had hitched their horses.	Although he was a little dazed, Dick had a good idea of direction and he plunged through the mud which was now growing deep toward the little ravine in which they had hitched their horses.
8118_114469_000019_000001	All were gone, including his own mount, and he had no doubt that the horse had broken or slipped the bridle in the darkness and followed the others.	All were gone, including his own mount, and he had no doubt that the horse had broken or slipped the bridle in the darkness and followed the others.
8118_114469_000020_000000	He stood a while behind the trunk of a great tree, trying to shelter himself a little from the rain, and listened.	He stood a while behind the trunk of a great tree, trying to shelter himself a little from the rain, and listened.
8118_114469_000020_000002	The storm was of uncommon fury.	The storm was of uncommon fury.
8118_114469_000020_000003	He had never seen one fiercer, and knowing that he had little to dread from the Southerners while it raged he knew also that he must make his way on foot, and as best he could, to his own people.	He had never seen one fiercer, and knowing that he had little to dread from the Southerners while it raged he knew also that he must make his way on foot, and as best he could, to his own people.
8118_114469_000021_000001	He meant to keep close to the banks of the Rappahannock, and if he persisted he would surely come in time to Pope's army.	He meant to keep close to the banks of the Rappahannock, and if he persisted he would surely come in time to Pope's army.
8118_114469_000021_000002	The rain did not abate.	The rain did not abate.
8118_114469_000021_000003	Both armies were flooded that night, but they could find some measure of protection.	Both armies were flooded that night, but they could find some measure of protection.
8118_114469_000021_000004	To the scouts and skirmishers and to Dick, wandering through the forest, nature was an unmitigated foe.	To the scouts and skirmishers and to Dick, wandering through the forest, nature was an unmitigated foe.
8118_114469_000022_000000	But nothing could stop the boy.	But nothing could stop the boy.
