5012_31097_000003_000000	THE BEAST TERRIBLE	THE BEAST TERRIBLE
5012_31097_000004_000002	And so each shadow found its partner in a ray of firelight, and there they danced.	And so each shadow found its partner in a ray of firelight, and there they danced.
5012_31097_000004_000003	They danced about the tangled front of the big bison's head which hung upon the wall.	They danced about the tangled front of the big bison's head which hung upon the wall.
5012_31097_000004_000004	They crossed the grinning skull of the gray wolf.	They crossed the grinning skull of the gray wolf.
5012_31097_000004_000006	They brought forth to view in alternate eclipse and definition the great, grim bear's head which hung above the mantel.	They brought forth to view in alternate eclipse and definition the great, grim bear's head which hung above the mantel.
5012_31097_000004_000007	Every trophy gathered in years of the chase, once perhaps prized, now perhaps forgotten, was brought into evidence, nor could one escape noting each one, and giving to each, for this one night more, the story which belonged to it.	Every trophy gathered in years of the chase, once perhaps prized, now perhaps forgotten, was brought into evidence, nor could one escape noting each one, and giving to each, for this one night more, the story which belonged to it.
5012_31097_000004_000008	I sat and looked upon them all, and so there passed a panorama of the years.	I sat and looked upon them all, and so there passed a panorama of the years.
5012_31097_000005_000000	"There," thought I, "is the stag which once fell far in the pine woods of the North.	"There," thought I, "is the stag which once fell far in the pine woods of the North.
5012_31097_000005_000001	This antelope takes me back to the hard, white Plains.	This antelope takes me back to the hard, white Plains.
5012_31097_000005_000002	These huge antlers could grow only amid the forests of the Rockies.	These huge antlers could grow only amid the forests of the Rockies.
5012_31097_000005_000003	That wolf--how many of the hounds he mangled, I remember; and the giant bear, it was a good fight he made, perhaps dangerous, had the old rifle there been less sure. Yes, yes, of course, I could recall each incident.	That wolf-how many of the hounds he mangled, I remember; and the giant bear, it was a good fight he made, perhaps dangerous, had the old rifle there been less sure. Yes, yes, of course, I could recall each incident.
5012_31097_000005_000004	Of course, they all were thrilling, exciting, delightful, glorious, all those things.	Of course, they all were thrilling, exciting, delightful, glorious, all those things.
5012_31097_000005_000005	Of course, the heart must have leaped in those days.	Of course, the heart must have leaped in those days.
5012_31097_000005_000006	The blood must have surged, in those moments.	The blood must have surged, in those moments.
5012_31097_000005_000007	The pulse must have grown hard, the mouth must have been dry with the ardor of the chase, at those times.	The pulse must have grown hard, the mouth must have been dry with the ardor of the chase, at those times.
5012_31097_000005_000008	But now?	But now?
5012_31097_000005_000009	But why?	But why?
5012_31097_000005_000010	Does the heart leap to-night, do the veins fill with the rush of the blood, tumultuous in the joy of stimulus or danger?	Does the heart leap to night, do the veins fill with the rush of the blood, tumultuous in the joy of stimulus or danger?
5012_31097_000005_000011	Why does not the old eagerness come back?	Why does not the old eagerness come back?
5012_31097_000005_000012	Which of these trophies is the one to bring this back again?	Which of these trophies is the one to bring this back again?
5012_31097_000006_000000	"I know," said the Singing Mouse, which unknown to me had come and placed itself upon the table.	"I know," said the Singing Mouse, which unknown to me had come and placed itself upon the table.
5012_31097_000006_000001	"I know." And it climbed upon my arm which lay across the table.	"I know." And it climbed upon my arm which lay across the table.
5012_31097_000007_000001	"Maker of dreams, tell me what you know to-night."	"Maker of dreams, tell me what you know to night."
5012_31097_000008_000001	I looked at it so closely that a dream came upon my eyes, so that the voice of the Singing Mouse sounded far away and faint, though it was still clear and resonant in its own peculiar way and very fine and sweet.	I looked at it so closely that a dream came upon my eyes, so that the voice of the Singing Mouse sounded far away and faint, though it was still clear and resonant in its own peculiar way and very fine and sweet.
5012_31097_000009_000000	"I will tell you which trophy you most prize," it said.	"I will tell you which trophy you most prize," it said.
5012_31097_000010_000000	And so I gazed where the Singing Mouse pointed, quite beyond the dusty walls, and there I saw as it had said.	And so I gazed where the Singing Mouse pointed, quite beyond the dusty walls, and there I saw as it had said.
5012_31097_000010_000001	I heard not the thunder of the hoofs of buffalo, nor the faint crack of the twig beneath the panther's foot.	I heard not the thunder of the hoofs of buffalo, nor the faint crack of the twig beneath the panther's foot.
