8266_258263_000000_000000	When it was the Six Hundred and Seventy-fifth Night,	When it was the Six Hundred and Seventy fifth Night,	false	0	4.65	20.155294
8266_258263_000001_000000	She continued, It hath reached me, O auspicious King, that Gharib after killing the Marid fared on into the valley and found himself in a great island in mid-ocean, full of all fruits that lips and tongue could desire.	She continued, It hath reached me, O auspicious King, that Gharib after killing the Marid fared on into the valley and found himself in a great island in mid ocean, full of all fruits that lips and tongue could desire.	false	4.65	16.41	21.454979
8266_258263_000001_000001	So he abode alone on the island, drinking of its waters and eating of its fruits and of fish that he caught, and days and years passed over him, till he had sojourned there in his solitude seven years.	So he abode alone on the island, drinking of its waters and eating of its fruits and of fish that he caught, and days and years passed over him, till he had sojourned there in his solitude seven years.	false	16.41	22.23	22.242893
8266_258263_000001_000002	One day, as he sat, be hold, there came down on him from the air two Marids, each carrying a man; and seeing him they said, "Who art thou, O fellow, and of which of the tribes art thou?" Now they took him for a Jinni, because his hair was grown long; and he replied, saying, "I am not of the Jann," whereupon they questioned him, and he told them all that had befallen him.	One day, as he sat, be hold, there came down on him from the air two Marids, each carrying a man; and seeing him they said, "Who art thou, O fellow, and of which of the tribes art thou?" Now they took him for a Jinni, because his hair was grown long; and he replied, saying, "I am not of the Jann," whereupon they questioned him, and he told them all that had befallen him.	false	22.23	45.09	21.306776
8266_258263_000001_000003	They grieved for him and one of the Ifrits said, "Abide thou here till we bear these two lambs to our King, that he may break his fast on the one and sup on the other, and after we will come back and carry thee to thine own country." He thanked them and said, " Where be the lambs?" Quoth they, "These two mortals are the lambs." And Gharib said, "I take refuge with Allah the God of Abraham the Friend, the Lord of all creatures, who hath power over everything!	They grieved for him and one of the Ifrits said, "Abide thou here till we bear these two lambs to our King, that he may break his fast on the one and sup on the other, and after we will come back and carry thee to thine own country." He thanked them and said, " Where be the lambs?" Quoth they, "These two mortals are the lambs." And Gharib said, "I take refuge with Allah the God of Abraham the Friend, the Lord of all creatures, who hath power over everything!	false	45.09	71.85	19.7382
8266_258263_000001_000004	Then the Marids flew away and Gharib abode awaiting them two days, when one of them returned, bringing with him a suit of clothes wherewith he clad him.	Then the Marids flew away and Gharib abode awaiting them two days, when one of them returned, bringing with him a suit of clothes wherewith he clad him.	false	71.85	76.68	20.011604
8266_258263_000001_000005	Then he took him up and flew with him sky- high out of sight of earth, till Gharib heard the angels glorifying God in Heaven, and a flaming shaft issued from amongst them and made for the Marid, who fled from it towards the earth. The meteor pursued him, till he came within a spear's cast of the ground, when Gharib leaped from his shoulders and the fiery shaft overtook the Marid, who became a heap of ashes.	Then he took him up and flew with him sky high out of sight of earth, till Gharib heard the angels glorifying God in Heaven, and a flaming shaft issued from amongst them and made for the Marid, who fled from it towards the earth. The meteor pursued him, till he came within a spear's cast of the ground, when Gharib leaped from his shoulders and the fiery shaft overtook the Marid, who became a heap of ashes.	false	76.68	102.15	20.419518
8266_258263_000001_000006	As for Gharib, he fell into the sea and sank two fathoms deep, after which he rose to the surface and swam for two days and two nights, till his strength failed him and he made certain of death.	As for Gharib, he fell into the sea and sank two fathoms deep, after which he rose to the surface and swam for two days and two nights, till his strength failed him and he made certain of death.	false	102.15	113.91	18.475946
8266_258263_000001_000007	But, on the third day as he was despairing he caught sight of an island steep and mountainous; so he swam for it and landing, walked on inland, where he rested a day and a Night, feeding on the growth of the ground.	But, on the third day as he was despairing he caught sight of an island steep and mountainous; so he swam for it and landing, walked on inland, where he rested a day and a Night, feeding on the growth of the ground.	false	113.91	122.76	18.29065
8266_258263_000001_000008	Then he climbed to the mountain top, and, descending the opposite slope, fared on two days till he came in sight of a walled and bulwarked city, abounding in trees and rills.	Then he climbed to the mountain top, and, descending the opposite slope, fared on two days till he came in sight of a walled and bulwarked city, abounding in trees and rills.	false	122.76	135.06	19.345392
8266_258263_000001_000009	He walked up to it; but, when he reached the gate, the warders seized on him, and carried him to their Queen, whose name was Jan Shah.[FN#72] Now she was five hundred years old, and every man who entered the city, they brought to her and she made him sleep with her, and when he had done his work, she slew him and so had she slain many men.	He walked up to it; but, when he reached the gate, the warders seized on him, and carried him to their Queen, whose name was Jan Shah.[f n # seventy two] Now she was five hundred years old, and every man who entered the city, they brought to her and she made him sleep with her, and when he had done his work, she slew him and so had she slain many men.	false	135.06	147.9	20.608917
8266_258263_000001_000010	When she saw Gharib, he pleased her mightily; so she asked him, "What be thy name and Faith and whence comest thou?" and he answered, "My name is Gharib King of Irak, and I am a Moslem." Said she, "Leave this Creed and enter mine and I will marry thee and make thee King." But he looked at her with eyes of ire and cried, "Perish thou and thy faith!" Cried she, "Dost thou blaspheme my idol, which is of red carnelian, set with pearls and gems?" And she called out to her men, saying, "Imprison him in the house of the idol; haply it will soften his heart." So they shut him up in the domed shrine and locking the doors upon him, went their way.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	When she saw Gharib, he pleased her mightily; so she asked him, "What be thy name and Faith and whence comest thou?" and he answered, "My name is Gharib King of Irak, and I am a Moslem." Said she, "Leave this Creed and enter mine and I will marry thee and make thee King." But he looked at her with eyes of ire and cried, "Perish thou and thy faith!" Cried she, "Dost thou blaspheme my idol, which is of red carnelian, set with pearls and gems?" And she called out to her men, saying, "Imprison him in the house of the idol; haply it will soften his heart." So they shut him up in the domed shrine and locking the doors upon him, went their way.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	147.9	149.82	17.815868
8266_258263_000002_000000	When it was the Six Hundred and Seventy-sixth Night,	When it was the Six Hundred and Seventy sixth Night,	false	149.82	149.97	100
8266_258263_000003_000000	She resumed, It hath reached me, O auspicious King, that when they took Gharib, they jailed him in the idol's domed shrine; and locking the doors upon him, went their way.	She resumed, It hath reached me, O auspicious King, that when they took Gharib, they jailed him in the idol's domed shrine; and locking the doors upon him, went their way.	false	149.97	150.09	-4
8266_258263_000003_000001	As soon as they were gone, Gharib gazed at the idol, which was of red carnelian, with collars of pearls and precious stones about its neck, and presently he went close to it and lifting it up, dashed it on the ground and brake it in bits; after which he lay down and slept till daybreak.	As soon as they were gone, Gharib gazed at the idol, which was of red carnelian, with collars of pearls and precious stones about its neck, and presently he went close to it and lifting it up, dashed it on the ground and brake it in bits; after which he lay down and slept till daybreak.	false	150.09	150.24	3
8266_258263_000003_000002	When morning morrowed, the Queen took seat on her throne and said, "O men, bring me the prisoner." So they opened the temple doors and entering, found the idol broken in pieces, whereupon they buffeted their faces till the blood ran from the corners of their eyes.	When morning morrowed, the Queen took seat on her throne and said, "O men, bring me the prisoner." So they opened the temple doors and entering, found the idol broken in pieces, whereupon they buffeted their faces till the blood ran from the corners of their eyes.	false	150.24	150.24	
8266_258263_000003_000003	Then they made at Gharib to seize him; but he smote one of them with his fist and slew him, and so did he with another and yet another, till he had slain five-and-twenty of them and the rest fled and went in to Queen Jan Shah, shrieking loudly.	Then they made at Gharib to seize him; but he smote one of them with his fist and slew him, and so did he with another and yet another, till he had slain five and twenty of them and the rest fled and went in to Queen Jan Shah, shrieking loudly.	false	150.24	150.24	
8266_258263_000003_000004	Quoth she, "What is the matter?" and quoth they, "The prisoner hath broken thine idol and slain thy men," and told her all that had passed.	Quoth she, "What is the matter?" and quoth they, "The prisoner hath broken thine idol and slain thy men," and told her all that had passed.	false	150.24	150.24	
8266_258263_000003_000005	When she heard this, she cast her crown to the ground and said, "There is no worth left in idols!"	When she heard this, she cast her crown to the ground and said, "There is no worth left in idols!"	false	150.24	150.24	
8266_258263_000003_000006	Then she mounted amid a thousand fighting-men and rode to the temple, where she found Gharib had gotten him a sword and come forth and was slaying men and overthrowing warriors.	Then she mounted amid a thousand fighting men and rode to the temple, where she found Gharib had gotten him a sword and come forth and was slaying men and overthrowing warriors.	false	150.24	150.24	
