6006_57831_000000_000000	Others were not so fortunate.	Others were not so fortunate.	false	0	1.35	23.093203
6006_57831_000000_000001	"Never mind me, lads, go on," said Major Urquhart with his dying breath.	"Never mind me, lads, go on," said Major Urquhart with his dying breath.	false	1.35	4.86	24.713467
6006_57831_000000_000002	"Go on, my company, and give it to them," gasped Captain Findlay as he fell.	"Go on, my company, and give it to them," gasped Captain Findlay as he fell.	false	4.86	8.91	21.89889
6006_57831_000000_000003	At the head of the attacking party strode Piper Stewart, playing "The March of the Cameron Men," until five bullets laid him low.	At the head of the attacking party strode Piper Stewart, playing "The March of the Cameron Men," until five bullets laid him low.	false	8.91	17.13	24.852783
6006_57831_000000_000004	Truly the spirit of the fiery old Covenanters was there!	Truly the spirit of the fiery old Covenanters was there!	false	17.13	22.83	25.155695
6006_57831_000001_000000	The final battle of the Soudanese campaign, Khartoum, put the finishing touches to the rebellion, and gave to Kitchener the title "K. of K."--Kitchener of Khartoum.	The final battle of the Soudanese campaign, Khartoum, put the finishing touches to the rebellion, and gave to Kitchener the title "K. of k"--Kitchener of Khartoum.	true	22.83	32.62	23.22275
6006_57831_000001_000001	This battle was noteworthy in employing the cavalry in an open charge across the plains against the dervish infantry.	This battle was noteworthy in employing the cavalry in an open charge across the plains against the dervish infantry.	true	33.02	39.49	22
6006_57831_000001_000002	It was just such a charge as a skilled horseman such as Haig would keenly enjoy, despite the danger.	It was just such a charge as a skilled horseman such as Haig would keenly enjoy, despite the danger.	true	39.8	45.76	22.78374
6006_57831_000001_000003	Winston Churchill, the British Minister, thus describes it:	Winston Churchill, the British Minister, thus describes it:	true	45.98	49.6	23.738325
6006_57831_000002_000000	"The heads of the squadrons wheeled slowly to the left, and the Lancers, breaking into a trot, began to cross the dervish front in column of troops.	"The heads of the squadrons wheeled slowly to the left, and the Lancers, breaking into a trot, began to cross the dervish front in column of troops.	false	49.94	58.09	25.054771
6006_57831_000002_000001	Thereupon and with one accord the blue-clad men dropped on their knees, and there burst out a loud, crackling fire of musketry.	Thereupon and with one accord the blue clad men dropped on their knees, and there burst out a loud, crackling fire of musketry.	false	58.28	65.53	27
6006_57831_000002_000002	It was hardly possible to miss such a target at such a range.	It was hardly possible to miss such a target at such a range.	true	65.69	69.04	22.002462
6006_57831_000002_000003	Horses and men fell at once.	Horses and men fell at once.	false	69.17	71.08	25.824953
6006_57831_000002_000004	The only course was plain and welcome to all.	The only course was plain and welcome to all.	true	71.42	74.17	24.68536
6006_57831_000002_000005	The Colonel, nearer than his regiment, already saw what lay behind the skirmishers.	The Colonel, nearer than his regiment, already saw what lay behind the skirmishers.	true	74.3	79	20.743893
6006_57831_000002_000006	He ordered 'Right wheel into line' to be sounded.	He ordered 'Right wheel into line' to be sounded.	true	79.04	82.63	22.003244
6006_57831_000002_000007	The trumpet jerked out a shrill note, heard faintly above the trampling of the horses and the noise of the rifles.	The trumpet jerked out a shrill note, heard faintly above the trampling of the horses and the noise of the rifles.	false	82.76	88.87	23.454288
6006_57831_000002_000008	On the instant the troops swung round and locked up into a long, galloping line.	On the instant the troops swung round and locked up into a long, galloping line.	true	88.91	93.1	26.11782
6006_57831_000003_000000	"Two hundred and fifty yards away, the dark blue men were firing madly in a thin film of light-blue smoke.	"Two hundred and fifty yards away, the dark blue men were firing madly in a thin film of light blue smoke.	true	93.47	99.54	23.501581
6006_57831_000003_000001	Their bullets struck the hard gravel into the air, and the troopers, to shield their faces from the stinging dust, bowed their helmets forward, like the Cuirassiers at Waterloo.	Their bullets struck the hard gravel into the air, and the troopers, to shield their faces from the stinging dust, bowed their helmets forward, like the Cuirassiers at Waterloo.	false	99.54	108.58	23.716028
6006_57831_000003_000002	The pace was fast and the distance short.	The pace was fast and the distance short.	true	108.65	111.15	25.296673
6006_57831_000003_000003	Yet before it was half covered the whole aspect of the affair changed.	Yet before it was half covered the whole aspect of the affair changed.	false	111.15	114.9	23.611517
6006_57831_000003_000004	A deep crease in the ground--a dry watercourse, a _khor_--appeared where all had seemed smooth, level plain; and from it there sprang, with the suddenness of a pantomime effect and a high-pitched yell, a dense white mass of men nearly as long as our front and about twelve deep.	A deep crease in the ground-a dry watercourse, a underscore khor underscore--appeared where all had seemed smooth, level plain; and from it there sprang, with the suddenness of a pantomime effect and a high pitched yell, a dense white mass of men nearly as long as our front and about twelve deep.	false	114.9	130.17	24.540682
6006_57831_000003_000005	A score of horsemen and a dozen bright flags rose as if by magic from the earth.	A score of horsemen and a dozen bright flags rose as if by magic from the earth.	false	130.17	134.59	25.208279
6006_57831_000003_000006	The Lancers acknowledged the apparition only by an increase of pace."	The Lancers acknowledged the apparition only by an increase of pace."	true	134.72	138.34	22.86804
6006_57831_000004_000000	In such a melee as then followed, that trooper was lucky indeed who escaped without a scratch.	In such a melee as then followed, that trooper was lucky indeed who escaped without a scratch.	true	138.86	144.1	22.991648
6006_57831_000005_000000	As a result of his bravery at Atbara and Khartoum, Haig's name was mentioned in the official despatches.	As a result of his bravery at Atbara and Khartoum, Haig's name was mentioned in the official despatches.	false	144.59	150.58	26.24261
6006_57831_000005_000001	He returned to England wearing the Khedive's medal and the honorary title of Major.	He returned to England wearing the Khedive's medal and the honorary title of Major.	true	150.62	155.23	24.740112
6006_57831_000006_000000	It is probable, however, that little more would have been heard of him, had not the South African War broken out, soon after.	It is probable, however, that little more would have been heard of him, had not the South African War broken out, soon after.	true	155.48	162.22	22.551563
6006_57831_000006_000001	It is the lot of military men to vegetate in days of peace.	It is the lot of military men to vegetate in days of peace.	true	162.35	165.79	23.725718
6006_57831_000006_000002	They live upon action. Haig was no exception to this rule.	They live upon action. Haig was no exception to this rule.	true	165.89	169.84	27.205288
6006_57831_000006_000003	He welcomed new fields.	He welcomed new fields.	true	169.88	171.7	27.10175
6006_57831_000006_000004	He went to South Africa as aide and right-hand man to Sir John French--the general whom he was to succeed in later years on the battlefields of France.	He went to South Africa as aide and right-hand man to Sir john French-the general whom he was to succeed in later years on the battlefields of France.	true	171.8	180.34	23.121723
6006_57831_000007_000000	In this war, Haig is not credited with many personal exploits.	In this war, Haig is not credited with many personal exploits.	true	180.62	184.24	24.776026
6006_57831_000007_000001	His was essentially a thinking part.	His was essentially a thinking part.	true	184.49	186.82	21.857277
6006_57831_000007_000002	Yet he served as chief of staff in a series of minor but important operations about Colesburg, which prepared the way for Roberts's advance.	Yet he served as chief of staff in a series of minor but important operations about Colesburg, which prepared the way for Roberts's advance.	false	186.92	195.24	24.124933
6006_57831_000007_000003	As usual Haig pinned his faith upon the cavalry.	As usual Haig pinned his faith upon the cavalry.	true	195.24	198.16	23.755413
6006_57831_000007_000004	All his life he had made a close study of this arm of the service, and was of opinion that it was not utilized in modern warfare nearly so much as it should be.	All his life he had made a close study of this arm of the service, and was of opinion that it was not utilized in modern warfare nearly so much as it should be.	false	198.29	206.86	19
6006_57831_000007_000005	He was a warm admirer of the American officer, J. E. B. Stuart, the Confederate General whose dashing tactics turned the scale in so many encounters.	He was a warm admirer of the American officer, j e b Stuart, the Confederate General whose dashing tactics turned the scale in so many encounters.	true	207.05	216.1	22.564116
6006_57831_000008_000000	Now he tried the same strategy in the operations around Colesburg--and paved the way for later victory.	Now he tried the same strategy in the operations around Colesburg-and paved the way for later victory.	true	216.47	222.52	23.143534
6006_57831_000009_000000	Haig somewhat resembled another Southern leader, Stonewall Jackson, in his piety.	Haig somewhat resembled another Southern leader, Stonewall Jackson, in his piety.	true	222.86	227.59	23.58356
6006_57831_000009_000001	It was not ostentatious, but simply part and parcel of the man, due to his Presbyterian training.	It was not ostentatious, but simply part and parcel of the man, due to his Presbyterian training.	true	227.69	234.31	22.483427
6006_57831_000009_000002	Haig did not swear or gamble or dance all night.	Haig did not swear or gamble or dance all night.	true	234.62	237.61	24.646423
6006_57831_000009_000003	He was more apt to be found in his tent, when off duty, either reading or writing.	He was more apt to be found in his tent, when off duty, either reading or writing.	true	237.62	242.17	26.05558
6006_57831_000010_000000	They tell of him that, one day at the officers' mess, after a particularly lively brush with the Boers, the quartermaster asked him if he had lost anything.	They tell of him that, one day at the officers' mess, after a particularly lively brush with the Boers, the quartermaster asked him if he had lost anything.	false	242.6	250.99	23.133724
6006_57831_000011_000000	"Yes," replied Haig solemnly, "my Bible!"	"Yes," replied Haig solemnly, "my Bible!"	true	251.42	254.29	23.194721
6006_57831_000012_000000	Not once did his countenance relax its gravity, as he met the grinning faces across the table.	Not once did his countenance relax its gravity, as he met the grinning faces across the table.	true	254.57	259.84	24.225142
