1079_128636_000000_000000	[Page 442] FRIED WHITEFISH--III	[Page four hundred forty two] FRIED WHITEFISH-three	false	3.99	91.96	24.709545
1079_128636_000001_000000	Clean and dry the fish, cut into fillets, dip in seasoned crumbs, then in egg, then in crumbs, and fry quickly in fat to cover.	Clean and dry the fish, cut into fillets, dip in seasoned crumbs, then in egg, then in crumbs, and fry quickly in fat to cover.	true	92.48	101.745	24.918272
1079_128636_000001_000001	Serve with Tartar Sauce.	Serve with Tartar Sauce.	true	101.745	103.48	23.292515
1079_128636_000002_000000	BROILED WHITEFISH--I	BROILED WHITEFISH-I	false	104.27	107.07	28.998806
1079_128636_000003_000000	Clean, trim, and split a large whitefish, season with salt, pepper, and oil, and broil.	Clean, trim, and split a large whitefish, season with salt, pepper, and oil, and broil.	false	107.07	113.61	26.899786
1079_128636_000003_000001	Garnish with lemon and parsley and serve with Tartar Sauce.	Garnish with lemon and parsley and serve with Tartar Sauce.	true	113.61	117.01	22
1079_128636_000004_000000	BROILED WHITEFISH--II	BROILED WHITEFISH-two	false	117.65	120.25	29.259819
1079_128636_000005_000000	Put a cleaned and split whitefish on a wire broiler, season with salt and cayenne, lay a few thin slices of bacon on top, put the broiler on a baking-pan, and cook in the oven without turning. Put on a platter, add a little butter, and rub hard-boiled eggs through a sieve over the fish.	Put a cleaned and split whitefish on a wire broiler, season with salt and cayenne, lay a few thin slices of bacon on top, put the broiler on a baking pan, and cook in the oven without turning. Put on a platter, add a little butter, and rub hard boiled eggs through a sieve over the fish.	true	120.74	139.305	24.210526
1079_128636_000005_000001	Garnish with parsley and lemon.	Garnish with parsley and lemon.	true	139.305	141.46	21.545168
1079_128636_000006_000000	BROILED WHITEFISH--III	BROILED WHITEFISH-three	false	141.89	144.37	27.07405
1079_128636_000007_000000	Clean and split the fish, season with salt and pepper, sprinkle with lemon-juice, and broil.	Clean and split the fish, season with salt and pepper, sprinkle with lemon juice, and broil.	false	144.71	150.75	23.878159
1079_128636_000007_000001	Pour over melted butter and serve.	Pour over melted butter and serve.	true	150.75	153.1	23.16448
1079_128636_000008_000000	BAKED WHITEFISH--I	BAKED WHITEFISH-I	false	154.52	157.2	28.043308
1079_128636_000009_000000	Clean and split a large fish, remove the bone, and put in a buttered baking-pan skin-side down.	Clean and split a large fish, remove the bone, and put in a buttered baking pan skin side down.	true	157.2	163.42	23.0669
1079_128636_000009_000001	Season with salt, cayenne, and lemon-juice, [Page 443] sprinkle with crumbs, dot with butter, and bake.	Season with salt, cayenne, and lemon juice, [Page four hundred forty three] sprinkle with crumbs, dot with butter, and bake.	false	163.7	170.2	24.757627
1079_128636_000009_000002	Serve with any preferred sauce.	Serve with any preferred sauce.	true	170.48	172.81	26.17824
1079_128636_000010_000000	BAKED WHITEFISH--II	BAKED WHITEFISH-two	false	173.33	175.78	28.289331
1079_128636_000011_000000	Make a stuffing of one and one-half cupfuls of dry bread-crumbs, seasoning with salt and pepper.	Make a stuffing of one and one half cupfuls of dry bread crumbs, seasoning with salt and pepper.	true	176.12	181.99	26.914959
1079_128636_000011_000001	Add a heaping tablespoonful of butter and one egg well-beaten.	Add a heaping tablespoonful of butter and one egg well beaten.	true	182.15	186.13	25.607407
1079_128636_000011_000002	Stuff the fish and sew it up.	Stuff the fish and sew it up.	true	186.32	188.415	22.749983
1079_128636_000011_000003	Put in a buttered baking-pan, pour in one cupful of vinegar, and bake until done, basting with butter and hot water.	Put in a buttered baking pan, pour in one cupful of vinegar, and bake until done, basting with butter and hot water.	true	188.415	195.58	26.896534
1079_128636_000011_000004	Take up the fish and thicken the gravy with two tablespoonfuls of flour browned in butter and rubbed smooth with a little cold water.	Take up the fish and thicken the gravy with two tablespoonfuls of flour browned in butter and rubbed smooth with a little cold water.	false	196.13	204.13	23
