3294_167609_000000_000000	CHAPTER XXI	CHAPTER twenty one	false	2.58	7.05	20.676353
3294_167609_000001_000000	Pierre stepped out of his carriage and, passing the toiling militiamen, ascended the knoll from which, according to the doctor, the battlefield could be seen.	Pierre stepped out of his carriage and, passing the toiling militiamen, ascended the knoll from which, according to the doctor, the battlefield could be seen.	true	7.05	15.79	20.720894
3294_167609_000002_000000	It was about eleven o'clock.	It was about eleven o'clock.	true	16.13	18.225	26.746044
3294_167609_000002_000001	The sun shone somewhat to the left and behind him and brightly lit up the enormous panorama which, rising like an amphitheater, extended before him in the clear rarefied atmosphere.	The sun shone somewhat to the left and behind him and brightly lit up the enormous panorama which, rising like an amphitheater, extended before him in the clear rarefied atmosphere.	true	18.225	29.68	18
3294_167609_000003_000000	From above on the left, bisecting that amphitheater, wound the Smolensk highroad, passing through a village with a white church some five hundred paces in front of the knoll and below it.	From above on the left, bisecting that amphitheater, wound the Smolensk highroad, passing through a village with a white church some five hundred paces in front of the knoll and below it.	true	30.17	41.74	22
3294_167609_000003_000001	This was Borodino.	This was Borodino.	true	41.96	43.69	26.323936
3294_167609_000003_000002	Below the village the road crossed the river by a bridge and, winding down and up, rose higher and higher to the village of Valuevo visible about four miles away, where Napoleon was then stationed.	Below the village the road crossed the river by a bridge and, winding down and up, rose higher and higher to the village of Valuevo visible about four miles away, where Napoleon was then stationed.	true	44	56.65	20.396132
3294_167609_000003_000003	Beyond Valuevo the road disappeared into a yellowing forest on the horizon.	Beyond Valuevo the road disappeared into a yellowing forest on the horizon.	true	57.11	62.32	19
3294_167609_000003_000004	Far in the distance in that birch and fir forest to the right of the road, the cross and belfry of the Kolocha Monastery gleamed in the sun.	Far in the distance in that birch and fir forest to the right of the road, the cross and belfry of the Kolocha Monastery gleamed in the sun	true	62.66	70.66	19.371262
3294_167609_000003_000005	Here and there over the whole of that blue expanse, to right and left of the forest and the road, smoking campfires could be seen and indefinite masses of troops--ours and the enemy's.	Here and there over the whole of that blue expanse, to right and left of the forest and the road, smoking campfires could be seen and indefinite masses of troops-ours and the enemy's.	true	71.12	82.81	21.176165
3294_167609_000003_000006	The ground to the right--along the course of the Kolocha and Moskva rivers--was broken and hilly.	The ground to the right-along the course of the Kolocha and Moskva rivers-was broken and hilly.	true	83.06	88.75	22.661442
3294_167609_000003_000007	Between the hollows the villages of Bezubova and Zakharino showed in the distance.	Between the hollows the villages of Bezubova and Zakharino showed in the distance.	true	89.06	94.845	22.858496
3294_167609_000003_000008	On the left the ground was more level; there were fields of grain, and the smoking ruins of Semenovsk, which had been burned down, could be seen.	On the left the ground was more level; there were fields of grain, and the smoking ruins of Semenovsk, which had been burned down, could be seen.	true	94.845	103.33	22
3294_167609_000004_000000	All that Pierre saw was so indefinite that neither the left nor the right side of the field fully satisfied his expectations.	All that Pierre saw was so indefinite that neither the left nor the right side of the field fully satisfied his expectations.	true	104.33	112.3	20.225262
3294_167609_000004_000001	Nowhere could he see the battlefield he had expected to find, but only fields, meadows, troops, woods, the smoke of campfires, villages, mounds, and streams; and try as he would he could descry no military "position" in this place which teemed with life, nor could he even distinguish our troops from the enemy's.	Nowhere could he see the battlefield he had expected to find, but only fields, meadows, troops, woods, the smoke of campfires, villages, mounds, and streams; and try as he would he could descry no military "position" in this place which teemed with life, nor could he even distinguish our troops from the enemy's.	true	112.7	133.12	22
3294_167609_000005_000000	"I must ask someone who knows," he thought, and addressed an officer who was looking with curiosity at his huge unmilitary figure.	"I must ask someone who knows," he thought, and addressed an officer who was looking with curiosity at his huge unmilitary figure.	true	133.58	142.33	21
3294_167609_000006_000000	"May I ask you," said Pierre, "what village that is in front?"	"May I ask you," said Pierre, "what village that is in front?"	true	142.76	146.89	21.27683
3294_167609_000007_000000	"Burdino, isn't it?" said the officer, turning to his companion.	"Burdino, isn't it?" said the officer, turning to his companion.	false	147.11	151.06	21.386108
3294_167609_000008_000000	"Borodino," the other corrected him.	"Borodino," the other corrected him.	true	151.37	154.06	22.870577
3294_167609_000009_000000	The officer, evidently glad of an opportunity for a talk, moved up to Pierre.	The officer, evidently glad of an opportunity for a talk, moved up to Pierre.	true	154.22	159.22	22.758528
3294_167609_000010_000000	"Are those our men there?" Pierre inquired.	"Are those our men there?" Pierre inquired.	true	159.68	163	22.776943
3294_167609_000011_000000	"Yes, and there, further on, are the French," said the officer.	"Yes, and there, further on, are the French," said the officer.	true	163.13	167.02	24.178095
3294_167609_000011_000001	"There they are, there... you can see them."	"There they are, there... you can see them."	true	167.06	169.12	23.643686
3294_167609_000012_000000	"Where?	"Where?	true	169.46	170.265	22.205929
3294_167609_000012_000001	Where?" asked Pierre.	Where?" asked Pierre.	true	170.265	171.88	21.2793
3294_167609_000013_000000	"One can see them with the naked eye...	"One can see them with the naked eye...	true	172.22	174.105	20
3294_167609_000013_000001	Why, there!"	Why, there!"	true	174.105	175.18	25.03061
3294_167609_000014_000000	The officer pointed with his hand to the smoke visible on the left beyond the river, and the same stern and serious expression that Pierre had noticed on many of the faces he had met came into his face.	The officer pointed with his hand to the smoke visible on the left beyond the river, and the same stern and serious expression that Pierre had noticed on many of the faces he had met came into his face.	false	175.49	187.54	21
3294_167609_000015_000000	"Ah, those are the French!	"Ah, those are the French!	true	187.88	189.765	21.39678
3294_167609_000015_000001	And over there?..." Pierre pointed to a knoll on the left, near which some troops could be seen.	And over there?..." Pierre pointed to a knoll on the left, near which some troops could be seen.	true	189.765	195.04	24.78236
3294_167609_000016_000000	"Those are ours."	"Those are ours."	true	195.14	196.29	17.284367
3294_167609_000017_000000	"Ah, ours!	"Ah, ours!	false	196.29	197.92	18.598223
3294_167609_000017_000001	And there?..." Pierre pointed to another knoll in the distance with a big tree on it, near a village that lay in a hollow where also some campfires were smoking and something black was visible.	And there?..." Pierre pointed to another knoll in the distance with a big tree on it, near a village that lay in a hollow where also some campfires were smoking and something black was visible.	false	197.99	208.54	20.864565
3294_167609_000018_000000	"That's his again," said the officer. (It was the Shevardino Redoubt.) "It was ours yesterday, but now it is his."	"That's his again," said the officer. (It was the Shevardino Redoubt.) "It was ours yesterday, but now it is his."	true	208.82	215.95	20.49015
3294_167609_000019_000000	"Then how about our position?"	"Then how about our position?"	true	216.44	218.2	18.879316
3294_167609_000020_000000	"Our position?" replied the officer with a smile of satisfaction.	"Our position?" replied the officer with a smile of satisfaction.	true	218.45	222.73	21
3294_167609_000020_000001	"I can tell you quite clearly, because I constructed nearly all our entrenchments.	"I can tell you quite clearly, because I constructed nearly all our entrenchments.	true	223.04	227.59	21
3294_167609_000020_000002	There, you see?	There, you see?	true	227.63	228.7	19.692831
3294_167609_000020_000003	There's our center, at Borodino, just there," and he pointed to the village in front of them with the white church.	There's our center, at Borodino, just there," and he pointed to the village in front of them with the white church.	false	228.92	235.03	23.191435
3294_167609_000020_000004	"That's where one crosses the Kolocha.	"That's where one crosses the Kolocha.	true	235.31	237.64	24.709843
3294_167609_000020_000005	You see down there where the rows of hay are lying in the hollow, there's the bridge.	You see down there where the rows of hay are lying in the hollow, there's the bridge.	true	237.86	242.82	19.088282
3294_167609_000020_000006	That's our center.	That's our center.	true	242.82	244.06	24.739275
3294_167609_000020_000007	Our right flank is over there"--he pointed sharply to the right, far away in the broken ground--"That's where the Moskva River is, and we have thrown up three redoubts there, very strong ones.	Our right flank is over there"--he pointed sharply to the right, far away in the broken ground-"That's where the Moskva River is, and we have thrown up three redoubts there, very strong ones.	true	244.34	255.82	22.84249
3294_167609_000020_000008	The left flank..." here the officer paused.	The left flank..." here the officer paused.	true	256.04	258.705	25.008835
3294_167609_000020_000009	"Well, you see, that's difficult to explain....	"Well, you see, that's difficult to explain....	true	258.705	261.94	23.870008
3294_167609_000020_000010	Yesterday our left flank was there at Shevardino, you see, where the oak is, but now we have withdrawn our left wing--now it is over there, do you see that village and the smoke?	Yesterday our left flank was there at Shevardino, you see, where the oak is, but now we have withdrawn our left wing-now it is over there, do you see that village and the smoke?	true	262.01	273.465	21.494823
3294_167609_000020_000011	That's Semenovsk, yes, there," he pointed to Raevski's knoll.	That's Semenovsk, yes, there," he pointed to Raevski's knoll.	true	273.465	277.48	23.208294
3294_167609_000020_000012	"But the battle will hardly be there.	"But the battle will hardly be there.	true	277.79	279.73	20.17977
3294_167609_000020_000013	His having moved his troops there is only a ruse; he will probably pass round to the right of the Moskva.	His having moved his troops there is only a ruse; he will probably pass round to the right of the Moskva.	true	279.95	286.48	20.305344
3294_167609_000020_000014	But wherever it may be, many a man will be missing tomorrow!" he remarked.	But wherever it may be, many a man will be missing tomorrow!" he remarked.	true	286.64	291.91	19.51706
3294_167609_000021_000000	An elderly sergeant who had approached the officer while he was giving these explanations had waited in silence for him to finish speaking, but at this point, evidently not liking the officer's remark, interrupted him.	An elderly sergeant who had approached the officer while he was giving these explanations had waited in silence for him to finish speaking, but at this point, evidently not liking the officer's remark, interrupted him.	true	293.24	306.79	21.85148
3294_167609_000022_000000	"Gabions must be sent for," said he sternly.	"Gabions must be sent for," said he sternly.	true	307.28	310.665	22.20406
