6120_14976_000001_000000	CHAPTER XXIV	CHAPTER twenty four
6120_14976_000002_000000	"Guardy Lud" was the first visitor, just for a night and a day.	"Guardy Lud" was the first visitor, just for a night and a day.
6120_14976_000002_000001	He had come East for a flying business trip, and could not pass by his beloved wards without at least a glimpse.	He had come East for a flying business trip, and could not pass by his beloved wards without at least a glimpse.
6120_14976_000002_000002	He dropped down into their midst quite unexpectedly the night before college closed, and found them with a bevy of young people at the supper-table, who opened their ranks right heartily, and took him in.	He dropped down into their midst quite unexpectedly the night before college closed, and found them with a bevy of young people at the supper table, who opened their ranks right heartily, and took him in.
6120_14976_000002_000003	He sat on the terrace in the moonlight with them afterwards, joking, telling them stories, and eating chocolates with the rest.	He sat on the terrace in the moonlight with them afterwards, joking, telling them stories, and eating chocolates with the rest.
6120_14976_000003_000000	After the young people were gone he lingered, wiping his eyes, and saying, "Bless my soul!" thoughtfully.	After the young people were gone he lingered, wiping his eyes, and saying, "Bless my soul!" thoughtfully.
6120_14976_000003_000001	He told Julia Cloud over and over again how more than pleased he was with what she had done for his children, and insisted that her salary should be twice as large.	He told Julia Cloud over and over again how more than pleased he was with what she had done for his children, and insisted that her salary should be twice as large.
6120_14976_000003_000004	He would see that a sum was set aside in the bank for their use in any such plans as they might have for their Christian Endeavor work.	He would see that a sum was set aside in the bank for their use in any such plans as they might have for their Christian Endeavor work.
6120_14976_000004_000000	They talked far into the night, for he had to hear all the stories of all their doings, and every minute or two one or the other of the children would break in to tell something about the other or to praise their dear Cloudy Jewel for her part in everything.	They talked far into the night, for he had to hear all the stories of all their doings, and every minute or two one or the other of the children would break in to tell something about the other or to praise their dear Cloudy Jewel for her part in everything.
6120_14976_000005_000000	The next day they took him everywhere and showed him everything about the college and the place, introduced him to their favorite professors, at least those who were not already gone on their vacations, and took him for a long drive past their favorite haunts. Then he had to meet Jane Bristol and Howard Letchworth.	The next day they took him everywhere and showed him everything about the college and the place, introduced him to their favorite professors, at least those who were not already gone on their vacations, and took him for a long drive past their favorite haunts. Then he had to meet Jane Bristol and Howard Letchworth.
6120_14976_000006_000000	"They are both poor and earning their own living," said Julia Cloud, feeling that in view of the future and what it might contain she wanted to be entirely honest, that the weight of responsibility should not rest too heavily upon her.	"They are both poor and earning their own living," said Julia Cloud, feeling that in view of the future and what it might contain she wanted to be entirely honest, that the weight of responsibility should not rest too heavily upon her.
