2238_121415_000000_000000	"Where?" asked Porthos, filling a second glass of wine.	"Where?" asked Porthos, filling a second glass of wine.	false	0	2.43	19.461515
2238_121415_000001_000000	"To present our respects to the cardinal."	"To present our respects to the cardinal."	false	2.43	4.29	14.868956
2238_121415_000002_000000	Porthos swallowed the second glass with the same grace with which he had imbibed the first, took his beaver and followed D'Artagnan.	Porthos swallowed the second glass with the same grace with which he had imbibed the first, took his beaver and followed D'Artagnan.	false	4.29	12.42	20.164518
2238_121415_000002_000001	As for Raoul, he remained bewildered with what he had seen, having been forbidden by D'Artagnan to leave the room until the tumult was over.	As for Raoul, he remained bewildered with what he had seen, having been forbidden by D'Artagnan to leave the room until the tumult was over.	false	12.42	21.24	19.52819
2238_121415_000003_000000	45.	forty five.	true	21.24	22.27	21.4347
2238_121415_000003_000001	The Beggar of St. Eustache.	The Beggar of st Eustache.	false	22.91	25	19.320621
2238_121415_000004_000000	D'Artagnan had calculated that in not going at once to the Palais Royal he would give Comminges time to arrive before him, and consequently to make the cardinal acquainted with the eminent services which he, D'Artagnan, and his friend had rendered to the queen's party in the morning.	D'Artagnan had calculated that in not going at once to the Palais Royal he would give Comminges time to arrive before him, and consequently to make the cardinal acquainted with the eminent services which he, D'Artagnan, and his friend had rendered to the queen's party in the morning.	false	26.93	44.62	21.99918
2238_121415_000005_000000	They were indeed admirably received by Mazarin, who paid them numerous compliments, and announced that they were more than half on their way to obtain what they desired, namely, D'Artagnan his captaincy, Porthos his barony.	They were indeed admirably received by Mazarin, who paid them numerous compliments, and announced that they were more than half on their way to obtain what they desired, namely, D'Artagnan his captaincy, Porthos his barony.	true	46.04	60.46	19.109291
2238_121415_000006_000000	D'Artagnan would have preferred money in hand to all that fine talk, for he knew well that to Mazarin it was easy to promise and hard to perform. But, though he held the cardinal's promises as of little worth, he affected to be completely satisfied, for he was unwilling to discourage Porthos.	D'Artagnan would have preferred money in hand to all that fine talk, for he knew well that to Mazarin it was easy to promise and hard to perform. But, though he held the cardinal's promises as of little worth, he affected to be completely satisfied, for he was unwilling to discourage Porthos.	true	61.34	80.71	21.735695
2238_121415_000007_000000	Whilst the two friends were with the cardinal, the queen sent for him. Mazarin, thinking that it would be the means of increasing the zeal of his two defenders if he procured them personal thanks from the queen, motioned them to follow him.	Whilst the two friends were with the cardinal, the queen sent for him. Mazarin, thinking that it would be the means of increasing the zeal of his two defenders if he procured them personal thanks from the queen, motioned them to follow him.	true	82.13	97.03	20.736294
2238_121415_000007_000001	D'Artagnan and Porthos pointed to their dusty and torn dresses, but the cardinal shook his head.	D'Artagnan and Porthos pointed to their dusty and torn dresses, but the cardinal shook his head.	true	97.43	103.06	23.54509
2238_121415_000008_000000	"Those costumes," he said, "are of more worth than most of those which you will see on the backs of the queen's courtiers; they are costumes of battle."	"Those costumes," he said, "are of more worth than most of those which you will see on the backs of the queen's courtiers; they are costumes of battle."	true	103.37	111.73	22.716272
2238_121415_000009_000000	D'Artagnan and Porthos obeyed.	D'Artagnan and Porthos obeyed.	true	112.52	114.58	24.08825
2238_121415_000009_000001	The court of Anne of Austria was full of gayety and animation; for, after having gained a victory over the Spaniard, it had just gained another over the people.	The court of Anne of Austria was full of gayety and animation; for, after having gained a victory over the Spaniard, it had just gained another over the people.	true	115.19	124.48	21.136166
2238_121415_000009_000002	Broussel had been conducted out of Paris without further resistance, and was at this time in the prison of Saint Germain; while Blancmesnil, who was arrested at the same time, but whose arrest had been made without difficulty or noise, was safe in the Castle of Vincennes.	Broussel had been conducted out of Paris without further resistance, and was at this time in the prison of Saint Germain; while Blancmesnil, who was arrested at the same time, but whose arrest had been made without difficulty or noise, was safe in the Castle of Vincennes.	false	125.12	141.48	20.60164
2238_121415_000010_000000	Comminges was near the queen, who was questioning him upon the details of his expedition, and every one was listening to his account, when D'Artagnan and Porthos were perceived at the door, behind the cardinal.	Comminges was near the queen, who was questioning him upon the details of his expedition, and every one was listening to his account, when D'Artagnan and Porthos were perceived at the door, behind the cardinal.	false	141.48	154.57	22.07699
2238_121415_000011_000000	"Ah, madame," said Comminges, hastening to D'Artagnan, "here is one who can tell you better than myself, for he was my protector.	"Ah, madame," said Comminges, hastening to D'Artagnan, "here is one who can tell you better than myself, for he was my protector.	false	155.21	163.21	19.283682
2238_121415_000011_000001	Without him I should probably at this moment be a dead fish in the nets at Saint Cloud, for it was a question of nothing less than throwing me into the river.	Without him I should probably at this moment be a dead fish in the nets at Saint Cloud, for it was a question of nothing less than throwing me into the river.	true	163.61	173.02	20.848257
2238_121415_000011_000002	Speak, D'Artagnan, speak."	Speak, D'Artagnan, speak."	true	173.39	175.39	26.067232
2238_121415_000012_000000	D'Artagnan had been a hundred times in the same room with the queen since he had become lieutenant of the musketeers, but her majesty had never once spoken to him.	D'Artagnan had been a hundred times in the same room with the queen since he had become lieutenant of the musketeers, but her majesty had never once spoken to him.	true	176.75	185.92	19.70022
2238_121415_000013_000000	"Well, sir," at last said Anne of Austria, "you are silent, after rendering such a service?"	"Well, sir," at last said Anne of Austria, "you are silent, after rendering such a service?"	true	186.74	192.73	19.811968
2238_121415_000014_000000	"Madame," replied D'Artagnan, "I have nought to say, save that my life is ever at your majesty's service, and that I shall only be happy the day I lose it for you."	"Madame," replied D'Artagnan, "I have nought to say, save that my life is ever at your majesty's service, and that I shall only be happy the day I lose it for you."	true	194.03	204.58	20.24732
2238_121415_000015_000000	"I know that, sir; I have known that," said the queen, "a long time; therefore I am delighted to be able thus publicly to mark my gratitude and my esteem."	"I know that, sir; I have known that," said the queen, "a long time; therefore I am delighted to be able thus publicly to mark my gratitude and my esteem."	true	205.76	216.52	22.242628
2238_121415_000016_000000	"Permit me, madame," said D'Artagnan, "to reserve a portion for my friend; like myself" (he laid an emphasis on these words) "an ancient musketeer of the company of Treville; he has done wonders."	"Permit me, madame," said D'Artagnan, "to reserve a portion for my friend; like myself" (he laid an emphasis on these words) "an ancient musketeer of the company of Treville; he has done wonders."	true	217.82	230.77	22.127499
2238_121415_000017_000000	"His name?" asked the queen.	"His name?" asked the queen.	false	231.32	233.05	19.290855
2238_121415_000018_000000	"In the regiment," said D'Artagnan, "he is called Porthos" (the queen started), "but his true name is the Chevalier du Vallon."	"In the regiment," said D'Artagnan, "he is called Porthos" (the queen started), "but his true name is the Chevalier du Vallon."	false	233.69	241.95	19.567913
2238_121415_000019_000000	"De Bracieux de Pierrefonds," added Porthos.	"De Bracieux de Pierrefonds," added Porthos.	false	241.95	246.97	23.96759
2238_121415_000020_000000	"These names are too numerous for me to remember them all, and I will content myself with the first," said the queen, graciously.	"These names are too numerous for me to remember them all, and I will content myself with the first," said the queen, graciously.	true	248.39	255.46	21.526999
2238_121415_000020_000001	Porthos bowed.	Porthos bowed.	true	256.04	257.38	25.372227
2238_121415_000020_000002	At this moment the coadjutor was announced; a cry of surprise ran through the royal assemblage.	At this moment the coadjutor was announced; a cry of surprise ran through the royal assemblage.	true	258.74	264.79	20.551311
2238_121415_000020_000003	Although the coadjutor had preached that same morning it was well known that he leaned much to the side of the Fronde; and Mazarin, in requesting the archbishop of Paris to make his nephew preach, had evidently had the intention of administering to Monsieur de Retz one of those Italian kicks he so much enjoyed giving.	Although the coadjutor had preached that same morning it was well known that he leaned much to the side of the Fronde; and Mazarin, in requesting the archbishop of Paris to make his nephew preach, had evidently had the intention of administering to Monsieur de Retz one of those Italian kicks he so much enjoyed giving.	true	265.34	285.07	22.03922
