2238_121415_000003_000000	45.	forty five.
2238_121415_000006_000000	D'Artagnan would have preferred money in hand to all that fine talk, for he knew well that to Mazarin it was easy to promise and hard to perform. But, though he held the cardinal's promises as of little worth, he affected to be completely satisfied, for he was unwilling to discourage Porthos.	D'Artagnan would have preferred money in hand to all that fine talk, for he knew well that to Mazarin it was easy to promise and hard to perform. But, though he held the cardinal's promises as of little worth, he affected to be completely satisfied, for he was unwilling to discourage Porthos.
2238_121415_000007_000000	Whilst the two friends were with the cardinal, the queen sent for him. Mazarin, thinking that it would be the means of increasing the zeal of his two defenders if he procured them personal thanks from the queen, motioned them to follow him.	Whilst the two friends were with the cardinal, the queen sent for him. Mazarin, thinking that it would be the means of increasing the zeal of his two defenders if he procured them personal thanks from the queen, motioned them to follow him.
2238_121415_000007_000001	D'Artagnan and Porthos pointed to their dusty and torn dresses, but the cardinal shook his head.	D'Artagnan and Porthos pointed to their dusty and torn dresses, but the cardinal shook his head.
2238_121415_000008_000000	"Those costumes," he said, "are of more worth than most of those which you will see on the backs of the queen's courtiers; they are costumes of battle."	"Those costumes," he said, "are of more worth than most of those which you will see on the backs of the queen's courtiers; they are costumes of battle."
2238_121415_000009_000000	D'Artagnan and Porthos obeyed.	D'Artagnan and Porthos obeyed.
2238_121415_000009_000001	The court of Anne of Austria was full of gayety and animation; for, after having gained a victory over the Spaniard, it had just gained another over the people.	The court of Anne of Austria was full of gayety and animation; for, after having gained a victory over the Spaniard, it had just gained another over the people.
2238_121415_000011_000001	Without him I should probably at this moment be a dead fish in the nets at Saint Cloud, for it was a question of nothing less than throwing me into the river.	Without him I should probably at this moment be a dead fish in the nets at Saint Cloud, for it was a question of nothing less than throwing me into the river.
2238_121415_000011_000002	Speak, D'Artagnan, speak."	Speak, D'Artagnan, speak."
2238_121415_000014_000000	"Madame," replied D'Artagnan, "I have nought to say, save that my life is ever at your majesty's service, and that I shall only be happy the day I lose it for you."	"Madame," replied D'Artagnan, "I have nought to say, save that my life is ever at your majesty's service, and that I shall only be happy the day I lose it for you."
2238_121415_000015_000000	"I know that, sir; I have known that," said the queen, "a long time; therefore I am delighted to be able thus publicly to mark my gratitude and my esteem."	"I know that, sir; I have known that," said the queen, "a long time; therefore I am delighted to be able thus publicly to mark my gratitude and my esteem."
2238_121415_000016_000000	"Permit me, madame," said D'Artagnan, "to reserve a portion for my friend; like myself" (he laid an emphasis on these words) "an ancient musketeer of the company of Treville; he has done wonders."	"Permit me, madame," said D'Artagnan, "to reserve a portion for my friend; like myself" (he laid an emphasis on these words) "an ancient musketeer of the company of Treville; he has done wonders."
2238_121415_000020_000000	"These names are too numerous for me to remember them all, and I will content myself with the first," said the queen, graciously.	"These names are too numerous for me to remember them all, and I will content myself with the first," said the queen, graciously.
2238_121415_000020_000001	Porthos bowed.	Porthos bowed.
2238_121415_000020_000002	At this moment the coadjutor was announced; a cry of surprise ran through the royal assemblage.	At this moment the coadjutor was announced; a cry of surprise ran through the royal assemblage.
2238_121415_000020_000003	Although the coadjutor had preached that same morning it was well known that he leaned much to the side of the Fronde; and Mazarin, in requesting the archbishop of Paris to make his nephew preach, had evidently had the intention of administering to Monsieur de Retz one of those Italian kicks he so much enjoyed giving.	Although the coadjutor had preached that same morning it was well known that he leaned much to the side of the Fronde; and Mazarin, in requesting the archbishop of Paris to make his nephew preach, had evidently had the intention of administering to Monsieur de Retz one of those Italian kicks he so much enjoyed giving.
2238_121415_000021_000001	Although almost engaged to the leaders of the Fronde he had not gone so far but that retreat was possible should the court offer him the advantages for which he was ambitious and to which the coadjutorship was but a stepping-stone.	Although almost engaged to the leaders of the Fronde he had not gone so far but that retreat was possible should the court offer him the advantages for which he was ambitious and to which the coadjutorship was but a stepping stone.
2238_121415_000021_000002	Monsieur de Retz wished to become archbishop in his uncle's place, and cardinal, like Mazarin; and the popular party could with difficulty accord him favors so entirely royal.	Monsieur de Retz wished to become archbishop in his uncle's place, and cardinal, like Mazarin; and the popular party could with difficulty accord him favors so entirely royal.
2238_121415_000021_000003	He therefore hastened to the palace to congratulate the queen on the battle of Lens, determined beforehand to act with or against the court, as his congratulations were well or ill received.	He therefore hastened to the palace to congratulate the queen on the battle of Lens, determined beforehand to act with or against the court, as his congratulations were well or ill received.
2238_121415_000022_000000	The coadjutor possessed, perhaps, as much wit as all those put together who were assembled at the court to laugh at him.	The coadjutor possessed, perhaps, as much wit as all those put together who were assembled at the court to laugh at him.
2238_121415_000022_000001	His speech, therefore, was so well turned, that in spite of the great wish felt by the courtiers to laugh, they could find no point on which to vent their ridicule.	His speech, therefore, was so well turned, that in spite of the great wish felt by the courtiers to laugh, they could find no point on which to vent their ridicule.
2238_121415_000022_000002	He concluded by saying that he placed his feeble influence at her majesty's command.	He concluded by saying that he placed his feeble influence at her majesty's command.
2238_121415_000023_000002	The Count de Villeroy said that "he did not know how any fear could be entertained for a moment, when the court had, to defend itself against the parliament and the citizens of Paris, his holiness the coadjutor, who by a signal could raise an army of curates, church porters and vergers."	The Count de Villeroy said that "he did not know how any fear could be entertained for a moment, when the court had, to defend itself against the parliament and the citizens of Paris, his holiness the coadjutor, who by a signal could raise an army of curates, church porters and vergers."
