8498_287358_000000_000000	CHAPTER IV--ANDY FOGER GETS A FRIGHT	CHAPTER four-ANDY FOGER GETS A FRIGHT	true	24.345	27.49	23.148535
8498_287358_000001_000000	Tom Swift considered a few minutes.	Tom Swift considered a few minutes.	true	29.33	31.6	21.26846
8498_287358_000001_000001	On the face of it, the proposition appealed to him.	On the face of it, the proposition appealed to him.	true	32.27	35.14	27.93279
8498_287358_000001_000002	He had been home some time now after his adventures on Earthquake Island, and he was beginning to long for more excitement.	He had been home some time now after his adventures on Earthquake Island, and he was beginning to long for more excitement.	true	35.48	41.92	19.759153
8498_287358_000001_000003	The search for the mysterious mountain, and the cave of the diamond makers, might offer a new field for him.	The search for the mysterious mountain, and the cave of the diamond makers, might offer a new field for him.	true	42.32	47.95	22.086617
8498_287358_000001_000004	But there came to him a certain distrust of Mr. Jenks.	But there came to him a certain distrust of mr Jenks.	true	48.05	51.25	24.042824
8498_287358_000002_000000	"I don't like to doubt your word," began Tom, slowly, "but you know, Mr. Jenks, that some of the greatest chemists have tried in vain to make diamonds; or, at best, they have made only tiny ones.	"I don't like to doubt your word," began Tom, slowly, "but you know, mr Jenks, that some of the greatest chemists have tried in vain to make diamonds; or, at best, they have made only tiny ones.	true	51.71	63.07	22.943953
8498_287358_000002_000001	To think that any man, or set of men, made real diamonds as large as the ones you have, doesn't seem--well--" and Tom hesitated.	To think that any man, or set of men, made real diamonds as large as the ones you have, doesn't seem-well-" and Tom hesitated.	true	63.2	71.2	21.885117
8498_287358_000003_000000	"You mean you can hardly believe me?" asked Mr. Jenks.	"You mean you can hardly believe me?" asked mr Jenks.	true	72.14	75.76	20.880568
8498_287358_000004_000000	"I guess that's it," assented Tom.	"I guess that's it," assented Tom.	true	76.31	78.91	26.642458
8498_287358_000005_000000	"I don't blame you a bit!" exclaimed the odd man.	"I don't blame you a bit!" exclaimed the odd man.	true	79.19	82.57	25.172663
8498_287358_000005_000001	"In fact, I didn't believe it when they told me they could make diamonds.	"In fact, I didn't believe it when they told me they could make diamonds.	true	83.09	86.79	23.25633
8498_287358_000005_000002	But they proved it to me.	But they proved it to me.	true	86.79	88.21	28.122145
8498_287358_000005_000003	I'm ready now to prove it to you."	I'm ready now to prove it to you."	true	88.31	90.34	22.35924
8498_287358_000006_000000	"I'll tell you what I'll do.	"I'll tell you what I'll do.	true	90.89	92.53	22.03925
8498_287358_000006_000001	Here's this one stone, cut ready for setting.	Here's this one stone, cut ready for setting.	true	92.69	95.44	24.839577
8498_287358_000006_000002	Here's another, uncut," and Mr. Jenks drew from his pocket what looked like a piece of crystal.	Here's another, uncut," and mr Jenks drew from his pocket what looked like a piece of crystal.	true	95.57	101.74	23.918608
8498_287358_000006_000003	"Take them to any jeweler," he resumed--"to the one in whose place I saw you to-night.	"Take them to any jeweler," he resumed-"to the one in whose place I saw you to night.	true	102.2	107.83	22.06189
8498_287358_000006_000004	I'll abide by the verdict you get, and I'll come here to-morrow night, and hear what you have to say."	I'll abide by the verdict you get, and I'll come here to morrow night, and hear what you have to say."	true	107.99	112.9	21.112314
