6574_70753_000003_000000	"The name of the old man was De Lacey.	"The name of the old man was De Lacey.
6574_70753_000004_000002	He was tried and condemned to death.	He was tried and condemned to death.
6574_70753_000004_000003	The injustice of his sentence was very flagrant; all Paris was indignant; and it was judged that his religion and wealth rather than the crime alleged against him had been the cause of his condemnation.	The injustice of his sentence was very flagrant; all Paris was indignant; and it was judged that his religion and wealth rather than the crime alleged against him had been the cause of his condemnation.
6574_70753_000005_000000	"Felix had accidentally been present at the trial; his horror and indignation were uncontrollable when he heard the decision of the court.	"Felix had accidentally been present at the trial; his horror and indignation were uncontrollable when he heard the decision of the court.
6574_70753_000005_000001	He made, at that moment, a solemn vow to deliver him and then looked around for the means.	He made, at that moment, a solemn vow to deliver him and then looked around for the means.
6574_70753_000005_000003	Felix visited the grate at night and made known to the prisoner his intentions in his favour.	Felix visited the grate at night and made known to the prisoner his intentions in his favour.
6574_70753_000005_000004	The Turk, amazed and delighted, endeavoured to kindle the zeal of his deliverer by promises of reward and wealth.	The Turk, amazed and delighted, endeavoured to kindle the zeal of his deliverer by promises of reward and wealth.
6574_70753_000008_000001	Before I depart I will give them to you; they will prove the truth of my tale; but at present, as the sun is already far declined, I shall only have time to repeat the substance of them to you.	Before I depart I will give them to you; they will prove the truth of my tale; but at present, as the sun is already far declined, I shall only have time to repeat the substance of them to you.
6574_70753_000009_000000	"Safie related that her mother was a Christian Arab, seized and made a slave by the Turks; recommended by her beauty, she had won the heart of the father of Safie, who married her.	"Safie related that her mother was a Christian Arab, seized and made a slave by the Turks; recommended by her beauty, she had won the heart of the father of Safie, who married her.
6574_70753_000009_000001	The young girl spoke in high and enthusiastic terms of her mother, who, born in freedom, spurned the bondage to which she was now reduced.	The young girl spoke in high and enthusiastic terms of her mother, who, born in freedom, spurned the bondage to which she was now reduced.
6574_70753_000009_000002	She instructed her daughter in the tenets of her religion and taught her to aspire to higher powers of intellect and an independence of spirit forbidden to the female followers of Muhammad.	She instructed her daughter in the tenets of her religion and taught her to aspire to higher powers of intellect and an independence of spirit forbidden to the female followers of Muhammad.
6574_70753_000009_000003	This lady died, but her lessons were indelibly impressed on the mind of Safie, who sickened at the prospect of again returning to Asia and being immured within the walls of a harem, allowed only to occupy herself with infantile amusements, ill-suited to the temper of her soul, now accustomed to grand ideas and a noble emulation for virtue.	This lady died, but her lessons were indelibly impressed on the mind of Safie, who sickened at the prospect of again returning to Asia and being immured within the walls of a harem, allowed only to occupy herself with infantile amusements, ill suited to the temper of her soul, now accustomed to grand ideas and a noble emulation for virtue.
6574_70753_000009_000004	The prospect of marrying a Christian and remaining in a country where women were allowed to take a rank in society was enchanting to her.	The prospect of marrying a Christian and remaining in a country where women were allowed to take a rank in society was enchanting to her.
6574_70753_000010_000000	"The day for the execution of the Turk was fixed, but on the night previous to it he quitted his prison and before morning was distant many leagues from Paris.	"The day for the execution of the Turk was fixed, but on the night previous to it he quitted his prison and before morning was distant many leagues from Paris.
6574_70753_000010_000001	Felix had procured passports in the name of his father, sister, and himself.	Felix had procured passports in the name of his father, sister, and himself.
6574_70753_000010_000002	He had previously communicated his plan to the former, who aided the deceit by quitting his house, under the pretence of a journey and concealed himself, with his daughter, in an obscure part of Paris.	He had previously communicated his plan to the former, who aided the deceit by quitting his house, under the pretence of a journey and concealed himself, with his daughter, in an obscure part of Paris.
6574_70753_000013_000002	He revolved a thousand plans by which he should be enabled to prolong the deceit until it might be no longer necessary, and secretly to take his daughter with him when he departed.	He revolved a thousand plans by which he should be enabled to prolong the deceit until it might be no longer necessary, and secretly to take his daughter with him when he departed.
6574_70753_000013_000003	His plans were facilitated by the news which arrived from Paris.	His plans were facilitated by the news which arrived from Paris.
6574_70753_000014_000001	The plot of Felix was quickly discovered, and De Lacey and Agatha were thrown into prison.	The plot of Felix was quickly discovered, and De Lacey and Agatha were thrown into prison.
6574_70753_000014_000002	The news reached Felix and roused him from his dream of pleasure.	The news reached Felix and roused him from his dream of pleasure.
6574_70753_000014_000004	This idea was torture to him.	This idea was torture to him.
6574_70753_000015_000000	"He did not succeed.	"He did not succeed.
6574_70753_000015_000001	They remained confined for five months before the trial took place, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country.	They remained confined for five months before the trial took place, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country.
6574_70753_000016_000001	Felix soon learned that the treacherous Turk, for whom he and his family endured such unheard-of oppression, on discovering that his deliverer was thus reduced to poverty and ruin, became a traitor to good feeling and honour and had quitted Italy with his daughter, insultingly sending Felix a pittance of money to aid him, as he said, in some plan of future maintenance.	Felix soon learned that the treacherous Turk, for whom he and his family endured such unheard of oppression, on discovering that his deliverer was thus reduced to poverty and ruin, became a traitor to good feeling and honour and had quitted Italy with his daughter, insultingly sending Felix a pittance of money to aid him, as he said, in some plan of future maintenance.
6574_70753_000017_000000	"Such were the events that preyed on the heart of Felix and rendered him, when I first saw him, the most miserable of his family.	"Such were the events that preyed on the heart of Felix and rendered him, when I first saw him, the most miserable of his family.
6574_70753_000017_000001	He could have endured poverty, and while this distress had been the meed of his virtue, he gloried in it; but the ingratitude of the Turk and the loss of his beloved Safie were misfortunes more bitter and irreparable.	He could have endured poverty, and while this distress had been the meed of his virtue, he gloried in it; but the ingratitude of the Turk and the loss of his beloved Safie were misfortunes more bitter and irreparable.
6574_70753_000018_000001	The generous nature of Safie was outraged by this command; she attempted to expostulate with her father, but he left her angrily, reiterating his tyrannical mandate.	The generous nature of Safie was outraged by this command; she attempted to expostulate with her father, but he left her angrily, reiterating his tyrannical mandate.
6574_70753_000020_000003	She hesitated some time, but at length she formed her determination.	She hesitated some time, but at length she formed her determination.
6574_70753_000021_000000	"She arrived in safety at a town about twenty leagues from the cottage of De Lacey, when her attendant fell dangerously ill.	"She arrived in safety at a town about twenty leagues from the cottage of De Lacey, when her attendant fell dangerously ill.
6574_70753_000021_000001	Safie nursed her with the most devoted affection, but the poor girl died, and the Arabian was left alone, unacquainted with the language of the country and utterly ignorant of the customs of the world.	Safie nursed her with the most devoted affection, but the poor girl died, and the Arabian was left alone, unacquainted with the language of the country and utterly ignorant of the customs of the world.
