7538_100044_000000_000000	"Bless my elevation rudder!" cried Mr. Damon.	"Bless my elevation rudder!" cried mr Damon.	false	3.72	11.52	19.52395
7538_100044_000000_000001	"Andy's here at last!	"Andy's here at last!	false	11.52	20.655	20.848207
7538_100044_000000_000002	I must tell Tom!"	I must tell Tom!"	false	20.655	23.16	23.307022
7538_100044_000001_000000	Chapter Twenty-Three	Chapter Twenty Three	true	23.16	24.45	21
7538_100044_000002_000000	The Great Race	The Great Race	false	24.45	25.725	-20
7538_100044_000003_000000	"Well," remarked Mr. Sharp, when Tom and Mr. Damon had called on him, to state that Andy Foger's machine was now on the grounds, and demanding to be allowed to view it, to see if it was an infringement on the one entered by the young inventor, "I'll do the best I can for you. I'll lay the case before the committee.	"Well," remarked mr Sharp, when Tom and mr Damon had called on him, to state that Andy Foger's machine was now on the grounds, and demanding to be allowed to view it, to see if it was an infringement on the one entered by the young inventor, "I'll do the best I can for you. I'll lay the case before the committee.	true	25.725	41.85	18
7538_100044_000003_000001	It will meet at once, and I'll let you know what they say."	It will meet at once, and I'll let you know what they say."	true	41.85	44.71	21.98969
7538_100044_000004_000000	"Understand," said Tom, "I don't want to interfere unless I am convinced that Andy is trying an underhand trick.	"Understand," said Tom, "I don't want to interfere unless I am convinced that Andy is trying an underhand trick.	true	45.32	51.6	18
7538_100044_000004_000001	My plans are missing, and I think he took them.	My plans are missing, and I think he took them.	true	51.6	54.19	22.992655
7538_100044_000004_000002	If his machine is made after those plans, it is, obviously, a steal, and I want him ruled out of the meet."	If his machine is made after those plans, it is, obviously, a steal, and I want him ruled out of the meet."	true	54.26	60.82	18.809507
7538_100044_000005_000000	"And so he shall be!" exclaimed Mr. Sharp.	"And so he shall be!" exclaimed mr Sharp.	true	61.1	64.33	16.518938
7538_100044_000005_000001	"Get the evidence against him, and we'll act quickly enough."	"Get the evidence against him, and we'll act quickly enough."	true	64.43	67.39	22.352121
7538_100044_000006_000000	The committee met in about an hour, and considered the case.	The committee met in about an hour, and considered the case.	false	68.09	71.47	18
7538_100044_000006_000001	Meanwhile, Tom and Mr. Damon strolled past the tent with its flaring sign.	Meanwhile, Tom and mr Damon strolled past the tent with its flaring sign.	true	71.66	76.12	18
7538_100044_000006_000002	There was a man on guard, but Andy was not in sight.	There was a man on guard, but Andy was not in sight.	true	76.22	79	16.937088
7538_100044_000007_000000	Then Tom was sent for, and Mr. Sharp told him what conclusion had been arrived at.	Then Tom was sent for, and mr Sharp told him what conclusion had been arrived at.	true	79.7	84.13	18
7538_100044_000007_000001	It was this:	It was this:	true	84.14	85.06	21.44572
7538_100044_000008_000000	"Under the rules of the meet," said the balloonist, "we had to guarantee privacy to all the contestants until such time as they choose to exhibit their machines.	"Under the rules of the meet," said the balloonist, "we had to guarantee privacy to all the contestants until such time as they choose to exhibit their machines.	true	85.82	93.85	18.977018
7538_100044_000008_000001	That is, they need not bring them out until just before the races," he added.	That is, they need not bring them out until just before the races," he added.	true	93.98	98.2	20.832956
