1066_5330_000001_000000	CHAPTER IV.	CHAPTER four.
1066_5330_000002_000000	THE MOONLIGHT INTERVIEW.	THE MOONLIGHT INTERVIEW.
1066_5330_000005_000000	"Barbara," was the whispered, eager answer, "don't you recognize me?"	"Barbara," was the whispered, eager answer, "don't you recognize me?"
1066_5330_000006_000002	In spite of his smock-frock and his straw-wisped hat, and his false whiskers, black as Erebus, she knew him for her brother.	In spite of his smock frock and his straw wisped hat, and his false whiskers, black as Erebus, she knew him for her brother.
1066_5330_000008_000000	"Did you know me, Barbara?" was his rejoinder.	"Did you know me, Barbara?" was his rejoinder.
1066_5330_000009_000001	A thought crossed my mind that it might be some one from you, and even that made me sick with terror.	A thought crossed my mind that it might be some one from you, and even that made me sick with terror.
1066_5330_000009_000003	"If you are discovered, it is certain death; death--upon--you know!"	"If you are discovered, it is certain death; death-upon-you know!"
1066_5330_000010_000000	"Upon the gibbet," returned Richard Hare.	"Upon the gibbet," returned Richard Hare.
1066_5330_000010_000001	"I do know it, Barbara."	"I do know it, Barbara."
1066_5330_000011_000000	"Then why risk it?	"Then why risk it?
1066_5330_000012_000001	"I have been working in London ever since--"	"I have been working in London ever since-"
1066_5330_000013_000000	"In London!" interrupted Barbara.	"In London!" interrupted Barbara.
1066_5330_000014_000002	Perhaps my mother can let me have it; it is what I have come to ask for."	Perhaps my mother can let me have it; it is what I have come to ask for."
1066_5330_000015_000001	What at?"	What at?"
1066_5330_000016_000000	"In a stable-yard."	"In a stable yard."
1066_5330_000017_000000	"A stable-yard!" she uttered, in a deeply shocked tone.	"A stable yard!" she uttered, in a deeply shocked tone.
1066_5330_000017_000001	"Richard!"	"Richard!"
1066_5330_000018_000000	"Did you expect it would be as a merchant, or a banker, or perhaps as secretary to one of her majesty's ministers--or that I was a gentleman at large, living on my fortune?" retorted Richard Hare, in a tone of chafed anguish, painful to hear.	"Did you expect it would be as a merchant, or a banker, or perhaps as secretary to one of her majesty's ministers-or that I was a gentleman at large, living on my fortune?" retorted Richard Hare, in a tone of chafed anguish, painful to hear.
1066_5330_000018_000001	"I get twelve shillings a week, and that has to find me in everything!"	"I get twelve shillings a week, and that has to find me in everything!"
1066_5330_000019_000000	"Poor Richard, poor Richard!" she wailed, caressing his hand and weeping over it.	"Poor Richard, poor Richard!" she wailed, caressing his hand and weeping over it.
1066_5330_000020_000000	"I did not commit it at all," he replied.	"I did not commit it at all," he replied.
1066_5330_000021_000000	"What!" she exclaimed.	"What!" she exclaimed.
1066_5330_000023_000002	"You surely do not mean to throw the guilt on Bethel?"	"You surely do not mean to throw the guilt on Bethel?"
1066_5330_000024_000000	"Bethel!" lightly returned Richard Hare.	"Bethel!" lightly returned Richard Hare.
1066_5330_000024_000001	"He had nothing to do with it.	"He had nothing to do with it.
1066_5330_000026_000001	"The truth as to what he is may come out, some time.	"The truth as to what he is may come out, some time.
1066_5330_000026_000002	Not that I wish it to come out; the man has done no harm to me, and he may go on poaching with impunity till doomsday for all I care.	Not that I wish it to come out; the man has done no harm to me, and he may go on poaching with impunity till doomsday for all I care.
1066_5330_000027_000000	"Richard," interrupted his sister, in a hushed voice, "mamma entertains one fixed idea, which she cannot put from her.	"Richard," interrupted his sister, in a hushed voice, "mamma entertains one fixed idea, which she cannot put from her.
1066_5330_000028_000001	Why should she think so?"	Why should she think so?"
1066_5330_000029_000000	"How the conviction arose at first, I cannot tell you; I do not think she knows herself.	"How the conviction arose at first, I cannot tell you; I do not think she knows herself.
1066_5330_000031_000000	"And--you say that you were not?"	"And-you say that you were not?"
1066_5330_000032_000000	"I was not even at the cottage at the time; I swear it to you.	"I was not even at the cottage at the time; I swear it to you.
1066_5330_000032_000001	The man who did the deed was Thorn."	The man who did the deed was Thorn."
1066_5330_000033_000000	"Thorn!" echoed Barbara, lifting her head.	"Thorn!" echoed Barbara, lifting her head.
1066_5330_000034_000000	"I don't know who.	"I don't know who.
1066_5330_000034_000001	I wish I did; I wish I could unearth him.	I wish I did; I wish I could unearth him.
1066_5330_000034_000002	He was a friend of Afy's."	He was a friend of Afy's."
1066_5330_000035_000000	Barbara threw back her neck with a haughty gesture.	Barbara threw back her neck with a haughty gesture.
1066_5330_000035_000001	"Richard!"	"Richard!"
1066_5330_000036_000000	"What?"	"What?"
1066_5330_000037_000000	"You forget yourself when you mention that name to me."	"You forget yourself when you mention that name to me."
1066_5330_000038_000000	"Well," returned Richard.	"Well," returned Richard.
1066_5330_000039_000000	"Quite.	"Quite.
1066_5330_000039_000003	Richard's.' I think the woman did it heedlessly, not maliciously, to provoke papa; she was a good servant, and had been with us three years you know.	Richard's.' I think the woman did it heedlessly, not maliciously, to provoke papa; she was a good servant, and had been with us three years you know.
1066_5330_000039_000005	Papa took an oath--did you hear of it?"	Papa took an oath-did you hear of it?"
1066_5330_000040_000000	"What oath?	"What oath?
1066_5330_000040_000001	He takes many."	He takes many."
1066_5330_000041_000000	"This was a solemn one, Richard.	"This was a solemn one, Richard.
