707_138866_000000_000000	CHAPTER XXX.	CHAPTER thirty.	false	0.24	2.46	23
707_138866_000001_000000	Containing a Love Letter.	Containing a Love Letter.	false	2.46	20.22	21.811037
707_138866_000002_000000	Vavasor, as he sat alone in his room, after Fitzgerald had left him, began to think of the days in which he had before wished to assist his friend in his views with reference to Lady Glencora;--or rather he began to think of Alice's behaviour then, and of Alice's words. Alice had steadfastly refused to give any aid.	Vavasor, as he sat alone in his room, after Fitzgerald had left him, began to think of the days in which he had before wished to assist his friend in his views with reference to Lady Glencora;--or rather he began to think of Alice's behaviour then, and of Alice's words. Alice had steadfastly refused to give any aid.	true	20.22	39.075	21
707_138866_000002_000001	No less likely assistant for such a purpose could have been selected.	No less likely assistant for such a purpose could have been selected.	true	39.075	42.46	21
707_138866_000002_000002	But she had been very earnest in declaring that it was Glencora's duty to stand by her promise to Burgo.	But she had been very earnest in declaring that it was Glencora's duty to stand by her promise to Burgo.	true	42.59	48.34	17
707_138866_000002_000003	"He is a desperate spendthrift," Kate Vavasor had said to her.	"He is a desperate spendthrift," Kate Vavasor had said to her.	true	48.95	52.42	23
707_138866_000002_000004	"Then let her teach him to be otherwise," Alice had answered.	"Then let her teach him to be otherwise," Alice had answered.	true	52.58	55.965	20.409363
707_138866_000002_000005	"That might have been a good reason for refusing his offer when he first made it; but it can be no excuse for untruth, now that she has told him that she loves him!"	"That might have been a good reason for refusing his offer when he first made it; but it can be no excuse for untruth, now that she has told him that she loves him!"	true	55.965	64.06	22
707_138866_000002_000006	"If a woman," she had said again, "won't venture her fortune for the man she loves, her love is not worth having." All this George Vavasor remembered now; and as he remembered it he asked himself whether the woman that had once loved him would venture her fortune for him still.	"If a woman," she had said again, "won't venture her fortune for the man she loves, her love is not worth having." All this George Vavasor remembered now; and as he remembered it he asked himself whether the woman that had once loved him would venture her fortune for him still.	false	64.1	79.27	19.962147
707_138866_000003_000000	Though his sister had pressed him on the subject with all the vehemence that she could use, he had hardly hitherto made up his mind that he really desired to marry Alice.	Though his sister had pressed him on the subject with all the vehemence that she could use, he had hardly hitherto made up his mind that he really desired to marry Alice.	true	79.79	88.42	16
707_138866_000003_000001	There had grown upon him lately certain Bohemian propensities,--a love of absolute independence in his thoughts as well as actions,--which were antagonistic to marriage.	There had grown upon him lately certain Bohemian propensities,--a love of absolute independence in his thoughts as well as actions,--which were antagonistic to marriage.	true	88.76	97.93	22.97223
707_138866_000003_000002	He was almost inclined to think that marriage was an old-fashioned custom, fitted indeed well enough for the usual dull life of the world at large,--as many men both in heathen and in Christian ages have taught themselves to think of religion,--but which was not adapted to his advanced intelligence. If he loved any woman he loved his cousin Alice.	He was almost inclined to think that marriage was an old-fashioned custom, fitted indeed well enough for the usual dull life of the world at large,--as many men both in heathen and in Christian ages have taught themselves to think of religion,--but which was not adapted to his advanced intelligence. If he loved any woman he loved his cousin Alice.	false	98.45	117.96	21
707_138866_000003_000003	If he thoroughly respected any woman he respected her.	If he thoroughly respected any woman he respected her.	true	117.96	121.09	25.403801
707_138866_000003_000004	But that idea of tying himself down to a household was in itself distasteful to him.	But that idea of tying himself down to a household was in itself distasteful to him.	true	121.19	126.7	22
707_138866_000003_000005	"It is a thing terrible to think of," he once said to a congenial friend in these days of his life, "that a man should give permission to a priest to tie him to another human being like a Siamese twin, so that all power of separate and solitary action should be taken from him for ever!	"It is a thing terrible to think of," he once said to a congenial friend in these days of his life, "that a man should give permission to a priest to tie him to another human being like a Siamese twin, so that all power of separate and solitary action should be taken from him for ever!	true	126.77	141.735	18
707_138866_000003_000006	The beasts of the field do not treat each other so badly.	The beasts of the field do not treat each other so badly.	true	141.735	144.73	21
707_138866_000003_000007	They neither drink themselves drunk, nor eat themselves stupid;--nor do they bind themselves together in a union which both would have to hate." In this way George Vavasor, trying to imitate the wisdom of the brutes, had taught himself some theories of a peculiar nature. But, nevertheless, as he thought of Alice Vavasor on this occasion, he began to feel that if a Siamese twin were necessary for him, she of all others was the woman to whom he would wish to be so bound.	They neither drink themselves drunk, nor eat themselves stupid;--nor do they bind themselves together in a union which both would have to hate." In this way George Vavasor, trying to imitate the wisdom of the brutes, had taught himself some theories of a peculiar nature. But, nevertheless, as he thought of Alice Vavasor on this occasion, he began to feel that if a Siamese twin were necessary for him, she of all others was the woman to whom he would wish to be so bound.	false	144.8	171.52	21
707_138866_000004_000000	And if he did it at all, he must do it now.	And if he did it at all, he must do it now.	true	172.16	174.855	21
707_138866_000004_000001	Under the joint instigation of himself and his sister,--as he thought, and perhaps not altogether without reason,--she had broken her engagement with Mr. Grey.	Under the joint instigation of himself and his sister,--as he thought, and perhaps not altogether without reason,--she had broken her engagement with mr Grey.	true	174.855	183.4	19
707_138866_000004_000002	That she would renew it again if left to herself, he believed probable.	That she would renew it again if left to herself, he believed probable.	true	183.68	187.51	19
707_138866_000004_000003	And then, despite that advanced intelligence which had taught him to regard all forms and ceremonies with the eye of a philosopher, he had still enough of human frailty about him to feel keenly alive to the pleasure of taking from John Grey the prize which John Grey had so nearly taken from him.	And then, despite that advanced intelligence which had taught him to regard all forms and ceremonies with the eye of a philosopher, he had still enough of human frailty about him to feel keenly alive to the pleasure of taking from john Grey the prize which john Grey had so nearly taken from him.	true	187.67	204.79	19
707_138866_000004_000004	If Alice could have been taught to think as he did as to the absurdity of those indissoluble ties, that would have been better.	If Alice could have been taught to think as he did as to the absurdity of those indissoluble ties, that would have been better.	true	205.07	212.2	19
707_138866_000004_000005	But nothing would have been more impossible than the teaching of such a lesson to his cousin Alice. George Vavasor was a man of courage, and dared do most things;--but he would not have dared to commence the teaching of such a lesson to her.	But nothing would have been more impossible than the teaching of such a lesson to his cousin Alice. George Vavasor was a man of courage, and dared do most things;--but he would not have dared to commence the teaching of such a lesson to her.	false	212.48	225.58	22.61439
707_138866_000005_000000	And now, at this moment, what was his outlook into life generally?	And now, at this moment, what was his outlook into life generally?	true	226.28	230.11	22.908865
707_138866_000005_000001	He had very high ambition, and a fair hope of gratifying it if he could only provide that things should go well with him for a year or so.	He had very high ambition, and a fair hope of gratifying it if he could only provide that things should go well with him for a year or so.	true	230.3	238.48	16
707_138866_000005_000002	He was still a poor man, having been once nearly a rich man; but still so much of the result of his nearly acquired riches remained to him, that on the strength of them he might probably find his way into Parliament.	He was still a poor man, having been once nearly a rich man; but still so much of the result of his nearly acquired riches remained to him, that on the strength of them he might probably find his way into Parliament.	true	238.97	250.87	20
707_138866_000005_000003	He had paid the cost of the last attempt, and might, in a great degree, carry on this present attempt on credit.	He had paid the cost of the last attempt, and might, in a great degree, carry on this present attempt on credit.	true	251.18	257.68	23.618069
707_138866_000005_000004	If he succeeded there would be open to him a mode of life, agreeable in itself, and honourable among men.	If he succeeded there would be open to him a mode of life, agreeable in itself, and honourable among men.	true	257.78	263.83	18.9026
707_138866_000005_000005	But how was he to bear the cost of this for the next year, or the next two years?	But how was he to bear the cost of this for the next year, or the next two years?	true	264.29	268.72	21
707_138866_000005_000006	His grandfather was still alive, and would probably live over that period.	His grandfather was still alive, and would probably live over that period.	true	269.33	272.865	16
707_138866_000005_000007	If he married Alice he would do so with no idea of cheating her out of her money.	If he married Alice he would do so with no idea of cheating her out of her money.	true	272.865	276.97	13
707_138866_000005_000008	She should learn,--nay, she had already learned from his own lips,--how perilous was his enterprise.	She should learn,--nay, she had already learned from his own lips,--how perilous was his enterprise.	true	277.58	283.03	21.632595
707_138866_000005_000009	But he knew her to be a woman who would boldly risk all in money, though no consideration would induce her to stir a hair's breadth towards danger in reputation. Towards teaching her that doctrine at which I have hinted, he would not have dared to make an attempt; but he felt that he should have no repugnance to telling her that he wanted to spend all her money in the first year or two of their married life!	But he knew her to be a woman who would boldly risk all in money, though no consideration would induce her to stir a hair's breadth towards danger in reputation. Towards teaching her that doctrine at which I have hinted, he would not have dared to make an attempt; but he felt that he should have no repugnance to telling her that he wanted to spend all her money in the first year or two of their married life!	false	283.4	305.97	20.648565
707_138866_000006_000000	He was still in his arm-chair, thinking of all this, with that small untasted modicum of brandy and water beside him, when he heard some distant Lambeth clock strike three from over the river.	He was still in his arm chair, thinking of all this, with that small untasted modicum of brandy and water beside him, when he heard some distant Lambeth clock strike three from over the river.	false	305.97	317.38	20.557467
707_138866_000006_000001	Then he rose from his seat, and taking the candles in his hand, sat himself down at a writing-desk on the other side of the room.	Then he rose from his seat, and taking the candles in his hand, sat himself down at a writing desk on the other side of the room.	true	317.81	323.925	16
707_138866_000006_000002	"I needn't send it when it's written," he said to himself, "and the chances are that I won't." Then he took his paper, and wrote as follows:--	"I needn't send it when it's written," he said to himself, "and the chances are that I won't." Then he took his paper, and wrote as follows:--	true	323.925	332.62	20.916191
707_138866_000007_000000	DEAR ALICE,	DEAR ALICE,	true	333.41	334.57	22.99936
707_138866_000008_000000	The time was when the privilege was mine of beginning my letters to you with a warmer show of love than the above word contains,--when I might and did call you dearest; but I lost that privilege through my own folly, and since that it has been accorded to another.	The time was when the privilege was mine of beginning my letters to you with a warmer show of love than the above word contains,--when I might and did call you dearest; but I lost that privilege through my own folly, and since that it has been accorded to another.	true	334.7	350.02	21
707_138866_000008_000001	But you have found,--with a thorough honesty of purpose than which I know nothing greater,--that it has behoved you to withdraw that privilege also.	But you have found,--with a thorough honesty of purpose than which I know nothing greater,--that it has behoved you to withdraw that privilege also.	true	350.6	359.29	20
707_138866_000008_000002	I need hardly say that I should not have written as I now write, had you not found it expedient to do as you have done.	I need hardly say that I should not have written as I now write, had you not found it expedient to do as you have done.	true	359.87	366.82	20
707_138866_000008_000003	I now once again ask you to be my wife.	I now once again ask you to be my wife.	true	367.19	369.91	20.988977
707_138866_000008_000004	In spite of all that passed in those old days,--of all the selfish folly of which I was then guilty, I think you know, and at the time knew, that I ever loved you. I claim to say for myself that my love to you was true from first to last, and I claim from you belief for that statement.	In spite of all that passed in those old days,--of all the selfish folly of which I was then guilty, I think you know, and at the time knew, that I ever loved you. I claim to say for myself that my love to you was true from first to last, and I claim from you belief for that statement.	false	370.31	388.93	22.606617
707_138866_000008_000005	Indeed I do not think that you ever doubted my love.	Indeed I do not think that you ever doubted my love.	true	389.06	392.26	23.744743
707_138866_000009_000000	Nevertheless, when you told me that I might no longer hope to make you my wife, I had no word of remonstrance that I could utter.	Nevertheless, when you told me that I might no longer hope to make you my wife, I had no word of remonstrance that I could utter.	true	392.75	399.07	13
707_138866_000009_000001	You acted as any woman would act whom love had not made a fool.	You acted as any woman would act whom love had not made a fool.	true	399.2	402.85	18
707_138866_000009_000002	Then came the episode of Mr. Grey; and bitter as have been my feelings whilst that engagement lasted, I never made any attempt to come between you and the life you had chosen.	Then came the episode of mr Grey; and bitter as have been my feelings whilst that engagement lasted, I never made any attempt to come between you and the life you had chosen.	true	403.13	412.27	20
707_138866_000009_000003	In saying this I do not forget the words which I spoke last summer at Basle, when, as far as I knew, you still intended that he should be your husband.	In saying this I do not forget the words which I spoke last summer at Basle, when, as far as I knew, you still intended that he should be your husband.	false	412.46	420.76	21
707_138866_000009_000004	But what I said then was nothing to that which, with much violence, I refrained from saying.	But what I said then was nothing to that which, with much violence, I refrained from saying.	true	421.16	425.98	19
