8266_258262_000000_000000	When it was the Six Hundred and Seventy-second Night,	When it was the Six Hundred and Seventy second Night,	false	0	1.29	13.368625
8266_258262_000001_000000	She resumed, It hath reached me, O auspicious King, that the Marid took Gharib and carried him to the Jayhun purposing to cast him therein, but it was grievous to him to drown him, wherefore he made a raft of wood and binding it with cords, pushed it out (and Gharib thereon) into the current, which carried it away. Thus fared it with Gharib; but as regards his people, when they awoke in the morning and went in to do their service to their King, they found him not and seeing his rosary on the throne, awaited him awhile, but he came not.	She resumed, It hath reached me, O auspicious King, that the Marid took Gharib and carried him to the Jayhun purposing to cast him therein, but it was grievous to him to drown him, wherefore he made a raft of wood and binding it with cords, pushed it out (and Gharib thereon) into the current, which carried it away. Thus fared it with Gharib; but as regards his people, when they awoke in the morning and went in to do their service to their King, they found him not and seeing his rosary on the throne, awaited him awhile, but he came not.	false	1.29	5.22	22.237366
8266_258262_000001_000001	So they sought out the head Chamberlain and said to him, "Go into the Harim and look for the King: for it is not his habit to tarry till this time." Accordingly, the Chamberlain entered the Serraglio and enquired for the King, but the women said, "Since yesterday we have not seen him." Thereupon he returned and told the Officers, who were confounded and said, "Let us see if he have gone to take his pleasure in the gardens." Then they went out and questioned the gardeners if they had seen the King, and they answered, "No;" whereat they were sore concerned and searched all the garths till the end of the day, when they returned in tears.	So they sought out the head Chamberlain and said to him, "Go into the Harim and look for the King: for it is not his habit to tarry till this time." Accordingly, the Chamberlain entered the Serraglio and enquired for the King, but the women said, "Since yesterday we have not seen him." Thereupon he returned and told the Officers, who were confounded and said, "Let us see if he have gone to take his pleasure in the gardens." Then they went out and questioned the gardeners if they had seen the King, and they answered, "No;" whereat they were sore concerned and searched all the garths till the end of the day, when they returned in tears.	false	5.22	9.12	20.41494
8266_258262_000001_000002	Moreover, the two Marids sought for him all round the city, but came back after three days, without having happened on any tidings of him.	Moreover, the two Marids sought for him all round the city, but came back after three days, without having happened on any tidings of him.	false	9.12	9.21	4
8266_258262_000001_000003	So the people donned black and made their complaint to the Lord of all worshipping men who cloth as he is fain.	So the people donned black and made their complaint to the Lord of all worshipping men who cloth as he is fain.	false	9.21	10.2	20.619974
8266_258262_000001_000004	Meanwhile, the current bore the raft along for five days till it brought it to the salt sea, where the waves disported with Gharib and his stomach, being troubled, threw up the Bhang.	Meanwhile, the current bore the raft along for five days till it brought it to the salt sea, where the waves disported with Gharib and his stomach, being troubled, threw up the Bhang.	false	10.2	11.7	14.460869
8266_258262_000001_000005	Then he opened his eyes and finding himself in the midst of the main, a plaything of the billows, said, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	Then he opened his eyes and finding himself in the midst of the main, a plaything of the billows, said, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	false	11.7	13.17	22
8266_258262_000001_000006	Would to Heaven I wot who hath done this deed by me!" Presently as he lay, perplexed concerning his case, lo! he caught sight of a ship sailing by and signalled with his sleeve to the sailors, who came to him and took him up, saying, "Who art thou and whence comest thou?" He replied, "Do ye feed me and give me to drink, till I recover myself, and after I will tell you who I am." So they brought him water and victual, and he ate and drank and Allah restored to him his reason.	Would to Heaven I wot who hath done this deed by me!" Presently as he lay, perplexed concerning his case, lo! he caught sight of a ship sailing by and signalled with his sleeve to the sailors, who came to him and took him up, saying, "Who art thou and whence comest thou?" He replied, "Do ye feed me and give me to drink, till I recover myself, and after I will tell you who I am." So they brought him water and victual, and he ate and drank and Allah restored to him his reason.	false	13.17	19.74	21.585836
8266_258262_000001_000007	Then he asked them, "O folk, what countrymen are ye and what is your Faith?;" and they answered, "We are from Karaj[FN#69] and we worship an idol called Minkash." Cried Gharib, "Perdition to you and your idol!	Then he asked them, "O folk, what countrymen are ye and what is your Faith?;" and they answered, "We are from Karaj[f n # sixty nine] and we worship an idol called Minkash." Cried Gharib, "Perdition to you and your idol!	false	19.74	20.01	20
8266_258262_000001_000008	O dogs, none is worthy of wor strip save Allah who creased all things, who saith to a thing Be! and it becometh." When they heard this, they rose up and fell upon him in great wrath and would have seized him.	O dogs, none is worthy of wor strip save Allah who creased all things, who saith to a thing Be! and it becometh." When they heard this, they rose up and fell upon him in great wrath and would have seized him.	false	20.01	20.61	15
8266_258262_000001_000009	Now he was without weapons, but whomsoever he struck, he smote down and deprived of life, till he had felled forty men, after which they overcame him by force of numbers and bound him fast, saying, "We will not slay him save in our own land, that we may first show him to our King." Then they sailed on till they came to the city of Karaj.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Now he was without weapons, but whomsoever he struck, he smote down and deprived of life, till he had felled forty men, after which they overcame him by force of numbers and bound him fast, saying, "We will not slay him save in our own land, that we may first show him to our King." Then they sailed on till they came to the city of Karaj.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	20.61	26.82	22.804012
